Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;32,95;34,60;32,50;33,20;47.748;1.607.327
2019-05-02;32,25;32,70;31,90;32,70;15.601;504.897
2019-04-30;31,25;31,85;30,55;31,75;11.296;351.586
2019-04-29;31,75;32,35;30,75;31,00;15.582;488.028
2019-04-26;30,95;31,45;30,35;31,40;15.462;479.584
2019-04-25;31,50;32,25;31,30;31,35;25.487;806.574
2019-04-24;34,00;34,00;31,80;32,15;28.702;938.049
2019-04-23;33,35;34,40;33,30;33,60;34.626;1.171.039
2019-04-18;32,40;32,45;31,45;32,05;11.877;379.355
2019-04-17;32,55;32,80;31,80;31,90;15.712;506.845
2019-04-16;32,10;32,50;31,10;31,40;19.896;629.593
2019-04-15;33,45;33,70;32,00;32,25;19.695;647.577
2019-04-12;31,25;32,90;31,25;32,90;31.126;1.001.518
2019-04-11;32,60;33,00;31,00;31,10;79.158;2.526.232
2019-04-10;32,85;33,75;32,50;33,45;32.542;1.077.232
2019-04-09;32,50;33,35;30,55;31,95;58.580;1.898.186
2019-04-08;34,60;35,00;32,25;34,10;116.878;3.945.533
2019-04-05;29,45;32,00;28,75;31,50;108.967;3.379.955
2019-04-04;33,20;33,85;28,30;28,30;151.697;4.676.437
2019-04-03;27,05;32,30;27,00;32,30;142.301;4.191.159
2019-04-02;24,20;26,70;23,90;25,70;83.681;2.105.504
2019-04-01;20,45;21,30;20,20;21,30;20.359;419.377
2019-03-29;19,30;20,20;19,30;19,77;13.187;261.130
2019-03-28;19,09;19,09;18,43;18,94;7.840;148.200
2019-03-27;19,01;19,19;18,70;18,80;5.057;95.933
2019-03-26;18,99;18,99;18,06;18,66;7.839;145.329
2019-03-25;19,12;19,63;19,10;19,23;3.818;73.455
2019-03-22;19,47;19,79;19,30;19,39;5.002;97.280
2019-03-21;20,18;20,38;19,60;19,60;13.852;277.664
2019-03-20;19,37;19,84;19,37;19,80;5.242;103.336
2019-03-19;19,40;19,55;19,20;19,36;2.179;42.152
2019-03-18;19,50;19,68;19,20;19,25;6.688;130.281
2019-03-15;18,80;19,20;18,61;19,19;4.642;88.108
2019-03-14;18,51;18,95;18,31;18,89;4.079;76.134
2019-03-13;18,99;19,29;18,01;18,72;7.991;149.670
2019-03-12;19,49;19,56;19,15;19,15;12.755;247.149
2019-03-11;19,71;19,95;19,50;19,50;5.616;110.776
2019-03-08;20,28;20,28;19,76;19,78;3.700;73.820
2019-03-07;20,00;20,18;19,75;19,75;9.184;182.836
2019-03-06;20,02;20,28;19,75;19,98;9.244;185.142
2019-03-05;19,22;20,48;19,05;20,10;11.630;229.742
2019-03-04;19,37;19,64;19,17;19,21;6.507;125.681
2019-03-01;19,88;19,88;19,40;19,65;3.388;66.384
2019-02-28;19,79;19,94;19,41;19,94;8.582;169.126
2019-02-27;19,69;19,86;19,40;19,64;5.483;107.597
2019-02-26;19,81;19,83;19,20;19,70;16.753;329.832
2019-02-25;19,66;20,44;19,51;19,55;27.577;547.795
2019-02-22;19,19;21,38;18,80;20,70;57.437;1.160.233
2019-02-21;19,59;19,90;18,80;19,08;19.705;381.738
2019-02-20;18,84;19,42;18,50;19,14;17.169;328.482
2019-02-19;18,81;19,39;17,80;18,90;46.528;862.799
2019-02-18;16,71;18,98;16,69;18,98;64.027;1.130.573
2019-02-15;15,89;16,20;15,70;16,00;5.228;83.606
2019-02-14;16,21;16,21;15,30;15,70;10.787;169.156
2019-02-13;17,00;17,00;15,25;16,05;14.343;235.248
2019-02-12;17,19;17,19;16,15;16,70;8.866;149.058
