Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-22;6,46;6,715;6,46;6,55;30.684;202.735
2019-07-19;6,50;6,62;6,455;6,50;42.922;279.498
2019-07-18;6,53;6,67;6,42;6,55;35.146;229.745
2019-07-17;6,91;6,98;6,58;6,605;76.325;517.247
2019-07-16;6,77;6,97;6,70;6,97;44.143;300.786
2019-07-15;6,345;6,72;6,20;6,70;95.293;619.755
2019-07-12;6,405;6,41;6,115;6,30;121.821;766.107
2019-07-11;6,99;6,99;6,41;6,46;190.803;1.257.410
2019-07-10;7,215;7,325;6,98;7,025;80.494;572.069
2019-07-09;7,195;7,25;7,055;7,17;41.046;293.747
2019-07-08;7,41;7,545;7,055;7,26;67.375;483.935
2019-07-05;7,515;7,61;7,33;7,42;100.330;748.088
2019-07-04;7,10;7,355;7,02;7,335;45.515;327.674
2019-07-03;7,15;7,215;6,925;7,075;124.030;879.984
2019-07-02;7,305;7,37;7,175;7,175;32.359;235.950
2019-07-01;7,53;7,55;7,24;7,32;85.874;633.500
2019-06-28;7,51;7,545;7,415;7,425;40.584;303.626
2019-06-27;7,455;7,62;7,43;7,51;15.695;118.120
2019-06-26;7,445;7,645;7,405;7,495;43.585;326.659
2019-06-25;7,405;7,555;7,40;7,445;37.894;283.002
2019-06-24;7,53;7,575;7,40;7,41;28.105;210.190
2019-06-21;7,59;7,645;7,455;7,485;34.698;261.009
2019-06-20;7,79;7,835;7,65;7,655;27.557;212.632
2019-06-19;7,665;7,815;7,60;7,725;55.288;426.009
2019-06-18;7,54;7,72;7,405;7,60;67.233;508.904
2019-06-17;7,80;7,875;7,565;7,60;58.100;448.192
2019-06-14;7,625;7,65;7,43;7,495;29.045;217.993
2019-06-13;7,675;7,755;7,655;7,69;12.788;98.519
2019-06-12;7,71;7,745;7,64;7,74;22.388;172.515
2019-06-11;7,76;7,88;7,645;7,775;29.238;228.760
2019-06-07;7,78;7,81;7,675;7,755;17.621;136.421
2019-06-06;7,80;7,80;7,605;7,715;16.758;129.415
2019-06-05;7,615;7,77;7,615;7,745;32.547;250.965
2019-06-04;7,45;7,595;7,42;7,52;19.619;147.375
2019-06-03;7,45;7,625;7,225;7,51;71.649;533.696
2019-05-31;7,78;7,78;7,41;7,53;97.097;735.058
2019-05-30;8,01;8,15;7,80;7,80;94.832;750.388
2019-05-29;8,05;8,225;8,03;8,03;48.403;392.926
2019-05-28;8,15;8,25;8,03;8,115;28.834;233.997
2019-05-27;8,135;8,28;8,03;8,12;37.194;301.730
2019-05-24;8,16;8,335;8,10;8,205;23.905;196.724
2019-05-23;8,37;8,415;8,15;8,225;57.653;476.405
2019-05-22;8,225;8,375;8,13;8,32;42.840;354.925
2019-05-21;8,15;8,38;8,10;8,13;60.804;498.340
2019-05-20;8,40;8,435;8,17;8,17;49.158;407.009
2019-05-17;8,50;8,54;8,305;8,34;65.806;552.656
2019-05-16;8,465;8,61;8,365;8,495;40.063;340.620
2019-05-15;8,30;8,50;8,235;8,395;46.728;391.868
2019-05-14;8,545;8,545;8,30;8,325;92.547;777.617
2019-05-13;8,785;8,79;8,54;8,57;52.598;454.077
2019-05-10;8,81;8,915;8,675;8,71;47.434;417.011
2019-05-09;8,80;9,095;8,57;8,89;113.319;1.000.619
2019-05-08;8,965;8,965;8,75;8,84;41.662;368.222
2019-05-07;8,79;9,055;8,765;8,985;39.187;350.464
2019-05-06;8,905;8,995;8,66;8,795;69.384;610.433
2019-05-03;8,955;9,095;8,95;8,98;29.085;262.565
2019-05-02;8,915;9,10;8,885;9,03;77.709;697.181
2019-04-30;8,875;8,97;8,80;8,84;11.966;106.034
2019-04-29;9,03;9,04;8,81;8,865;58.435;519.683
2019-04-26;8,84;9,10;8,815;9,10;34.239;305.605
2019-04-25;8,93;8,93;8,75;8,90;74.886;662.896
2019-04-24;8,80;9,375;8,80;8,95;74.414;672.639
2019-04-23;8,975;8,975;8,86;8,86;18.657;166.138
2019-04-18;9,20;9,235;8,88;8,915;75.241;676.051
2019-04-17;9,15;9,485;9,14;9,14;57.928;539.098
2019-04-16;9,035;9,26;8,955;9,215;55.633;510.427
2019-04-15;9,055;9,075;8,90;9,00;69.376;623.804
2019-04-12;9,285;9,32;8,865;8,985;201.355;1.831.105
2019-04-11;9,495;9,72;9,395;9,395;35.244;335.463
2019-04-10;9,45;9,80;9,37;9,42;58.420;559.406
2019-04-09;9,905;9,905;9,465;9,50;125.746;1.212.926
2019-04-08;10,39;10,44;9,935;9,935;150.664;1.521.455
2019-04-05;10,35;10,85;10,20;10,50;185.651;1.950.466
2019-04-04;9,25;10,75;9,17;10,45;567.332;5.741.396
2019-04-03;9,09;9,26;9,085;9,22;68.884;631.259
2019-04-02;9,15;9,16;8,94;9,01;92.064;832.345
2019-04-01;8,515;8,70;8,48;8,535;23.051;197.645
2019-03-29;8,315;8,515;8,315;8,515;18.498;156.712
2019-03-28;8,60;8,60;8,30;8,325;24.033;202.215
2019-03-27;8,58;8,62;8,265;8,575;191.155;1.610.195
2019-03-26;8,855;9,015;8,82;8,865;60.941;542.495
2019-03-25;8,685;8,895;8,58;8,895;56.801;498.486
2019-03-22;9,155;9,16;8,725;8,725;89.576;797.582
2019-03-21;8,805;9,12;8,805;9,11;43.840;394.277
2019-03-20;8,685;8,93;8,685;8,875;38.731;341.393
2019-03-19;8,935;8,95;8,735;8,735;58.647;520.726
2019-03-18;8,685;8,71;8,60;8,65;40.245;347.725
2019-03-15;8,83;8,83;8,655;8,70;116.456;1.014.047
2019-03-14;8,805;8,915;8,685;8,77;41.277;364.293
2019-03-13;8,825;8,905;8,58;8,73;42.844;374.714
2019-03-12;8,68;8,90;8,48;8,90;50.054;439.319
2019-03-11;8,39;8,715;8,35;8,595;62.924;537.163
2019-03-08;8,645;8,725;8,26;8,295;95.618;805.768
2019-03-07;8,605;8,775;8,57;8,775;65.105;564.555
2019-03-06;9,245;9,245;8,59;8,66;220.229;1.949.068
2019-03-05;9,41;9,54;9,145;9,325;52.277;487.650
2019-03-04;9,405;9,74;9,395;9,40;78.791;750.878
2019-03-01;9,345;9,48;9,28;9,45;50.465;473.724
2019-02-28;9,295;9,40;9,14;9,29;69.512;646.889
2019-02-27;9,70;9,70;9,25;9,30;111.603;1.054.656
2019-02-26;9,70;9,875;9,425;9,73;198.606;1.917.659
2019-02-25;9,20;9,655;9,20;9,53;337.037;3.191.532
2019-02-22;8,85;9,05;8,82;8,82;42.355;378.046
2019-02-21;9,04;9,07;8,75;8,885;72.397;647.705
