Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;6,001;6,193;6,00;6,097;2.128;12.995
2019-05-02;6,339;6,339;6,054;6,054;1.020;6.181
2019-04-30;6,149;6,20;6,001;6,199;2.924;17.893
2019-04-29;6,077;6,077;6,077;6,077;0;0
2019-04-26;6,25;6,25;6,178;6,178;50;313
2019-04-25;6,394;6,394;6,25;6,25;200;1.279
2019-04-24;6,067;6,404;6,067;6,25;870;5.365
2019-04-23;6,365;6,365;6,216;6,216;130;827
2019-04-18;6,057;6,365;6,057;6,216;428;2.626
2019-04-17;6,057;6,206;6,057;6,206;96;581
2019-04-16;6,206;6,206;6,206;6,206;0;0
2019-04-15;6,219;6,219;6,057;6,206;400;2.455
2019-04-12;6,405;6,485;6,206;6,206;755;4.744
2019-04-11;6,299;6,30;6,255;6,255;145;913
2019-04-10;6,299;6,299;6,20;6,20;58;365
2019-04-09;6,101;6,299;6,101;6,20;300;1.850
2019-04-08;6,49;6,49;6,20;6,20;3.880;24.631
2019-04-05;6,14;6,385;6,05;6,295;1.443;8.820





