Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;4,63;4,67;4,62;4,67;1.268;5.879
2019-05-02;4,66;4,67;4,63;4,67;8.626;40.117
2019-04-30;4,66;4,69;4,66;4,69;10;47
2019-04-29;4,69;4,69;4,65;4,68;244;1.135
2019-04-26;4,77;4,77;4,73;4,73;4.963;23.581
2019-04-25;4,78;4,78;4,78;4,78;0;0
2019-04-24;4,71;4,78;4,71;4,78;4.789;22.692
2019-04-23;4,71;4,73;4,70;4,73;2.180;10.257
2019-04-18;4,79;4,79;4,73;4,76;19;91
2019-04-17;4,70;4,75;4,70;4,73;974;4.578
2019-04-16;4,72;4,78;4,72;4,76;3.470;16.502
2019-04-15;4,70;4,70;4,65;4,68;2.791;13.096
2019-04-12;4,77;4,77;4,75;4,75;1.600;7.632
2019-04-11;4,76;4,79;4,75;4,76;890;4.248
2019-04-10;4,69;4,79;4,69;4,75;6.347;30.287
2019-04-09;4,72;4,75;4,71;4,71;2.213;10.456
2019-04-08;4,70;4,75;4,70;4,75;5.837;27.683
2019-04-05;4,80;4,80;4,65;4,67;7.572;35.520
2019-04-04;4,83;4,83;4,71;4,74;2.206;10.509
2019-04-03;4,65;4,79;4,65;4,79;5.072;24.012
2019-04-02;4,66;4,69;4,64;4,68;6.641;31.026
2019-04-01;4,69;4,69;4,63;4,67;130;607
2019-03-29;4,67;4,67;4,64;4,67;6.599;30.679
2019-03-28;4,625;4,66;4,625;4,66;1.394;6.447
2019-03-27;4,66;4,66;4,66;4,66;0;0
2019-03-26;4,615;4,655;4,615;4,655;6;28
2019-03-25;4,675;4,71;4,63;4,675;2.890;13.410
2019-03-22;4,615;4,77;4,615;4,74;1.444;6.696
2019-03-21;4,56;4,61;4,56;4,595;3.836;17.495
2019-03-20;4,58;4,63;4,58;4,615;3.066;14.055
2019-03-19;4,63;4,63;4,52;4,58;328;1.497
2019-03-18;4,53;4,63;4,53;4,63;5.300;24.041
2019-03-15;4,54;4,60;4,54;4,60;1.493;6.857
2019-03-14;4,59;4,59;4,59;4,59;0;0
2019-03-13;4,595;4,595;4,54;4,575;7.558;34.506
2019-03-12;4,55;4,68;4,55;4,615;3.379;15.642
2019-03-11;4,645;4,645;4,555;4,60;2.991;13.724
2019-03-08;4,635;4,64;4,61;4,61;110;510
2019-03-07;4,595;4,60;4,545;4,57;18.524;84.931
2019-03-06;4,635;4,635;4,56;4,595;69;317
2019-03-05;4,56;4,57;4,54;4,57;2.700;12.268
2019-03-04;4,56;4,60;4,56;4,60;7.058;32.263
2019-03-01;4,67;4,67;4,605;4,615;355;1.655
2019-02-28;4,70;4,70;4,575;4,61;3.010;13.807
2019-02-27;4,49;4,675;4,49;4,635;12.037;54.783
2019-02-26;4,495;4,53;4,48;4,495;3.900;17.504
2019-02-25;4,52;4,52;4,49;4,505;5.758;25.909
2019-02-22;4,565;4,565;4,50;4,535;10.765;48.835
2019-02-21;4,60;4,645;4,56;4,595;4.210;19.459
2019-02-20;4,60;4,60;4,56;4,58;1.376;6.277
2019-02-19;4,575;4,62;4,575;4,61;722;3.322
2019-02-18;4,58;4,58;4,51;4,51;16.952;76.979
2019-02-15;4,60;4,61;4,60;4,61;1.000;4.600
2019-02-14;4,60;4,61;4,58;4,61;3.468;15.915
2019-02-13;4,67;4,67;4,60;4,62;3.600;16.591
2019-02-12;4,61;4,61;4,60;4,605;6.047;27.829
2019-02-11;4,60;4,635;4,60;4,635;242;1.113
2019-02-08;4,605;4,61;4,60;4,61;17.285;79.517
2019-02-07;4,65;4,65;4,62;4,65;690;3.202
2019-02-06;4,725;4,73;4,65;4,65;3.608;16.892
2019-02-05;4,73;4,73;4,70;4,70;2.641;12.487
2019-02-04;4,70;4,765;4,70;4,75;262;1.247
2019-02-01;4,78;4,78;4,665;4,68;2.880;13.661
2019-01-31;4,70;4,715;4,70;4,715;5.109;24.044
2019-01-30;4,70;4,70;4,625;4,67;19.666;91.217
2019-01-29;4,63;4,69;4,60;4,69;9.739;44.941
2019-01-28;4,63;4,63;4,585;4,585;290;1.343
2019-01-25;4,675;4,675;4,58;4,62;5.761;26.495
2019-01-24;4,56;4,70;4,55;4,61;18.014;82.697
2019-01-23;4,60;4,60;4,55;4,58;3.722;16.968
2019-01-22;4,545;4,59;4,54;4,54;9.077;41.290
2019-01-21;4,485;4,58;4,485;4,555;1.755;7.960
2019-01-18;4,63;4,66;4,53;4,55;5.400;24.831
2019-01-17;4,59;4,70;4,59;4,69;10.006;46.470
2019-01-16;4,58;4,645;4,58;4,615;3.315;15.188
2019-01-15;4,575;4,585;4,575;4,585;704;3.221
2019-01-14;4,60;4,635;4,60;4,635;1.000;4.600
2019-01-11;4,55;4,61;4,55;4,56;1.797;8.185
2019-01-10;4,47;4,56;4,445;4,535;8.662;39.033
2019-01-09;4,56;4,56;4,53;4,53;8;36
2019-01-08;4,45;4,57;4,45;4,50;63.525;282.909
2019-01-07;4,45;4,45;4,435;4,435;21.103;93.905
2019-01-04;4,29;4,40;4,29;4,385;11.655;50.703
2019-01-03;4,165;4,34;4,165;4,225;37.178;157.555
2019-01-02;4,20;4,265;4,20;4,235;784;3.307
2018-12-28;4,34;4,355;4,205;4,205;8.053;34.819
2018-12-27;4,375;4,375;4,34;4,375;491;2.132
2018-12-21;4,39;4,435;4,39;4,435;248;1.091
2018-12-20;4,52;4,52;4,41;4,45;3.385;15.093
2018-12-19;4,405;4,495;4,405;4,465;9.043;40.152
2018-12-18;4,385;4,42;4,34;4,34;11.191;48.918
2018-12-17;4,48;4,585;4,42;4,445;19.849;88.589
2018-12-14;4,38;4,535;4,365;4,535;14.148;62.634
2018-12-13;4,39;4,39;4,325;4,36;1.300;5.486
2018-12-12;4,39;4,39;4,325;4,39;3.175;13.802
2018-12-11;4,265;4,39;4,265;4,36;39.962;170.789
2018-12-10;4,28;4,31;4,245;4,305;7.500;32.245
2018-12-07;4,335;4,34;4,285;4,305;9.580;41.551
2018-12-06;4,295;4,32;4,275;4,29;34.320;148.671
2018-12-05;4,29;4,30;4,24;4,28;4.457;18.935
2018-12-04;4,275;4,285;4,275;4,285;1.115;4.767
2018-12-03;4,27;4,30;4,24;4,285;11.481;52.758
2018-11-30;4,22;4,265;4,21;4,21;6.625;28.045
2018-11-29;4,205;4,205;4,205;4,205;0;0
2018-11-28;4,185;4,20;4,18;4,20;11.487;48.108
2018-11-27;4,185;4,20;4,10;4,185;50.435;209.713
2018-11-26;4,065;4,235;4,065;4,21;5.773;24.169
2018-11-23;4,13;4,13;4,13;4,13;6;25
2018-11-22;4,105;4,13;4,105;4,13;89;365
2018-11-21;4,10;4,145;4,055;4,12;4.879;19.938
2018-11-20;4,125;4,16;4,125;4,16;4.045;16.686
2018-11-19;4,20;4,23;4,125;4,125;4.997;20.959
2018-11-16;4,22;4,285;4,22;4,265;4.280;18.234
2018-11-15;4,25;4,32;4,25;4,26;5.314;22.780
2018-11-14;4,245;4,27;4,22;4,27;19.326;82.096
2018-11-13;4,245;4,245;4,19;4,235;10.181;42.952
2018-11-12;4,115;4,245;4,115;4,245;54.841;231.055
2018-11-09;4,11;4,18;4,11;4,18;31.313;129.036
2018-11-08;4,085;4,10;4,085;4,10;3.474;14.191
2018-11-07;4,045;4,115;4,025;4,115;5.833;23.735
2018-11-06;4,01;4,025;4,00;4,025;1.897;7.596
2018-11-05;4,075;4,075;4,015;4,035;1.520;6.121
2018-11-02;3,975;4,115;3,925;4,115;21.777;87.536
2018-11-01;3,925;3,975;3,925;3,95;5.908;23.330
2018-10-31;3,925;3,95;3,925;3,925;1.022;4.012
2018-10-30;3,93;3,935;3,92;3,935;19.443;76.329
2018-10-29;3,89;3,95;3,89;3,93;33.463;131.014
2018-10-26;3,825;3,83;3,825;3,83;7.000;26.775
2018-10-25;3,835;3,87;3,825;3,87;5.550;21.354
2018-10-24;3,835;3,85;3,825;3,835;9.315;35.717
2018-10-23;3,86;3,90;3,86;3,86;2.650;10.285
2018-10-22;3,89;3,91;3,87;3,91;11.659;45.232
2018-10-19;3,90;3,995;3,88;3,90;33.294;130.388
2018-10-18;3,905;3,945;3,88;3,90;9.642;37.621
2018-10-17;3,80;3,90;3,80;3,885;9.754;37.743
2018-10-16;3,78;3,885;3,78;3,835;40.016;151.874
2018-10-15;3,80;3,805;3,80;3,805;2.301;8.744
2018-10-12;3,80;3,80;3,78;3,80;13.976;52.985
2018-10-11;3,85;3,85;3,80;3,815;35.488;136.387
2018-10-10;3,85;3,895;3,85;3,85;15.370;59.361
2018-10-09;3,855;3,88;3,855;3,865;5.619;21.669
2018-10-08;3,91;3,91;3,855;3,87;5.852;22.744
2018-10-05;3,91;3,92;3,90;3,92;3.640;14.233
2018-10-04;3,91;3,92;3,91;3,92;1.312;5.130
2018-10-02;3,915;3,97;3,91;3,92;7.070;27.689
2018-10-01;3,875;3,91;3,87;3,90;11.069;42.990
2018-09-28;3,97;3,97;3,875;3,90;10.887;42.563
2018-09-27;3,95;3,995;3,90;3,925;9.599;37.739
2018-09-26;3,90;3,965;3,90;3,95;7.958;31.227
2018-09-25;3,905;3,905;3,905;3,905;1;4
2018-09-24;3,865;3,96;3,865;3,93;31.231;122.161
2018-09-21;4,055;4,075;3,85;3,85;82.002;316.329
2018-09-20;3,985;4,035;3,985;4,00;1.087;4.336
2018-09-19;4,02;4,02;3,98;3,98;4.784;19.232
2018-09-18;4,025;4,025;4,01;4,01;7.081;28.459
2018-09-17;4,055;4,055;4,02;4,025;3.833;15.412
2018-09-14;4,035;4,035;4,015;4,03;1.581;6.376
2018-09-13;4,02;4,035;4,02;4,02;8.233;33.105
2018-09-12;3,99;4,015;3,985;4,015;2.254;9.025
2018-09-11;4,04;4,05;3,985;4,05;8.262;33.374
2018-09-10;4,04;4,06;4,04;4,045;594;2.406
2018-09-07;4,03;4,03;4,03;4,03;1;4
2018-09-06;4,025;4,06;4,025;4,045;12.459;50.296
2018-09-05;4,035;4,035;3,97;3,975;5.731;22.974
2018-09-04;4,015;4,055;3,995;4,03;7.416;29.710
2018-09-03;4,02;4,04;4,015;4,04;5.432;21.854
2018-08-31;3,98;4,015;3,98;4,015;6.503;25.955
2018-08-30;4,02;4,02;3,995;3,995;362;1.449
2018-08-29;4,00;4,04;3,995;4,02;2.071;8.287
2018-08-28;3,96;3,995;3,96;3,98;877;3.502
2018-08-27;3,985;4,00;3,75;4,00;44.309;174.372
2018-08-24;4,005;4,005;3,96;3,985;9.282;36.944
2018-08-23;4,005;4,03;4,005;4,03;18;72
2018-08-22;3,98;4,015;3,98;4,015;108;430
2018-08-21;3,985;4,02;3,985;4,02;280;1.116
2018-08-20;4,01;4,01;3,98;4,00;23.316;93.289
2018-08-17;4,055;4,115;4,05;4,07;1.670;6.832
2018-08-16;4,05;4,055;4,02;4,055;2.630;10.617
2018-08-15;4,10;4,10;4,05;4,05;7.965;32.444
2018-08-14;3,965;4,105;3,965;4,07;44.462;179.887
2018-08-13;3,90;3,97;3,90;3,93;8.504;33.458
2018-08-10;3,80;3,945;3,80;3,905;8.583;33.277
2018-08-09;3,82;3,855;3,74;3,855;14.197;53.818
2018-08-08;3,855;3,87;3,82;3,845;12.411;47.735
2018-08-07;4,03;4,03;3,845;3,865;20.274;79.328
2018-08-06;4,09;4,14;4,025;4,065;6.133;25.073
2018-08-03;4,05;4,15;4,05;4,15;8.045;32.626
2018-08-02;4,075;4,075;4,075;4,075;0;0
2018-08-01;4,045;4,065;4,045;4,065;13;53
2018-07-31;4,09;4,15;4,09;4,15;78;319
2018-07-30;4,15;4,16;4,12;4,15;6.000;24.896
2018-07-27;4,10;4,20;4,09;4,155;15.164;63.145
2018-07-26;4,12;4,18;4,08;4,12;5.268;21.752
2018-07-25;4,06;4,15;4,045;4,13;19.725;80.369
2018-07-24;4,04;4,04;4,04;4,04;0;0
2018-07-23;4,01;4,05;4,01;4,05;8.544;34.298
2018-07-20;4,08;4,08;3,975;4,02;809;3.268
2018-07-19;3,96;4,015;3,95;4,015;3.106;12.281
2018-07-18;4,02;4,02;4,02;4,02;0;0
2018-07-17;4,02;4,02;4,02;4,02;0;0
2018-07-16;3,985;4,00;3,985;4,00;4;16
2018-07-13;4,025;4,05;4,025;4,05;1.347;5.424
2018-07-12;3,95;4,09;3,95;4,09;8.682;34.310
2018-07-11;3,96;3,98;3,95;3,965;5.446;21.528
2018-07-10;3,9825;3,9825;3,9825;3,9825;0;0
2018-07-09;3,975;4,01;3,975;4,01;7;28
2018-07-06;3,965;4,015;3,965;4,015;304;1.213
2018-07-05;3,95;4,15;3,95;3,96;17.969;73.205
2018-07-04;3,95;3,985;3,95;3,95;707;2.812
2018-07-03;3,95;3,95;3,95;3,95;507;2.003
2018-07-02;4,07;4,07;3,97;3,97;340;1.365
2018-06-29;4,04;4,04;3,975;3,975;815;3.292
2018-06-28;3,95;4,08;3,95;4,015;8.440;34.203
2018-06-27;3,99;4,06;3,955;3,955;6.302;25.148
2018-06-26;3,97;3,97;3,925;3,96;4.121;16.356
2018-06-25;3,925;3,97;3,92;3,94;4.161;16.350
2018-06-22;3,95;3,98;3,92;3,94;4.197;16.548
2018-06-21;4,10;4,10;3,93;3,98;28.882;115.717
2018-06-20;4,10;4,165;4,10;4,10;11.945;49.205
2018-06-19;4,12;4,13;4,10;4,10;7.819;32.084
2018-06-18;4,125;4,125;4,12;4,12;1.275;5.253
2018-06-15;4,10;4,14;4,10;4,125;17.286;71.306
2018-06-14;4,18;4,205;4,10;4,14;3.295;13.573
2018-06-13;4,12;4,12;4,08;4,12;3.048;12.455
2018-06-12;4,09;4,22;4,09;4,14;6.330;26.223
2018-06-11;4,22;4,245;4,18;4,185;2.961;12.447
2018-06-08;4,14;4,175;4,14;4,16;8.535;35.416
2018-06-07;4,25;4,265;4,145;4,145;13.310;55.772
2018-06-06;4,21;4,335;4,21;4,25;7.513;31.902
2018-06-05;4,25;4,295;4,23;4,23;2.189;9.302
2018-06-04;4,195;4,195;4,19;4,19;2.150;9.018
2018-06-01;4,27;4,35;4,21;4,25;17.272;74.305
2018-05-31;4,22;4,27;4,18;4,205;13.726;58.056
2018-05-30;4,195;4,23;4,12;4,16;8.346;34.662
2018-05-29;4,14;4,235;4,12;4,185;12.011;49.628
2018-05-28;4,30;4,30;4,20;4,20;3.103;13.231
2018-05-25;4,32;4,35;4,27;4,27;12.375;53.534
2018-05-24;4,22;4,395;4,215;4,33;26.400;112.721
2018-05-23;4,235;4,24;4,205;4,235;4.918;20.718
2018-05-22;4,215;4,265;4,195;4,24;5.225;22.015
2018-05-18;4,21;4,245;4,21;4,23;958;4.054
2018-05-17;4,24;4,245;4,24;4,245;1.980;8.395
2018-05-16;4,285;4,285;4,19;4,24;609;2.554
2018-05-15;4,295;4,295;4,19;4,225;5.768;24.251
2018-05-14;4,275;4,335;4,275;4,30;106;454
2018-05-11;4,22;4,335;4,22;4,335;1.694;7.234
2018-05-10;4,25;4,27;4,25;4,27;500;2.129
2018-05-09;4,215;4,275;4,215;4,24;1.796;7.574
2018-05-08;4,195;4,245;4,145;4,21;14.955;62.647
2018-05-07;4,195;4,21;4,135;4,20;27.615;115.783
2018-05-04;4,12;4,285;4,12;4,20;14.537;61.115
2018-05-03;4,14;4,15;4,10;4,12;7.484;30.954
2018-05-02;4,18;4,265;4,10;4,10;5.649;23.661
2018-04-30;4,12;4,135;4,09;4,12;18.243;75.119
2018-04-27;4,09;4,09;4,06;4,06;4.880;19.915
2018-04-26;4,035;4,08;4,035;4,05;3.568;14.436
2018-04-25;4,04;4,045;4,00;4,02;17.863;71.983
2018-04-24;4,06;4,125;4,05;4,05;763;3.101
2018-04-23;4,13;4,13;4,06;4,06;5.299;21.565
2018-04-20;4,005;4,11;4,005;4,075;8.251;33.794
2018-04-19;4,085;4,10;4,015;4,025;13.623;55.653
2018-04-18;4,065;4,10;4,055;4,055;5.156;20.931
2018-04-17;4,07;4,11;4,00;4,00;15.359;62.509
2018-04-16;3,975;4,095;3,975;4,04;22.004;88.270
2018-04-13;3,925;4,00;3,925;3,96;102.147;405.254
2018-04-12;3,905;3,93;3,90;3,93;19.416;76.146
2018-04-11;3,93;3,955;3,91;3,91;24.088;94.371
