Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;0,07;0,084;0,0515;0,084;35.840;2.631
2019-08-13;0,07;0,08;0,07;0,08;52.141;3.650
2019-08-12;0,0515;0,07;0,0515;0,07;26.128;1.729
2019-08-09;0,055;0,055;0,0515;0,0515;5.763;312
2019-08-08;0,0515;0,06;0,0515;0,0515;3.631;213
2019-08-07;0,0515;0,0515;0,0515;0,0515;46;2
2019-08-06;0,0515;0,0515;0,0515;0,0515;239;12
2019-08-05;0,0515;0,0645;0,0515;0,0515;2.006;116
2019-08-02;0,051;0,0645;0,051;0,0645;4.306;278
2019-08-01;0,051;0,06;0,051;0,051;11.906;714
2019-07-31;0,0525;0,0525;0,051;0,051;14.512;754
2019-07-30;0,0575;0,0655;0,0575;0,0575;30.446;1.929
2019-07-29;0,0575;0,0575;0,057;0,0575;1.612;93
2019-07-26;0,0555;0,07;0,0555;0,07;3.167;205
2019-07-25;0,0555;0,07;0,0555;0,0555;1.146;78
2019-07-24;0,06;0,06;0,0555;0,0555;22.162;1.316
2019-07-23;0,0605;0,0605;0,0605;0,0605;5.257;318
2019-07-22;0,0605;0,0605;0,0605;0,0605;4.448;269
2019-07-19;0,0605;0,07;0,0605;0,07;3.463;218
2019-07-18;0,0685;0,07;0,0605;0,0605;4.193;256
2019-07-17;0,0605;0,0815;0,0605;0,0685;31.942;2.216
2019-07-16;0,0605;0,08;0,0605;0,0605;10.515;721
2019-07-15;0,0605;0,0605;0,0605;0,0605;627;38
2019-07-12;0,0605;0,0605;0,0605;0,0605;11;1
2019-07-11;0,0819;0,0819;0,0601;0,0601;16.062;971
2019-07-10;0,0819;0,0819;0,0601;0,0601;3.800;309
2019-07-09;0,0601;0,07;0,0601;0,07;4.009;281
2019-07-08;0,07;0,08;0,07;0,07;4.110;328
2019-07-05;0,0601;0,0601;0,0601;0,0601;119;7
2019-07-04;0,0601;0,0601;0,0601;0,0601;2.104;126
2019-07-03;0,069;0,069;0,0511;0,06;121;6
2019-07-02;0,06;0,0799;0,06;0,0799;1.329;106
2019-07-01;0,06;0,06;0,0511;0,0511;10.802;641
2019-06-28;0,062;0,08;0,062;0,062;24.193;1.902
2019-06-27;0,052;0,052;0,052;0,052;11;1
2019-06-26;0,052;0,052;0,052;0,052;11;1
2019-06-25;0,0701;0,0726;0,0701;0,0726;1.673;117
2019-06-24;0,0829;0,0829;0,0645;0,0745;22.245;1.539
2019-06-21;0,065;0,08;0,065;0,08;43.832;3.491
2019-06-20;0,0501;0,075;0,0491;0,0491;25.613;1.408
2019-06-19;0,06;0,06;0,06;0,06;52;3
2019-06-18;0,06;0,06;0,0501;0,0501;102;5
2019-06-17;0,06;0,06;0,06;0,06;209;13
2019-06-14;0,06;0,0839;0,06;0,0829;9.063;752
2019-06-13;0,06;0,0839;0,0501;0,0501;10.114;630
2019-06-12;0,06;0,0849;0,06;0,0849;498;42
2019-06-11;0,0491;0,0491;0,0491;0,0491;2.116;104
2019-06-10;0,06;0,06;0,06;0,06;744;45
2019-06-07;0,065;0,085;0,06;0,06;10.113;857
2019-06-06;0,0849;0,0849;0,05;0,065;1.739;133
2019-06-05;0,0491;0,075;0,0491;0,055;40.009;3.000
2019-06-04;0,0491;0,0491;0,0491;0,0491;409;20
2019-06-03;0,0621;0,0621;0,0491;0,0491;32.435;1.992
2019-05-31;0,0818;0,0818;0,0612;0,0621;17;1
2019-05-29;0,0612;0,0621;0,0612;0,0612;25.051;1.542
2019-05-28;0,0849;0,0849;0,0612;0,0612;939;78
2019-05-27;0,0612;0,0612;0,0612;0,0612;101;6
2019-05-24;0,0612;0,0849;0,0612;0,0849;308;26
2019-05-23;0,0616;0,0616;0,0616;0,0616;10;1
2019-05-22;0,08;0,08;0,0616;0,0616;2.716;209
2019-05-21;0,078;0,08;0,0612;0,08;27.942;2.204
2019-05-20;0,088;0,088;0,0612;0,0612;4.905;303
2019-05-17;0,0612;0,0612;0,0612;0,0612;45;3
2019-05-16;0,0899;0,0899;0,0612;0,0612;573;41
2019-05-15;0,0612;0,0899;0,0612;0,0612;655;43
2019-05-14;0,0612;0,0612;0,0612;0,0612;720;44
2019-05-13;0,0612;0,0612;0,0612;0,0612;2.439;149
2019-05-10;0,0612;0,0612;0,0612;0,0612;154;9
2019-05-09;0,07;0,089;0,0611;0,0641;5.753;456
2019-05-08;0,0699;0,075;0,0611;0,067;21.003;1.441
2019-05-07;0,0602;0,0899;0,0602;0,0602;25.184;1.962
2019-05-06;0,0601;0,0899;0,0601;0,0601;186;16
2019-05-03;0,0979;0,0979;0,07;0,07;284;23
2019-05-02;0,0601;0,07;0,0601;0,0601;750;45
2019-04-30;0,0701;0,0989;0,0701;0,0989;13;1
2019-04-29;0,082;0,0989;0,0701;0,0701;3.727;303
2019-04-26;0,082;0,099;0,082;0,099;1.056;104
2019-04-25;0,0821;0,099;0,056;0,076;7.683;591
2019-04-24;0,0821;0,0989;0,0821;0,0989;3;0
2019-04-23;0,082;0,1298;0,066;0,066;85.809;6.316
