Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2018-11-05;99,35;99,35;99,35;99,35;0;
2018-11-02;99,80;99,82;99,80;99,80;20.000;19.964
2018-11-01;99,80;99,80;99,80;99,80;0;
2018-10-31;99,80;99,80;99,80;99,80;0;
2018-10-30;99,80;99,80;99,80;99,80;0;
2018-10-29;99,80;99,80;99,80;99,80;0;
2018-10-26;99,80;99,80;99,80;99,80;0;
2018-10-25;99,80;99,80;99,80;99,80;0;
2018-10-24;99,80;99,85;99,80;99,85;0;
2018-10-23;99,80;99,85;99,80;99,85;0;
2018-10-22;100,008;100,008;99,90;99,90;0;
2018-10-19;100,019;100,019;100,019;100,019;0;
2018-10-18;100,029;100,029;99,80;99,85;30.000;29.955
2018-10-17;100,061;100,061;99,65;99,80;0;
2018-10-16;100,06;100,071;99,871;99,871;0;
2018-10-15;100,076;100,076;100,07;100,07;0;
2018-10-12;100,07;100,08;100,07;100,08;0;
2018-10-11;99,552;99,65;99,552;99,65;0;
2018-10-10;99,567;99,85;99,567;99,85;0;
2018-10-09;100,069;100,076;100,069;100,076;0;
2018-10-08;100,072;100,077;100,072;100,077;0;
2018-10-05;100,068;100,075;100,068;100,073;0;
2018-10-04;100,085;100,085;100,071;100,073;0;
2018-10-02;99,679;100,025;99,679;100,025;0;
2018-10-01;99,675;99,675;99,673;99,673;0;
2018-09-28;100,075;100,075;100,075;100,075;0;
2018-09-27;99,662;100,075;99,662;100,075;70.000;70.015
2018-09-26;100,20;100,20;100,125;100,125;0;
2018-09-25;99,795;100,20;99,795;100,20;0;
2018-09-24;99,788;100,20;99,788;100,20;0;
2018-09-21;100,20;100,20;100,20;100,20;0;
2018-09-20;100,20;100,20;100,20;100,20;0;
2018-09-19;100,20;100,20;100,20;100,20;0;
2018-09-18;99,749;100,20;99,749;100,20;0;
2018-09-17;100,20;100,20;100,20;100,20;0;
2018-09-14;99,727;100,20;99,727;100,20;0;
2018-09-13;100,20;100,20;99,22;99,222;0;
2018-09-12;100,20;100,20;100,20;100,20;0;
2018-09-11;99,50;100,20;99,50;100,20;6.000;6.012
2018-09-10;99,191;99,50;99,19;99,50;0;
2018-09-07;99,364;100,30;99,361;100,30;15.000;15.045
2018-09-06;100,20;100,50;100,20;100,25;50.000;50.125
2018-09-05;100,20;100,25;100,20;100,20;25.000;25.063
2018-09-04;100,20;100,25;100,20;100,20;25.000;25.063
2018-09-03;100,20;100,20;100,20;100,20;0;
2018-08-31;100,25;100,25;100,25;100,25;0;
2018-08-30;100,45;100,45;100,45;100,45;0;
2018-08-29;100,45;100,45;100,45;100,45;0;
2018-08-28;100,25;100,25;100,25;100,25;0;
2018-08-27;100,25;100,25;100,25;100,25;0;
2018-08-24;100,35;100,35;100,35;100,35;0;
2018-08-23;100,35;100,35;100,35;100,35;0;
2018-08-22;100,35;100,35;100,25;100,35;0;
2018-08-21;100,55;100,55;100,25;100,25;0;
2018-08-20;100,55;100,55;100,55;100,55;20.000;20.110
2018-08-17;100,50;100,55;100,25;100,25;15.000;15.083
2018-08-16;100,50;100,50;100,50;100,50;0;
2018-08-15;100,50;101,266;100,50;100,50;0;
2018-08-14;100,50;100,50;100,50;100,50;0;
2018-08-13;100,50;100,50;100,50;100,50;0;
2018-08-10;100,20;100,50;100,20;100,50;0;
2018-08-09;100,50;100,50;100,50;100,50;0;
2018-08-08;100,50;100,50;100,50;100,50;0;
2018-08-07;100,50;100,50;100,50;100,50;0;
2018-08-06;100,20;100,50;100,20;100,50;52.000;52.260
2018-08-03;100,55;100,55;100,55;100,55;25.000;25.138
2018-08-02;100,55;100,55;100,55;100,55;0;
2018-08-01;100,55;100,55;100,55;100,55;25.000;25.138
2018-07-31;100,60;100,60;100,55;100,55;10.000;10.060
2018-07-30;100,55;100,60;100,55;100,60;133.000;133.783
2018-07-27;100,20;100,55;100,20;100,55;45.000;45.248
2018-07-26;100,10;100,20;100,10;100,20;0;
2018-07-25;100,60;100,60;100,10;100,10;0;
2018-07-24;100,50;100,62;100,50;100,60;213.000;214.280
2018-07-23;100,45;100,47;100,45;100,45;10.000;10.047
2018-07-20;100,45;100,60;100,45;100,60;117.000;117.647
2018-07-19;100,45;100,50;100,45;100,45;7.000;7.035
2018-07-18;100,45;100,50;100,45;100,45;40.000;40.199
2018-07-17;100,10;100,45;100,10;100,45;0;
2018-07-16;100,45;100,47;100,45;100,45;135.000;135.614
2018-07-13;100,45;100,45;100,45;100,45;0;
2018-07-12;100,45;100,47;100,45;100,47;5.000;5.024
2018-07-11;100,45;100,45;100,45;100,45;0;
2018-07-10;100,10;100,45;100,10;100,45;0;
2018-07-09;100,40;100,40;100,40;100,40;0;
2018-07-06;100,35;100,40;100,35;100,40;5.000;5.019
2018-07-05;100,35;100,35;100,35;100,35;16.000;16.056
