Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2018-12-14;104,50;104,50;104,50;104,50;0;0
2018-12-13;104,50;104,50;104,50;104,50;0;0
2018-12-12;104,50;104,50;104,50;104,50;0;0
2018-12-11;104,50;104,50;104,50;104,50;0;0
2018-12-10;104,50;104,50;104,50;104,50;0;0
2018-12-07;104,50;104,50;104,50;104,50;0;0
2018-12-06;104,50;104,50;104,50;104,50;0;0
2018-12-05;104,50;104,50;104,50;104,50;0;0
2018-12-04;104,50;104,50;104,50;104,50;0;0
2018-12-03;104,50;104,50;104,50;104,50;0;0
2018-11-30;104,50;104,50;104,50;104,50;0;0
2018-11-29;104,50;104,50;104,50;104,50;0;0
2018-11-28;104,50;104,50;104,50;104,50;0;0
2018-11-27;104,50;104,50;104,50;104,50;0;0
2018-11-26;104,50;104,50;104,50;104,50;0;0
2018-11-23;104,50;104,50;104,50;104,50;0;0
2018-11-22;104,50;104,50;104,50;104,50;0;0
2018-11-21;104,50;104,50;104,50;104,50;0;0
2018-11-20;104,50;104,50;104,50;104,50;0;0
2018-11-19;104,50;104,50;104,50;104,50;0;0
2018-11-16;104,50;104,50;104,50;104,50;0;0
2018-11-15;104,50;104,50;104,50;104,50;0;0
2018-11-14;104,50;104,50;104,50;104,50;0;0
2018-11-13;104,50;104,50;104,50;104,50;0;0
2018-11-12;104,50;104,50;104,50;104,50;0;0
2018-11-09;104,50;104,50;104,50;104,50;0;0
2018-11-08;104,50;104,50;104,50;104,50;0;0
2018-11-07;104,50;104,50;104,50;104,50;0;0
2018-11-06;104,50;104,50;104,50;104,50;0;0
2018-11-05;104,50;104,50;104,50;104,50;0;0
2018-11-02;104,50;104,50;104,50;104,50;0;0
2018-11-01;104,50;104,50;104,50;104,50;0;0
2018-10-31;104,50;104,50;104,50;104,50;0;0
2018-10-30;104,50;104,50;104,50;104,50;0;0
2018-10-29;104,50;104,50;104,50;104,50;0;0
2018-10-26;104,50;104,50;104,50;104,50;0;0
2018-10-25;104,50;104,50;104,50;104,50;0;0
2018-10-24;104,50;104,50;104,50;104,50;0;0
2018-10-22;104,50;104,50;104,50;104,50;0;0
2018-10-19;104,50;104,50;104,50;104,50;0;0
2018-10-18;104,50;104,50;104,50;104,50;0;0
2018-10-17;104,50;104,50;104,50;104,50;0;0
2018-10-16;104,50;104,50;104,50;104,50;0;0
2018-10-15;104,50;104,50;104,50;104,50;0;0
2018-10-12;104,50;104,50;104,50;104,50;0;0
2018-10-11;104,50;104,50;104,50;104,50;0;0
2018-10-10;104,50;104,50;104,50;104,50;0;0
2018-10-09;104,50;104,50;104,50;104,50;0;0
2018-10-08;104,50;104,50;104,50;104,50;0;0
2018-10-05;104,50;104,50;104,50;104,50;0;0
2018-10-04;104,50;104,50;104,50;104,50;0;0
2018-10-02;104,50;104,50;104,50;104,50;0;0
2018-10-01;104,50;104,50;104,50;104,50;0;0
2018-09-28;104,50;104,50;104,50;104,50;0;0
2018-09-27;104,50;104,50;104,50;104,50;0;0
2018-09-26;104,50;104,50;104,50;104,50;0;0
2018-09-25;104,50;104,50;104,50;104,50;0;0
2018-09-24;104,50;104,50;104,50;104,50;0;0
2018-09-21;104,50;104,50;104,50;104,50;0;0
2018-09-20;104,50;104,50;104,50;104,50;0;0
2018-09-19;104,50;104,50;104,50;104,50;0;0
2018-09-18;104,50;104,50;104,50;104,50;0;0
2018-09-17;104,50;104,50;104,50;104,50;0;0
2018-09-14;104,50;104,50;104,50;104,50;0;0
2018-09-13;104,50;104,50;104,50;104,50;0;0
2018-09-12;104,50;104,50;104,50;104,50;0;0
2018-09-11;104,50;104,50;104,50;104,50;0;0
2018-09-10;104,50;104,50;104,50;104,50;0;0
2018-09-07;104,50;104,50;104,50;104,50;0;0
2018-09-06;104,50;104,50;104,50;104,50;0;0
2018-09-05;104,50;104,50;104,50;104,50;0;0
2018-09-04;104,50;104,50;104,50;104,50;0;0
2018-09-03;104,50;104,50;104,50;104,50;0;0
2018-08-31;104,50;104,50;104,50;104,50;0;0
2018-08-30;104,50;104,50;104,50;104,50;0;0
2018-08-29;104,50;104,50;104,50;104,50;0;0
2018-08-28;104,50;104,50;104,50;104,50;0;0
2018-08-27;104,50;104,50;104,50;104,50;0;0
2018-08-24;104,50;104,50;104,50;104,50;0;0
2018-08-23;104,50;104,50;104,50;104,50;0;0
2018-08-22;104,50;104,50;104,50;104,50;0;0
2018-08-21;104,50;104,50;104,50;104,50;0;0
2018-08-20;104,50;104,50;104,50;104,50;0;0
2018-08-17;104,50;104,50;104,50;104,50;0;0
2018-08-16;104,50;104,50;104,50;104,50;0;0
2018-08-15;104,50;104,50;104,50;104,50;0;0
2018-08-14;104,50;104,50;104,50;104,50;0;0
2018-08-13;104,50;104,50;104,50;104,50;0;0
2018-08-10;104,50;104,50;104,50;104,50;0;0
2018-08-09;104,50;104,50;104,50;104,50;0;0
2018-08-08;104,50;104,50;104,50;104,50;0;0
2018-08-07;104,50;104,50;104,50;104,50;0;0
2018-08-06;104,50;104,50;104,50;104,50;0;0
2018-08-03;104,50;104,50;104,50;104,50;0;0
2018-08-02;104,50;104,50;104,50;104,50;0;0
2018-08-01;104,50;104,50;104,50;104,50;0;0
2018-07-31;104,50;104,50;104,50;104,50;0;0
2018-07-30;104,50;104,50;104,50;104,50;0;0
2018-07-27;104,50;104,50;104,50;104,50;0;0
2018-07-26;104,50;104,50;104,50;104,50;0;0
2018-07-25;104,50;104,50;104,50;104,50;0;0
2018-07-24;104,50;104,50;104,50;104,50;0;0
2018-07-23;104,50;104,50;104,50;104,50;0;0
2018-07-20;104,50;104,50;104,50;104,50;0;0
2018-07-19;104,50;104,50;104,50;104,50;0;0
2018-07-18;104,50;104,50;104,50;104,50;0;0
2018-07-17;104,50;104,50;104,50;104,50;0;0
2018-07-16;104,50;104,50;104,50;104,50;0;0
2018-07-13;104,50;104,50;104,50;104,50;0;0
2018-07-12;104,50;104,50;104,50;104,50;0;0
2018-07-11;104,50;104,50;104,50;104,50;0;0
2018-07-10;104,50;104,50;104,50;104,50;0;0
2018-07-09;104,50;104,50;104,50;104,50;0;0
2018-07-06;104,50;104,50;104,50;104,50;0;0
2018-07-05;104,50;104,50;104,50;104,50;0;0
2018-07-04;104,50;104,50;104,50;104,50;0;0
2018-07-03;104,50;104,50;104,50;104,50;0;0
2018-07-02;104,50;104,50;104,50;104,50;0;0
2018-06-29;104,50;104,50;104,50;104,50;0;0
2018-06-28;104,50;104,50;104,50;104,50;0;0
2018-06-27;104,50;104,50;104,50;104,50;0;0
2018-06-26;104,50;104,50;104,50;104,50;0;0
2018-06-25;104,50;104,50;104,50;104,50;0;0
2018-06-22;104,50;104,50;104,50;104,50;0;0
2018-06-21;104,50;104,50;104,50;104,50;0;0
2018-06-20;104,50;104,50;104,50;104,50;0;0
2018-06-19;104,50;104,50;104,50;104,50;0;0
2018-06-18;104,50;104,50;104,50;104,50;0;0
2018-06-15;104,50;104,50;104,50;104,50;0;0
2018-06-14;104,50;104,50;104,50;104,50;0;0
2018-06-13;104,50;104,50;104,50;104,50;0;0
2018-06-12;104,50;104,50;104,50;104,50;0;0
2018-06-11;104,50;104,50;104,50;104,50;0;0
2018-06-08;104,50;104,50;104,50;104,50;0;0
2018-06-07;104,50;104,50;104,50;104,50;0;0
2018-06-06;104,50;104,50;104,50;104,50;0;0
2018-06-05;104,50;104,50;104,50;104,50;0;0
2018-06-04;104,50;104,50;104,50;104,50;0;0
2018-06-01;104,50;104,50;104,50;104,50;0;0
2018-05-31;104,50;104,50;104,50;104,50;0;0
2018-05-30;104,50;104,50;104,50;104,50;0;0
2018-05-29;104,50;104,50;104,50;104,50;0;0
2018-05-28;104,50;104,50;104,50;104,50;0;0
2018-05-25;104,50;104,50;104,50;104,50;0;0
2018-05-24;104,50;104,50;104,50;104,50;0;0
2018-05-23;104,50;104,50;104,50;104,50;0;0
2018-05-22;104,50;104,50;104,50;104,50;0;0
2018-05-18;104,50;104,50;104,50;104,50;0;0
2018-05-17;104,50;104,50;104,50;104,50;0;0
2018-05-16;104,50;104,50;104,50;104,50;0;0
2018-05-15;104,50;104,50;104,50;104,50;0;0
2018-05-14;104,50;104,50;104,50;104,50;0;0
2018-05-11;104,50;104,50;104,50;104,50;0;0
2018-05-10;104,50;104,50;104,50;104,50;0;0
2018-05-09;104,50;104,50;104,50;104,50;0;0
2018-05-08;104,50;104,50;104,50;104,50;0;0
2018-05-07;104,50;104,50;104,50;104,50;0;0
2018-05-04;104,50;104,50;104,50;104,50;0;0
2018-05-03;104,50;104,50;104,50;104,50;0;0
2018-05-02;104,50;104,50;104,50;104,50;0;0
2018-04-30;104,50;104,50;104,50;104,50;0;0
2018-04-27;104,50;104,50;104,50;104,50;0;0
2018-04-26;104,50;104,50;104,50;104,50;0;0
2018-04-25;104,50;104,50;104,50;104,50;0;0
2018-04-24;104,50;104,50;104,50;104,50;0;0
2018-04-23;104,50;104,50;104,50;104,50;0;0
2018-04-20;104,50;104,50;104,50;104,50;0;0
2018-04-19;104,50;104,50;104,50;104,50;0;0
2018-04-18;104,50;104,50;104,50;104,50;0;0
2018-04-17;104,50;104,50;104,50;104,50;0;0
2018-04-16;104,50;104,50;104,50;104,50;0;0
2018-04-13;104,50;104,50;104,50;104,50;0;0
2018-04-12;104,50;104,50;104,50;104,50;0;0
2018-04-11;104,50;104,50;104,50;104,50;0;0
2018-04-10;104,50;104,50;104,50;104,50;0;0
2018-04-09;104,50;104,50;104,50;104,50;0;0
2018-04-06;104,50;104,50;104,50;104,50;0;0
2018-04-05;104,50;104,50;104,50;104,50;0;0
2018-04-04;104,50;104,50;104,50;104,50;0;0
2018-04-03;104,50;104,50;104,50;104,50;0;0
2018-03-29;104,50;104,50;104,50;104,50;0;0
2018-03-28;104,50;104,50;104,50;104,50;0;0
2018-03-27;104,50;104,50;104,50;104,50;0;0
2018-03-26;104,50;104,50;104,50;104,50;0;0
2018-03-23;104,50;104,50;104,50;104,50;0;0
2018-03-22;104,50;104,50;104,50;104,50;0;0
2018-03-21;104,50;104,50;104,50;104,50;0;0
2018-03-20;104,50;104,50;104,50;104,50;0;0
2018-03-19;104,50;104,50;104,50;104,50;0;0
2018-03-16;104,50;104,50;104,50;104,50;0;0
2018-03-15;104,50;104,50;104,50;104,50;0;0
2018-03-14;104,50;104,50;104,50;104,50;0;0
2018-03-13;104,50;104,50;104,50;104,50;0;0
2018-03-12;104,50;104,50;104,50;104,50;0;0
2018-03-09;104,50;104,50;104,50;104,50;0;0
2018-03-08;104,50;104,50;104,50;104,50;0;0
2018-03-07;104,50;104,50;104,50;104,50;0;0
2018-03-06;104,50;104,50;104,50;104,50;0;0
2018-03-05;104,50;104,50;104,50;104,50;0;0
2018-03-02;104,50;104,50;104,50;104,50;0;0
2018-03-01;104,50;104,50;104,50;104,50;0;0
2018-02-28;104,50;104,50;104,50;104,50;0;0
2018-02-27;104,50;104,50;104,50;104,50;0;0
2018-02-26;104,50;104,50;104,50;104,50;0;0
2018-02-23;104,50;104,50;104,50;104,50;0;0
2018-02-22;104,50;104,50;104,50;104,50;0;0
2018-02-21;104,50;104,50;104,50;104,50;0;0
2018-02-20;104,50;104,50;104,50;104,50;0;0
2018-02-19;104,50;104,50;104,50;104,50;0;0
2018-02-16;104,50;104,50;104,50;104,50;0;0
2018-02-15;104,50;104,50;104,50;104,50;0;0
2018-02-14;104,50;104,50;104,50;104,50;0;0
2018-02-13;104,50;104,50;104,50;104,50;0;0
2018-02-12;104,50;104,50;104,50;104,50;0;0
2018-02-09;104,50;104,50;104,50;104,50;0;0
2018-02-08;104,50;104,50;104,50;104,50;0;0
2018-02-07;104,50;104,50;104,50;104,50;0;0
2018-02-06;104,50;104,50;104,50;104,50;0;0
2018-02-05;104,50;104,50;104,50;104,50;0;0
2018-02-02;104,50;104,50;104,50;104,50;0;0
2018-02-01;104,50;104,50;104,50;104,50;0;0
2018-01-31;104,50;104,50;104,50;104,50;0;0
2018-01-30;104,50;104,50;104,50;104,50;0;0
2018-01-29;104,50;104,50;104,50;104,50;0;0
2018-01-26;104,50;104,50;104,50;104,50;0;0
2018-01-25;104,50;104,50;104,50;104,50;0;0
2018-01-24;104,50;104,50;104,50;104,50;0;0
2018-01-23;104,50;104,50;104,50;104,50;0;0
2018-01-22;104,50;104,50;104,50;104,50;0;0
2018-01-19;104,50;104,50;104,50;104,50;0;0
2018-01-18;104,50;104,50;104,50;104,50;0;0
2018-01-17;104,50;104,50;104,50;104,50;0;0
2018-01-16;104,50;104,50;104,50;104,50;0;0
2018-01-15;104,50;104,50;104,50;104,50;0;0
2018-01-12;104,50;104,50;104,50;104,50;0;0
2018-01-11;104,50;104,50;104,50;104,50;0;0
2018-01-10;104,50;104,50;104,50;104,50;0;0
2018-01-09;104,50;104,50;104,50;104,50;0;0
2018-01-08;104,50;104,50;104,50;104,50;0;0
2018-01-05;104,50;104,50;104,50;104,50;0;0
2018-01-04;104,50;104,50;104,50;104,50;0;0
2018-01-03;104,50;104,50;104,50;104,50;0;0
2018-01-02;104,50;104,50;104,50;104,50;0;0
2017-12-29;104,50;104,50;104,50;104,50;0;0
2017-12-28;104,50;104,50;104,50;104,50;0;0
2017-12-27;104,50;104,50;104,50;104,50;0;0
2017-12-22;104,50;104,50;104,50;104,50;0;0
2017-12-21;104,50;104,50;104,50;104,50;0;0
2017-12-20;104,50;104,50;104,50;104,50;0;0
2017-12-19;104,50;104,50;104,50;104,50;0;0
2017-12-18;104,50;104,50;104,50;104,50;0;0
2017-12-15;104,50;104,50;104,50;104,50;0;0
2017-12-14;104,50;104,50;104,50;104,50;0;0
2017-12-13;104,50;104,50;104,50;104,50;0;0
2017-12-12;104,50;104,50;104,50;104,50;0;0
2017-12-11;104,50;104,50;104,50;104,50;0;0
2017-12-08;104,50;104,50;104,50;104,50;0;0
2017-12-07;104,50;104,50;104,50;104,50;0;0
2017-12-06;104,50;104,50;104,50;104,50;0;0
2017-12-05;104,50;104,50;104,50;104,50;0;0
2017-12-04;104,50;104,50;104,50;104,50;0;0
2017-12-01;104,50;104,50;104,50;104,50;0;0
