Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;0,006;0,006;0,0052;0,0052;73.500;406
2019-07-18;0,007;0,007;0,0062;0,0062;39.750;247
2019-07-15;0,004;0,007;0,004;0,007;84.285;547
2019-07-10;0,0072;0,0072;0,0072;0,0072;100;1
2019-07-04;0,007;0,007;0,007;0,007;58.000;406
2019-07-01;0,013;0,013;0,013;0,013;20.000;260
2019-06-26;0,0072;0,0072;0,0072;0,0072;50.000;360
2019-06-25;0,0118;0,0118;0,0118;0,0118;5.600;66
2019-06-24;0,007;0,007;0,007;0,007;430;3
2019-06-21;0,008;0,008;0,008;0,008;10.000;80
2019-06-07;0,013;0,013;0,005;0,005;7.050;51
2019-06-03;0,011;0,011;0,011;0,011;1.500;17
2019-05-31;0,006;0,006;0,006;0,006;500;3
2019-05-29;0,013;0,013;0,013;0,013;10.000;130
2019-05-28;0,0142;0,0142;0,0106;0,0106;7.680;105
2019-05-27;0,0082;0,0082;0,0082;0,0082;10.000;82
2019-05-22;0,0082;0,0126;0,0082;0,0126;127.500;1.123
2019-05-20;0,0072;0,0072;0,0072;0,0072;3.000;22
2019-05-16;0,0094;0,0094;0,0094;0,0094;1.000;9
2019-05-15;0,009;0,009;0,009;0,009;48.573;437
2019-05-14;0,011;0,011;0,011;0,011;1.829;20
2019-05-13;0,0106;0,011;0,01;0,011;15.790;169
2019-05-06;0,017;0,017;0,017;0,017;10.000;170
2019-05-03;0,019;0,019;0,0176;0,018;80.000;1.440
2019-05-02;0,0102;0,0184;0,0102;0,018;45.350;820
2019-04-23;0,012;0,012;0,012;0,012;1.000;12
2019-04-12;0,0178;0,0178;0,0112;0,0112;49.510;584
2019-04-11;0,015;0,015;0,015;0,015;10.000;150
2019-04-10;0,015;0,015;0,015;0,015;33.400;501
2019-04-08;0,0178;0,0178;0,0178;0,0178;1.700;30
2019-04-04;0,0112;0,0112;0,0112;0,0112;100.000;1.120
2019-04-01;0,012;0,019;0,012;0,013;29.230;481
2019-03-29;0,013;0,013;0,013;0,013;8.300;108
2019-03-28;0,012;0,012;0,012;0,012;25.000;300
2019-03-27;0,014;0,02;0,01;0,02;609.000;6.550
2019-03-25;0,017;0,017;0,017;0,017;4.000;68
2019-03-22;0,02;0,022;0,014;0,022;186.000;3.576
2019-03-20;0,0165;0,0165;0,012;0,0165;75.000;1.223
2019-03-19;0,016;0,016;0,016;0,016;10.000;160
2019-03-18;0,014;0,014;0,014;0,014;100.000;1.400
2019-03-12;0,012;0,025;0,012;0,012;490.053;5.994
2019-03-11;0,011;0,011;0,011;0,011;46.600;513
2019-03-07;0,01;0,0105;0,01;0,0105;49.000;495
2019-03-06;0,0115;0,0115;0,0115;0,0115;65.500;753
2019-03-05;0,01;0,0115;0,01;0,0115;390.000;3.915
2019-03-04;0,01;0,01;0,01;0,01;60.000;600
2019-03-01;0,009;0,01;0,009;0,01;61.500;604
2019-02-28;0,0095;0,0095;0,0095;0,0095;150.000;1.425
2019-02-26;0,01;0,01;0,01;0,01;10.000;100
2019-02-25;0,009;0,009;0,009;0,009;121.700;1.095
2019-02-22;0,0095;0,01;0,008;0,008;57.000;468
2019-02-18;0,008;0,01;0,008;0,01;70.000;660
2019-02-15;0,0095;0,01;0,0095;0,01;95.101;921
2019-02-14;0,009;0,009;0,009;0,009;100.000;900
2019-02-12;0,009;0,009;0,009;0,009;179.500;1.616
2019-02-08;0,009;0,009;0,009;0,009;10.500;95
2019-02-06;0,009;0,009;0,009;0,009;160.000;1.440
2019-02-05;0,0075;0,0095;0,0075;0,0095;34.500;318
2019-02-04;0,0085;0,0085;0,0085;0,0085;52.901;450
2019-02-01;0,009;0,0095;0,0065;0,0095;34.000;291
2019-01-31;0,0095;0,0095;0,0095;0,0095;37.499;356
2019-01-29;0,0065;0,0065;0,0065;0,0065;6.000;39
2019-01-25;0,008;0,0095;0,007;0,007;213.000;1.841
2019-01-24;0,006;0,006;0,006;0,006;100.000;600
2019-01-21;0,006;0,006;0,006;0,006;4.500;27
2019-01-18;0,0065;0,0065;0,0065;0,0065;22.000;143
2019-01-17;0,009;0,01;0,0085;0,0085;624.900;5.577
2019-01-16;0,0065;0,0065;0,0065;0,0065;2.100;14
2019-01-14;0,007;0,007;0,007;0,007;115.000;805
2019-01-09;0,007;0,007;0,007;0,007;130.000;910
2019-01-04;0,009;0,009;0,009;0,009;36.783;331
2019-01-03;0,005;0,005;0,005;0,005;6.000;30
2019-01-02;0,009;0,009;0,009;0,009;2.000;18
2018-12-28;0,006;0,006;0,0055;0,0055;2.840;16
2018-12-27;0,0055;0,0055;0,0055;0,0055;100.000;550
2018-12-21;0,006;0,006;0,006;0,006;157.500;945
2018-12-20;0,008;0,008;0,0055;0,0055;120.000;910
2018-12-19;0,0055;0,0055;0,0055;0,0055;1.300;7
2018-12-18;0,0055;0,0055;0,0055;0,0055;27.000;149
2018-12-17;0,01;0,01;0,01;0,01;300;3
2018-12-14;0,007;0,007;0,007;0,007;10.000;70
2018-12-11;0,006;0,006;0,006;0,006;8.000;48
2018-12-10;0,009;0,009;0,006;0,006;8.930;72
2018-12-05;0,009;0,0135;0,009;0,0135;134.000;1.224
2018-12-04;0,009;0,01;0,009;0,01;110.700;1.106
2018-12-03;0,01;0,011;0,01;0,011;13.000;140
2018-11-30;0,0105;0,0105;0,0105;0,0105;41.000;431
2018-11-26;0,0105;0,0105;0,0105;0,0105;1.500;16
2018-11-21;0,011;0,011;0,011;0,011;8.000;88
2018-11-15;0,012;0,0135;0,012;0,0135;15.001;203
2018-11-12;0,015;0,015;0,0105;0,0105;15.000;203
2018-11-08;0,012;0,017;0,012;0,017;115.211;1.780
2018-11-06;0,025;0,025;0,025;0,025;9.500;238
2018-11-02;0,0105;0,015;0,0105;0,0105;69.400;738
2018-11-01;0,008;0,008;0,008;0,008;1;0
2018-10-31;0,018;0,018;0,0105;0,0105;23.200;416
2018-10-30;0,0175;0,0175;0,0175;0,0175;18.822;329
