Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;0,81;0,81;0,80;0,80;3.347;2.684
2019-05-02;0,80;0,835;0,80;0,835;220;176
2019-04-30;0,80;0,815;0,80;0,815;2.478;1.989
2019-04-29;0,80;0,80;0,78;0,78;30;24
2019-04-26;0,785;0,785;0,775;0,775;500;393
2019-04-25;0,725;0,735;0,72;0,735;2.000;1.449
2019-04-24;0,765;0,765;0,765;0,765;0;0
2019-04-23;0,80;0,84;0,755;0,785;12.464;9.540
2019-04-18;0,55;0,79;0,55;0,78;21.112;14.296
2019-04-17;0,55;0,55;0,55;0,55;2;1
2019-04-16;0,545;0,545;0,515;0,535;6.913;3.654
2019-04-15;0,55;0,55;0,55;0,55;0;0
2019-04-12;0,50;0,54;0,50;0,535;11.131;5.767
2019-04-11;0,505;0,51;0,49;0,51;15.697;7.802
2019-04-10;0,478;0,48;0,46;0,46;2.000;957
2019-04-09;0,46;0,476;0,46;0,468;2.720;1.258
2019-04-08;0,432;0,432;0,432;0,432;0;0
2019-04-05;0,432;0,432;0,432;0,432;0;0
2019-04-04;0,432;0,432;0,432;0,432;0;0
2019-04-03;0,428;0,428;0,428;0,428;0;0
2019-04-02;0,422;0,44;0,422;0,44;1.200;506
2019-04-01;0,44;0,44;0,44;0,44;0;0
2019-03-29;0,422;0,446;0,422;0,446;56;24
2019-03-28;0,448;0,448;0,448;0,448;0;0
2019-03-27;0,448;0,448;0,448;0,448;0;0
2019-03-26;0,47;0,47;0,47;0,47;1;0
2019-03-25;0,47;0,47;0,47;0,47;1;0
2019-03-22;0,47;0,47;0,47;0,47;1;0
2019-03-21;0,47;0,47;0,47;0,47;2;1
2019-03-20;0,476;0,476;0,476;0,476;1;0
2019-03-19;0,476;0,476;0,476;0,476;1;0
2019-03-18;0,448;0,448;0,448;0,448;0;0
2019-03-15;0,448;0,448;0,448;0,448;0;0
2019-03-14;0,448;0,448;0,448;0,448;0;0
2019-03-13;0,448;0,448;0,448;0,448;0;0
2019-03-12;0,46;0,46;0,448;0,448;1.284;591
2019-03-11;0,46;0,468;0,46;0,468;1.216;559
2019-03-08;0,44;0,44;0,44;0,44;0;0
2019-03-07;0,422;0,426;0,42;0,426;1.885;794
2019-03-06;0,45;0,45;0,45;0,45;0;0
2019-03-05;0,45;0,45;0,45;0,45;0;0
2019-03-04;0,478;0,478;0,478;0,478;0;0
2019-03-01;0,458;0,458;0,458;0,458;0;0
