Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;22,00;22,00;22,00;22,00;9;198
2019-05-02;21,60;21,60;21,40;21,40;650;14.009
2019-04-30;21,00;21,60;21,00;21,60;634;13.543
2019-04-29;20,20;21,40;20,20;21,40;887;18.940
2019-04-25;19,00;19,50;19,00;19,00;1.030;19.585
2019-04-24;19,00;19,00;19,00;19,00;57;1.083
2019-04-17;19,10;19,10;19,10;19,10;60;1.146
2019-04-11;18,40;18,40;18,40;18,40;40;736
2019-04-09;18,20;18,20;18,20;18,20;100;1.820
2019-04-08;18,20;18,40;18,20;18,40;69;1.258
2019-04-04;18,60;18,60;18,40;18,40;538;9.999
2019-04-02;18,20;18,20;18,20;18,20;5;91
2019-04-01;19,20;19,20;19,20;19,20;100;1.920
2019-03-27;18,50;18,50;18,50;18,50;28;518
2019-03-26;18,70;18,80;18,70;18,80;150;2.815
2019-03-25;17,80;17,80;17,60;17,60;410;7.228
2019-03-22;18,50;18,50;18,40;18,40;300;5.535
2019-03-21;18,90;18,90;18,10;18,10;218;4.099
2019-03-19;19,50;19,50;19,50;19,50;100;1.950
2019-03-15;19,00;19,50;19,00;19,50;357;6.933
2019-03-13;19,3715;19,3715;19,3715;19,3715;63;1.215
2019-03-08;18,2843;19,4703;18,2843;19,4703;934;17.117
2019-03-06;18,1855;18,1855;18,1855;18,1855;506;9.200
2019-03-04;18,2843;18,2843;17,7902;17,7902;20;365
2019-03-01;18,2843;18,2843;18,2843;18,2843;266;4.866
2019-02-25;17,889;17,9878;17,889;17,9878;165;2.961
2019-02-22;17,296;17,296;17,296;17,296;8;140
2019-02-20;17,7902;17,7902;17,1972;17,7902;646;11.304
2019-02-19;18,0867;18,0867;18,0867;18,0867;304;5.490
2019-02-18;17,889;18,2843;17,889;18,2843;284;5.089
2019-02-15;17,3948;17,7902;17,296;17,7902;1.005;17.584
2019-02-14;17,7902;17,7902;17,7902;17,7902;5;90
2019-02-12;17,5925;18,0867;17,5925;18,0867;202;3.610
2019-02-07;18,3832;18,3832;18,3832;18,3832;1;19
2019-02-01;17,6913;17,6913;17,6913;17,6913;51;895
2019-01-31;17,889;17,889;17,889;17,889;13;235
2019-01-30;17,889;17,889;17,889;17,889;39;706
2019-01-28;17,889;18,2843;17,889;18,2843;243;4.424
2019-01-24;18,482;18,482;18,482;18,482;101;1.870
2019-01-22;18,0867;18,0867;18,0867;18,0867;430;7.778
2019-01-18;18,5808;18,5808;18,482;18,482;87;1.617
2019-01-15;18,482;18,482;18,482;18,482;101;1.870
2019-01-14;17,1972;17,1972;17,1972;17,1972;10;174
2019-01-09;17,4937;17,5925;17,4937;17,5925;405;7.100
2019-01-08;16,8018;17,296;16,703;17,296;540;9.187
2019-01-07;17,0983;17,0983;17,0983;17,0983;64;1.090
2019-01-04;16,8018;16,8018;16,8018;16,8018;81;1.360
2019-01-02;17,1972;17,7902;17,1972;17,7902;68;1.182
2018-12-28;17,3948;17,3948;17,3948;17,3948;68;1.179
2018-12-17;17,296;17,296;17,1972;17,1972;121;2.094
2018-12-13;17,3948;17,7902;17,3948;17,7902;126;2.234
2018-12-11;17,1972;17,1972;17,1972;17,1972;40;696
2018-12-10;17,296;17,296;17,296;17,296;66;1.138
