Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;6,95;7,00;6,88;6,98;42.663;295.922
2019-07-18;6,97;7,00;6,91;7,00;4.775;33.324
2019-07-17;7,07;7,07;6,94;7,00;37.602;263.028
2019-07-16;7,04;7,05;6,95;7,01;4.892;34.213
2019-07-15;7,10;7,10;6,94;7,00;71.208;497.855
2019-07-12;7,10;7,10;6,98;7,06;5.107;35.928
2019-07-11;7,10;7,10;7,00;7,06;8.137;57.383
2019-07-10;7,05;7,10;6,99;7,04;24.391;171.479
2019-07-09;7,09;7,09;6,99;6,99;35.679;249.718
2019-07-08;7,09;7,10;7,02;7,09;4.971;35.122
2019-07-05;7,09;7,10;6,99;7,09;4.321;30.521
2019-07-04;7,10;7,10;6,99;7,09;8.088;56.859
2019-07-03;7,08;7,10;7,00;7,08;13.298;93.878
2019-07-02;7,10;7,10;7,02;7,10;70.001;495.032
2019-07-01;7,05;7,11;6,99;7,00;9.807;68.880
2019-06-28;7,04;7,04;6,93;7,00;48.318;338.561
2019-06-27;7,10;7,10;6,90;7,01;18.771;130.975
2019-06-26;7,11;7,12;7,01;7,09;9.827;69.516
2019-06-25;7,17;7,17;7,01;7,05;26.819;189.109
2019-06-24;7,20;7,22;7,12;7,14;13.688;97.911
2019-06-21;7,26;7,28;7,18;7,20;10.911;78.700
2019-06-20;7,40;7,40;7,24;7,31;13.328;97.097
2019-06-19;7,40;7,40;7,30;7,34;14.350;105.274
2019-06-18;7,56;7,57;7,34;7,40;25.060;185.727
2019-06-17;7,56;7,56;7,47;7,50;10.545;79.069
2019-06-14;7,65;7,65;7,49;7,54;11.724;88.498
2019-06-13;7,70;7,70;7,55;7,60;35.291;267.927
2019-06-12;7,47;7,80;7,39;7,80;30.814;234.313
2019-06-11;7,70;7,70;7,46;7,58;47.454;358.627
2019-06-07;7,77;7,77;7,62;7,74;24.686;189.794
2019-06-06;7,94;7,94;7,69;7,81;57.568;448.893
2019-06-05;8,07;8,10;7,91;7,93;76.634;610.824
2019-06-04;8,19;8,24;8,08;8,10;130.949;1.062.840
2019-06-03;8,22;8,27;8,09;8,24;64.147;523.616
2019-05-31;8,42;8,42;8,03;8,28;78.841;647.931
2019-05-30;8,44;8,44;8,29;8,37;30.914;257.634
2019-05-29;8,41;8,46;8,33;8,38;64.337;538.365
2019-05-28;8,37;8,48;8,31;8,48;266.646;2.255.701
2019-05-27;8,39;8,48;8,36;8,39;47.980;402.818
2019-05-24;8,30;8,49;8,29;8,44;40.841;342.183
2019-05-23;8,40;8,40;8,29;8,34;55.621;463.351
2019-05-22;8,44;8,50;8,38;8,45;121.425;1.022.650
2019-05-21;8,55;8,55;8,34;8,48;64.034;540.269
2019-05-20;8,70;8,70;8,41;8,55;52.976;450.941
2019-05-17;8,76;8,76;8,57;8,65;60.396;520.787
2019-05-16;8,62;8,88;8,53;8,68;140.771;1.220.041
2019-05-15;8,58;8,73;8,41;8,69;73.233;624.606
2019-05-14;7,97;8,50;7,87;8,50;82.939;683.820
2019-05-13;8,14;8,15;7,86;7,90;63.011;500.949
2019-05-10;7,75;8,03;7,65;8,03;94.877;738.623
2019-05-09;7,75;7,75;7,52;7,74;218.448;1.660.382
2019-05-08;7,14;7,63;7,12;7,63;195.916;1.429.477
2019-05-07;7,16;7,20;7,02;7,20;70.645;505.234
2019-05-06;7,14;7,26;7,14;7,21;91.341;658.749
2019-05-03;7,34;7,34;7,12;7,25;43.427;313.475
2019-05-02;7,25;7,28;7,20;7,25;63.686;461.850
2019-04-30;7,24;7,27;7,24;7,25;8.726;63.231
2019-04-29;7,30;7,30;7,23;7,30;6.255;45.402
2019-04-26;7,30;7,30;7,24;7,30;18.052;131.511
2019-04-25;7,30;7,30;7,25;7,29;53.703;391.848
2019-04-24;7,30;7,31;7,20;7,25;39.661;287.693
2019-04-23;7,38;7,38;7,24;7,25;41.640;305.021
2019-04-18;7,37;7,45;7,26;7,35;112.154;821.735
2019-04-17;6,80;7,43;6,80;7,41;232.926;1.683.520
2019-04-16;6,19;6,75;6,06;6,75;67.659;429.690
2019-04-15;6,33;6,33;6,19;6,29;16.944;105.863
2019-04-12;6,28;6,35;6,28;6,34;3.391;21.428
2019-04-11;6,35;6,36;6,26;6,36;12.782;80.909
2019-04-10;6,26;6,37;6,26;6,37;12.459;78.799
2019-04-09;6,32;6,39;6,28;6,37;34.490;219.020
2019-04-08;6,39;6,40;6,28;6,38;19.417;123.056
2019-04-05;6,36;6,43;6,30;6,39;18.067;114.775
2019-04-04;6,41;6,44;6,34;6,40;15.353;98.004
2019-04-03;6,50;6,50;6,40;6,45;2.636;16.956
2019-04-02;6,40;6,46;6,34;6,46;39.437;254.064
