Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;33,50;33,60;32,75;33,15;15.578;516.064
2019-05-02;32,90;33,90;32,30;33,50;52.821;1.758.378
2019-04-30;34,10;34,20;32,80;33,05;32.321;1.074.736
2019-04-29;33,70;34,50;32,70;34,50;41.939;1.407.153
2019-04-26;33,80;34,05;32,55;33,35;21.556;718.365
2019-04-25;33,80;34,55;33,40;33,95;30.683;1.042.958
2019-04-24;34,55;34,55;32,80;33,40;43.283;1.455.166
2019-04-23;34,35;34,75;33,90;34,20;18.113;620.970
2019-04-18;34,85;34,90;33,30;34,70;48.456;1.654.164
2019-04-17;33,80;35,00;33,80;34,45;69.228;2.386.517
2019-04-16;32,90;34,10;32,90;33,45;59.914;2.013.774
2019-04-15;32,30;32,95;32,15;32,75;39.275;1.282.474
2019-04-12;30,80;32,60;30,45;31,75;99.707;3.184.649
2019-04-11;29,60;30,80;29,50;30,60;27.223;828.519
2019-04-10;30,30;30,40;29,55;29,60;12.050;360.179
2019-04-09;30,00;30,45;29,50;30,00;36.213;1.084.737
2019-04-08;31,20;31,45;29,95;30,35;50.857;1.543.361
2019-04-05;31,25;31,95;30,95;31,55;50.929;1.600.068
2019-04-04;30,50;30,95;30,45;30,45;18.673;572.295
2019-04-03;30,25;31,00;30,10;30,75;66.323;2.023.589
2019-04-02;29,05;30,85;29,05;30,50;62.430;1.885.915
2019-04-01;28,40;29,00;28,10;28,80;22.476;642.832
2019-03-29;27,90;28,70;27,70;28,10;34.405;967.867
2019-03-28;26,90;28,00;26,60;27,60;29.690;815.730
2019-03-27;27,20;27,70;26,45;26,60;40.717;1.101.985
2019-03-26;27,45;28,00;26,85;27,15;46.249;1.264.388
2019-03-25;28,25;28,25;27,10;27,10;43.399;1.193.196
2019-03-22;29,25;29,55;28,50;28,55;40.405;1.168.332
2019-03-21;29,15;29,25;28,60;29,00;32.207;930.715
2019-03-20;29,00;29,25;28,70;28,85;24.367;704.959
2019-03-19;29,55;29,85;28,35;29,10;56.295;1.631.712
2019-03-18;30,40;30,45;29,55;29,85;60.706;1.817.973
2019-03-15;29,25;30,60;29,05;30,10;86.427;2.596.024
2019-03-14;27,70;29,30;27,55;29,30;105.325;3.018.740
2019-03-13;27,70;28,15;27,00;27,70;57.805;1.599.465
2019-03-12;27,10;28,15;27,05;27,30;88.807;2.450.077
2019-03-11;26,00;27,05;25,75;26,70;54.340;1.437.922
2019-03-08;26,15;26,15;25,10;25,90;50.670;1.296.095
2019-03-07;27,00;27,20;25,95;26,10;74.126;1.956.882
2019-03-06;25,30;26,80;25,15;26,75;110.975;2.884.031
2019-03-05;27,00;27,05;25,50;25,55;119.744;3.100.007
2019-03-04;25,25;27,30;25,05;27,00;207.800;5.465.167
2019-03-01;25,65;25,85;24,85;25,00;213.823;5.384.816
2019-02-28;27,50;28,40;24,95;25,30;416.691;10.658.212
2019-02-27;28,30;28,30;27,15;27,50;70.090;1.931.399
2019-02-26;28,35;28,55;28,10;28,25;30.390;860.530
2019-02-25;28,35;28,90;27,95;28,60;50.178;1.429.508
2019-02-22;28,15;28,40;27,85;28,00;28.439;797.430
2019-02-21;28,25;28,50;27,65;28,30;33.983;954.871
2019-02-20;28,40;28,60;27,70;28,45;74.639;2.111.628
2019-02-19;28,65;29,15;28,35;28,50;39.894;1.143.101
2019-02-18;28,05;29,05;27,90;28,50;135.098;3.850.820
2019-02-15;28,95;29,00;27,40;27,70;147.412;4.080.582
2019-02-14;29,70;29,80;27,55;28,20;156.256;4.475.398
2019-02-13;30,35;30,45;29,55;30,00;51.452;1.547.074
2019-02-12;30,50;30,70;29,00;30,20;110.662;3.292.329
2019-02-11;30,85;31,00;29,55;29,80;51.311;1.546.755
2019-02-08;32,50;32,55;29,40;29,60;122.733;3.752.716
2019-02-07;35,15;35,15;32,85;33,00;44.698;1.509.772
2019-02-06;34,50;35,10;33,55;34,85;64.645;2.227.320
2019-02-05;34,50;35,10;33,65;34,45;43.730;1.498.107
2019-02-04;34,55;35,05;33,65;34,30;30.955;1.060.648
2019-02-01;36,65;36,65;34,50;34,65;29.184;1.030.171
2019-01-31;35,90;37,35;35,30;36,05;47.969;1.739.201
2019-01-30;35,55;35,75;34,40;35,60;31.885;1.116.945
2019-01-29;36,50;36,70;35,10;35,40;34.524;1.233.867
2019-01-28;37,00;37,15;36,10;36,70;42.796;1.564.819
2019-01-25;36,00;37,50;35,80;36,95;65.955;2.431.351
2019-01-24;35,75;36,00;34,55;35,40;58.885;2.068.810
2019-01-23;34,80;36,10;33,80;35,35;32.123;1.136.143
2019-01-22;35,60;35,60;34,40;34,75;34.749;1.210.813
2019-01-21;34,15;35,90;33,95;35,55;43.032;1.508.684
2019-01-18;33,50;34,20;33,15;33,80;39.306;1.330.646
2019-01-17;33,30;34,20;32,20;33,05;47.711;1.583.162
2019-01-16;32,60;34,50;32,30;33,35;45.462;1.526.386
2019-01-15;31,90;32,70;31,55;32,60;38.068;1.219.089
2019-01-14;32,00;32,30;30,75;31,40;50.648;1.586.471
2019-01-11;33,50;34,30;31,65;32,25;36.439;1.180.283
2019-01-10;33,80;34,05;32,80;33,50;39.107;1.303.071
2019-01-09;32,75;34,70;32,65;33,75;56.952;1.926.386
2019-01-08;32,45;32,95;31,55;32,45;60.906;1.968.226
2019-01-07;31,80;31,95;30,85;31,90;23.585;739.665
2019-01-04;29,00;31,40;29,00;31,00;38.930;1.189.516
2019-01-03;29,80;29,85;28,70;28,80;44.514;1.300.961
2019-01-02;29,20;30,60;28,40;30,05;53.073;1.586.456
2018-12-28;28,35;29,50;27,75;29,35;34.850;1.001.628
2018-12-27;29,45;30,10;27,75;28,10;50.090;1.424.831
2018-12-21;27,75;29,50;27,30;29,30;60.165;1.707.906
2018-12-20;28,95;28,95;27,50;27,50;55.311;1.561.872
