Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-22;6,75;6,85;6,75;6,85;62;422
2019-07-19;6,80;6,85;6,50;6,80;440;2.862
2019-07-18;6,80;6,80;6,75;6,75;540;3.665
2019-07-17;6,90;7,25;6,90;7,25;24;169
2019-07-16;6,85;6,85;6,75;6,75;394;2.677
2019-07-15;7,20;7,20;6,90;6,90;2.264;16.141
2019-07-12;7,40;7,50;7,20;7,50;385;2.818
2019-07-11;7,40;7,40;7,40;7,40;190;1.406
2019-07-10;7,20;7,20;7,20;7,20;251;1.807
2019-07-09;7,30;7,65;7,30;7,65;1.846;13.778
2019-07-08;7,40;7,65;7,30;7,30;8.449;63.582
2019-07-05;7,90;8,05;7,90;7,95;1.383;10.933
2019-07-04;7,90;8,00;7,90;8,00;223;1.774
2019-07-03;8,05;8,05;7,80;7,80;119;957
2019-07-02;7,95;8,20;7,95;8,05;3.957;32.024
2019-07-01;7,80;7,90;7,80;7,90;150;1.170
2019-06-28;7,85;8,00;7,85;7,90;459;3.620
2019-06-27;7,75;7,80;7,70;7,75;1.490;11.548
2019-06-26;7,70;7,90;7,65;7,65;182;1.434
2019-06-25;7,55;7,80;7,55;7,80;551;4.254
2019-06-24;7,70;7,80;7,70;7,80;3.741;28.840
2019-06-21;7,80;7,95;7,75;7,75;160;1.249
2019-06-20;7,90;7,90;7,90;7,90;0;0
2019-06-19;7,90;7,90;7,90;7,90;143;1.130
2019-06-18;7,60;8,00;7,60;8,00;882;6.789
2019-06-17;7,60;7,80;7,50;7,50;1.865;14.332
2019-06-14;7,65;7,65;7,50;7,50;629;4.810
2019-06-13;7,70;7,75;7,65;7,75;904;6.962
2019-06-12;7,75;7,75;7,50;7,60;553;4.227
2019-06-11;7,65;7,70;7,65;7,65;1.252;9.638
2019-06-07;7,50;7,65;7,50;7,60;439;3.313
2019-06-06;7,55;7,55;7,55;7,55;0;0
2019-06-05;7,55;7,55;7,55;7,55;0;0
2019-06-04;7,65;7,65;7,55;7,55;200;1.530
2019-06-03;7,55;7,55;7,55;7,55;0;0
2019-05-31;7,70;7,70;7,55;7,55;1.501;11.363
2019-05-30;7,80;7,80;7,80;7,80;0;0
2019-05-29;7,80;7,80;7,80;7,80;5;39
2019-05-28;7,80;7,90;7,80;7,90;100;780
2019-05-27;7,70;7,70;7,70;7,70;0;0
2019-05-24;7,70;7,80;7,60;7,70;625;4.870
2019-05-23;7,60;7,70;7,60;7,70;300;2.280
2019-05-22;7,70;7,70;7,70;7,70;0;0
2019-05-21;7,70;7,70;7,70;7,70;0;0
2019-05-20;7,90;7,90;7,65;7,65;16;125
2019-05-17;7,80;7,80;7,80;7,80;2.100;16.380
2019-05-16;7,80;7,90;7,80;7,90;300;2.355
2019-05-15;7,65;7,65;7,65;7,65;0;0
2019-05-14;7,65;7,65;7,65;7,65;0;0
2019-05-13;7,65;7,65;7,65;7,65;1.000;7.650
2019-05-10;7,70;7,75;7,70;7,75;200;1.540
2019-05-09;7,80;7,80;7,80;7,80;0;0
2019-05-08;7,80;7,80;7,80;7,80;401;3.128
2019-05-07;7,85;7,85;7,85;7,85;0;0
2019-05-06;7,75;7,90;7,75;7,90;2.699;20.982
2019-05-03;7,90;7,90;7,90;7,90;0;0
2019-05-02;8,00;8,20;7,90;7,90;1.972;16.016
2019-04-30;7,80;8,10;7,80;8,10;300;2.340
2019-04-29;7,95;7,95;7,95;7,95;0;0
2019-04-26;7,95;8,00;7,80;8,00;7.988;62.656
2019-04-25;7,80;8,05;7,80;8,05;1.490;11.890
2019-04-24;7,85;7,90;7,85;7,90;425;3.336
2019-04-23;7,90;7,95;7,90;7,95;200;1.580
2019-04-18;7,85;8,00;7,85;8,00;1;8
2019-04-17;8,10;8,10;8,00;8,00;289;2.341
2019-04-16;8,00;8,00;8,00;8,00;0;0
2019-04-15;8,05;8,05;8,05;8,05;0;0
2019-04-12;8,05;8,05;8,05;8,05;0;0
2019-04-11;8,05;8,05;8,05;8,05;0;0
2019-04-10;8,25;8,30;8,05;8,05;3.043;25.023
2019-04-09;7,90;8,10;7,90;8,10;1.400;11.060
2019-04-08;7,90;7,90;7,80;7,80;3.000;23.550
2019-04-05;8,05;8,05;8,05;8,05;0;0
2019-04-04;7,85;8,05;7,85;8,05;290;2.277
2019-04-03;8,00;8,00;8,00;8,00;0;0
2019-04-02;7,25;8,05;7,25;8,00;13.226;104.721
2019-04-01;7,10;7,35;7,10;7,35;4.046;28.807
2019-03-29;7,05;7,05;7,05;7,05;0;0
2019-03-28;6,90;7,10;6,85;7,10;7.178;50.239
2019-03-27;6,30;7,00;6,30;7,00;9.881;67.741
2019-03-26;6,45;6,45;6,40;6,40;136;877
2019-03-25;6,35;6,40;6,35;6,40;1;6
2019-03-22;6,45;6,45;6,45;6,45;0;0
2019-03-21;6,45;6,50;6,40;6,50;2.500;16.050
2019-03-20;6,55;6,55;6,55;6,55;1.000;6.550
2019-03-19;6,65;6,65;6,65;6,65;120;798
2019-03-18;6,75;6,75;6,75;6,75;0;0
2019-03-15;6,70;6,75;6,70;6,75;3;20
2019-03-14;6,80;6,80;6,80;6,80;0;0
2019-03-13;6,70;6,70;6,65;6,70;750;4.994
2019-03-12;6,75;6,75;6,75;6,75;0;0
2019-03-11;6,50;6,70;6,50;6,70;1.650;10.799
2019-03-08;6,45;6,45;6,40;6,40;1.000;6.450
2019-03-07;6,65;6,65;6,65;6,65;0;0
2019-03-06;6,80;6,80;6,70;6,70;1.500;10.200
2019-03-05;6,90;6,90;6,90;6,90;0;0
2019-03-04;6,85;6,95;6,85;6,95;55;377
2019-03-01;6,90;6,95;6,90;6,95;800;5.520
2019-02-28;7,10;7,15;7,00;7,00;5.419;38.552
2019-02-27;6,65;6,75;6,65;6,75;166;1.104
2019-02-26;6,55;6,55;6,50;6,55;584;3.816
2019-02-25;6,20;6,50;6,20;6,45;3.300;20.830
2019-02-22;6,10;6,10;6,10;6,10;0;0
2019-02-21;6,10;6,10;6,10;6,10;0;0
2019-02-20;6,05;6,10;6,00;6,10;15;90
2019-02-19;6,05;6,35;6,05;6,15;2.500;15.641
2019-02-18;5,50;6,00;5,50;5,95;4.708;26.614
2019-02-15;5,05;5,80;5,05;5,60;5.989;32.937
2019-02-14;5,30;5,35;5,20;5,30;2.110;11.094
2019-02-13;5,45;5,55;5,25;5,25;8.515;46.208
2019-02-12;5,55;5,75;5,50;5,60;12.502;69.488
2019-02-11;5,95;6,00;5,60;5,60;13.629;77.983
2019-02-08;6,10;6,10;5,80;5,90;3.004;17.724
2019-02-07;6,20;6,20;6,00;6,00;3.292;20.113
2019-02-06;6,40;6,40;6,05;6,10;2.275;14.296
2019-02-05;6,60;6,60;6,50;6,50;1.500;9.900
2019-02-04;6,80;6,80;6,65;6,70;3.039;20.442
2019-02-01;7,00;7,05;6,95;7,05;2.687;18.732
2019-01-31;7,05;7,05;7,05;7,05;200;1.410
