Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;0,306;0,316;0,29;0,29;16.949;5.186
2019-05-02;0,36;0,36;0,262;0,306;31.198;9.377
2019-04-30;0,362;0,38;0,362;0,38;2.500;914
2019-04-29;0,44;0,44;0,40;0,40;8.327;3.541
2019-04-26;0,474;0,474;0,46;0,46;3.001;1.422
2019-04-25;0,474;0,474;0,458;0,458;100;47
2019-04-24;0,474;0,474;0,426;0,446;2.520;1.120
2019-04-23;0,474;0,488;0,474;0,488;909;431
2019-04-18;0,488;0,488;0,488;0,488;0;0
2019-04-17;0,474;0,474;0,474;0,474;1;0
2019-04-16;0,486;0,486;0,486;0,486;0;0
2019-04-15;0,498;0,498;0,476;0,476;1.100;548
2019-04-12;0,45;0,47;0,45;0,47;134;60
2019-04-11;0,456;0,456;0,456;0,456;0;0
2019-04-10;0,432;0,49;0,43;0,47;15.521;7.025
2019-04-09;0,48;0,50;0,466;0,466;2.500;1.237
2019-04-08;0,448;0,448;0,448;0,448;0;0
2019-04-05;0,456;0,478;0,452;0,466;10.857;5.074
2019-04-04;0,45;0,45;0,444;0,444;3.000;1.350
2019-04-03;0,41;0,478;0,404;0,436;10.746;4.772
2019-04-02;0,44;0,468;0,40;0,418;10.966;4.899
2019-04-01;0,54;0,54;0,49;0,49;101;55
2019-03-29;0,502;0,57;0,50;0,50;24.900;13.043
2019-03-28;0,62;0,638;0,62;0,638;33;20
2019-03-27;0,708;0,708;0,64;0,656;2.140;1.379
2019-03-25;0,612;0,738;0,61;0,716;25.394;16.914
2019-03-22;0,60;0,60;0,60;0,60;3.924;2.354
2019-03-21;0,67;0,67;0,56;0,56;5.627;3.553
2019-03-20;0,62;0,63;0,62;0,63;3.014;1.869
2019-03-19;0,58;0,70;0,58;0,66;5.763;3.380
2019-03-18;0,588;0,64;0,55;0,62;30.083;17.747
2019-03-15;0,64;0,682;0,454;0,564;13.882;7.985
2019-03-14;0,75;0,75;0,686;0,686;8.500;6.170
2019-03-13;0,762;0,798;0,724;0,736;33.939;25.400
2019-03-12;0,882;0,882;0,71;0,754;84.394;65.007
2019-03-11;0,948;0,95;0,88;0,90;12.254;11.201
2019-03-08;0,944;0,944;0,93;0,93;3.000;2.832
2019-03-07;0,936;0,936;0,936;0,936;0;0
2019-03-06;0,936;0,936;0,936;0,936;0;0
2019-03-05;0,928;0,928;0,928;0,928;0;0
2019-03-04;1,00;1,00;0,90;0,92;16.301;15.315
2019-03-01;0,942;0,976;0,942;0,976;24;23
2019-02-28;0,99;0,99;0,966;0,966;9.588;9.459
2019-02-27;0,97;0,988;0,97;0,98;8.364;8.114
2019-02-26;1,02;1,02;0,95;0,98;7.045;7.078
2019-02-25;0,976;0,976;0,976;0,976;0;0
2019-02-22;0,976;1,00;0,976;1,00;3.280;3.203
2019-02-21;0,934;1,00;0,934;0,96;4.701;4.485
2019-02-20;1,02;1,07;0,958;0,958;26.738;27.646
2019-02-19;1,025;1,08;0,98;1,04;32.438;33.783
2019-02-18;1,09;1,09;1,055;1,055;2.100;2.229
2019-02-15;1,06;1,085;1,025;1,055;14.600;15.205
2019-02-14;1,05;1,10;1,025;1,08;28.534;30.138
2019-02-13;1,09;1,15;1,085;1,135;20.558;22.846
2019-02-12;1,04;1,20;1,035;1,04;24.962;26.993
2019-02-11;0,98;1,02;0,98;1,01;19.430;19.518
2019-02-08;0,97;0,99;0,97;0,99;2.000;1.940
2019-02-07;0,928;0,928;0,928;0,928;0;0
2019-02-06;0,882;0,92;0,882;0,92;1;1
2019-02-05;0,882;0,92;0,882;0,92;1;1
2019-02-04;0,954;0,954;0,92;0,92;2.000;1.908
2019-02-01;0,892;0,92;0,892;0,92;4.307;3.842
2019-01-31;0,922;0,922;0,892;0,90;7.343;6.707
2019-01-30;0,962;1,00;0,946;0,946;45.190;44.057
2019-01-29;0,962;0,986;0,962;0,986;2.500;2.405
2019-01-28;0,962;1,00;0,962;0,986;8.181;8.094
2019-01-25;1,01;1,01;0,986;0,986;2;2
2019-01-24;0,97;0,99;0,97;0,99;5.250;5.093
2019-01-23;1,01;1,01;0,998;1,00;10.377;10.370
2019-01-22;0,90;1,00;0,90;1,00;9.434;8.771
2019-01-21;0,90;0,92;0,90;0,912;3.250;2.955
2019-01-18;0,92;0,92;0,88;0,88;21.610;19.841
2019-01-17;0,97;0,97;0,95;0,95;1.000;970
2019-01-16;0,956;0,956;0,956;0,956;0;0
2019-01-15;0,972;0,972;0,94;0,946;4.739;4.538
2019-01-14;1,005;1,005;1,005;1,005;0;0
2019-01-11;1,005;1,005;1,005;1,005;0;0
2019-01-10;1,05;1,05;1,005;1,005;230;242
2019-01-09;0,972;1,035;0,972;1,005;3.188;3.237
2019-01-08;1,02;1,03;0,98;1,005;6.040;6.089
2019-01-07;1,03;1,03;0,986;0,986;36.992;37.001
2019-01-04;0,99;0,99;0,99;0,99;1.164;1.152
2019-01-03;0,91;1,055;0,91;1,015;7.701;7.702
2019-01-02;0,94;0,956;0,936;0,956;9.226;8.650
2018-12-28;0,86;0,896;0,86;0,896;749;644
2018-12-27;0,902;0,902;0,88;0,886;3.013;2.674
2018-12-21;0,94;0,94;0,926;0,926;2.000;1.880
2018-12-20;0,93;0,978;0,902;0,96;6.021;5.674
2018-12-19;0,98;0,98;0,956;0,956;1.000;980
2018-12-18;0,932;0,956;0,932;0,956;2.558;2.384
2018-12-17;0,93;0,96;0,93;0,96;816;759
2018-12-14;0,918;0,974;0,918;0,974;966;904
2018-12-13;0,936;0,936;0,936;0,936;0;0
2018-12-12;0,952;0,952;0,928;0,928;116;108
2018-12-11;0,954;0,954;0,954;0,954;0;0
2018-12-10;0,954;0,954;0,954;0,954;0;0
2018-12-07;0,954;0,954;0,954;0,954;0;0
2018-12-06;0,954;0,954;0,954;0,954;0;0
2018-12-05;0,952;0,976;0,952;0,976;1.206;1.148
2018-12-04;0,976;0,976;0,976;0,976;0;0
2018-12-03;0,976;0,976;0,976;0,976;0;0
2018-11-30;0,954;0,976;0,954;0,976;60;57
2018-11-29;0,998;0,998;0,976;0,976;3.000;2.994
2018-11-28;0,976;0,976;0,976;0,976;0;0
2018-11-27;0,954;0,996;0,952;0,996;9.412;8.977
2018-11-26;0,94;0,984;0,94;0,984;3;3
2018-11-23;0,942;0,98;0,942;0,98;1.650;1.554
2018-11-22;0,98;0,98;0,98;0,98;0;0
2018-11-21;0,98;0,98;0,98;0,98;0;0
2018-11-20;1,06;1,06;0,98;0,98;11.624;11.624
2018-11-19;1,02;1,06;1,015;1,015;3.500;3.676
2018-11-16;0,986;1,055;0,97;1,015;20.294;20.031
2018-11-15;0,95;0,966;0,95;0,966;100;95
2018-11-14;0,95;0,96;0,95;0,96;10;10
2018-11-13;1,04;1,04;0,952;0,962;18.379;18.252
2018-11-12;1,04;1,045;1,04;1,045;755;785
2018-11-09;1,045;1,045;1,045;1,045;0;0
2018-11-08;1,05;1,05;1,05;1,05;0;0
2018-11-07;1,03;1,045;1,03;1,045;1.400;1.452
2018-11-06;1,04;1,04;1,04;1,04;0;0
2018-11-05;1,125;1,125;1,075;1,075;3;3
2018-11-02;1,065;1,105;1,065;1,08;7.011;7.699
2018-11-01;1,065;1,065;1,065;1,065;0;0
2018-10-31;1,075;1,075;1,075;1,075;0;0
2018-10-30;1,11;1,11;1,05;1,075;15.395;16.383
2018-10-29;1,14;1,14;1,12;1,12;1;1
2018-10-26;1,105;1,105;1,105;1,105;0;0
2018-10-25;1,12;1,12;1,11;1,115;2.855;3.178
2018-10-24;1,125;1,125;1,125;1,125;0;0
2018-10-23;1,13;1,15;1,13;1,15;233;263
2018-10-22;1,165;1,165;1,165;1,165;0;0
2018-10-19;1,175;1,175;1,175;1,175;0;0
2018-10-18;1,165;1,18;1,15;1,18;12.000;13.940
2018-10-17;1,20;1,23;1,20;1,23;7.554;9.203
2018-10-16;1,195;1,225;1,12;1,20;5.916;7.105
2018-10-15;1,185;1,20;1,105;1,15;7.242;8.347
2018-10-12;1,115;1,23;1,115;1,185;11.963;13.799
2018-10-11;1,23;1,23;1,04;1,04;58.511;65.374
2018-10-10;1,435;1,48;1,255;1,255;75.302;102.274
2018-10-09;1,27;1,50;1,27;1,50;125.772;174.362
2018-10-08;1,32;1,35;1,32;1,32;9.501;12.617
2018-10-05;1,03;1,40;1,025;1,22;75.899;98.785
2018-10-04;0,996;0,996;0,996;0,996;0;0
2018-10-02;0,99;0,99;0,99;0,99;0;0
