Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;6,65;6,65;6,65;6,65;0;0
2019-08-13;6,65;6,65;6,65;6,65;0;0
2019-08-12;6,65;6,65;6,65;6,65;0;0
2019-08-09;6,80;6,80;6,80;6,80;0;0
2019-08-08;6,80;6,80;6,80;6,80;0;0
2019-08-07;6,80;6,80;6,80;6,80;0;0
2019-08-06;6,80;6,80;6,80;6,80;0;0
2019-08-05;6,75;6,75;6,75;6,75;726;4.901
2019-08-02;7,35;7,35;7,35;7,35;150;1.103
2019-08-01;6,75;7,35;6,75;7,35;70;515
2019-07-31;6,70;6,80;6,70;6,80;1.000;6.800
2019-07-30;7,20;7,20;6,95;7,00;1.773;12.327
2019-07-29;6,95;6,95;6,95;6,95;1.000;6.950
2019-07-26;6,90;6,90;6,90;6,90;0;0
2019-07-25;6,70;7,00;6,70;7,00;46;309
2019-07-24;6,50;7,15;6,50;7,15;175;1.251
2019-07-23;6,15;6,15;6,15;6,15;0;0
2019-07-22;7,90;7,90;5,50;6,40;2.930;16.402
2019-07-19;7,50;8,50;7,50;8,00;525;4.450
2019-07-18;5,80;5,80;5,80;5,80;0;0
2019-07-17;5,35;5,70;5,35;5,70;25;143
2019-07-16;5,25;5,70;5,25;5,70;550;3.135
2019-07-15;5,25;5,25;5,25;5,25;0;0
2019-07-12;5,25;5,25;5,25;5,25;0;0
2019-07-11;5,25;5,25;5,25;5,25;0;0
2019-07-10;5,35;5,35;5,35;5,35;0;0
2019-07-09;5,35;5,35;5,35;5,35;0;0
2019-07-08;5,35;5,35;5,35;5,35;0;0
2019-07-05;5,35;5,35;5,35;5,35;0;0
2019-07-04;5,35;5,35;5,35;5,35;0;0
2019-07-03;5,35;5,35;5,35;5,35;0;0
2019-07-02;5,35;5,35;5,35;5,35;0;0
2019-07-01;5,35;5,35;5,35;5,35;0;0
2019-06-28;5,35;5,35;5,35;5,35;0;0
2019-06-27;5,35;5,35;5,35;5,35;0;0
2019-06-26;5,35;5,35;5,35;5,35;0;0
2019-06-25;5,35;5,35;5,35;5,35;0;0
2019-06-24;5,35;5,40;5,35;5,40;200;1.080
2019-06-21;5,30;5,30;5,30;5,30;0;0
2019-06-20;5,25;5,25;5,25;5,25;0;0
2019-06-19;5,25;5,25;5,25;5,25;0;0
