Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;23,66;24,46;23,00;24,385;44.507;1.060.633
2019-07-18;22,83;23,66;21,72;23,65;152.092;3.397.898
2019-07-17;25,30;25,50;23,02;23,22;138.523;3.318.793
2019-07-16;26,50;26,655;25,20;25,235;92.243;2.392.565
2019-07-15;26,885;27,16;26,06;26,25;47.078;1.249.968
2019-07-12;26,605;27,16;26,40;26,65;66.591;1.781.319
2019-07-11;27,00;27,35;26,21;26,62;99.065;2.678.368
2019-07-10;27,85;27,85;26,50;26,66;265.129;7.226.927
2019-07-09;29,02;31,785;28,80;30,645;66.375;1.991.095
2019-07-08;28,80;30,70;28,80;30,00;40.349;1.198.779
2019-07-05;28,10;29,40;27,50;29,00;25.570;731.198
2019-07-04;27,60;27,60;27,20;27,60;6.997;192.230
2019-07-03;28,50;28,50;27,10;27,50;25.926;715.933
2019-07-02;27,50;28,50;27,50;28,50;30.270;843.788
2019-07-01;26,00;28,50;25,80;27,30;45.103;1.221.711
2019-06-28;25,80;26,90;25,40;25,70;33.065;858.889
2019-06-27;26,00;26,40;25,60;25,80;25.111;653.394
2019-06-26;26,25;26,60;25,605;26,00;32.343;841.639
2019-06-25;26,20;27,00;26,10;26,40;27.074;718.355
2019-06-24;26,10;26,30;25,90;26,30;14.486;378.550
2019-06-21;26,10;26,50;26,00;26,00;2.979;77.964
2019-06-20;26,50;26,50;26,20;26,30;6.591;173.789
2019-06-19;26,90;26,90;26,10;26,50;20.347;539.948
2019-06-18;26,90;27,00;26,70;26,90;14.768;398.099
2019-06-17;26,60;27,30;26,60;27,20;14.868;399.571
2019-06-14;27,40;27,40;26,50;26,50;14.242;383.186
2019-06-13;26,70;27,40;26,70;27,40;10.734;288.689
2019-06-12;27,90;27,90;25,70;26,50;43.641;1.150.484
2019-06-11;28,90;28,90;27,90;27,90;18.244;518.437
2019-06-07;28,00;28,60;27,70;28,50;4.712;133.141
2019-06-06;28,40;28,90;27,70;28,30;12.992;367.882
2019-06-05;27,00;29,60;27,00;28,70;53.993;1.509.668
2019-06-04;26,00;26,30;25,50;25,90;10.759;278.179
2019-06-03;28,10;28,10;25,20;26,00;82.212;2.173.305
2019-05-31;28,50;28,50;26,90;27,80;52.560;1.441.945
2019-05-30;29,00;29,00;28,50;28,60;9.339;269.335
2019-05-29;29,70;29,70;28,90;29,10;4.426;129.507
2019-05-28;30,00;30,00;29,50;29,80;4.042;120.316
2019-05-27;30,00;30,40;29,90;30,00;10.023;300.966
2019-05-24;30,40;30,80;29,80;29,80;35.184;1.066.432
2019-05-23;30,20;30,20;29,70;30,20;9.505;284.869
2019-05-22;30,00;30,40;29,90;30,00;14.433;433.250
2019-05-21;29,00;30,40;29,00;30,00;52.148;1.562.841
2019-05-20;29,00;29,90;29,00;29,60;6.573;194.298
2019-05-17;29,70;30,30;29,30;29,50;10.284;307.082
2019-05-16;29,10;30,00;28,80;29,90;10.425;307.534
2019-05-15;29,10;29,50;28,60;29,10;8.356;242.411
2019-05-14;28,80;29,10;28,80;29,00;6.877;198.681
2019-05-13;28,80;29,50;28,80;29,00;12.147;352.860
2019-05-10;28,90;29,10;28,70;29,00;10.629;307.212
2019-05-09;28,50;29,20;28,50;28,90;12.693;365.377
2019-05-08;28,70;29,20;28,50;28,90;10.661;305.710
2019-05-07;29,70;29,80;28,70;29,30;8.340;245.681
2019-05-06;29,80;30,00;29,10;29,50;17.408;514.127
2019-05-03;30,90;31,20;30,60;30,90;31.139;961.655
2019-05-02;30,70;30,90;30,20;30,50;20.656;629.972
2019-04-30;31,20;31,20;30,40;30,80;14.591;446.745
2019-04-29;30,50;31,50;30,50;31,20;14.706;456.887
2019-04-26;30,00;30,70;30,00;30,50;47.080;1.433.833
2019-04-25;30,50;30,50;30,00;30,10;18.570;558.634
2019-04-24;29,60;30,50;29,50;30,50;9.031;270.197
2019-04-23;30,50;30,50;29,20;30,00;4.504;133.623
2019-04-18;31,50;31,50;28,60;30,40;34.506;1.053.770
2019-04-17;31,40;31,40;30,80;31,10;20.146;625.554
2019-04-16;31,20;31,60;31,00;31,50;21.937;684.357
2019-04-15;30,90;31,80;30,90;31,10;12.406;387.247
2019-04-12;29,70;30,90;29,50;30,90;13.082;397.678
2019-04-11;28,50;29,80;28,40;29,80;5.950;174.486
2019-04-10;28,10;28,80;28,00;28,50;3.781;107.436
2019-04-09;27,50;28,60;27,30;28,60;6.576;183.273
2019-04-08;28,00;28,10;27,10;27,70;14.360;397.003
2019-04-05;28,60;28,60;27,50;27,70;15.649;436.776
2019-04-04;27,90;28,20;27,50;28,20;26.860;748.315
2019-04-03;26,70;28,00;26,70;27,50;28.352;776.284
2019-04-02;27,30;27,40;26,60;27,00;32.310;872.679
2019-04-01;29,60;29,60;26,00;26,90;92.486;2.527.606
2019-03-29;30,305;30,305;29,03;29,32;14.423;424.729
2019-03-28;29,825;29,90;29,50;29,89;5.773;171.914
2019-03-27;30,005;30,50;29,80;29,80;5.790;173.890
2019-03-26;30,005;30,495;29,50;29,61;7.906;236.359
2019-03-25;30,975;30,98;30,60;30,62;7.786;239.305
2019-03-22;31,31;31,40;30,90;30,90;27.731;861.646
2019-03-21;31,005;31,695;30,995;31,21;5.629;176.070
2019-03-20;30,605;31,245;30,605;30,81;3.265;101.240
2019-03-19;30,60;31,30;30,60;30,825;3.431;106.049
2019-03-18;31,525;31,525;30,70;30,75;3.887;119.906
2019-03-15;31,00;31,665;30,71;30,71;3.917;121.600
2019-03-14;31,39;31,72;30,515;30,855;6.893;214.104
2019-03-13;30,105;31,30;29,90;31,08;11.560;351.498
2019-03-12;31,825;31,825;30,05;30,105;5.211;161.545
2019-03-11;30,06;31,70;29,605;31,50;24.023;732.588
2019-03-08;30,33;30,995;29,00;29,50;42.789;1.260.845
2019-03-07;31,865;31,865;30,335;30,57;21.468;662.859
2019-03-06;32,20;32,775;32,11;32,305;2.477;79.874
2019-03-05;32,645;32,795;32,11;32,50;9.511;309.829
2019-03-04;33,395;33,40;32,80;32,80;9.103;301.155
2019-03-01;35,04;35,04;33,105;33,11;7.494;252.130
2019-02-28;33,62;33,90;33,27;33,805;2.699;90.762
2019-02-27;33,36;33,995;33,005;33,41;3.801;127.308
2019-02-26;34,75;34,75;33,105;33,51;4.443;149.817
2019-02-25;33,08;35,00;32,70;34,095;22.136;753.794
2019-02-22;32,00;33,10;31,20;32,455;7.382;237.782
2019-02-21;31,23;32,53;31,055;31,95;6.029;192.008
2019-02-20;31,60;32,765;30,90;31,265;15.467;490.372
2019-02-19;34,195;34,195;31,22;31,40;32.921;1.059.913
2019-02-18;32,845;33,92;32,40;33,30;19.412;644.832
2019-02-15;34,26;34,92;32,10;32,65;34.635;1.148.150
2019-02-14;35,90;35,90;34,005;34,41;9.138;317.731
2019-02-13;35,50;35,87;35,10;35,10;4.870;172.743
2019-02-12;35,50;36,00;35,305;35,89;12.306;438.396
2019-02-11;34,00;35,15;33,90;35,15;8.591;298.102
2019-02-08;34,50;34,50;33,27;33,89;40.933;1.388.664
2019-02-07;35,92;36,45;35,30;35,39;40.646;1.456.313
2019-02-06;36,40;36,70;35,86;36,55;16.235;588.508
2019-02-05;35,00;36,42;34,76;35,90;40.393;1.450.958
2019-02-04;33,33;34,80;33,035;34,80;44.149;1.491.255
2019-02-01;31,80;33,30;31,80;33,30;15.373;507.931
2019-01-31;30,105;32,50;30,095;31,805;15.092;475.553
2019-01-30;32,99;33,00;29,725;29,80;21.437;670.841
2019-01-29;33,20;33,20;32,79;33,00;12.131;399.510
2019-01-28;33,00;33,33;32,63;33,00;18.920;626.104
2019-01-25;30,95;32,05;30,505;32,00;26.948;847.435
2019-01-24;30,39;30,80;29,605;30,26;10.300;313.312
2019-01-23;30,20;30,495;29,80;30,04;19.242;579.366
2019-01-22;29,495;30,50;29,495;30,25;51.475;1.545.143
2019-01-21;27,94;29,80;27,80;29,475;31.879;916.154
2019-01-18;27,20;27,725;27,01;27,725;13.851;378.023
2019-01-17;27,295;27,35;26,90;27,245;24.973;676.663
2019-01-16;26,30;27,50;26,30;26,90;48.017;1.299.887
2019-01-15;26,40;26,40;25,70;26,10;35.658;931.195
2019-01-14;26,44;26,495;25,91;26,00;18.344;478.048
2019-01-11;26,38;26,575;25,855;26,385;19.344;504.398
2019-01-10;26,59;27,40;26,04;26,04;22.271;593.258
2019-01-09;26,995;26,995;25,70;25,90;29.995;782.709
2019-01-08;27,10;27,19;26,50;26,50;24.602;663.170
2019-01-07;26,10;27,30;26,10;26,985;10.656;286.351
2019-01-04;25,90;26,00;25,81;25,90;13.198;341.689
2019-01-03;25,30;26,10;25,30;25,80;4.584;118.593
2019-01-02;26,095;27,00;25,26;25,26;17.256;455.003
2018-12-28;25,985;26,50;25,725;25,98;6.111;159.155
2018-12-27;27,00;27,00;25,05;25,475;19.660;508.760
2018-12-21;23,34;26,79;23,20;26,00;49.625;1.269.188
2018-12-20;23,105;23,99;23,105;23,355;3.009;71.007
2018-12-19;23,70;24,00;23,14;23,14;831;19.646
2018-12-18;23,565;23,565;23,105;23,335;254;5.984
2018-12-17;23,70;23,895;23,00;23,65;1.756;40.660
2018-12-14;23,015;23,695;23,015;23,355;410;9.579
2018-12-13;23,70;23,70;23,01;23,155;8.900;207.263
2018-12-12;23,52;23,995;23,50;23,70;8.500;203.157
2018-12-11;23,70;24,30;23,50;24,00;4.919;118.318
2018-12-10;24,00;24,25;23,70;23,70;3.282;79.717
2018-12-07;23,95;24,115;23,95;24,00;748;17.968
2018-12-06;23,95;24,395;23,95;23,955;2.206;53.327
2018-12-05;24,01;24,40;23,96;23,96;2.654;64.861
2018-12-04;24,20;24,41;24,105;24,25;4.300;104.015
2018-12-03;24,40;24,40;23,81;24,40;6.050;147.861
2018-11-30;23,20;24,50;23,00;24,00;7.062;168.852
2018-11-29;22,80;23,30;22,80;23,20;2.308;53.195
2018-11-28;23,18;23,18;22,80;22,80;1.669;38.181
2018-11-27;22,80;23,11;22,75;23,10;1.180;27.076
2018-11-26;23,20;23,20;22,86;22,90;1.626;37.428
2018-11-23;23,20;23,20;22,72;22,875;3.057;70.321
2018-11-22;23,965;23,975;23,21;23,345;2.993;70.574
2018-11-21;23,75;24,47;23,70;23,70;5.441;130.285
2018-11-20;23,50;23,99;23,50;23,885;5.657;133.519
2018-11-19;23,37;24,395;23,305;24,10;6.780;162.288
2018-11-16;23,00;23,24;23,00;23,00;795;18.347
2018-11-15;23,00;23,00;22,71;22,75;466;10.694
