Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;32,30;33,00;32,30;32,65;12.580;411.565
2019-05-02;32,45;32,45;32,20;32,30;13.997;452.355
2019-04-30;31,90;32,45;31,80;32,40;31.370;1.010.399
2019-04-29;31,50;32,90;31,35;32,10;60.879;1.949.141
2019-04-26;31,45;31,50;31,30;31,50;14.071;442.270
2019-04-25;31,30;31,55;31,05;31,35;16.066;503.818
2019-04-24;31,45;31,50;31,05;31,50;21.366;668.073
2019-04-23;31,35;31,55;30,85;31,50;29.990;940.383
2019-04-18;30,50;31,50;30,50;31,45;20.362;633.265
2019-04-17;30,10;30,70;29,90;30,60;31.229;946.779
2019-04-16;30,85;30,85;29,70;30,00;35.281;1.065.937
2019-04-15;30,00;30,80;29,80;30,80;25.768;787.053
2019-04-12;29,55;30,20;29,30;29,75;25.684;766.703
2019-04-11;28,90;29,60;28,75;29,40;16.316;476.071
2019-04-10;29,15;29,30;28,85;28,90;10.008;290.436
2019-04-09;28,95;29,45;28,70;29,15;14.723;429.087
2019-04-08;28,55;28,85;28,50;28,85;7.841;225.847
2019-04-05;29,20;29,20;28,40;28,80;7.727;222.168
2019-04-04;29,15;29,35;28,70;28,85;8.479;245.361
2019-04-03;28,75;29,10;28,55;29,10;32.659;946.909
2019-04-02;28,20;28,65;28,00;28,50;22.841;643.002
2019-04-01;28,30;28,30;28,00;28,05;4.615;129.731
2019-03-29;28,05;28,315;27,975;28,195;38.186;1.075.371
2019-03-28;28,595;28,595;28,00;28,30;18.875;532.847
2019-03-27;28,40;28,635;28,12;28,44;5.253;148.718
2019-03-26;28,90;29,00;28,50;28,61;9.461;271.866
2019-03-25;28,195;29,05;27,805;28,90;25.388;724.740
2019-03-22;28,505;28,535;28,155;28,235;16.208;457.873
2019-03-21;28,59;28,59;28,30;28,40;6.284;178.549
2019-03-20;28,585;28,67;28,40;28,52;5.395;153.913
2019-03-19;28,405;28,74;28,35;28,395;13.387;381.747
2019-03-18;28,50;28,59;28,235;28,46;15.847;449.764
2019-03-15;28,60;28,92;28,265;28,265;214.498;6.066.750
2019-03-14;28,75;28,75;28,33;28,50;14.728;420.337
2019-03-13;28,495;28,69;28,23;28,40;8.572;243.919
2019-03-12;29,00;29,00;28,325;28,50;10.664;304.774
2019-03-11;28,70;29,425;28,50;28,60;47.543;1.370.214
2019-03-08;28,685;29,00;28,50;28,56;17.848;513.394
2019-03-07;28,985;28,985;28,41;28,675;11.210;321.320
2019-03-06;28,195;29,10;27,80;29,00;32.862;935.745
2019-03-05;29,50;30,275;27,81;28,00;76.159;2.184.712
2019-03-04;27,205;27,395;27,06;27,165;12.388;337.041
2019-03-01;27,82;27,82;26,985;27,21;32.158;878.367
