Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;0,46;0,49;0,46;0,46;750;368
2019-07-18;0,46;0,48;0,46;0,46;0;
2019-07-17;0,46;0,48;0,46;0,46;0;
2019-07-16;0,45;0,482;0,45;0,46;0;
2019-07-15;0,50;0,50;0,462;0,462;2.000;1.000
2019-07-12;0,48;0,50;0,48;0,48;0;
2019-07-11;0,45;0,50;0,45;0,48;0;
2019-07-10;0,48;0,50;0,48;0,48;0;
2019-07-09;0,48;0,57;0,48;0,48;877;500
2019-07-08;0,442;0,515;0,442;0,48;0;
2019-07-05;0,505;0,515;0,505;0,51;0;
2019-07-04;0,505;0,55;0,505;0,55;0;
2019-07-03;0,585;0,585;0,48;0,56;0;
2019-07-02;0,59;0,62;0,59;0,59;0;
2019-07-01;0,58;0,615;0,56;0,585;0;
2019-06-28;0,444;0,444;0,444;0,444;0;
2019-06-27;0,58;0,60;0,57;0,57;0;
2019-06-26;0,58;0,60;0,58;0,58;0;
2019-06-25;0,58;0,65;0,58;0,58;2.000;1.300
2019-06-24;0,54;0,625;0,54;0,58;0;
2019-06-21;0,585;0,585;0,54;0,54;2.050;1.199
2019-06-20;0,585;0,595;0,585;0,585;0;
2019-06-19;0,59;0,59;0,585;0,585;1.698;1.002
2019-06-18;0,61;0,62;0,54;0,585;1.251;732
2019-06-17;0,575;0,66;0,56;0,62;10.500;6.505
2019-06-14;0,645;0,665;0,515;0,515;50;32
2019-06-13;0,595;0,94;0,575;0,61;12.900;11.964
2019-06-12;0,54;0,60;0,515;0,575;9.000;5.125
2019-06-11;0,515;0,515;0,50;0,515;0;
2019-06-07;0,515;0,545;0,515;0,525;985;517
2019-06-06;0,505;0,54;0,462;0,515;985;532
2019-06-05;0,505;0,505;0,444;0,444;0;
2019-06-04;0,505;0,505;0,444;0,446;0;
2019-06-03;0,51;0,51;0,428;0,442;965;492
2019-05-31;0,51;0,51;0,458;0,458;900;459
2019-05-30;0,492;0,51;0,458;0,458;0;
2019-05-29;0,426;0,505;0,426;0,484;0;
2019-05-28;0,444;0,45;0,426;0,426;0;
2019-05-27;0,48;0,50;0,444;0,444;0;
2019-05-24;0,44;0,51;0,44;0,48;0;
2019-05-23;0,525;0,525;0,43;0,432;0;
2019-05-22;0,525;0,56;0,492;0,492;0;
2019-05-21;0,525;0,525;0,436;0,436;0;
2019-05-20;0,57;0,58;0,432;0,432;0;
2019-05-17;0,40;0,474;0,40;0,474;0;
2019-05-16;0,635;0,635;0,40;0,402;0;
2019-05-15;0,635;0,635;0,55;0,55;0;
2019-05-14;0,635;0,635;0,55;0,55;0;
2019-05-13;0,625;0,635;0,55;0,55;0;
2019-05-10;0,635;0,645;0,54;0,54;2.000;1.280
2019-05-09;0,62;0,625;0,55;0,55;0;
2019-05-08;0,60;0,60;0,51;0,51;0;
2019-05-07;0,615;0,635;0,432;0,432;0;
2019-05-06;0,635;0,635;0,53;0,53;0;
2019-05-03;0,635;0,635;0,55;0,55;0;
2019-05-02;0,63;0,665;0,55;0,55;405;269
2019-04-30;0,665;0,665;0,65;0,65;0;
2019-04-29;0,59;0,695;0,55;0,55;2.870;1.822
2019-04-26;0,605;0,635;0,51;0,51;0;
2019-04-25;0,61;0,635;0,54;0,54;0;
2019-04-24;0,55;0,65;0,52;0,55;0;
2019-04-23;0,57;0,57;0,46;0,46;0;
2019-04-18;0,57;0,57;0,428;0,428;0;
2019-04-17;0,60;0,61;0,57;0,57;0;
2019-04-16;0,59;0,61;0,51;0,51;0;
2019-04-15;0,65;0,65;0,515;0,515;0;
2019-04-12;0,645;0,665;0,55;0,60;0;
2019-04-11;0,675;0,675;0,56;0,56;0;
2019-04-10;0,74;0,74;0,59;0,59;0;
2019-04-09;0,74;0,74;0,665;0,665;0;
2019-04-08;0,745;0,745;0,665;0,665;0;
2019-04-05;0,725;0,74;0,655;0,655;0;
2019-04-04;0,70;0,785;0,66;0,66;0;
2019-04-03;0,655;0,685;0,635;0,635;0;
2019-04-02;0,63;0,665;0,575;0,575;0;
2019-04-01;0,645;0,645;0,545;0,545;0;
2019-03-29;0,624;0,6501;0,5467;0,5467;0;
2019-03-28;0,657;0,657;0,5382;0,5382;0;
2019-03-27;0,673;0,693;0,5668;0,5668;0;
2019-03-26;0,712;0,712;0,59;0,59;0;
2019-03-25;0,668;0,752;0,62;0,63;100;75
2019-03-22;0,663;0,6966;0,663;0,6966;0;
2019-03-21;0,663;0,693;0,663;0,683;0;
2019-03-20;0,673;0,712;0,673;0,7001;0;
2019-03-19;0,688;0,712;0,688;0,707;0;
2019-03-18;0,688;0,712;0,688;0,712;0;
2019-03-15;0,678;0,712;0,678;0,712;0;
2019-03-14;0,688;0,712;0,688;0,7001;0;
2019-03-13;0,688;0,712;0,688;0,712;1.050;748
2019-03-12;0,698;0,712;0,698;0,702;0;
2019-03-11;0,683;0,712;0,683;0,712;0;
2019-03-08;0,673;0,7301;0,673;0,707;0;
2019-03-07;0,673;0,7301;0,673;0,7301;0;
2019-03-06;0,688;0,722;0,688;0,7101;0;
2019-03-05;0,741;0,741;0,722;0,722;0;
2019-03-04;0,741;0,741;0,741;0,741;0;
2019-03-01;0,732;0,741;0,732;0,741;0;
2019-02-28;0,741;0,75;0,741;0,75;0;
2019-02-27;0,732;0,732;0,70;0,72;0;
2019-02-26;0,729;0,732;0,712;0,712;0;
2019-02-25;0,703;0,729;0,703;0,71;0;
2019-02-22;0,70;0,732;0,70;0,703;0;
2019-02-21;0,732;0,732;0,70;0,70;0;
2019-02-20;0,732;0,732;0,732;0,732;0;
2019-02-19;0,70;0,732;0,70;0,70;0;
2019-02-18;0,61;0,732;0,61;0,70;1.000;732
2019-02-15;0,732;0,732;0,70;0,70;735;522
2019-02-14;0,722;0,732;0,722;0,732;0;
2019-02-13;0,697;0,746;0,624;0,624;0;
2019-02-12;0,732;0,75;0,66;0,66;0;
2019-02-11;0,814;0,814;0,80;0,80;0;
2019-02-08;0,82;0,82;0,82;0,82;0;
2019-02-07;0,825;0,825;0,82;0,82;0;
2019-02-06;0,825;0,825;0,82;0,82;0;
2019-02-05;0,82;0,82;0,80;0,80;0;
2019-02-04;0,822;0,822;0,80;0,80;0;
2019-02-01;0,822;0,822;0,821;0,822;0;
2019-01-31;0,817;0,817;0,814;0,814;0;
2019-01-30;0,803;0,832;0,803;0,832;0;
2019-01-29;0,803;0,803;0,78;0,78;0;
2019-01-28;0,84;0,84;0,80;0,80;1.000;840
2019-01-25;0,80;0,80;0,80;0,80;0;
2019-01-24;0,73;0,80;0,73;0,80;0;
2019-01-23;0,81;0,81;0,79;0,79;0;
2019-01-22;0,81;0,81;0,81;0,81;0;
2019-01-21;0,80;0,81;0,80;0,81;0;
2019-01-18;0,81;0,81;0,80;0,80;0;
2019-01-17;0,81;0,81;0,79;0,79;499;1.182
2019-01-16;0,80;0,82;0,80;0,809;850;2.064
2019-01-15;0,80;0,80;0,78;0,79;0;
2019-01-14;0,78;0,80;0,78;0,78;0;
2019-01-11;0,84;0,84;0,78;0,78;1.000;840
2019-01-10;0,809;0,809;0,72;0,78;1.500;0
2019-01-09;0,70;0,82;0,69;0,82;;
2019-01-08;0,46;0,66;0,46;0,66;0;
2019-01-07;0,66;0,67;0,55;0,55;88;56
2019-01-04;0,68;0,69;0,68;0,68;0;
2019-01-03;0,69;0,69;0,69;0,69;0;
2019-01-02;0,68;0,70;0,67;0,69;1.000;700
2018-12-28;0,67;0,67;0,64;0,66;500;320
2018-12-27;0,68;0,78;0,65;0,66;19.000;12.350
2018-12-21;0,80;0,81;0,78;0,80;1.000;810
2018-12-20;0,808;0,82;0,808;0,82;0;
2018-12-19;0,85;0,85;0,82;0,82;0;
2018-12-18;0,888;0,888;0,87;0,87;0;
2018-12-17;0,834;0,85;0,834;0,85;0;
2018-12-14;0,89;0,89;0,83;0,87;0;
2018-12-13;0,904;0,904;0,88;0,88;0;
2018-12-12;0,93;0,93;0,90;0,90;0;
2018-12-11;0,85;0,93;0,85;0,93;0;
2018-12-10;0,883;0,883;0,88;0,88;0;
2018-12-07;0,893;0,893;0,88;0,88;0;
2018-12-06;0,90;0,91;0,88;0,88;800;704
2018-12-05;0,959;0,97;0,89;0,89;0;
2018-12-04;0,971;0,971;0,95;0,95;0;
2018-12-03;0,97;0,97;0,94;0,94;402;378
