Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;32,00;32,40;32,00;32,40;300;9.680
2019-05-02;32,20;32,20;32,20;32,20;34;1.095
2019-04-30;32,40;32,40;32,40;32,40;40;1.296
2019-04-29;32,40;32,40;32,40;32,40;0;0
2019-04-26;31,80;31,80;31,80;31,80;0;0
2019-04-25;31,60;31,60;31,60;31,60;0;0
2019-04-24;31,80;32,20;31,80;31,80;364;11.643
2019-04-23;31,80;31,80;31,80;31,80;0;0
2019-04-18;31,80;31,80;31,80;31,80;0;0
2019-04-17;32,00;32,00;32,00;32,00;0;0
2019-04-16;31,60;31,60;31,60;31,60;0;0
2019-04-15;31,60;31,60;31,60;31,60;0;0
2019-04-12;31,80;32,00;31,80;32,00;40;1.280
2019-04-11;31,80;31,80;31,80;31,80;0;0
2019-04-10;31,20;31,20;31,20;31,20;0;0
2019-04-09;30,80;31,20;30,80;31,20;50;1.560
2019-04-08;31,60;31,60;31,60;31,60;0;0
2019-04-05;32,00;32,00;30,80;30,80;150;4.680
2019-04-04;31,80;31,80;31,80;31,80;0;0
2019-04-03;31,00;31,40;31,00;31,40;400;12.520
2019-04-02;32,80;32,80;31,40;31,40;80;2.512
2019-04-01;33,20;33,20;32,80;32,80;200;6.600
2019-03-29;33,60;33,60;33,20;33,20;327;10.922
2019-03-28;33,60;33,60;33,60;33,60;0;0
2019-03-27;33,60;33,60;33,60;33,60;100;3.360
2019-03-26;33,60;33,80;33,60;33,60;800;26.960
2019-03-25;33,40;34,20;33,40;33,60;197;6.660
2019-03-22;33,40;33,40;33,40;33,40;100;3.340
2019-03-21;33,20;33,20;33,20;33,20;0;0
2019-03-20;33,60;33,60;33,40;33,40;240;8.030
2019-03-19;32,80;32,80;32,80;32,80;0;0
2019-03-18;32,40;33,00;32,40;32,80;802;26.126
2019-03-15;28,60;31,60;28,60;31,60;2.510;77.480
2019-03-14;28,60;28,60;28,60;28,60;0;0
2019-03-13;28,60;28,60;28,60;28,60;0;0
2019-03-12;28,40;28,40;28,40;28,40;0;0
2019-03-11;28,40;28,80;28,40;28,40;1.250;35.582
2019-03-08;28,40;28,60;28,40;28,60;200;5.700
2019-03-07;28,40;28,40;28,40;28,40;0;0
2019-03-06;28,40;28,40;28,40;28,40;0;0
2019-03-05;28,40;28,40;28,40;28,40;0;0
2019-03-04;28,40;28,40;28,40;28,40;0;0
2019-03-01;28,80;28,80;28,00;28,00;129;3.672
2019-02-28;28,80;28,80;28,80;28,80;0;0
2019-02-27;28,80;28,80;28,80;28,80;176;5.069
2019-02-26;28,80;28,80;28,80;28,80;0;0
2019-02-25;28,00;29,00;28,00;29,00;550;15.800
2019-02-22;28,80;28,80;28,80;28,80;40;1.152
2019-02-21;28,40;28,60;28,40;28,60;79;2.259
2019-02-20;29,20;29,20;27,80;27,80;200;5.620
2019-02-19;29,60;29,60;29,60;29,60;100;2.960
2019-02-18;29,60;29,80;29,20;29,80;500;14.780
2019-02-15;28,60;29,60;28,60;29,60;300;8.820
2019-02-14;28,20;28,20;28,20;28,20;40;1.128
2019-02-13;27,40;27,60;27,40;27,60;100;2.760
2019-02-12;27,60;27,60;27,60;27,60;0;0
2019-02-11;27,20;27,60;27,20;27,60;145;4.001
2019-02-08;27,20;27,20;27,20;27,20;0;0
2019-02-07;27,60;27,80;27,40;27,60;858;23.712
2019-02-06;30,60;30,60;27,20;27,20;1.200;35.440
2019-02-05;30,60;30,60;30,60;30,60;0;0
2019-02-04;30,20;30,20;30,20;30,20;0;0
2019-02-01;30,20;30,20;30,20;30,20;0;0
2019-01-31;30,40;30,40;30,40;30,40;0;0
2019-01-30;30,40;30,40;30,40;30,40;0;0
2019-01-29;30,60;30,60;30,00;30,20;615;18.616
2019-01-28;30,80;31,00;30,80;31,00;100;3.100
2019-01-25;31,00;31,00;31,00;31,00;27;837
2019-01-24;31,20;31,20;31,20;31,20;0;0
2019-01-23;31,40;31,40;31,20;31,20;100;3.120
2019-01-22;31,40;31,40;31,40;31,40;0;0
2019-01-21;30,20;31,40;30,20;31,40;250;7.790
2019-01-18;30,40;30,60;30,40;30,60;100;3.060
2019-01-17;30,60;30,60;30,40;30,60;300;9.140
2019-01-16;30,60;30,60;30,60;30,60;0;0
2019-01-15;30,40;30,60;30,40;30,60;150;4.570
2019-01-14;30,40;30,80;30,00;30,00;175;5.310
2019-01-11;32,20;32,20;30,40;30,40;200;6.220
2019-01-10;31,60;31,60;31,60;31,60;0;0
2019-01-09;32,00;32,00;32,00;32,00;0;0
2019-01-08;32,20;32,20;32,20;32,20;0;0
2019-01-07;32,40;32,40;32,40;32,40;0;0
2019-01-04;32,60;32,80;32,60;32,80;30;984
2019-01-03;32,60;32,60;32,60;32,60;0;0
2019-01-02;32,40;33,00;32,40;32,80;320;10.416
2018-12-28;31,60;32,80;31,60;32,80;407;13.170
2018-12-27;31,80;33,00;31,80;33,00;40;1.272
2018-12-21;32,20;32,80;32,20;32,40;200;6.520
2018-12-20;31,80;32,20;31,80;32,20;50;1.610
2018-12-19;31,80;31,80;31,80;31,80;0;0
2018-12-18;31,80;31,80;31,20;31,20;140;4.368
2018-12-17;30,80;30,80;30,80;30,80;0;0
2018-12-14;29,40;31,20;29,40;31,20;100;3.120
2018-12-13;29,40;29,40;29,40;29,40;0;0
2018-12-12;30,00;30,00;30,00;30,00;0;0
2018-12-11;30,00;30,00;30,00;30,00;100;3.000
2018-12-10;30,60;30,60;30,60;30,60;0;0
2018-12-07;31,80;31,80;31,80;31,80;0;0
2018-12-06;33,00;33,20;32,20;32,60;350;11.460
2018-12-05;31,00;33,60;31,00;32,40;945;30.815
2018-12-04;29,20;32,00;29,20;31,60;362;11.171
2018-12-03;29,00;29,00;29,00;29,00;0;0
2018-11-30;28,60;29,40;28,60;29,00;515;14.915
2018-11-29;28,20;28,20;28,20;28,20;0;0
2018-11-28;28,40;28,40;28,40;28,40;0;0
2018-11-27;28,20;28,40;28,20;28,40;100;2.840
2018-11-26;28,60;28,60;28,60;28,60;0;0
2018-11-23;28,20;28,60;28,20;28,60;184;5.242
2018-11-22;28,20;28,40;28,20;28,40;25;710
2018-11-21;28,00;28,20;28,00;28,20;380;10.640
2018-11-20;28,00;28,20;28,00;28,20;100;2.820
2018-11-19;27,80;27,80;27,80;27,80;0;0
2018-11-16;26,40;28,20;26,40;28,20;70;1.970
2018-11-15;26,80;26,80;26,80;26,80;173;4.636
2018-11-14;26,60;27,00;26,60;27,00;50;1.350
2018-11-13;26,80;26,80;26,60;26,60;20;532
2018-11-12;26,80;26,80;26,00;26,00;137;3.622
2018-11-09;27,00;27,00;27,00;27,00;0;0
2018-11-08;27,00;27,00;27,00;27,00;0;0
