Datum;Erster;Hoch;Tief;Schlusskurs;Vol. (nom.);Volumen
2019-07-19;105,06;105,06;105,06;105,06;8.000;8.405
2019-07-18;104,55;104,55;104,55;104,55;10.000;10.455
2019-07-15;104,535;104,535;104,535;104,535;3.000;3.136
2019-07-12;104,535;104,535;104,535;104,535;5.000;5.227
2019-07-09;104,54;104,54;104,54;104,54;0;0
2019-07-08;104,535;105,065;104,535;105,065;2.000;2.096
2019-07-01;104,00;104,00;104,00;104,00;7.000;7.280
2019-06-28;104,27;104,75;104,225;104,225;20.000;20.899
2019-06-25;104,00;104,00;103,75;103,75;16.000;16.625
2019-06-24;104,50;104,50;104,50;104,50;32.000;33.440
2019-06-21;104,495;104,495;104,495;104,495;30.000;31.349
2019-06-20;104,40;104,495;104,40;104,495;30.000;31.330
2019-06-18;104,275;104,80;104,275;104,695;25.000;26.157
2019-06-17;104,80;104,80;104,80;104,80;10.000;10.480
2019-06-13;104,50;104,50;104,50;104,50;45.000;47.025
2019-06-07;104,01;104,50;104,01;104,495;44.000;45.955
2019-06-06;103,50;103,50;103,50;103,50;10.000;10.350
2019-06-05;104,10;104,10;103,50;103,50;20.000;20.760
2019-06-04;104,105;104,105;104,105;104,105;1.000;1.041
2019-06-03;103,585;103,585;103,585;103,585;0;0
2019-05-31;104,105;104,105;104,105;104,105;1.000;1.041
2019-05-30;104,545;104,545;104,545;104,545;10.000;10.455
2019-05-29;104,025;104,025;104,025;104,025;1.000;1.040
2019-05-28;103,50;103,50;103,50;103,50;60.000;62.100
2019-05-27;103,92;103,92;103,50;103,50;20.000;20.700
2019-05-24;104,44;104,44;104,44;104,44;10.000;10.444
2019-05-22;104,965;104,965;104,965;104,965;3.000;3.149
2019-05-20;104,50;104,50;104,50;104,50;16.000;16.720
2019-05-17;104,80;104,80;104,80;104,80;5.000;5.240
2019-05-16;104,45;104,45;104,45;104,45;5.000;5.223
2019-05-13;105,47;105,47;105,47;105,47;50.000;52.735
2019-05-09;105,00;105,00;105,00;105,00;10.000;10.500
2019-05-08;104,415;104,935;104,415;104,935;5.000;5.247
2019-05-07;105,465;105,465;104,94;104,94;14.000;14.713
2019-05-06;105,465;105,47;105,465;105,47;29.000;30.586
2019-05-03;105,47;105,47;105,47;105,47;22.000;23.203
2019-04-29;105,465;105,465;105,465;105,465;5.000;5.273
2019-04-25;105,225;105,50;105,22;105,22;111.000;116.822
2019-04-23;104,695;104,695;104,695;104,695;10.000;10.470
2019-04-18;105,22;105,22;105,22;105,22;5.000;5.261
2019-04-17;105,00;105,75;105,00;105,75;33.000;34.875
2019-04-09;105,25;105,25;105,25;105,25;5.000;5.263
2019-03-26;105,10;105,10;105,10;105,10;5.000;5.255
2019-03-22;103,955;105,005;103,955;105,005;5.000;5.229
2019-03-21;104,475;104,475;104,475;104,475;0;0
2019-03-20;104,22;105,90;104,22;105,00;96.000;101.166
