Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;5,00;5,00;5,00;5,00;0;0
2019-07-18;5,00;5,00;5,00;5,00;0;0
2019-07-17;5,00;5,00;5,00;5,00;0;0
2019-07-16;5,00;5,00;5,00;5,00;0;0
2019-07-15;5,00;5,00;5,00;5,00;0;0
2019-07-12;5,00;5,00;5,00;5,00;0;0
2019-07-11;5,00;5,00;5,00;5,00;0;0
2019-07-10;5,00;5,00;5,00;5,00;0;0
2019-07-09;5,00;5,00;5,00;5,00;0;0
2019-07-08;5,00;5,00;5,00;5,00;0;0
2019-07-05;4,92;5,00;4,92;5,00;0;0
2019-07-04;5,00;5,00;5,00;5,00;0;0
2019-07-03;5,00;5,00;5,00;5,00;0;0
2019-07-02;5,00;5,00;5,00;5,00;0;0
2019-07-01;5,00;5,00;5,00;5,00;0;0
2019-06-28;5,00;5,00;5,00;5,00;0;0
2019-06-27;5,00;5,00;5,00;5,00;0;0
2019-06-26;5,00;5,00;5,00;5,00;0;0
2019-06-25;5,00;5,00;5,00;5,00;0;0
2019-06-24;5,00;5,00;5,00;5,00;0;0
2019-06-21;5,00;5,00;5,00;5,00;0;0
2019-06-20;5,00;5,00;5,00;5,00;0;0
2019-06-19;5,00;5,00;5,00;5,00;0;0
2019-06-18;4,92;5,00;4,92;5,00;0;0
2019-06-17;5,00;5,00;5,00;5,00;0;0
2019-06-14;5,00;5,00;5,00;5,00;0;0
2019-06-13;5,00;5,00;5,00;5,00;0;0
2019-06-12;5,00;5,00;5,00;5,00;0;0
2019-06-11;5,05;5,05;5,00;5,00;0;0
2019-06-07;5,00;5,00;5,00;5,00;0;0
2019-06-06;5,00;5,00;5,00;5,00;0;0
2019-06-05;5,00;5,00;5,00;5,00;0;0
2019-06-04;5,00;5,00;5,00;5,00;0;0
2019-06-03;5,00;5,05;5,00;5,05;0;0
2019-05-31;5,00;5,00;4,96;4,96;0;0
2019-05-30;5,00;5,00;4,96;4,96;0;0
2019-05-29;5,00;5,00;4,96;4,96;0;0
2019-05-28;5,00;5,00;4,96;4,96;0;0
2019-05-27;5,00;5,00;4,96;4,96;0;0
2019-05-24;5,00;5,00;4,96;4,96;0;0
2019-05-23;5,00;5,00;4,96;4,96;0;0
2019-05-22;5,00;5,00;4,96;4,96;0;0
2019-05-21;5,00;5,00;4,96;4,96;0;0
2019-05-20;5,00;5,00;4,96;4,96;0;0
2019-05-17;5,00;5,00;4,96;4,96;30;149
