Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;45,75;45,75;44,50;45,10;8.944;403.935
2019-05-02;46,35;46,50;45,10;45,10;8.993;412.023
2019-04-30;46,30;47,35;45,15;46,30;16.503;761.262
2019-04-29;46,25;47,45;45,05;46,25;18.600;858.866
2019-04-26;45,65;46,80;44,50;46,35;22.394;1.026.971
2019-04-25;46,55;46,55;44,35;45,10;17.520;794.451
2019-04-24;44,10;48,25;42,15;46,15;31.646;1.406.532
2019-04-23;48,55;48,75;43,65;43,65;40.310;1.812.273
2019-04-18;49,55;50,10;48,00;48,25;35.399;1.735.981
2019-04-17;47,95;48,20;45,30;47,95;63.397;2.987.699
2019-04-16;43,35;45,85;42,70;45,85;51.524;2.270.674
2019-04-15;40,50;42,70;40,50;41,00;35.546;1.475.563
2019-04-12;39,00;39,85;38,40;39,80;3.782;147.903
2019-04-11;38,90;39,40;38,90;39,10;427;16.680
2019-04-10;40,40;40,55;39,15;39,35;3.658;145.930
2019-04-09;39,65;40,70;37,95;39,85;6.629;259.431
2019-04-08;41,10;41,55;40,05;40,10;4.649;190.234
2019-04-05;41,05;42,25;41,05;41,55;1.370;57.167
2019-04-04;42,50;42,50;41,15;41,50;2.945;122.826
2019-04-03;42,70;42,85;41,85;42,45;3.308;140.272
2019-04-02;42,55;42,80;42,20;42,20;2.588;109.821
2019-04-01;39,25;42,50;39,25;41,85;13.189;549.032
2019-03-29;37,245;38,905;36,705;38,905;5.923;223.351
2019-03-28;36,92;37,265;36,435;36,99;4.476;164.763
2019-03-27;36,80;37,34;36,50;36,50;2.344;85.998
2019-03-26;37,32;37,32;36,19;36,685;2.704;98.848
2019-03-25;37,50;37,935;36,35;37,12;3.481;129.028
2019-03-22;37,395;38,06;37,38;38,06;3.240;122.078
2019-03-21;36,995;37,33;36,715;37,29;4.880;180.645
2019-03-20;35,945;37,54;35,90;36,615;9.603;350.942
2019-03-19;36,475;36,475;35,00;35,54;4.136;147.725
2019-03-18;37,30;37,30;36,14;36,575;3.969;145.177
2019-03-15;35,975;37,82;35,975;37,255;7.327;271.913
2019-03-14;35,50;36,56;35,105;36,47;6.123;220.619
2019-03-13;34,975;35,895;34,54;35,50;4.128;145.747
2019-03-12;32,48;34,76;31,935;34,60;4.922;162.955
2019-03-11;31,865;32,09;31,70;32,00;4.501;143.912
2019-03-08;31,65;32,17;31,50;31,50;6.058;191.791
2019-03-07;31,45;32,10;31,03;31,505;9.468;299.083
2019-03-06;30,805;31,535;30,515;31,00;12.430;385.315
2019-03-05;30,85;31,29;30,505;30,80;2.929;90.072
2019-03-04;30,865;30,99;30,225;30,795;3.911;120.243
2019-03-01;30,40;31,465;30,075;30,50;11.420;350.955
