Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;6,80;7,20;6,80;7,05;7.445;52.098
2019-07-18;6,70;6,80;6,70;6,80;700;4.690
2019-07-17;7,00;7,00;7,00;7,00;210;1.470
2019-07-16;6,65;6,95;6,65;6,85;800;5.485
2019-07-15;6,80;6,80;6,75;6,75;150;1.020
2019-07-12;6,65;6,75;6,65;6,75;100;665
2019-07-11;6,80;6,80;6,75;6,75;949;6.453
2019-07-10;6,85;6,85;6,85;6,85;0;0
2019-07-09;6,85;6,85;6,85;6,85;0;0
2019-07-08;6,80;6,85;6,80;6,85;200;1.360
2019-07-05;6,85;6,85;6,85;6,85;0;0
2019-07-04;6,95;7,00;6,80;6,90;2.800;19.275
2019-07-03;6,90;6,90;6,90;6,90;1.637;11.295
2019-07-02;6,80;6,90;6,80;6,85;2.953;20.176
2019-07-01;6,75;6,75;6,75;6,75;0;0
2019-06-28;6,90;6,90;6,75;6,75;50;345
2019-06-27;6,90;6,90;6,80;6,80;1.200;8.280
2019-06-26;6,60;6,90;6,60;6,70;4.007;26.699
2019-06-25;6,60;6,90;6,50;6,70;13.447;88.424
2019-06-24;6,50;6,60;6,50;6,55;2.060;13.391
2019-06-21;6,60;6,65;6,45;6,45;1.000;6.614
2019-06-20;6,70;6,70;6,45;6,50;7.473;48.802
2019-06-19;6,55;6,85;6,55;6,65;5.721;37.933
2019-06-18;6,60;6,60;6,40;6,50;1.644;10.833
2019-06-17;6,70;7,00;6,55;6,55;3.300;22.250
2019-06-14;6,90;7,10;6,60;6,90;3.712;25.699
2019-06-13;7,00;7,00;6,90;6,90;5.005;35.035
2019-06-12;6,80;6,80;6,80;6,80;0;0
2019-06-11;6,70;6,95;6,70;6,80;2.520;17.076
2019-06-07;7,00;7,00;6,85;6,85;500;3.500
2019-06-06;7,05;7,05;7,00;7,00;800;5.620
2019-06-05;7,10;7,10;6,60;7,00;5.285;35.957
2019-06-04;7,00;7,20;7,00;7,10;2.200;15.430
2019-06-03;7,00;7,20;7,00;7,10;6.171;43.207
2019-05-31;6,70;7,00;6,70;6,85;600;4.140
2019-05-30;6,75;6,90;6,75;6,90;200;1.350
2019-05-29;6,65;7,00;6,65;7,00;600;4.130
2019-05-28;7,00;7,00;6,80;6,80;300;2.100
2019-05-27;6,70;6,90;6,70;6,90;250;1.675
2019-05-24;6,60;7,00;6,60;6,80;6.218;42.231
2019-05-23;6,75;6,75;6,75;6,75;0;0
2019-05-21;7,15;7,15;7,15;7,15;400;2.860
2019-05-20;7,15;7,15;7,00;7,00;12;86
2019-05-17;7,15;7,15;7,15;7,15;500;3.575
2019-05-16;7,10;7,10;6,95;6,95;6.500;46.000
2019-05-15;7,10;7,10;6,95;6,95;400;2.840
2019-05-14;6,95;6,95;6,95;6,95;0;0
2019-05-13;7,10;7,10;6,95;6,95;400;2.840
2019-05-10;6,95;6,95;6,95;6,95;0;0
2019-05-09;7,10;7,10;6,95;6,95;500;3.550
2019-05-08;7,10;7,10;6,95;6,95;500;3.550
2019-05-07;7,10;7,10;6,95;6,95;2.250;15.975
2019-05-06;7,10;7,10;7,10;7,10;150;1.065
2019-05-03;6,90;7,10;6,90;6,90;1.500;10.436
2019-05-02;6,75;6,90;6,65;6,80;2.150;14.524
2019-04-30;6,90;6,90;6,90;6,90;0;0
2019-04-29;6,60;7,05;6,60;6,90;4.269;29.221
2019-04-26;6,60;6,60;6,55;6,55;1.000;6.600
2019-04-25;6,60;6,60;6,40;6,50;1.496;9.695
2019-04-24;6,50;6,50;6,50;6,50;0;0
2019-04-23;6,60;6,60;6,50;6,50;400;2.640
2019-04-18;6,50;6,50;6,40;6,50;1.020;6.625
2019-04-17;6,45;6,45;6,45;6,45;0;0
2019-04-16;6,60;6,60;6,50;6,50;8;53
2019-04-15;6,60;6,60;6,55;6,55;700;4.610
2019-04-12;6,70;6,70;6,30;6,55;3.655;23.612
2019-04-11;6,80;6,85;6,70;6,70;364;2.492
