Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;66,00;66,00;66,00;66,00;0;0
2019-05-02;66,00;66,50;63,50;66,00;1.505;99.126
2019-04-30;63,50;63,50;63,50;63,50;0;0
2019-04-29;63,50;63,50;63,50;63,50;0;0
2019-04-26;64,00;64,00;63,50;63,50;616;39.204
2019-04-25;64,50;64,50;64,00;64,50;184;11.851
2019-04-24;64,00;64,50;63,50;63,50;1.201;76.864
2019-04-23;65,00;65,50;65,00;65,00;36;2.351
2019-04-18;66,00;66,00;64,00;65,00;115;7.560
2019-04-17;65,00;66,00;65,00;66,00;330;21.451
2019-04-16;64,50;64,50;64,50;64,50;377;24.317
2019-04-15;62,50;64,00;62,50;64,00;1.198;76.222
2019-04-12;62,00;62,00;62,00;62,00;0;0
2019-04-11;62,50;62,50;62,00;62,00;668;41.431
2019-04-10;63,50;64,00;63,00;63,00;753;47.839
2019-04-09;61,50;61,50;61,50;61,50;102;6.273
2019-04-08;60,50;60,50;60,00;60,00;5;303
2019-04-05;60,50;60,50;60,50;60,50;0;0
2019-04-04;61,50;61,50;60,50;60,50;305;18.458
2019-04-03;61,00;61,00;60,00;61,00;414;25.251
2019-04-02;60,50;60,50;60,50;60,50;0;0
2019-04-01;60,00;60,50;60,00;60,50;123;7.380
2019-03-29;56,70;60,59;56,50;59,49;1.727;102.117
2019-03-28;58,89;58,91;56,21;56,85;538;31.211
2019-03-27;58,50;58,50;57,90;58,41;185;10.735
2019-03-26;59,22;59,22;57,55;57,56;1.375;80.637
2019-03-25;57,45;57,68;57,45;57,68;101;5.803
2019-03-22;56,38;57,26;56,24;57,26;360;20.254
2019-03-21;57,38;57,38;57,38;57,38;1;57
2019-03-20;57,00;57,00;56,46;56,72;414;23.385
2019-03-19;56,91;57,25;56,91;57,25;1;57
2019-03-18;56,87;56,87;56,87;56,87;35;1.990
2019-03-15;57,80;57,89;57,45;57,89;435;25.098
2019-03-14;56,60;57,80;56,60;57,80;1.131;64.871
2019-03-13;55,09;57,15;54,82;57,15;2.790;156.062
2019-03-12;56,30;56,30;55,58;55,58;150;8.411
2019-03-11;57,11;57,11;56,73;56,73;444;25.357
2019-03-08;58,22;58,22;57,81;57,81;30;1.747
2019-03-07;57,81;57,81;57,81;57,81;0;0
2019-03-06;57,81;57,81;57,81;57,81;0;0
2019-03-05;58,21;58,21;57,81;57,81;300;17.463
2019-03-04;57,40;57,40;57,40;57,40;1;57
2019-03-01;58,22;58,22;57,14;57,14;375;21.764
2019-02-28;59,17;59,17;59,00;59,00;328;19.408
2019-02-27;59,98;59,98;59,98;59,98;1;60
2019-02-26;59,19;59,48;59,19;59,48;236;13.969
2019-02-25;58,41;58,49;58,41;58,49;223;13.041
2019-02-22;58,49;58,49;57,70;57,70;9;526
2019-02-21;58,39;59,89;58,39;59,29;1.397;81.973
2019-02-20;59,36;59,36;57,76;57,76;547;32.235
2019-02-19;58,18;58,18;58,18;58,18;145;8.436
2019-02-18;58,91;58,91;58,91;58,91;376;22.150
2019-02-15;59,01;59,01;59,01;59,01;139;8.202
2019-02-14;60,00;60,00;59,01;59,52;590;34.927
2019-02-13;62,99;62,99;60,11;60,11;2.165;133.703
2019-02-12;64,30;64,65;63,60;64,00;1.445;92.225
2019-02-11;64,80;64,80;64,80;64,80;0;0
2019-02-08;65,95;65,95;65,05;65,05;935;61.180
2019-02-07;66,89;66,89;66,33;66,33;98;6.544
2019-02-06;66,97;66,97;66,45;66,45;19;1.272
2019-02-05;66,40;67,00;65,94;66,48;64;4.265
2019-02-04;66,99;67,00;66,85;66,85;27;1.809
2019-02-01;66,85;66,99;66,70;66,70;245;16.380
2019-01-31;67,31;67,31;66,86;66,86;30;2.019
2019-01-30;67,00;67,60;66,41;66,41;547;36.485
2019-01-29;66,40;67,00;66,40;66,60;900;59.896
2019-01-28;66,00;66,29;65,50;66,00;1.626;107.322
2019-01-25;67,00;67,20;62,30;64,18;2.179;140.415
2019-01-24;67,43;68,69;67,10;67,40;848;57.264
2019-01-23;65,62;66,91;65,62;66,91;165;10.827
2019-01-22;66,40;68,30;66,40;66,51;2.295;154.673
2019-01-21;65,24;67,00;65,20;66,47;479;31.614
2019-01-18;60,50;63,90;60,50;63,76;1.839;113.290
2019-01-17;57,35;59,97;56,95;59,66;3.034;177.491
2019-01-16;57,84;57,84;57,84;57,84;0;0
2019-01-15;58,25;58,25;57,81;57,81;33;1.922
2019-01-14;58,04;58,04;58,04;58,04;0;0
2019-01-11;56,51;58,94;56,50;57,76;2.269;131.192
2019-01-10;57,00;57,00;56,40;56,94;1.375;78.017
2019-01-09;59,95;59,95;58,14;58,14;563;33.276
2019-01-08;60,01;60,01;58,80;58,80;1.307;77.819
2019-01-07;62,89;62,89;60,92;60,92;490;30.087
2019-01-04;63,60;64,05;62,69;62,69;676;42.406
2019-01-03;64,95;64,95;63,35;63,35;562;35.744
2019-01-02;65,00;65,99;64,43;64,43;490;31.594
2018-12-28;65,00;68,00;65,00;65,15;454;30.072
2018-12-27;66,00;73,10;65,00;65,00;4.282;297.952
2018-12-21;67,49;69,25;66,30;66,30;2.245;151.963
2018-12-20;69,59;71,06;67,57;69,72;4.753;333.584
2018-12-19;72,40;73,37;69,17;71,00;1.069;76.781
2018-12-18;69,00;73,93;67,59;70,31;4.709;333.918
2018-12-17;65,50;68,78;65,50;65,95;609;41.009
2018-12-14;68,21;68,21;66,00;66,38;380;25.932
2018-12-13;68,77;68,77;68,77;68,77;0;0
2018-12-12;68,12;68,12;68,12;68,12;145;9.877
2018-12-11;71,51;71,51;68,56;68,56;777;51.312
2018-12-10;73,48;73,60;73,09;73,09;2.089;153.842
2018-12-07;73,50;73,50;72,75;72,75;47;3.434
2018-12-06;70,83;72,18;70,83;72,18;650;46.391
2018-12-05;73,54;74,20;73,44;74,20;70;5.143
2018-12-04;74,51;74,51;73,36;73,36;2.150;160.120
2018-12-03;73,43;74,83;73,43;74,83;900;66.273
2018-11-30;72,01;72,70;71,50;72,70;2.295;165.064
2018-11-29;71,04;72,50;71,04;72,40;958;68.602
2018-11-28;70,51;70,51;70,00;70,00;2.206;154.946
2018-11-27;70,58;70,58;69,90;69,90;163;11.411
2018-11-26;68,01;70,59;68,01;70,39;1.419;98.469
2018-11-23;66,43;70,00;66,43;69,60;1.605;110.987
2018-11-22;67,01;67,01;65,01;66,04;692;46.009
2018-11-21;67,50;67,68;67,00;67,00;408;27.558
2018-11-20;68,99;70,14;67,90;67,90;403;28.048
2018-11-19;68,32;68,32;67,65;67,65;30;2.050
2018-11-16;68,42;69,10;67,68;67,68;53;3.640
2018-11-15;67,58;71,29;67,58;68,61;888;61.636
2018-11-14;67,58;67,58;67,58;67,58;0;0
2018-11-13;68,31;68,31;68,12;68,12;20;1.366
2018-11-12;68,73;68,73;67,85;67,85;173;11.841
2018-11-09;68,15;68,15;68,15;68,15;251;17.106
2018-11-08;71,10;71,10;69,38;69,38;457;32.033
2018-11-07;72,32;72,32;70,58;70,58;669;47.930
2018-11-06;74,00;74,00;70,35;70,35;1.173;84.785
2018-11-05;71,00;72,75;70,10;71,68;964;69.630
2018-11-02;73,00;73,60;71,10;71,13;897;65.013
2018-11-01;73,50;74,40;71,62;71,62;950;68.103
2018-10-31;72,76;72,76;72,76;72,76;0;0
2018-10-29;74,40;74,40;74,40;74,40;20;1.488
2018-10-26;72,00;72,30;66,71;72,30;4.930;341.821
2018-10-25;75,15;75,15;72,30;72,30;1.094;80.135
2018-10-24;76,79;76,79;76,79;76,79;200;15.358
2018-10-23;75,57;75,57;75,57;75,57;0;0
2018-10-22;76,24;76,24;75,60;75,60;25;1.906
2018-10-19;76,14;76,26;75,40;75,40;600;45.680
2018-10-18;75,61;75,61;75,54;75,54;400;30.242
2018-10-17;77,10;77,10;76,70;76,70;22;1.696
2018-10-16;74,00;75,43;74,00;74,68;379;28.360
2018-10-15;75,00;75,00;74,00;74,00;70;5.195
2018-10-12;74,50;74,50;74,50;74,50;0;0
2018-10-11;74,00;74,84;74,00;74,50;502;37.384
2018-10-10;77,31;77,31;74,50;74,50;382;28.700
2018-10-09;76,20;77,35;76,20;76,60;65;5.000
2018-10-08;76,00;77,28;76,00;76,64;33;2.546
2018-10-05;76,50;76,62;76,00;76,62;50;3.803
2018-10-04;76,00;76,74;76,00;76,74;462;35.215
2018-10-02;78,00;78,00;76,48;76,48;194;14.845
2018-10-01;79,00;79,50;77,50;77,50;379;30.038
2018-09-28;78,85;78,85;78,18;78,18;162;12.774
2018-09-27;78,69;78,69;78,69;78,69;0;0
2018-09-26;79,48;79,48;78,50;78,50;199;15.816
2018-09-25;78,00;78,50;77,31;77,50;100;7.796
2018-09-24;79,00;79,49;79,00;79,01;100;7.909
2018-09-21;79,00;79,00;78,50;78,50;2;158
2018-09-20;79,00;79,00;78,50;78,50;25;1.975
2018-09-19;79,00;79,49;78,00;78,50;474;37.135
2018-09-18;79,50;79,50;79,50;79,50;330;26.235
2018-09-17;79,25;79,25;79,25;79,25;0;0
2018-09-14;79,10;79,25;79,00;79,25;25;1.977
2018-09-13;79,30;79,30;79,30;79,30;0;0
2018-09-12;79,86;79,86;79,55;79,55;6;479
2018-09-11;79,55;79,55;79,55;79,55;0;0
2018-09-10;79,98;79,98;79,98;79,98;1;80
2018-09-07;79,11;79,11;79,11;79,11;1;79
2018-09-06;79,50;79,50;79,10;79,10;135;10.732
