Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;5,829;5,999;5,50;5,70;7.696;43.871
2019-07-18;5,90;6,00;5,701;5,779;10.201;59.879
2019-07-17;6,29;6,29;5,991;5,999;2.144;13.047
2019-07-16;6,40;6,40;6,15;6,181;11.509;71.595
2019-07-15;6,90;6,95;6,399;6,48;17.006;112.009
2019-07-12;6,799;6,842;6,65;6,842;2.168;14.613
2019-07-11;6,80;6,999;6,299;6,798;16.599;109.092
2019-07-10;6,407;6,80;6,165;6,767;11.555;74.862
2019-07-09;6,449;6,501;6,352;6,501;6.672;43.178
2019-07-08;6,448;6,449;6,30;6,387;3.465;21.978
2019-07-05;6,19;6,30;5,81;6,30;6.244;37.741
2019-07-04;6,23;6,41;5,83;6,00;5.278;31.853
2019-07-03;5,62;6,60;5,62;6,60;14.489;87.495
2019-07-02;5,55;6,00;5,54;6,00;18.806;109.404
2019-07-01;6,60;6,60;5,65;5,94;11.739;70.010
2019-06-28;6,39;6,40;5,43;6,40;10.510;62.722
2019-06-27;6,06;6,49;5,89;6,10;7.494;45.661
2019-06-26;6,40;6,40;6,20;6,20;824;5.274
2019-06-25;6,50;6,80;6,04;6,80;4.891;31.573
2019-06-24;6,68;6,79;6,51;6,51;1.971;13.038
2019-06-20;6,18;6,98;6,18;6,98;15.693;100.860
2019-06-19;6,21;6,21;5,25;6,18;16.330;96.943
2019-06-18;6,00;6,50;6,00;6,33;25.731;163.774
2019-06-17;7,06;7,07;6,32;6,41;12.835;87.041
2019-06-14;7,28;7,28;7,15;7,15;4.178;30.355
2019-06-13;7,26;7,60;7,25;7,50;9.052;66.866
2019-06-12;7,25;7,25;7,05;7,10;8.268;59.254
2019-06-11;7,94;7,94;7,25;7,50;3.388;25.415
2019-06-07;7,60;8,06;7,30;7,91;12.149;93.581
2019-06-06;7,95;7,95;7,64;7,82;2.300;17.991
2019-06-05;8,02;8,08;7,95;8,08;2.254;18.066
2019-06-04;8,02;8,49;7,92;8,16;10.033;81.341
2019-06-03;8,50;8,50;8,00;8,25;6.768;56.057
2019-05-31;8,54;8,72;8,50;8,60;3.125;26.813
2019-05-30;8,56;8,63;8,39;8,59;3.336;28.616
2019-05-29;8,65;8,83;8,58;8,58;18.598;160.467
2019-05-28;8,96;8,96;8,59;8,59;629;5.515
2019-05-27;9,00;9,20;8,93;8,95;6.804;61.182
2019-05-24;8,84;9,30;8,84;9,11;16.552;151.226
2019-05-23;8,92;8,94;8,82;8,84;105;932
2019-05-22;9,49;9,49;9,11;9,18;2.796;26.020
2019-05-21;9,50;9,50;9,36;9,49;4.871;46.151
2019-05-20;9,44;9,45;9,19;9,39;3.479;32.781
2019-05-17;9,52;9,52;9,21;9,31;764;7.167
2019-05-16;9,49;9,72;9,40;9,50;60.871;580.939
2019-05-15;9,01;9,50;8,95;9,40;19.636;179.496
2019-05-14;9,27;9,27;9,02;9,08;10.477;95.256
2019-05-13;9,10;9,30;8,99;8,99;4.936;44.923
2019-05-10;9,24;9,50;8,92;8,92;14.170;131.772
2019-05-09;9,89;9,89;9,00;9,00;10.420;97.763
2019-05-08;10,00;10,38;9,81;9,81;23.811;242.566
2019-05-07;10,56;11,50;9,71;10,00;37.950;393.895
2019-05-06;12,16;12,16;12,16;12,16;0;0
2019-05-03;12,16;12,64;11,34;12,04;12.712;153.199
2019-05-02;12,56;12,58;12,14;12,14;5.163;64.097
2019-04-30;12,26;12,76;12,06;12,48;10.046;123.837
2019-04-29;12,76;12,76;12,14;12,14;5.913;73.311
2019-04-26;13,10;13,10;12,98;13,00;5.760;74.897
2019-04-25;13,48;13,50;13,16;13,22;4.733;63.396
2019-04-24;13,08;13,70;12,62;13,40;43.584;587.643
2019-04-23;12,26;13,48;12,26;13,20;6.651;84.908
2019-04-18;12,02;12,24;11,72;12,24;6.650;80.068
2019-04-17;12,30;12,30;11,60;11,96;9.140;107.960
2019-04-16;11,84;12,34;11,70;11,90;8.033;95.568
2019-04-15;11,84;11,84;11,52;11,66;194;2.274
2019-04-12;11,66;11,86;11,46;11,66;3.281;38.263
2019-04-11;12,00;12,36;10,80;11,34;13.948;159.444
2019-04-10;12,68;12,68;11,78;12,04;16.116;195.103
2019-04-09;12,90;12,94;12,30;12,62;5.034;63.379
2019-04-08;12,72;13,18;12,62;12,64;2.945;38.328
