Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2018-11-08;11,80;11,80;6,15;6,15;;
2018-11-07;11,80;11,80;11,80;11,80;;
2018-11-06;11,80;11,80;11,80;11,80;;
2018-11-05;11,70;11,80;11,70;11,80;;
2018-11-04;11,70;11,70;11,70;11,70;;
2018-11-03;11,70;11,70;11,70;11,70;;
2018-11-02;11,35;11,70;11,35;11,70;;
2018-11-01;11,30;11,40;11,30;11,35;;
2018-10-31;11,30;11,30;11,30;11,30;;
2018-10-30;11,30;11,30;11,30;11,30;;
2018-10-29;11,225;11,30;11,225;11,30;;
2018-10-28;11,225;11,225;11,225;11,225;;
2018-10-27;11,225;11,225;11,225;11,225;;
2018-10-26;11,00;11,80;11,00;11,225;;
2018-10-25;11,00;11,00;11,00;11,00;;
2018-10-24;11,00;11,00;11,00;11,00;;
2018-10-23;11,00;11,00;11,00;11,00;;
2018-10-22;11,15;11,50;11,00;11,00;;
2018-10-21;11,15;11,15;11,15;11,15;;
2018-10-20;11,15;11,15;11,15;11,15;;
2018-10-19;11,15;11,15;11,15;11,15;;
2018-10-18;11,15;11,15;11,15;11,15;;
2018-10-17;11,35;11,35;11,15;11,15;;
2018-10-16;11,35;11,35;11,35;11,35;;
2018-10-15;11,425;11,425;11,35;11,35;;
2018-10-14;11,425;11,425;11,425;11,425;;
2018-10-13;11,425;11,425;11,425;11,425;;
2018-10-12;11,425;11,425;11,425;11,425;;
2018-10-11;11,425;11,425;11,425;11,425;;
2018-10-10;11,425;11,425;11,425;11,425;;
2018-10-09;11,425;11,425;11,425;11,425;;
2018-10-08;11,425;11,43;11,425;11,425;;
2018-10-06;11,425;11,425;11,425;11,425;;
2018-10-05;11,425;11,425;11,425;11,425;;
2018-10-04;12,45;12,50;11,425;11,425;;
2018-10-03;12,35;12,45;12,35;12,45;;
2018-10-02;12,25;12,375;12,25;12,35;;
2018-10-01;12,375;12,375;12,20;12,25;;
2018-09-30;12,375;12,375;12,375;12,375;;
2018-09-29;12,375;12,375;12,375;12,375;;
2018-09-28;12,45;12,45;12,375;12,375;;
2018-09-27;12,375;12,475;12,35;12,45;;
2018-09-26;12,425;12,50;12,35;12,375;;
2018-09-25;12,175;12,425;12,15;12,425;;
2018-09-24;11,80;12,175;11,80;12,175;;
2018-09-23;11,80;11,80;11,80;11,80;;
2018-09-22;11,80;11,80;11,80;11,80;;
2018-09-21;11,875;11,875;11,80;11,80;;
2018-09-20;11,85;11,875;11,85;11,875;;
2018-09-19;11,40;11,85;11,40;11,85;;





