Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;10,90;10,90;10,75;10,75;116;1.249
2019-04-30;10,90;11,15;10,90;11,15;85;929
2019-04-29;10,75;10,75;10,75;10,75;1.070;11.503
2019-04-26;10,95;10,95;10,85;10,85;1.100;12.035
2019-04-25;10,90;10,90;10,90;10,90;150;1.635
2019-04-24;10,90;10,90;10,85;10,85;730;7.935
2019-04-23;10,80;10,85;10,75;10,85;500;5.399
2019-04-18;10,95;10,95;10,75;10,80;1.034;11.234
2019-04-17;10,75;10,75;10,75;10,75;50;538
2019-04-16;10,75;10,90;10,75;10,90;400;4.315
2019-04-15;10,80;10,80;10,55;10,75;489;5.256
2019-04-12;11,20;11,20;11,10;11,10;1.187;13.236
2019-04-11;11,20;11,20;11,10;11,15;1.490;16.582
2019-04-10;11,25;11,45;11,20;11,25;2.509;28.253
2019-04-09;11,00;11,00;11,00;11,00;65;715
2019-04-08;11,35;11,35;11,20;11,30;1.130;12.778
2019-04-05;11,40;11,45;11,10;11,45;239;2.701
2019-04-04;11,30;11,35;11,15;11,35;975;10.999
2019-04-03;11,25;11,25;11,25;11,25;40;450
2019-04-02;11,25;11,25;11,25;11,25;200;2.250
2019-04-01;11,30;11,30;11,30;11,30;45;509
2019-03-28;11,40;11,40;11,40;11,40;100;1.140
2019-03-27;11,602;11,602;11,50;11,50;545;6.292
2019-03-26;11,652;11,652;11,652;11,652;180;2.097
2019-03-22;11,378;11,378;11,378;11,378;300;3.413
2019-03-19;11,85;11,85;11,85;11,85;1;12
2019-03-18;11,548;11,548;11,548;11,548;34;393
2019-03-14;11,06;11,06;11,06;11,06;192;2.124
2019-03-12;11,154;11,154;11,154;11,154;90;1.004
2019-03-11;10,95;10,95;10,93;10,93;18;197
2019-03-08;10,35;10,35;10,288;10,288;62;639
2019-03-07;10,498;10,498;10,10;10,10;1.275;12.891
2019-03-05;10,652;11,248;10,652;11,248;120;1.338
2019-02-27;11,85;11,85;11,85;11,85;20;237
2019-02-25;11,87;11,87;11,622;11,622;78;911
2019-02-22;11,87;11,87;11,75;11,75;75;884
2019-02-21;11,85;11,85;11,75;11,75;254;2.985
2019-02-19;11,80;11,80;11,60;11,60;980;11.476
2019-02-18;11,294;11,80;11,294;11,80;1.190;14.031
2019-02-12;11,662;11,662;11,662;11,662;85;991
2019-02-07;11,80;11,80;11,80;11,80;85;1.003
2019-02-05;11,56;11,56;11,56;11,56;15;173
2019-02-04;12,048;12,048;11,712;11,712;505;5.933
2019-01-31;11,712;11,712;11,712;11,712;101;1.183
2019-01-30;11,74;11,74;11,74;11,74;15;176
2019-01-29;11,80;11,80;11,80;11,80;85;1.003
2019-01-28;11,80;11,80;11,80;11,80;2;24
2019-01-24;11,618;11,618;11,618;11,618;150;1.743
2019-01-23;11,824;11,824;11,824;11,824;18;213
2019-01-22;11,80;11,80;11,80;11,80;300;3.540
2019-01-21;11,896;11,896;11,896;11,896;20;238
2019-01-18;11,85;11,85;11,632;11,80;96;1.135
2019-01-16;11,898;11,898;11,898;11,898;8;95
2019-01-14;11,94;11,94;11,94;11,94;80;955
2019-01-11;11,88;11,88;11,88;11,88;100;1.188
2019-01-10;11,902;11,946;11,76;11,76;1.901;22.582
2019-01-08;11,904;11,904;11,904;11,904;100;1.190
2019-01-04;11,998;11,998;11,998;11,998;85;1.020
2019-01-03;12,198;12,198;12,198;12,198;41;500
2019-01-02;12,27;12,27;12,00;12,00;95;1.144
2018-12-21;12,06;12,06;11,95;11,95;500;5.986
2018-12-20;11,994;12,00;11,994;12,00;351;4.210
2018-12-19;11,946;11,946;11,946;11,946;90;1.075
2018-12-17;11,642;11,768;11,642;11,768;970;11.299
2018-12-14;11,742;11,846;11,74;11,846;800;9.424
2018-12-13;11,998;12,04;11,862;11,862;3.940;47.208
2018-12-12;11,978;11,998;11,978;11,998;450;5.398
2018-12-10;12,16;12,16;11,956;11,956;109;1.325
2018-12-07;12,34;12,498;12,16;12,16;1.001;12.308
2018-12-06;12,282;12,34;12,10;12,34;2.371;29.065
2018-12-05;12,75;12,75;12,202;12,202;631;7.835
2018-12-04;11,96;12,75;11,872;12,75;9.138;111.528





