Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;0,40;0,40;0,315;0,315;19.522;6.149
2019-07-18;0,32;0,50;0,32;0,50;0;0
2019-07-17;0,32;0,32;0,32;0,32;0;0
2019-07-16;0,30;0,31;0,30;0,31;1.869;579
2019-07-15;0,28;0,28;0,28;0,28;0;0
2019-07-12;0,55;0,55;0,26;0,26;27.199;7.172
2019-07-11;0,60;0,60;0,60;0,60;0;0
2019-07-10;0,60;0,60;0,60;0,60;0;0
2019-07-09;0,60;0,60;0,60;0,60;0;0
2019-07-08;0,50;0,50;0,50;0,50;0;0
2019-07-05;0,50;0,50;0,50;0,50;0;0
2019-07-04;0,60;0,60;0,60;0,60;0;0
2019-07-03;0,60;0,60;0,60;0,60;;
2019-07-02;0,06;0,06;0,06;0,06;0;0
2019-07-01;0,60;0,60;0,60;0,60;0;0
2019-06-28;0,60;0,60;0,60;0,60;0;0
2019-06-27;0,60;0,60;0,60;0,60;0;0
2019-06-26;0,60;0,60;0,60;0,60;0;0
2019-06-25;0,60;0,60;0,60;0,60;0;0
2019-06-24;0,60;0,60;0,60;0,60;0;0
2019-06-21;0,60;0,60;0,60;0,60;0;0
2019-06-20;0,60;0,60;0,60;0,60;0;0
2019-06-19;0,60;0,60;0,60;0,60;0;0
2019-06-18;0,60;0,60;0,60;0,60;0;0
2019-06-17;0,60;0,60;0,60;0,60;0;0
2019-06-14;0,60;0,60;0,60;0,60;0;0
2019-06-13;0,50;0,60;0,50;0,60;400;210
2019-06-12;0,48;0,48;0,48;0,48;0;0
2019-06-11;0,485;0,485;0,485;0,485;475;230
2019-06-07;0,48;0,48;0,48;0,48;;
2019-06-06;48,00;48,00;48,00;48,00;0;0
2019-06-05;0,48;0,48;0,48;0,48;0;0
2019-06-04;0,52;0,52;0,48;0,48;14.210;6.821
2019-06-03;0,52;0,52;0,52;0,52;0;0
2019-05-31;0,52;0,52;0,52;0,52;0;0
2019-05-30;0,52;0,52;0,52;0,52;0;0
2019-05-29;0,52;0,52;0,52;0,52;2.178;1.133
2019-05-28;0,52;0,52;0,52;0,52;0;0
2019-05-27;0,52;0,52;0,52;0,52;0;0
2019-05-24;0,52;0,52;0,52;0,52;0;0
2019-05-23;0,52;0,52;0,52;0,52;4.154;2.160
2019-05-22;0,52;0,52;0,52;0,52;0;0
2019-05-21;0,52;0,52;0,52;0,52;0;0
2019-05-20;0,52;0,52;0,52;0,52;0;0
2019-05-17;0,52;0,521;0,52;0,521;78;41
2019-05-16;0,52;0,52;0,52;0,52;;
2019-05-15;0,52;0,52;0,52;0,52;0;0
2019-05-14;0,52;0,52;0,52;0,52;0;0
2019-05-13;0,52;0,52;0,52;0,52;0;0
2019-05-10;0,52;0,52;0,52;0,52;0;0
2019-05-09;0,52;0,52;0,52;0,52;0;0
2019-05-08;0,52;0,52;0,52;0,52;0;0
2019-05-07;0,52;0,52;0,52;0,52;0;0
2019-05-06;0,52;0,52;0,52;0,52;8.001;4.161
2019-05-03;0,50;0,50;0,50;0,50;0;0
2019-05-02;0,50;0,50;0,50;0,50;0;0
2019-04-30;0,50;0,50;0,50;0,50;0;0
2019-04-29;0,50;0,50;0,50;0,50;0;0
2019-04-26;0,48;0,48;0,48;0,48;0;0
2019-04-25;0,47;0,47;0,47;0,47;0;0
