Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-02;2,12;2,12;2,12;2,12;27;57
2019-04-26;2,18;2,18;2,18;2,18;250;545
2019-04-15;2,34;2,34;2,34;2,34;1.462;3.421
2019-04-12;2,40;2,40;2,40;2,40;1.519;3.646
2019-04-11;2,34;2,34;2,34;2,34;150;351
2019-04-09;2,26;2,26;2,26;2,26;112;253
2019-04-08;2,40;2,40;2,40;2,40;481;1.154
2019-04-03;2,54;2,64;2,54;2,64;850;2.201
2019-04-01;2,27;2,29;2,27;2,29;1.434;3.265
2019-03-29;2,04;2,04;2,04;2,04;18;37
2019-03-25;2,21;2,21;2,21;2,21;1;2
2019-03-22;2,38;2,38;2,38;2,38;250;595
2019-03-15;2,25;2,25;2,25;2,25;270;608
2019-03-13;2,35;2,35;2,35;2,35;125;294
2019-03-11;2,32;2,32;2,31;2,31;56;130
2019-03-08;2,28;2,28;2,28;2,28;3;7
2019-03-05;2,43;2,43;2,43;2,43;40;97
2019-03-04;2,24;2,24;2,24;2,24;3;7
2019-03-01;2,35;2,35;2,35;2,35;440;1.034
2019-02-28;2,29;2,29;2,20;2,20;997;2.220
2019-02-27;2,21;2,21;2,21;2,21;1.599;3.534
2019-02-22;2,41;2,41;2,41;2,41;488;1.176
2019-02-21;2,61;2,61;2,61;2,61;411;1.073
2019-02-19;2,57;2,83;2,57;2,83;145;378
2019-02-14;2,85;2,85;2,85;2,85;3;9
2019-02-13;2,83;2,83;2,83;2,83;35;99
2019-02-12;2,75;2,75;2,75;2,75;2;6
2019-02-11;2,80;2,80;2,80;2,80;1.000;2.800
2019-02-08;2,76;2,94;2,76;2,94;119;330
2019-02-06;2,85;2,85;2,85;2,85;12;34
2019-02-05;2,80;2,80;2,80;2,80;19;53
2019-01-30;2,65;2,65;2,65;2,65;372;986
2019-01-25;2,95;2,95;2,95;2,95;111;327
2019-01-24;2,78;2,78;2,78;2,78;85;236
2019-01-18;2,96;2,96;2,85;2,85;1.015;3.003
2019-01-17;3,103;3,103;2,839;2,839;785;2.251
2019-01-14;2,99;2,99;2,684;2,9035;787;2.336
2019-01-11;2,625;2,79;2,625;2,65;1.012;2.727
2019-01-10;2,45;2,45;2,45;2,45;42;103
2019-01-09;1,885;2,30;1,885;2,30;1.055;2.404
2019-01-08;1,84;1,95;1,84;1,95;1.200;2.318
2019-01-02;1,95;2,42;1,95;2,42;3.780;8.949
2018-12-28;1,50;2,35;1,50;2,05;1.665;2.574
2018-12-27;1,50;1,50;1,33;1,33;746;1.104
2018-12-21;1,60;1,60;1,60;1,60;687;1.099
2018-12-17;1,705;1,705;1,705;1,705;3;5
2018-12-14;1,57;1,57;1,57;1,57;210;330
2018-12-13;2,03;2,03;2,03;2,03;3;6
2018-12-12;2,10;2,10;2,10;2,10;88;185
2018-12-06;2,44;2,44;1,28;1,28;315;682
2018-12-05;0,744;2,24;0,744;2,24;40;90
2018-11-29;2,08;2,08;2,08;2,08;0;0
2018-11-28;2,128;2,128;2,128;2,128;0;0
2018-11-20;3,504;3,504;3,504;3,504;63;219
2018-11-15;3,312;3,312;3,312;3,312;125;414
2018-11-13;1,84;3,20;1,84;3,20;175;561
2018-11-12;1,84;3,20;1,84;1,896;115;249
2018-11-08;1,952;1,952;1,952;1,952;1;2
2018-11-02;2,048;2,048;2,048;2,048;0;0
2018-11-01;3,208;3,208;3,04;3,04;1.087;3.423
2018-10-31;2,48;2,48;2,48;2,48;18;43
2018-10-29;2,80;3,20;2,76;3,20;315;895
2018-10-26;2,68;2,68;2,68;2,68;754;2.020
2018-10-22;3,176;3,176;3,176;3,176;30;95
2018-10-19;3,272;3,272;3,272;3,272;63;205
2018-10-17;2,208;2,208;2,208;2,208;0;0
2018-10-15;2,584;3,28;2,584;2,80;1.071;3.372
2018-10-12;2,792;2,792;2,60;2,64;665;1.806
2018-10-11;2,808;2,808;2,80;2,80;1;2
2018-10-10;2,808;2,808;2,808;2,808;25;70
2018-10-09;3,168;3,168;3,168;3,168;347;1.100
2018-10-05;3,712;3,712;2,928;2,928;300;1.074
2018-10-04;2,008;2,48;2,008;2,48;20;50
2018-10-01;2,464;2,464;2,464;2,464;63;154
2018-09-27;2,648;3,08;2,648;3,08;11;31
2018-09-26;3,592;3,592;3,592;3,592;15;52
2018-09-25;2,456;3,752;2,456;3,20;1.826;5.724
2018-09-24;2,024;3,792;2,024;3,792;5.598;15.141
2018-09-21;2,00;2,416;2,00;2,336;5.596;12.602
2018-09-20;2,80;2,80;1,992;2,32;9.803;19.705
2018-09-18;2,408;2,408;2,408;2,408;1;2
2018-09-10;4,40;4,40;3,008;3,008;0;0
2018-09-07;3,992;3,992;3,992;3,992;2;9
2018-09-06;2,728;4,00;2,728;2,84;175;526
2018-09-04;4,78;4,78;4,78;4,78;3;12
2018-09-03;2,848;2,848;2,848;2,848;300;855
2018-08-31;3,20;3,992;3,20;3,992;249;797
2018-08-27;2,968;2,968;2,968;2,968;0;0
2018-08-23;4,38;4,38;4,38;4,38;0;0
2018-08-22;2,968;2,968;2,968;2,968;96;284
2018-08-20;3,96;4,38;3,96;4,38;84;356
2018-08-16;3,008;3,008;3,008;3,008;0;1
2018-08-15;3,008;3,008;3,008;3,008;0;0
2018-08-13;4,20;4,40;3,784;3,784;206;800
2018-08-10;4,76;4,76;4,76;4,76;0;0
2018-08-09;2,408;2,88;2,408;2,88;58;166
2018-08-08;3,352;3,352;3,352;3,352;328;1.100
2018-08-07;4,00;4,56;4,00;4,56;4.703;19.150
2018-08-06;4,80;4,80;4,40;4,40;813;3.851
2018-08-02;4,96;5,12;4,00;4,00;1.005;4.925
2018-08-01;4,60;4,60;4,60;4,60;75;345
2018-07-30;4,20;4,78;4,20;4,78;213;945
2018-07-27;4,18;4,20;3,368;4,18;1.807;7.323
2018-07-26;4,08;4,18;4,00;4,18;280;1.145
2018-07-25;3,60;4,74;3,008;4,28;2.036;7.976
2018-07-24;7,20;10,16;3,12;3,12;7.652;34.831
2018-07-19;7,26;7,26;6,82;6,82;0;1
2018-07-13;9,36;9,36;9,36;9,36;12;113
2018-07-12;9,60;9,60;9,60;9,60;35;335
2018-07-10;9,56;9,56;9,56;9,56;38;359
2018-07-09;7,24;7,98;7,24;7,98;115;919
2018-07-05;8,40;8,60;7,98;7,98;650;5.501
2018-07-02;7,04;7,04;7,04;7,04;1;4
2018-06-29;8,00;9,00;8,00;9,00;556;4.951
2018-06-19;8,00;8,00;8,00;8,00;250;2.000
2018-06-18;8,16;8,16;8,04;8,04;135;1.093
2018-06-14;8,00;8,00;8,00;8,00;118;940
2018-06-12;5,54;5,54;5,54;5,54;9;52
2018-06-11;7,60;7,96;7,56;7,56;186;1.455
2018-06-08;8,00;8,36;8,00;8,36;707;5.713
2018-06-07;5,54;5,54;5,54;5,54;0;1
2018-06-04;8,04;8,04;6,80;7,68;118;909
2018-05-28;8,00;8,00;8,00;8,00;25;200
2018-05-18;7,58;7,60;7,20;7,60;238;1.801
2018-05-17;7,60;7,60;7,28;7,28;241;1.802
2018-05-16;7,20;8,28;7,20;7,22;53;434
2018-05-14;6,14;6,14;6,14;6,14;0;0
2018-05-10;6,22;6,22;5,60;5,60;570;3.376
2018-05-09;6,76;6,76;6,76;6,76;0;1
2018-05-08;6,62;6,62;6,62;6,62;0;2
2018-05-07;7,00;7,00;6,44;6,44;485;3.170
2018-05-03;7,96;7,96;6,34;6,34;513;3.384
2018-05-02;9,16;9,16;6,54;8,20;413;2.938
2018-04-30;8,00;8,80;7,00;7,00;1.401;11.412
2018-04-27;8,04;8,04;8,04;8,04;125;1.005
2018-04-26;8,20;8,20;8,00;8,00;258;2.089
2018-04-25;8,60;8,76;8,60;8,76;425;3.675
2018-04-24;8,76;8,76;8,08;8,08;450;3.858
2018-04-23;8,08;8,08;8,08;8,08;0;2
2018-04-20;8,48;8,48;8,08;8,08;130;1.100
2018-04-19;8,04;8,04;8,04;8,04;0;1
2018-04-18;8,12;8,12;8,12;8,12;0;1
2018-04-11;8,04;8,04;8,04;8,04;0;0
2018-04-10;8,20;8,20;8,20;8,20;0;1
2018-03-27;9,64;9,64;9,64;9,64;114;1.100
2018-03-26;8,84;8,84;8,84;8,84;1;6
2018-03-22;10,12;10,12;10,12;10,12;75;759
2018-03-20;9,40;10,12;9,40;10,12;14;143
2018-03-16;9,44;9,44;9,44;9,44;115;1.087
2018-03-15;9,20;9,20;9,20;9,20;0;0
2018-03-14;8,44;8,44;8,44;8,44;0;3
2018-03-12;8,44;8,44;8,44;8,44;0;4
2018-03-08;10,36;10,36;10,36;10,36;38;389
2018-03-06;8,44;8,44;8,44;8,44;5;42
2018-02-28;8,44;8,44;8,44;8,44;0;1
2018-02-27;8,44;8,44;8,44;8,44;121;1.022
2018-02-26;9,24;9,24;9,24;9,24;0;2
2018-02-19;9,40;10,00;9,20;9,96;718;7.034
2018-02-16;9,20;9,20;9,20;9,20;100;920
2018-02-15;9,96;9,96;9,96;9,96;50;498
2018-02-14;9,20;9,20;9,20;9,20;50;460
2018-02-13;9,20;9,20;9,20;9,20;1;6
2018-02-12;9,20;9,20;9,20;9,20;0;1
2018-02-09;9,40;9,40;9,40;9,40;0;1
2018-02-06;9,44;10,96;9,40;9,40;127;1.273
2018-02-05;10,40;10,40;9,44;9,44;125;1.216
2018-02-02;9,60;9,60;9,60;9,60;77;739
2018-02-01;10,00;10,40;10,00;10,36;481;4.910
2018-01-31;10,96;10,96;10,96;10,96;38;411
2018-01-30;10,96;10,96;10,96;10,96;50;548
2018-01-29;10,80;10,96;9,52;9,52;494;5.142
2018-01-26;8,60;11,60;8,60;10,96;723;7.475
2018-01-24;9,24;9,24;8,60;8,60;50;462
2018-01-23;8,52;8,52;8,44;8,44;76;646
2018-01-22;8,08;9,44;8,08;8,08;75;709
2018-01-19;8,60;9,64;8,60;9,64;130;1.245
2018-01-18;9,56;9,56;9,56;9,56;160;1.530
2018-01-17;10,00;10,00;10,00;10,00;102;1.024
2018-01-16;11,00;11,00;11,00;11,00;60;655
2018-01-15;8,08;8,88;8,08;8,12;201;1.780
2018-01-12;8,80;9,40;8,80;9,16;673;6.131
