Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;72,44;73,27;71,86;72,87;4.297.680;312.512.864
2019-05-02;72,72;72,80;71,74;72,33;3.893.571;281.219.840
2019-04-30;72,52;72,76;72,03;72,49;2.999.069;217.211.440
2019-04-29;73,40;73,48;72,35;72,48;2.163.291;157.245.168
2019-04-26;72,60;72,96;72,24;72,82;1.975.429;143.578.096
2019-04-25;72,98;73,09;72,20;72,76;2.932.073;213.244.848
2019-04-24;74,14;74,31;72,42;73,17;3.518.218;258.102.064
2019-04-23;74,50;74,60;73,63;74,49;2.493.368;185.129.472
2019-04-18;74,13;74,43;73,25;74,16;3.641.930;269.487.712
2019-04-17;73,20;74,61;73,16;73,93;3.553.945;263.041.792
2019-04-16;72,38;73,80;72,25;72,93;3.081.269;225.062.208
2019-04-15;72,24;72,63;72,01;72,15;2.675.847;193.419.648
2019-04-12;69,45;72,32;69,01;71,79;5.330.004;379.902.560
2019-04-11;69,01;69,80;68,51;69,61;2.244.655;155.744.944
2019-04-10;69,01;69,39;68,68;68,83;1.954.509;134.695.472
2019-04-09;69,30;69,87;68,71;68,71;2.550.948;176.223.584
2019-04-08;69,56;69,69;68,96;69,22;1.964.874;136.024.112
2019-04-05;68,69;69,74;68,61;69,46;2.529.117;175.301.008
2019-04-04;69,01;69,63;68,63;69,12;2.624.021;181.460.224
2019-04-03;67,80;69,37;67,76;69,37;4.185.426;288.500.160
2019-04-02;66,82;67,47;66,62;67,18;2.119.412;142.245.872
2019-04-01;66,60;67,27;66,21;66,66;3.073.623;205.156.416
2019-03-29;66,00;66,14;65,14;65,53;3.134.996;205.665.072
2019-03-28;65,19;66,11;65,18;65,54;2.115.910;138.976.768
2019-03-27;65,39;65,85;64,58;65,12;2.903.194;189.002.960
2019-03-26;65,40;65,62;64,65;65,27;2.249.007;146.628.080
2019-03-25;65,19;65,71;64,96;65,32;2.538.885;165.730.944
2019-03-22;67,30;67,54;65,31;65,51;3.953.918;261.375.552
2019-03-21;67,35;67,44;66,53;67,08;2.025.815;135.757.552
2019-03-20;67,70;68,03;67,21;67,50;2.344.792;158.374.240
2019-03-19;67,06;68,48;66,79;67,80;2.364.004;160.312.976
2019-03-18;67,48;67,81;66,81;66,95;2.249.716;151.036.880
2019-03-15;66,64;67,55;66,29;67,51;7.249.905;488.091.264
2019-03-14;67,09;67,45;66,07;66,19;2.612.329;173.542.048
2019-03-13;66,63;67,20;66,31;67,08;2.158.529;144.329.840
2019-03-12;67,59;67,69;66,79;66,80;2.493.415;167.082.512
2019-03-11;66,75;66,98;66,25;66,86;1.583.996;105.764.672
2019-03-08;66,73;66,80;65,79;66,40;2.945.233;195.312.096
2019-03-07;67,98;67,98;66,65;67,06;2.883.680;193.870.160
2019-03-06;68,05;68,54;67,66;68,08;1.472.619;100.236.288
2019-03-05;68,29;68,54;67,86;68,13;1.979.510;134.920.144
2019-03-04;68,71;68,84;68,25;68,31;1.995.723;136.668.480
2019-03-01;67,47;68,65;67,40;68,06;3.259.009;222.076.800
2019-02-28;66,64;67,42;66,55;66,99;2.954.002;197.803.968
2019-02-27;67,47;67,63;66,38;67,28;2.894.996;194.354.816
2019-02-26;66,50;67,98;66,15;67,56;5.578.909;375.114.144
2019-02-25;65,54;65,78;64,73;64,79;2.788.685;181.313.104
2019-02-22;65,86;66,06;65,07;65,25;2.578.023;168.815.568
2019-02-21;66,51;66,75;65,55;65,74;2.533.119;167.131.456
2019-02-20;66,15;66,69;65,12;66,32;2.392.505;157.980.320
2019-02-19;65,88;66,44;65,39;65,86;1.975.850;130.062.992
2019-02-18;66,66;66,97;65,88;66,14;1.384.580;91.803.192
2019-02-15;64,02;66,45;64,00;66,32;3.546.342;233.459.408
2019-02-14;65,40;65,63;64,14;64,52;2.291.600;148.487.152
2019-02-13;65,46;66,21;64,85;64,85;2.386.030;155.750.992
2019-02-12;64,00;65,18;63,89;65,00;3.211.508;208.244.608
2019-02-11;63,00;63,70;62,73;63,31;2.050.086;129.669.160
2019-02-08;63,05;63,59;62,28;62,56;3.063.612;192.584.256
2019-02-07;65,40;65,67;63,16;63,16;3.992.665;255.476.576
2019-02-06;66,00;66,02;65,49;65,85;1.642.120;108.087.768
2019-02-05;64,96;66,45;64,73;66,16;3.222.164;212.602.688
2019-02-04;64,54;64,84;64,08;64,75;1.713.516;110.633.600
2019-02-01;63,95;64,55;63,50;64,49;2.792.547;179.140.160
2019-01-31;65,79;66,62;63,21;63,82;5.087.775;327.046.592
2019-01-30;65,24;66,17;65,11;65,51;2.388.851;156.690.336
2019-01-29;64,66;65,52;64,36;65,24;2.084.492;135.797.760
2019-01-28;64,82;65,14;64,35;64,54;2.126.665;137.520.384
2019-01-25;63,70;65,37;63,65;65,09;3.228.771;209.403.824
2019-01-24;63,10;63,69;62,64;63,49;2.549.763;161.485.760
2019-01-23;63,99;64,09;62,91;63,16;3.070.689;194.578.704
2019-01-22;64,34;64,85;63,87;64,34;2.922.918;187.861.936
2019-01-21;65,77;65,84;64,80;65,15;1.961.612;127.732.840
2019-01-18;63,70;66,12;63,64;65,60;5.316.270;346.037.536
2019-01-17;62,53;63,00;62,12;63,00;2.077.335;130.179.360
2019-01-16;63,55;63,67;62,38;62,87;2.109.667;132.478.936
