Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;6,392;6,433;6,165;6,214;7.476.670;46.647.368
2019-07-18;6,438;6,47;6,328;6,363;6.000.642;38.269.912
2019-07-17;6,638;6,638;6,466;6,509;4.496.216;29.385.606
2019-07-16;6,493;6,696;6,493;6,636;5.306.753;35.114.040
2019-07-15;6,49;6,575;6,423;6,469;4.290.698;27.805.434
2019-07-12;6,534;6,66;6,472;6,529;9.134.508;59.993.256
2019-07-11;6,451;6,548;6,35;6,514;4.338.205;28.067.498
2019-07-10;6,32;6,573;6,30;6,417;7.999.834;51.701.468
2019-07-09;6,25;6,297;6,13;6,26;7.989.140;49.633.840
2019-07-08;6,50;6,584;6,186;6,286;6.905.108;43.815.932
2019-07-05;6,419;6,581;6,383;6,519;8.017.668;52.029.588
2019-07-04;6,336;6,433;6,30;6,421;5.032.419;32.120.384
2019-07-03;6,166;6,451;6,13;6,419;6.334.469;40.271.344
2019-07-02;6,377;6,398;6,189;6,189;5.299.849;32.981.142
2019-07-01;6,48;6,538;6,346;6,362;5.300.703;34.083.208
2019-06-28;6,245;6,355;6,237;6,319;5.501.348;34.678.128
2019-06-27;6,213;6,319;6,146;6,20;6.503.937;40.438.644
2019-06-26;6,026;6,245;6,02;6,14;6.502.368;40.056.288
2019-06-25;6,095;6,13;6,002;6,045;4.144.580;25.096.256
2019-06-24;6,158;6,234;6,081;6,118;4.408.401;27.042.070
2019-06-21;6,166;6,281;6,141;6,156;11.743.677;72.490.680
2019-06-20;6,392;6,415;6,137;6,167;6.656.137;41.312.400
2019-06-19;6,227;6,408;6,216;6,382;6.224.948;39.456.244
2019-06-18;6,11;6,23;5,932;6,208;8.722.437;53.205.760
2019-06-17;6,10;6,222;6,097;6,097;3.712.876;22.794.234
2019-06-14;6,162;6,185;6,08;6,113;4.431.472;27.109.656
2019-06-13;6,16;6,299;6,083;6,206;4.919.195;30.554.676
2019-06-12;6,25;6,285;6,165;6,20;5.129.977;31.887.084
2019-06-11;6,204;6,377;6,20;6,301;6.109.815;38.563.624
2019-06-07;6,339;6,367;6,192;6,251;7.059.212;44.364.956
2019-06-06;6,315;6,61;6,184;6,267;10.508.401;67.097.868
2019-06-05;6,543;6,543;6,26;6,348;6.621.123;42.191.792
2019-06-04;6,206;6,655;6,16;6,488;6.570.685;42.099.780
2019-06-03;6,231;6,241;6,143;6,234;4.548.594;28.205.424
2019-05-31;6,301;6,319;6,17;6,302;7.551.133;47.339.768
2019-05-30;6,52;6,598;6,411;6,425;3.127.676;20.241.252
2019-05-29;6,47;6,499;6,396;6,467;5.036.663;32.519.064
2019-05-28;6,606;6,70;6,513;6,532;7.875.888;51.691.740
2019-05-27;6,758;6,76;6,633;6,673;3.104.186;20.745.462
2019-05-24;6,821;6,856;6,683;6,708;6.162.141;41.524.424
2019-05-23;6,785;6,913;6,751;6,789;6.708.428;45.702.592
2019-05-22;7,0911;7,11053;6,87642;6,90362;8.954.969;62.209.828
2019-05-21;7,19504;7,25526;7,08333;7,12607;4.795.677;34.285.660
2019-05-20;7,3728;7,38252;7,08042;7,13578;6.790.146;48.757.716
2019-05-17;7,4884;7,53017;7,38252;7,45148;4.310.195;32.101.068
2019-05-16;7,43108;7,60496;7,36212;7,55639;4.516.456;33.962.436
2019-05-15;7,68364;7,71861;7,25429;7,41943;8.104.053;59.827.848
2019-05-14;7,21738;7,67199;7,08819;7,49908;13.408.437;99.835.640
2019-05-13;7,31063;7,34269;7,14161;7,18727;4.524.484;32.600.362
2019-05-10;7,32715;7,4476;7,27858;7,35337;5.328.838;39.248.508
2019-05-09;7,48937;7,51851;7,18435;7,26498;7.061.157;51.522.776
2019-05-08;7,52045;7,61856;7,39126;7,58942;5.465.436;41.170.836
2019-05-07;7,64479;7,76524;7,47188;7,52142;6.069.377;45.973.440
2019-05-06;7,67393;7,69724;7,53211;7,69433;4.785.194;36.574.868
2019-05-03;7,88181;7,96923;7,79924;7,84781;5.605.031;44.178.436
2019-05-02;7,85267;7,98283;7,7089;7,85267;7.451.373;58.694.032
2019-04-30;7,82061;7,9702;7,69336;7,78273;7.018.878;55.082.772
2019-04-29;7,70307;7,87986;7,69433;7,87889;8.011.295;62.746.244
2019-04-26;7,46994;7,71959;7,39903;7,67004;9.118.112;69.546.600
2019-04-25;7,57679;7,58651;7,29509;7,40291;14.350.468;106.293.520
2019-04-24;7,65353;7,73221;7,52919;7,57679;6.983.889;53.151.996
2019-04-23;7,88763;7,88763;7,6409;7,6749;6.454.204;49.841.684
2019-04-18;7,90609;7,91678;7,70113;7,89443;7.784.622;60.911.428
2019-04-17;7,90706;8,01877;7,79341;7,86044;10.336.484;81.934.776
2019-04-16;7,54085;7,84392;7,45731;7,74096;8.777.570;67.231.184
2019-04-15;7,45925;7,64285;7,41651;7,5088;8.326.583;62.821.024
2019-04-12;7,21738;7,47285;7,0911;7,41554;10.076.934;74.063.552
2019-04-11;7,06002;7,25332;6,85797;7,23487;9.884.610;70.698.920
2019-04-10;7,18435;7,24361;6,95705;7,02019;9.494.991;67.446.880
2019-04-09;7,10956;7,22321;7,09207;7,18824;6.051.020;43.369.844
2019-04-08;7,28538;7,30189;7,10276;7,13676;8.724.457;62.389.464
2019-04-05;7,1999;7,3796;7,19018;7,31258;11.603.109;84.719.552
2019-04-04;7,20767;7,26595;7,12898;7,1931;13.547.841;97.468.752
2019-04-03;7,03282;7,12121;6,91722;6,99688;8.746.278;61.229.156
2019-04-02;6,87545;7,00076;6,84534;6,95996;5.643.250;39.188.180
2019-04-01;6,7822;6,91237;6,70838;6,89877;7.534.243;51.436.692
2019-03-29;6,75986;6,8434;6,63844;6,70255;8.071.897;54.276.572
2019-03-28;6,857;6,91528;6,67535;6,70838;9.643.141;65.208.456
2019-03-27;6,62484;7,13967;6,57432;6,93859;14.974.643;103.501.272
2019-03-26;6,65398;6,69186;6,5549;6,61027;6.696.029;44.259.664
2019-03-25;6,66563;6,72489;6,5753;6,64038;7.512.770;49.864.956
2019-03-22;6,86768;7,06584;6,68409;6,70546;12.342.736;83.939.928
2019-03-21;6,94539;6,95802;6,7686;6,81231;10.434.728;71.260.800
2019-03-20;7,18824;7,23195;7,04933;7,04933;7.279.486;51.782.772
2019-03-19;7,38932;7,42817;7,10081;7,19892;12.604.203;91.158.720
2019-03-18;7,18824;7,47965;7,16104;7,44274;20.233.724;149.364.944
2019-03-15;6,823;6,94248;6,72392;6,94248;14.922.401;102.847.208
2019-03-14;6,83854;6,89391;6,755;6,79969;5.874.809;39.986.676
2019-03-13;6,76083;6,87351;6,7074;6,8434;4.961.304;33.807.144
2019-03-12;7,04253;7,0571;6,68506;6,77443;11.484.339;78.284.080
2019-03-11;6,60541;6,94539;6,59667;6,90071;13.138.660;89.573.576
2019-03-08;6,5141;6,64524;6,37616;6,44027;7.559.218;49.014.328
2019-03-07;6,84825;6,90751;6,47136;6,5549;12.868.222;85.723.880
2019-03-06;6,89974;6,95414;6,7958;6,89294;6.687.708;46.024.924
2019-03-05;6,97162;7,06196;6,83466;6,91917;7.219.211;50.022.840
2019-03-04;7,24458;7,27566;7,01922;7,02699;7.123.330;50.468.864
2019-03-01;7,14744;7,24652;7,11927;7,16298;10.225.979;73.375.448
2019-02-28;6,85505;7,0911;6,78026;7,04739;12.033.471;83.949.328
2019-02-27;6,57627;6,95122;6,52284;6,89391;11.828.769;80.484.880
2019-02-26;6,49079;6,59861;6,41502;6,58792;5.665.103;37.065.612
2019-02-25;6,49953;6,59764;6,4529;6,5073;5.530.932;36.171.408
2019-02-22;6,3917;6,51216;6,38199;6,43347;5.473.270;35.310.088
2019-02-21;6,48787;6,49856;6,32856;6,39559;8.548.251;54.801.864
2019-02-20;6,45582;6,50244;6,36548;6,48301;5.340.192;34.420.512
2019-02-19;6,5413;6,54713;6,27708;6,4257;8.580.981;54.786.400
2019-02-18;6,47816;6,60055;6,4597;6,53741;5.937.494;38.860.616
2019-02-15;6,12069;6,5277;6,02646;6,47524;16.294.260;103.738.160
2019-02-14;6,30428;6,4325;6,12943;6,13623;15.352.633;96.096.416
2019-02-13;6,26542;6,30525;6,03618;6,04492;7.595.980;46.688.424
2019-02-12;6,28485;6,30039;6,18674;6,22657;4.807.337;30.024.208
2019-02-11;6,01481;6,20714;5,98664;6,18577;8.085.796;49.773.920
2019-02-08;5,99344;6,05366;5,85744;5,92933;7.040.377;41.909.560
2019-02-07;6,29457;6,31594;5,9303;5,93418;9.408.347;57.244.116
2019-02-06;6,16829;6,35091;6,13234;6,32954;5.964.520;37.427.648
2019-02-05;6,05172;6,23434;6,01286;6,22074;6.727.867;41.580.544
2019-02-04;6,09932;6,18091;5,97401;6,02841;4.889.660;29.523.508
2019-02-01;6,14886;6,19548;5,97887;6,0964;8.184.431;49.803.836
2019-01-31;6,5277;6,61512;6,02258;6,08183;18.689.169;116.157.328
2019-01-30;6,48884;6,54713;6,38976;6,51701;4.920.557;31.977.570
2019-01-29;6,52187;6,58015;6,4325;6,49564;4.569.332;29.742.866
2019-01-28;6,76083;6,76083;6,50244;6,54713;7.231.703;47.730.936
2019-01-25;6,73266;6,76083;6,59958;6,7482;7.095.835;47.573.928
2019-01-24;6,65398;6,7754;6,4393;6,65301;9.159.323;60.905.284
2019-01-23;6,44999;6,67826;6,43347;6,63261;8.056.511;53.294.048
2019-01-22;6,4597;6,49758;6,35965;6,49273;5.111.149;32.927.252
2019-01-21;6,51604;6,5753;6,44999;6,5141;5.095.054;33.128.534
2019-01-18;6,34119;6,57821;6,30137;6,48884;11.840.126;76.736.560
2019-01-17;6,34993;6,37519;6,2052;6,24017;9.189.428;57.498.020
2019-01-16;6,08183;6,5005;6,05755;6,45873;13.483.576;84.854.288
2019-01-15;6,13914;6,23628;5,96138;6,01286;8.169.518;49.549.348
2019-01-14;6,13817;6,13817;5,99344;6,09058;4.925.565;29.869.834
2019-01-11;6,10709;6,2392;5,98372;6,16829;8.940.269;54.681.640
2019-01-10;5,96041;6,12166;5,92155;6,10029;5.424.622;32.907.310
2019-01-09;6,21783;6,24794;5,99344;6,04201;7.912.999;48.425.868
2019-01-08;5,99538;6,20714;5,99052;6,14886;8.722.126;53.414.428
2019-01-07;6,06338;6,07018;5,87881;6,00509;6.981.629;41.671.456
2019-01-04;5,72145;5,99149;5,70299;5,96721;9.030.954;53.070.008
2019-01-03;5,58351;5,77973;5,53009;5,63597;8.302.238;46.908.984
2019-01-02;5,61654;5,63791;5,43198;5,60003;7.434.211;41.167.216
2018-12-28;5,47083;5,66997;5,44461;5,61751;7.378.431;41.217.280
2018-12-27;5,70202;5,72048;5,34261;5,37952;8.728.778;47.705.680
2018-12-21;5,6146;5,71951;5,54563;5,64277;22.259.445;125.313.992
2018-12-20;5,87978;5,89824;5,60683;5,61557;13.759.703;78.690.144
2018-12-19;6,11972;6,20228;5,98178;6,00898;8.738.268;53.012.508
2018-12-18;6,12652;6,22754;6,01286;6,10126;12.289.481;75.056.856
2018-12-17;6,4053;6,4053;6,15663;6,17703;8.655.845;53.956.756
2018-12-14;6,55684;6,56072;6,27902;6,44707;10.980.640;70.334.672
2018-12-13;6,89974;7,04739;6,62484;6,64912;10.327.961;69.952.032
2018-12-12;6,38685;6,84145;6,1984;6,74432;19.160.995;125.555.728
2018-12-11;6,49661;6,61512;6,38588;6,38588;8.344.447;54.025.156
2018-12-10;6,59181;6,76374;6,4121;6,42085;9.362.613;61.116.180
2018-12-07;6,80066;6,90265;6,63552;6,63552;8.850.786;59.798.176
2018-12-06;7,11053;7,11053;6,70255;6,73557;9.819.231;67.039.420
2018-12-05;7,20475;7,28538;7,05322;7,21641;5.897.340;42.350.652
2018-12-04;7,46023;7,46217;7,29023;7,30383;6.649.473;48.934.556
2018-12-03;7,54765;7,64576;7,49617;7,49908;5.889.370;44.417.284
2018-11-30;7,6545;7,6545;7,3252;7,38834;9.562.042;70.934.040
2018-11-29;7,67393;7,73416;7,56125;7,66713;5.298.622;40.542.160
2018-11-28;7,7905;7,7905;7,59039;7,64479;4.819.393;36.928.736
2018-11-27;7,81964;7,86432;7,62148;7,6953;6.107.187;47.036.268
2018-11-26;7,62536;7,88181;7,62536;7,81867;7.931.197;61.654.364
2018-11-23;7,64479;7,75941;7,52337;7,53794;4.228.027;32.071.246
2018-11-22;7,73804;7,74873;7,52919;7,64673;4.156.231;31.718.944
2018-11-21;7,75164;7,78078;7,59622;7,74484;5.370.274;41.316.444
2018-11-20;7,85849;7,85849;7,58748;7,63216;8.178.358;62.776.152
2018-11-19;7,87306;8,0722;7,87306;7,88958;4.017.290;31.893.334
2018-11-16;7,99449;8,06346;7,78078;7,84684;7.576.881;59.589.316
2018-11-15;8,16448;8,21791;7,86044;7,95855;7.055.999;56.263.320
2018-11-14;8,22082;8,30339;8,0722;8,13437;5.283.116;43.138.148
2018-11-13;8,21013;8,32864;8,17419;8,28202;5.029.639;41.586.436
2018-11-12;8,49864;8,54235;8,16739;8,18488;6.882.880;57.099.916
2018-11-09;8,45104;8,53943;8,25967;8,46464;8.366.134;70.493.464
2018-11-08;8,33447;8,68805;8,28202;8,55886;14.398.318;122.878.392
2018-11-07;8,06928;8,31504;8,05471;8,12368;6.489.215;53.187.100
2018-11-06;8,3879;8,3879;7,99837;8,045;8.398.574;67.994.936
2018-11-05;8,44909;8,50349;8,33156;8,35584;3.868.233;32.419.082
2018-11-02;8,3879;8,57246;8,35293;8,45007;6.980.703;59.127.036
2018-11-01;8,08288;8,33641;8,05277;8,2315;5.132.514;42.262.312
2018-10-31;8,14894;8,23733;8,10037;8,10037;6.582.520;53.570.760
2018-10-30;7,98672;8,06248;7,84587;8,0314;6.827.696;54.634.252
2018-10-29;7,82449;8,045;7,82449;7,95272;6.248.966;49.745.396
2018-10-26;7,82449;7,85655;7,68462;7,76524;6.738.702;52.277.580
2018-10-25;7,74193;7,98477;7,70987;7,89541;7.298.251;57.536.300
2018-10-24;8,13145;8,13534;7,76427;7,79438;9.101.084;71.565.040
2018-10-23;8,16934;8,28396;8,04694;8,09357;8.212.332;66.826.108
2018-10-22;8,47047;8,60646;8,24608;8,33544;5.971.997;50.107.872
2018-10-19;8,40247;8,48698;8,02557;8,41218;9.698.206;80.382.200
2018-10-18;8,50738;8,6424;8,40247;8,40247;6.579.140;55.781.164
2018-10-17;8,54818;8,65309;8,43452;8,48309;5.343.625;45.533.568
2018-10-16;8,49669;8,56275;8,36944;8,49475;5.472.858;46.460.564
2018-10-15;8,3539;8,48601;8,28493;8,45007;4.997.274;42.146.456
2018-10-12;8,4219;8,54235;8,2859;8,3267;7.084.797;59.528.696
2018-10-11;8,25676;8,4015;8,15088;8,31116;11.999.064;99.513.296
2018-10-10;8,37138;8,59772;8,3539;8,43161;6.351.579;53.824.364
2018-10-09;8,45104;8,56178;8,23733;8,39373;7.524.658;63.225.928
2018-10-08;8,65794;8,66863;8,15379;8,29756;9.379.172;77.974.248
2018-10-05;8,81919;8,82016;8,6356;8,69291;4.609.654;40.170.428
