Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;26,80;26,80;26,80;26,80;238;6.378
2019-07-18;26,60;27,00;26,60;26,80;6.042;162.126
2019-07-17;26,60;26,80;26,60;26,80;2.059;55.181
2019-07-16;26,60;27,00;26,60;27,00;750;20.250
2019-07-15;26,60;26,80;26,60;26,80;2.622;70.270
2019-07-12;26,80;26,80;26,60;26,80;3.581;95.489
2019-07-11;26,60;27,00;26,60;27,00;3.796;102.133
2019-07-10;26,60;26,80;26,60;26,80;3.724;99.358
2019-07-09;26,60;26,80;26,60;26,80;7.166;192.049
2019-07-08;26,60;26,80;26,60;26,80;5.450;146.060
2019-07-05;26,60;27,00;26,60;27,00;3.025;81.670
2019-07-04;26,60;26,80;26,60;26,80;500;13.400
2019-07-03;26,60;26,80;26,60;26,80;2.300;61.640
2019-07-02;26,60;26,80;26,60;26,80;514;13.775
2019-07-01;26,60;27,00;26,60;27,00;37.419;996.599
2019-06-28;26,60;26,80;26,60;26,80;27.765;738.749
2019-06-27;26,60;26,80;26,60;26,80;4.002;107.254
2019-06-26;26,60;26,80;26,60;26,80;15.875;425.450
2019-06-25;26,60;26,60;26,60;26,60;546;14.524
2019-06-24;26,60;26,80;26,60;26,80;1.280;34.304
2019-06-21;26,60;26,80;26,60;26,80;3.158;84.178
2019-06-20;26,80;26,80;26,80;26,80;33.665;902.222
2019-06-19;26,80;26,80;26,80;26,80;28.347;759.700
2019-06-18;26,60;26,80;26,60;26,80;1.212;32.482
2019-06-17;26,60;26,80;26,60;26,80;35.846;960.260
2019-06-14;26,60;26,60;26,60;26,60;0;0
2019-06-13;26,60;26,80;26,60;26,60;15.680;420.088
2019-06-12;26,60;26,80;26,60;26,80;2.500;67.000
2019-06-11;26,60;26,60;26,60;26,60;0;0
2019-06-07;26,60;26,80;26,60;26,80;20.000;536.000
2019-06-06;26,60;26,60;26,60;26,60;0;0
2019-06-05;26,60;26,80;26,60;26,60;12.149;325.193
2019-06-04;26,60;26,80;26,60;26,80;1.500;40.200
2019-06-03;26,60;26,80;26,60;26,60;1.420;37.786
2019-05-31;26,60;26,80;26,60;26,80;20.448;548.006
2019-05-30;26,60;26,60;26,60;26,60;0;0
2019-05-29;26,60;26,60;26,60;26,60;800;21.280
2019-05-28;26,60;26,80;26,60;26,80;3.130;83.484
2019-05-27;26,60;26,80;26,60;26,80;93;2.492
2019-05-24;26,60;26,80;26,60;26,80;9.400;251.920
2019-05-23;26,80;27,00;26,80;26,80;56.655;1.524.321
2019-05-22;26,80;27,00;26,80;27,00;3.500;94.500
2019-05-21;26,60;26,80;26,60;26,80;1.454;38.901
2019-05-20;26,60;26,60;26,60;26,60;3.040;80.864
2019-05-17;26,80;27,00;26,80;26,80;10.275;275.500
2019-05-16;26,60;27,00;26,60;26,80;1.125;30.250
2019-05-15;26,80;26,80;26,80;26,80;805;21.574
2019-05-14;26,60;26,80;26,60;26,80;1.550;41.240
2019-05-13;26,60;27,00;26,60;27,00;2.778;74.650
2019-05-10;26,60;27,00;26,60;27,00;4.500;121.500
2019-05-09;26,60;26,80;26,60;26,80;13.770;369.036
2019-05-08;26,80;26,80;26,60;26,60;1.650;44.200
2019-05-07;26,80;26,80;26,80;26,80;1.987;53.252
2019-05-06;26,60;26,80;26,60;26,80;1.103;29.534
2019-05-03;26,80;27,00;26,80;27,00;3.300;89.100
2019-05-02;26,80;26,80;26,80;26,80;3.218;86.242
2019-04-30;27,00;27,00;26,80;26,80;650;17.420
2019-04-29;27,00;27,00;27,00;27,00;3.368;90.936
2019-04-26;26,80;27,00;26,80;27,00;7.673;207.081
2019-04-25;26,60;26,80;26,60;26,80;45.124;1.209.323
2019-04-24;26,60;26,60;26,60;26,60;0;0
2019-04-23;26,60;26,60;26,60;26,60;1.500;39.900
2019-04-18;26,60;26,80;26,60;26,80;4.340;116.124
2019-04-17;26,80;26,80;26,60;26,80;6.200;166.020
2019-04-16;26,60;26,80;26,60;26,80;5.191;138.481
2019-04-15;26,40;26,80;26,40;26,80;6.300;168.580
2019-04-12;26,60;26,80;26,40;26,60;18.124;480.478
2019-04-11;26,60;26,60;26,60;26,60;841;22.371
2019-04-10;26,60;26,60;26,60;26,60;7.883;209.688
2019-04-09;26,60;26,80;26,60;26,60;10.800;288.480
2019-04-08;26,40;26,60;26,40;26,60;20.222;537.526
2019-04-05;26,60;26,60;26,40;26,60;1.000;26.540
2019-04-04;26,60;26,60;26,40;26,40;1.771;46.754
2019-04-03;26,40;26,60;26,40;26,60;2.980;78.872
2019-04-02;26,60;26,60;26,40;26,40;6.052;159.773
2019-04-01;26,20;26,40;26,20;26,40;2.910;76.824
2019-03-29;26,20;26,20;26,20;26,20;2.847;74.591
2019-03-28;26,20;26,20;26,20;26,20;1.093;28.637
2019-03-27;26,20;26,20;26,20;26,20;571;14.960
2019-03-26;26,20;26,20;26,20;26,20;300;7.860
2019-03-25;26,40;26,40;26,20;26,20;300;7.860
2019-03-22;26,40;26,40;26,20;26,20;4.194;109.938
2019-03-21;26,40;26,40;26,20;26,20;0;0
2019-03-20;26,40;26,40;26,20;26,40;3.500;92.200
2019-03-19;26,40;26,40;26,20;26,40;1.796;47.274
2019-03-18;26,40;26,40;26,40;26,40;1.152;30.413
2019-03-15;26,40;26,40;26,40;26,40;0;0
2019-03-14;26,20;26,40;26,20;26,20;1.013;26.725
