Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2015-07-02;11,99;11,995;11,99;11,995;175;2.099
2015-06-30;11,995;11,995;11,995;11,995;125;1.499
2015-06-26;11,945;11,945;11,945;11,945;75;896
2015-06-25;11,99;11,995;11,99;11,995;150;1.799
2015-06-23;11,995;11,995;11,995;11,995;105;1.259
2015-06-22;11,995;11,995;11,995;11,995;50;600
2015-06-15;11,995;11,995;11,995;11,995;10;120
2015-06-11;11,995;11,995;11,995;11,995;89;1.068
2015-06-08;11,995;11,995;11,995;11,995;74;888
2015-06-03;11,90;11,995;11,90;11,995;415;4.967
2015-05-26;11,70;11,995;11,70;11,995;1.560;18.329
2015-05-20;11,695;11,75;11,695;11,75;1.625;19.049
2015-05-15;11,74;11,74;11,74;11,74;10;117
2015-05-13;11,65;11,65;11,65;11,65;1.915;22.310
2015-05-11;11,795;11,795;11,795;11,795;152;1.793
2015-05-05;11,655;11,755;11,655;11,69;1.133;13.269
2015-05-04;11,745;11,745;11,745;11,745;1.600;18.792
2015-04-30;11,74;11,74;11,74;11,74;140;1.644
2015-04-28;11,74;11,74;11,74;11,74;200;2.348
2015-04-27;11,74;11,745;11,74;11,745;10.247;120.300
2015-04-24;11,74;11,74;11,74;11,74;253;2.970
2015-04-23;11,77;11,77;11,77;11,77;50;589
2015-04-20;11,88;11,88;11,88;11,88;50;594
2015-04-17;11,88;11,88;11,88;11,88;100;1.188
2015-04-16;11,88;11,88;11,88;11,88;200;2.376
2015-04-13;11,88;11,88;11,88;11,88;50;594
2015-04-10;11,815;11,815;11,815;11,815;60;709
2015-04-09;11,80;11,80;11,80;11,80;40;472
2015-04-08;11,80;11,80;11,80;11,80;30;354
2015-03-31;11,88;11,88;11,88;11,88;20;238
2015-03-30;11,805;11,805;11,67;11,75;17.900;210.284
2015-03-27;11,755;11,805;11,62;11,805;17.274;202.602
2015-03-26;12,10;12,10;11,60;11,995;31.126;368.342
2015-03-25;12,05;12,15;12,00;12,15;2.644;31.778
2015-03-23;12,125;12,125;12,10;12,10;404;4.898
2015-03-20;12,00;12,05;12,00;12,05;600;7.215
2015-03-17;12,25;12,25;12,00;12,015;3.354;40.538
2015-03-12;12,015;12,015;12,015;12,015;140;1.682
2015-03-09;12,05;12,05;12,05;12,05;720;8.676
2015-02-27;12,055;12,055;12,055;12,055;7;84
2015-02-19;12,155;12,155;12,155;12,155;86;1.045
2015-02-18;12,105;12,105;12,105;12,105;118;1.428
2015-02-17;12,205;12,205;12,205;12,205;290;3.539
2015-02-16;12,25;12,30;12,25;12,30;235;2.881
2015-02-13;12,10;12,10;12,10;12,10;4.240;51.304
2015-02-11;12,075;12,075;12,075;12,075;50;604
