Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;27,555;27,555;26,46;26,50;51.927;1.394.827
2019-08-13;28,10;28,11;26,84;27,315;86.848;2.372.802
2019-08-12;28,645;28,75;27,90;28,00;34.578;973.477
2019-08-09;29,32;29,325;28,30;28,39;42.530;1.214.159
2019-08-08;29,06;29,175;28,745;29,06;47.291;1.370.552
2019-08-07;29,20;29,25;28,70;28,80;34.925;1.009.695
2019-08-06;29,155;29,40;28,89;28,975;40.442;1.175.826
2019-08-05;30,115;30,145;29,24;29,395;49.091;1.449.098
2019-08-02;30,155;30,465;29,655;30,25;52.398;1.575.228
2019-08-01;30,005;30,685;30,005;30,395;17.071;518.201
2019-07-31;30,12;30,455;30,00;30,285;26.258;794.930
2019-07-30;30,765;31,06;30,265;30,285;45.743;1.393.721
2019-07-29;30,72;31,18;30,70;30,86;71.887;2.221.255
2019-07-26;31,40;31,42;30,54;30,71;36.508;1.124.893
2019-07-25;31,60;32,00;30,89;31,13;56.792;1.789.171
2019-07-24;31,30;32,00;31,30;31,60;112.090;3.547.313
2019-07-23;30,80;31,185;30,80;31,045;24.660;764.968
2019-07-22;31,00;31,155;30,615;30,675;44.231;1.362.577
2019-07-19;31,20;31,20;30,71;31,00;30.113;933.586
2019-07-18;30,815;31,16;30,79;31,00;45.850;1.420.123
2019-07-17;31,20;31,46;30,945;31,09;54.170;1.690.106
2019-07-16;31,17;31,32;30,915;31,20;54.778;1.705.604
2019-07-15;31,02;31,15;30,78;30,91;62.750;1.938.783
2019-07-12;30,10;30,99;30,10;30,745;41.822;1.285.891
2019-07-11;30,745;30,745;30,22;30,315;27.142;823.567
2019-07-10;30,32;30,78;30,32;30,47;51.199;1.564.181
2019-07-09;30,80;30,905;30,46;30,60;68.376;2.097.859
2019-07-08;31,00;31,50;30,865;30,90;53.058;1.647.856
2019-07-05;30,94;31,46;30,68;31,20;39.111;1.216.368
2019-07-04;30,62;31,26;30,62;30,96;44.163;1.369.185
2019-07-03;30,70;30,80;30,50;30,64;43.183;1.323.292
2019-07-02;30,76;31,08;30,60;30,74;43.569;1.343.650
2019-07-01;30,78;31,28;30,70;31,04;50.656;1.571.509
2019-06-28;30,64;31,20;30,44;30,78;46.905;1.444.298
2019-06-27;30,36;30,82;30,18;30,82;61.697;1.895.595
2019-06-26;29,94;30,48;29,94;30,26;82.933;2.512.286
2019-06-25;29,70;30,14;29,54;30,02;41.468;1.240.071
2019-06-24;30,22;30,72;29,92;29,96;36.542;1.104.023
2019-06-21;29,94;30,34;29,74;30,22;145.557;4.388.570
2019-06-20;30,26;30,76;30,10;30,18;39.353;1.198.322
