Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;9,389;9,418;9,339;9,38;11.927.190;111.828.632
2019-05-02;9,51;9,547;9,382;9,428;13.894.170;131.179.456
2019-04-30;9,599;9,622;9,497;9,568;10.546.418;100.749.992
2019-04-29;9,619;9,621;9,531;9,598;7.422.687;71.099.848
2019-04-26;9,68;9,799;9,639;9,648;6.427.933;62.143.612
2019-04-25;9,62;9,712;9,604;9,669;7.104.725;68.653.280
2019-04-24;9,608;9,645;9,484;9,603;18.054.002;172.926.112
2019-04-23;9,854;9,958;9,798;9,82;6.231.092;61.345.416
2019-04-18;9,775;9,841;9,744;9,83;8.483.368;83.224.704
2019-04-17;9,74;9,763;9,582;9,762;11.272.899;109.391.304
2019-04-16;9,886;9,908;9,718;9,73;11.055.465;107.962.832
2019-04-15;9,944;9,983;9,871;9,873;7.088.232;70.166.792
2019-04-12;10,048;10,06;9,887;9,918;10.142.157;100.815.608
2019-04-11;10,054;10,106;9,995;10,048;7.129.540;71.627.776
2019-04-10;9,971;10,09;9,952;10,076;7.350.395;73.845.664
2019-04-09;10,058;10,07;9,975;10,04;6.014.554;60.318.648
2019-04-08;10,02;10,116;9,998;10,042;5.786.456;58.245.272
2019-04-05;10,042;10,052;9,942;10,016;4.860.122;48.605.836
2019-04-04;10,024;10,118;10,006;10,022;5.327.074;53.513.536
2019-04-03;9,95;10,052;9,867;10,05;9.515.075;95.245.344
2019-04-02;9,834;9,943;9,833;9,917;8.571.086;84.921.864
2019-04-01;9,959;9,963;9,783;9,826;8.092.627;79.601.632
2019-03-29;9,993;9,998;9,841;9,912;6.873.816;68.181.288
2019-03-28;9,984;10,036;9,894;9,932;7.453.829;74.135.328
2019-03-27;9,953;9,98;9,775;9,98;9.509.297;94.271.936
2019-03-26;9,981;10,064;9,922;9,973;7.179.563;71.646.480
2019-03-25;9,941;10,082;9,937;9,981;5.779.739;57.737.100
2019-03-22;9,93;10,144;9,922;9,972;12.785.025;128.095.064
2019-03-21;9,81;9,93;9,808;9,92;10.610.636;104.955.616
2019-03-20;9,70;9,897;9,691;9,824;11.983.533;117.708.112
2019-03-19;9,60;9,733;9,57;9,694;9.548.753;92.507.912
2019-03-18;9,546;9,634;9,511;9,60;8.373.667;80.336.120
2019-03-15;9,57;9,666;9,532;9,538;18.664.730;178.607.088
2019-03-14;9,655;9,691;9,485;9,555;13.613.009;130.179.784
2019-03-13;9,75;9,782;9,524;9,603;15.126.431;145.461.008
2019-03-12;9,79;9,839;9,651;9,809;12.032.985;117.394.504
2019-03-11;9,747;9,861;9,703;9,849;7.315.072;71.854.648
2019-03-08;9,669;9,875;9,646;9,727;9.374.893;91.681.792
2019-03-07;9,573;9,73;9,54;9,72;9.035.194;87.288.600
2019-03-06;9,639;9,685;9,489;9,62;9.060.437;86.763.392
2019-03-05;9,58;9,679;9,537;9,639;6.856.371;65.982.156
2019-03-04;9,751;9,764;9,63;9,648;5.510.570;53.256.224
2019-03-01;9,76;9,774;9,695;9,738;6.062.658;59.036.976
2019-02-28;9,62;9,709;9,585;9,685;6.830.029;65.972.724
2019-02-27;9,83;9,83;9,642;9,698;8.399.052;81.417.512
2019-02-26;9,689;9,833;9,683;9,818;6.315.003;61.792.172
2019-02-25;9,752;9,775;9,685;9,745;4.876.390;47.483.480
2019-02-22;9,665;9,774;9,624;9,74;6.533.996;63.561.960
2019-02-21;9,70;9,761;9,547;9,687;8.608.477;83.194.752
2019-02-20;9,693;9,778;9,63;9,67;5.424.161;52.510.752
2019-02-19;9,61;9,723;9,61;9,699;4.247.938;41.188.288
2019-02-18;9,604;9,652;9,594;9,638;5.579.021;53.713.544
2019-02-15;9,657;9,709;9,597;9,64;8.427.231;81.261.072
2019-02-14;9,65;9,765;9,599;9,661;7.560.583;73.183.080
2019-02-13;9,66;9,661;9,509;9,597;6.597.345;63.220.036
2019-02-12;9,62;9,677;9,59;9,627;7.676.310;73.943.608
2019-02-11;9,47;9,607;9,47;9,578;6.712.773;64.244.872
2019-02-08;9,459;9,524;9,409;9,45;7.507.247;71.028.920
2019-02-07;9,531;9,577;9,449;9,478;9.404.338;89.325.512
2019-02-06;9,60;9,678;9,563;9,59;10.970.629;105.389.336
2019-02-05;9,637;9,78;9,597;9,762;9.403.181;91.355.912
2019-02-04;9,60;9,678;9,557;9,611;6.866.749;66.015.584
2019-02-01;9,73;9,75;9,64;9,673;8.548.458;82.739.888
2019-01-31;9,60;9,703;9,594;9,68;8.918.348;86.211.424
2019-01-30;9,597;9,68;9,564;9,593;7.971.938;76.625.792
2019-01-29;9,46;9,711;9,457;9,616;14.591.615;140.425.472
2019-01-28;9,414;9,491;9,382;9,425;7.005.471;66.041.128
2019-01-25;9,48;9,572;9,448;9,472;9.581.441;91.077.608
2019-01-24;9,133;9,40;9,133;9,399;13.252.767;123.922.368
2019-01-23;9,03;9,234;8,996;9,167;12.716.751;116.394.000
2019-01-22;9,08;9,103;9,03;9,068;7.621.216;69.080.112
2019-01-21;9,129;9,133;9,008;9,031;7.961.995;72.007.720
2019-01-18;9,094;9,177;9,033;9,133;10.955.122;100.013.672
2019-01-17;8,993;9,069;8,944;9,045;7.107.963;64.165.052
2019-01-16;9,12;9,123;9,006;9,011;6.338.401;57.207.112
2019-01-15;9,08;9,134;8,972;9,087;7.379.701;66.901.664
2019-01-14;9,004;9,125;8,949;9,034;7.912.957;71.522.888
2019-01-11;9,05;9,182;9,003;9,007;10.442.501;94.479.720
2019-01-10;8,90;9,104;8,90;9,02;10.825.242;97.737.400
2019-01-09;9,072;9,075;8,892;8,934;12.471.409;111.709.272
2019-01-08;9,009;9,106;8,979;9,027;8.197.152;74.129.680
2019-01-07;9,104;9,107;8,941;8,981;8.046.282;72.397.120
2019-01-04;9,05;9,132;9,002;9,083;8.616.427;78.215.328
2019-01-03;8,846;9,057;8,839;8,998;10.113.886;90.861.832
2019-01-02;8,561;8,935;8,542;8,90;11.480.802;101.548.664
2018-12-28;8,55;8,643;8,498;8,627;5.684.732;48.947.580
2018-12-27;8,829;8,83;8,419;8,524;14.212.275;121.379.944
2018-12-21;8,915;8,939;8,783;8,864;18.955.696;167.830.912
2018-12-20;8,889;8,944;8,813;8,895;12.874.187;114.440.656
2018-12-19;8,897;8,999;8,883;8,965;10.697.273;95.895.992
2018-12-18;8,966;8,99;8,847;8,899;11.535.910;102.751.624
