Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;26,19;26,51;26,09;26,41;591.845;15.620.038
2019-05-02;26,60;26,62;26,11;26,13;704.921;18.450.610
2019-04-30;26,70;26,77;26,44;26,56;671.884;17.858.308
2019-04-29;26,64;26,88;26,46;26,82;760.533;20.349.396
2019-04-26;26,56;26,62;26,23;26,42;643.781;16.982.736
2019-04-25;27,11;27,15;26,44;26,52;1.011.270;26.883.114
2019-04-24;27,18;27,45;26,91;27,06;801.754;21.731.280
2019-04-23;27,19;27,43;26,96;27,30;620.635;16.935.128
2019-04-18;27,13;27,30;26,89;27,22;471.169;12.809.654
2019-04-17;26,82;27,53;26,82;27,08;702.251;19.115.130
2019-04-16;26,69;26,94;26,52;26,93;629.893;16.925.468
2019-04-15;26,90;26,97;26,56;26,59;725.098;19.338.982
2019-04-12;26,30;26,95;26,13;26,88;869.717;23.281.776
2019-04-11;25,90;26,50;25,84;26,43;824.953;21.701.256
2019-04-10;25,75;26,10;25,75;25,90;594.403;15.404.913
2019-04-09;25,90;26,18;25,71;25,73;448.512;11.600.019
2019-04-08;25,97;26,25;25,88;26,00;469.438;12.210.222
2019-04-05;25,94;26,08;25,79;26,03;444.198;11.543.300
2019-04-04;25,74;26,00;25,53;25,91;767.737;19.843.522
2019-04-03;25,33;25,88;25,27;25,88;942.992;24.258.006
2019-04-02;25,10;25,30;24,68;25,08;908.522;22.711.778
2019-04-01;24,63;25,10;24,63;25,05;929.814;23.247.122
2019-03-29;24,18;24,45;24,17;24,28;774.655;18.829.846
2019-03-28;24,01;24,46;23,99;24,00;789.737;19.082.064
2019-03-27;24,15;24,44;23,97;24,04;756.012;18.257.036
2019-03-26;24,03;24,18;23,78;23,95;813.166;19.499.460
2019-03-25;24,20;24,21;23,83;23,94;759.762;18.222.252
2019-03-22;25,03;25,12;24,18;24,21;810.002;19.772.744
2019-03-21;25,12;25,18;24,68;25,01;559.365;13.970.987
2019-03-20;25,15;25,31;24,78;25,09;992.265;24.858.050
2019-03-19;25,41;25,60;25,24;25,27;702.469;17.796.074
2019-03-18;26,00;26,05;25,31;25,40;662.889;16.853.376
2019-03-15;25,80;26,04;25,65;25,76;931.470;24.027.914
2019-03-14;25,92;26,09;25,70;25,80;665.827;17.204.060
2019-03-13;25,46;25,95;25,34;25,94;811.183;20.871.762
2019-03-12;25,82;25,99;25,39;25,39;691.873;17.662.608
2019-03-11;25,20;25,75;25,17;25,64;751.333;19.174.334
2019-03-08;24,70;25,23;24,52;25,11;909.956;22.685.520
2019-03-07;25,83;25,85;24,62;24,82;1.363.944;34.128.456
2019-03-06;26,28;26,45;25,74;25,88;1.339.767;34.853.296
2019-03-05;26,84;27,15;26,27;26,65;2.376.869;63.473.116
2019-03-04;25,13;25,73;25,11;25,55;1.056.740;26.878.768
2019-03-01;24,97;25,23;24,88;24,93;673.019;16.826.158
2019-02-28;24,45;24,93;24,36;24,75;749.310;18.526.952
2019-02-27;24,68;24,74;24,39;24,57;599.070;14.706.748
2019-02-26;24,78;24,89;24,59;24,86;417.142;10.344.622
2019-02-25;24,97;25,05;24,75;24,82;399.847;9.931.436
2019-02-22;24,72;24,97;24,62;24,86;397.202;9.873.337
2019-02-21;25,05;25,09;24,66;24,71;481.235;11.920.944
2019-02-20;25,25;25,33;24,89;25,05;602.072;15.081.951
2019-02-19;25,13;25,25;24,78;25,14;774.602;19.417.036
2019-02-18;25,09;25,35;24,98;25,09;579.405;14.572.094
2019-02-15;24,34;25,10;24,17;25,10;1.127.897;28.113.986
2019-02-14;24,02;24,70;23,82;24,46;1.489.682;36.311.888
2019-02-13;24,00;24,42;23,79;23,85;919.292;22.053.202
2019-02-12;23,90;24,02;23,59;23,82;1.108.571;26.382.306
2019-02-11;23,70;24,05;23,61;23,68;618.072;14.676.228
2019-02-08;24,00;24,05;23,54;23,55;642.245;15.191.081
2019-02-07;24,90;24,90;23,94;23,95;1.232.737;29.754.676
2019-02-06;24,69;24,93;24,41;24,90;976.068;24.191.408
2019-02-05;24,00;24,74;23,99;24,67;856.074;21.034.270
2019-02-04;23,82;23,99;23,58;23,99;384.157;9.184.800
2019-02-01;23,83;24,02;23,59;23,83;429.986;10.246.020
2019-01-31;24,03;24,37;23,67;23,86;751.213;17.967.914
2019-01-30;24,01;24,30;23,82;24,02;635.579;15.257.689
2019-01-29;23,77;24,11;23,51;23,95;624.293;14.937.705
2019-01-28;23,86;24,03;23,66;23,75;617.234;14.688.665
2019-01-25;23,52;23,93;23,49;23,84;585.589;13.925.584
2019-01-24;23,21;23,43;23,04;23,33;573.346;13.362.703
2019-01-23;23,46;23,58;23,14;23,16;643.074;14.937.029
2019-01-22;23,89;24,07;23,44;23,50;667.889;15.754.570
2019-01-21;23,92;23,92;23,58;23,85;468.692;11.156.197
2019-01-18;23,14;23,92;23,11;23,79;1.074.574;25.468.140
2019-01-17;22,72;23,18;22,29;22,98;918.138;20.955.542
2019-01-16;22,89;22,95;22,66;22,86;496.129;11.323.409
2019-01-15;23,14;23,19;22,79;22,79;890.787;20.368.442
2019-01-14;23,10;23,10;22,73;22,86;785.848;17.967.368
2019-01-11;23,58;23,65;23,09;23,11;950.476;22.081.626
2019-01-10;23,60;23,60;23,23;23,48;847.767;19.857.208
2019-01-09;23,08;23,66;22,93;23,42;971.838;22.740.246
2019-01-08;22,55;22,95;22,25;22,84;762.152;17.309.560
2019-01-07;22,90;22,97;22,39;22,54;684.601;15.487.357
2019-01-04;21,88;22,66;21,87;22,63;652.269;14.633.461
