Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;20,30;20,55;20,05;20,50;19.773;401.430
2019-05-02;21,05;21,05;20,20;20,35;27.422;564.462
2019-04-30;21,10;21,30;21,00;21,05;12.366;261.715
2019-04-29;21,15;21,50;21,00;21,30;18.343;389.237
2019-04-26;20,35;21,00;20,35;21,00;20.136;416.008
2019-04-25;21,10;21,10;20,40;20,40;13.212;273.710
2019-04-24;21,30;21,80;20,75;20,80;23.454;502.022
2019-04-23;21,90;21,90;21,45;21,50;15.685;339.828
2019-04-18;21,95;22,00;21,45;21,80;16.202;352.768
2019-04-17;21,35;21,95;21,20;21,80;31.634;683.273
2019-04-16;20,70;21,55;20,70;21,25;15.057;319.895
2019-04-15;21,35;21,45;20,80;20,90;15.639;331.265
2019-04-12;20,40;21,15;20,10;21,15;28.714;599.714
2019-04-11;20,85;20,90;20,00;20,25;37.725;771.033
2019-04-10;20,35;20,85;20,10;20,55;17.978;369.772
2019-04-09;21,30;21,30;19,90;20,05;72.359;1.473.607
2019-04-08;22,05;22,10;21,25;21,30;31.231;671.233
2019-04-05;22,70;22,85;22,10;22,20;28.249;630.966
2019-04-04;22,55;22,90;22,30;22,75;42.472;960.617
2019-04-03;22,00;22,80;21,70;22,70;71.980;1.600.596
2019-04-02;21,75;21,75;21,25;21,60;15.719;337.866
2019-04-01;21,20;22,20;21,20;21,90;35.946;782.908
2019-03-29;21,50;21,50;20,75;21,20;27.109;571.981
2019-03-28;20,40;21,75;20,35;21,30;64.630;1.358.985
2019-03-27;20,05;20,40;19,90;20,25;18.039;364.184
2019-03-26;19,50;20,45;19,50;19,80;30.734;614.530
2019-03-25;20,75;20,80;19,34;19,46;48.723;974.751
2019-03-22;21,40;21,40;20,75;20,90;62.393;1.318.451
2019-03-21;21,75;21,75;20,70;21,20;26.216;554.381
2019-03-20;22,65;22,65;21,40;21,65;23.883;523.569
2019-03-19;22,20;22,75;22,15;22,55;45.447;1.023.036
2019-03-18;21,60;22,15;21,60;22,00;31.180;684.760
2019-03-15;21,90;22,10;21,50;21,80;19.220;419.484
2019-03-14;21,90;22,15;21,55;21,80;41.514;907.479
2019-03-13;21,05;21,85;21,05;21,70;11.749;252.627
2019-03-12;21,70;21,80;21,00;21,15;19.551;416.066
2019-03-11;20,80;21,60;20,80;21,50;15.286;325.316
2019-03-08;20,80;21,05;20,60;20,85;27.703;575.036
2019-03-07;21,60;21,60;20,80;20,80;27.631;581.728
2019-03-06;21,55;21,80;21,20;21,40;51.267;1.099.515
2019-03-05;21,00;21,50;21,00;21,50;23.503;499.570
2019-03-04;20,60;21,40;20,60;21,10;24.857;523.691
2019-03-01;20,15;20,65;19,94;20,40;18.274;372.077
2019-02-28;20,25;20,25;19,50;20,00;53.685;1.070.611
2019-02-27;20,90;20,90;20,20;20,35;28.696;587.982
2019-02-26;21,40;21,40;20,65;20,80;24.130;504.656
2019-02-25;21,35;21,40;20,70;21,40;51.174;1.083.730
2019-02-22;20,40;21,35;20,25;21,05;56.452;1.181.032
2019-02-21;20,50;20,55;20,30;20,50;45.851;937.964
2019-02-20;20,45;20,70;20,25;20,55;22.303;456.317
2019-02-19;19,90;20,40;19,72;20,40;49.223;984.853
2019-02-18;19,90;20,10;19,64;19,70;14.985;297.948
2019-02-15;19,62;19,88;19,50;19,70;15.603;306.452
2019-02-14;19,36;19,72;19,22;19,50;27.752;541.626
2019-02-13;19,42;19,76;19,26;19,42;20.581;401.770
2019-02-12;19,44;19,44;19,12;19,18;9.313;179.099
2019-02-11;18,70;19,16;18,50;19,08;31.532;594.871
2019-02-08;19,50;19,50;18,26;18,60;68.755;1.301.513
2019-02-07;19,46;19,88;19,14;19,50;50.853;990.859
2019-02-06;19,60;19,90;19,46;19,70;11.268;222.331
2019-02-05;19,24;19,72;18,90;19,60;33.529;649.643
2019-02-04;19,30;19,30;18,50;19,18;17.563;332.734
2019-02-01;19,20;19,36;19,04;19,04;13.618;260.790
2019-01-31;18,52;19,26;18,42;19,16;51.850;980.917
2019-01-30;18,60;18,60;18,04;18,22;31.607;578.884
2019-01-29;19,10;19,50;18,60;18,76;54.233;1.030.949
2019-01-28;18,80;19,50;18,48;19,24;63.746;1.217.649
2019-01-25;17,98;19,40;17,98;18,72;76.858;1.450.527
2019-01-24;17,90;18,30;17,90;18,14;25.480;463.007
2019-01-23;18,00;18,20;17,66;17,92;16.119;290.241
2019-01-22;18,20;18,24;17,84;18,20;44.124;798.055
2019-01-21;18,00;18,46;17,96;18,22;39.808;724.490
2019-01-18;17,40;18,22;17,40;18,04;20.568;366.560
2019-01-17;17,60;17,82;17,36;17,38;16.294;286.116
2019-01-16;17,94;18,38;17,66;17,76;12.252;220.028
2019-01-15;17,92;18,10;17,46;17,78;22.946;407.528
2019-01-14;18,00;18,00;17,32;17,76;30.889;547.672
2019-01-11;18,00;18,00;17,42;17,72;23.911;421.755
2019-01-10;18,12;18,34;17,82;18,02;28.635;518.086
2019-01-09;17,90;18,94;17,90;18,32;71.187;1.312.853
2019-01-08;17,26;18,00;17,14;17,88;26.598;470.112
2019-01-07;17,80;17,90;17,10;17,20;33.327;580.837
2019-01-04;16,80;17,50;16,72;17,44;34.623;591.182
2019-01-03;17,98;17,98;16,36;16,56;47.820;816.712
2019-01-02;17,20;17,90;16,50;17,80;34.438;599.829
2018-12-28;15,72;16,98;15,72;16,96;21.436;354.702
