Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2017-02-09;99,79;99,79;99,79;99,79;0;0
2017-02-08;99,79;99,79;99,79;99,79;0;0
2017-02-07;99,69;99,79;99,69;99,79;0;0
2017-02-06;99,69;99,69;99,69;99,69;0;0
2017-02-03;99,69;99,69;99,64;99,69;0;0
2017-02-02;99,44;99,64;99,44;99,64;0;0
2017-02-01;99,59;99,59;99,44;99,44;0;0
2017-01-31;99,59;99,59;99,59;99,59;0;0
2017-01-30;99,59;99,59;99,59;99,59;0;0
2017-01-27;99,59;99,59;99,59;99,59;0;0
2017-01-26;99,59;99,59;99,59;99,59;0;0
2017-01-25;99,59;99,59;99,59;99,59;0;0
2017-01-24;99,54;99,59;99,54;99,59;0;0
2017-01-23;99,54;99,65;99,54;99,54;50.000;49.825
2017-01-20;99,54;99,54;99,54;99,54;0;0
2017-01-19;99,49;99,54;99,49;99,54;0;0
2017-01-18;99,25;99,49;99,25;99,49;0;0
2017-01-17;99,21;99,30;99,21;99,30;0;0
2017-01-16;99,61;99,61;99,39;99,44;0;0
2017-01-13;99,29;99,34;99,29;99,34;0;0
2017-01-12;99,29;99,29;99,29;99,29;0;0
2017-01-11;99,21;99,29;99,21;99,29;0;0
2017-01-10;99,14;99,40;99,14;99,19;50.000;49.700
2017-01-09;99,21;99,22;99,21;99,22;0;0
2017-01-06;99,39;99,39;99,21;99,21;0;0
2017-01-05;99,21;99,39;99,21;99,39;0;0
2017-01-04;99,32;99,32;99,26;99,26;0;0
2017-01-03;99,27;99,32;99,27;99,32;0;0
2017-01-02;99,28;99,28;99,28;99,28;0;0
2016-12-30;99,24;99,26;99,24;99,26;0;0
2016-12-29;99,00;99,35;99,00;99,35;50.000;49.675
2016-12-28;99,01;99,01;99,01;99,01;0;0
2016-12-27;99,00;99,10;99,00;99,10;0;0
2016-12-23;99,19;99,19;99,19;99,19;0;0
2016-12-22;99,04;99,19;99,04;99,19;0;0
2016-12-21;98,54;99,00;98,54;99,00;0;0
2016-12-20;98,99;98,99;98,54;98,99;0;0
2016-12-19;98,99;98,99;98,59;98,99;0;0
2016-12-16;98,79;98,79;98,54;98,54;0;0
2016-12-15;98,65;98,79;98,65;98,79;0;0
2016-12-14;98,84;98,84;98,79;98,79;0;0
2016-12-13;98,69;98,84;98,69;98,84;0;0
2016-12-12;98,64;98,75;98,64;98,75;150.000;148.125
2016-12-09;98,05;98,81;98,05;98,59;250.000;246.255
2016-12-08;97,79;98,15;97,79;98,00;150.000;147.175
2016-12-07;97,79;97,79;97,79;97,79;0;0
2016-12-06;97,70;97,89;97,70;97,89;50.000;48.945
2016-12-05;97,70;97,70;97,70;97,70;0;0
2016-12-02;97,59;97,70;97,59;97,70;0;0
2016-12-01;97,59;97,59;97,59;97,59;0;0
2016-11-30;97,79;97,79;97,74;97,74;0;0
2016-11-29;97,59;97,79;97,59;97,79;0;0
2016-11-28;97,59;97,89;97,59;97,59;50.000;48.945
2016-11-25;97,59;97,59;97,59;97,59;0;0
2016-11-24;97,60;97,65;97,59;97,59;100.000;97.625
2016-11-23;97,60;97,60;97,60;97,60;0;0
2016-11-22;97,60;97,70;97,60;97,60;0;0
2016-11-21;97,19;97,60;97,19;97,60;0;0
2016-11-18;97,19;97,19;97,19;97,19;0;0
2016-11-17;97,00;97,19;97,00;97,19;0;0
