Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;33,45;33,75;33,10;33,40;10.485;351.070
2019-05-02;33,05;33,60;32,90;33,25;15.395;511.391
2019-04-30;34,10;34,65;32,85;32,85;31.533;1.053.194
2019-04-29;34,95;35,30;34,15;34,30;24.309;840.682
2019-04-26;34,85;35,05;34,20;34,70;14.063;485.590
2019-04-25;35,00;36,25;34,95;35,00;26.651;945.479
2019-04-24;35,35;35,35;34,10;35,05;41.300;1.432.317
2019-04-23;35,70;35,70;35,15;35,35;11.132;393.744
2019-04-18;34,70;35,55;34,20;35,45;32.951;1.152.110
2019-04-17;34,90;35,15;34,45;34,80;23.049;803.145
2019-04-16;35,40;35,60;34,60;34,70;30.590;1.069.848
2019-04-15;34,55;35,70;34,25;35,25;30.741;1.079.150
2019-04-12;34,20;35,10;34,20;34,30;31.519;1.088.218
2019-04-11;33,75;34,65;33,70;34,50;21.630;741.781
2019-04-10;33,45;33,90;33,40;33,85;19.602;659.319
2019-04-09;33,40;33,75;33,30;33,45;36.351;1.217.479
2019-04-08;33,15;33,55;32,70;33,55;44.895;1.497.354
2019-04-05;32,70;33,15;32,70;33,05;24.771;815.350
2019-04-04;32,25;32,80;32,15;32,60;25.525;826.861
2019-04-03;31,40;32,35;31,20;32,25;29.040;924.415
2019-04-02;31,35;31,50;31,00;31,45;28.924;904.001
2019-04-01;30,55;31,80;30,40;31,20;46.623;1.462.612
2019-03-29;30,20;30,95;30,15;30,60;16.286;497.376
2019-03-28;30,10;30,60;29,70;29,95;28.652;867.502
2019-03-27;29,45;30,85;29,40;29,85;45.810;1.378.795
2019-03-26;28,55;29,30;28,20;29,15;26.521;761.661
2019-03-25;28,90;28,90;28,20;28,20;13.186;375.573
2019-03-22;29,55;29,70;28,70;28,70;39.132;1.137.112
2019-03-21;29,50;29,55;29,20;29,30;19.248;564.115
2019-03-20;30,50;30,50;29,35;29,35;18.696;555.352
2019-03-19;30,05;30,50;30,00;30,45;11.850;359.361
2019-03-18;29,20;30,00;29,05;29,85;12.637;375.053
2019-03-15;29,75;29,75;28,90;29,20;17.676;517.632
2019-03-14;29,00;29,65;28,60;29,50;136.317;3.936.739
2019-03-13;29,00;29,00;28,75;28,90;11.963;345.829
2019-03-12;30,35;30,45;28,70;29,00;25.487;743.380
2019-03-11;29,55;30,05;28,70;30,05;33.893;988.501
2019-03-08;30,10;30,15;29,25;29,35;24.647;731.448
2019-03-07;30,95;30,95;30,15;30,35;19.238;586.459
2019-03-06;32,25;32,25;30,90;31,05;17.571;550.061
2019-03-05;32,10;32,40;31,60;32,20;24.607;789.150
