Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;94,05;94,72;93,04;93,29;137.980;12.921.331
2019-07-18;95,18;95,18;92,92;93,62;137.243;12.838.348
2019-07-17;96,57;96,57;95,06;95,32;109.511;10.467.247
2019-07-16;94,30;95,70;93,93;95,70;119.945;11.424.321
2019-07-15;93,35;94,53;93,30;94,15;70.114;6.599.651
2019-07-12;93,64;94,25;92,82;93,50;75.565;7.065.665
2019-07-11;93,94;93,94;92,68;93,20;84.714;7.893.353
2019-07-10;93,86;94,31;92,92;93,93;146.379;13.723.553
2019-07-09;93,25;95,12;92,40;94,67;248.674;23.397.658
2019-07-08;91,01;96,21;90,56;94,10;265.455;24.902.402
2019-07-05;95,65;96,30;91,90;92,25;154.710;14.397.362
2019-07-04;97,05;97,35;96,35;96,40;46.722;4.512.341
2019-07-03;96,90;98,10;96,35;96,35;95.747;9.290.881
2019-07-02;96,05;97,55;95,20;97,55;155.882;15.119.892
2019-07-01;99,40;99,65;97,55;97,60;76.085;7.448.582
2019-06-28;97,05;98,30;96,50;98,00;157.492;15.410.329
2019-06-27;96,90;97,55;96,40;96,40;84.888;8.200.314
2019-06-26;97,05;97,65;96,40;97,00;84.568;8.206.223
2019-06-25;97,05;97,85;96,85;97,40;87.053;8.470.262
2019-06-24;97,05;98,30;96,75;96,90;131.020;12.736.624
2019-06-21;98,40;98,45;97,25;97,25;304.994;29.714.802
2019-06-20;97,75;99,20;97,75;98,35;144.849;14.257.516
2019-06-19;97,30;97,80;96,75;97,10;132.416;12.873.872
2019-06-18;96,0195;97,3456;95,7739;96,6089;178.144;17.233.890
2019-06-17;97,3947;97,6894;96,0195;96,265;147.193;14.196.201
2019-06-14;98,0823;98,1314;97,10;97,3456;105.253;10.260.261
2019-06-13;97,3456;98,2296;97,2473;97,542;99.963;9.764.578
2019-06-12;97,3947;98,3279;97,0509;97,9841;124.274;12.153.157
2019-06-11;97,542;98,819;97,1491;97,3947;168.876;16.485.680
2019-06-07;95,2828;97,0018;95,0863;97,0018;200.437;19.310.648
2019-06-06;95,3319;96,4124;94,4969;94,7916;210.913;20.074.502
2019-06-05;95,2828;95,381;94,0549;95,381;201.889;19.172.198
2019-06-04;93,7602;94,8898;93,1217;94,6934;274.027;25.847.408
2019-06-03;96,5106;96,5106;93,269;94,104;278.524;26.215.148
2019-05-31;96,265;97,3456;95,0372;96,8053;314.762;30.331.710
2019-05-30;98,5243;99,4084;96,8544;97,1491;144.012;14.097.035
2019-05-29;97,1491;97,7385;94,0058;97,5911;288.301;27.817.526
2019-05-28;93,662;95,6266;91,9429;95,1845;4.612.023;438.587.488
2019-05-27;93,2199;94,9881;92,9744;93,662;180.994;17.013.434
2019-05-24;93,0726;94,0549;92,385;92,385;186.951;17.335.312
2019-05-23;91,9921;93,269;91,8447;92,5814;237.640;22.006.748
2019-05-22;93,6128;94,2022;92,827;92,8761;199.340;18.590.096
2019-05-21;94,3005;94,7425;93,1217;93,3673;183.193;17.132.982
2019-05-20;94,2513;94,5951;93,0726;93,6128;183.560;17.182.376
2019-05-17;94,4478;94,9389;93,8584;93,9075;126.174;11.881.316
2019-05-16;92,385;94,6934;92,1885;94,546;255.636;24.068.370
2019-05-15;90,8133;92,7288;89,9784;92,2376;322.924;29.608.688
2019-05-14;91,5009;91,7465;88,9961;89,9784;329.356;29.692.462
2019-05-13;91,3536;91,3536;90,0275;90,8133;133.400;12.095.623
2019-05-10;92,4832;92,7779;90,9115;91,4518;332.515;30.429.702
2019-05-09;91,8938;92,0903;90,6168;91,6483;294.756;26.938.118
2019-05-08;90,3713;92,4832;90,273;92,1394;238.596;21.923.850
2019-05-07;91,6483;92,385;89,9784;90,3713;245.789;22.303.096
2019-05-06;92,9744;93,1708;90,6168;92,4832;223.261;20.537.590
2019-05-03;94,3005;94,6934;94,0058;94,3005;215.898;20.362.162
2019-05-02;95,823;96,265;93,6128;94,3005;315.839;29.795.956
2019-04-30;101,8641;101,8641;93,9567;94,9389;418.603;39.953.380
2019-04-29;100,1942;101,2748;99,3102;100,9801;113.786;11.456.558
2019-04-26;99,2119;100,096;98,9172;100,096;77.375;7.717.558
2019-04-25;99,0155;99,6049;98,3279;99,1137;64.770;6.415.274
2019-04-24;98,819;99,8995;98,0332;98,7208;117.399;11.598.887
2019-04-23;98,0332;99,8013;97,8367;99,8013;129.511;12.862.670
2019-04-18;96,5597;98,1805;96,1668;98,0332;109.825;10.729.920
2019-04-17;96,1668;97,0509;95,5283;96,6089;138.641;13.381.801
2019-04-16;94,8898;96,0195;94,546;95,4792;103.499;9.876.550
2019-04-15;94,104;95,1845;93,8093;94,6934;85.868;8.130.117
2019-04-12;91,0589;93,9075;91,0589;93,9075;139.332;13.037.382
2019-04-11;91,5009;91,8447;91,0098;91,5991;85.905;7.862.007
2019-04-10;91,8938;92,3359;91,3536;91,5009;98.936;9.066.202
2019-04-09;92,3359;92,9252;91,0589;91,4027;63.959;5.864.087
2019-04-08;91,3536;93,1217;91,2062;92,4832;99.738;9.216.781
2019-04-05;90,273;91,8938;90,1257;91,1571;72.275;6.591.785
2019-04-04;91,7956;91,7956;90,3222;90,3713;135.659;12.287.712
2019-04-03;90,9115;91,8938;90,3222;91,7956;108.846;9.968.280
2019-04-02;88,9961;90,8133;88,7996;90,0766;91.283;8.229.842
2019-04-01;87,4244;89,389;87,4244;88,9469;123.498;10.952.968
2019-03-29;86,6091;86,9627;85,8724;86,9627;150.614;13.069.734
2019-03-28;84,7918;86,1179;84,507;85,8527;89.470;7.673.917
2019-03-27;85,9804;86,4912;84,9293;85,0079;115.424;9.858.060
2019-03-26;84,949;86,3831;84,4382;86,3439;116.518;10.026.468
2019-03-25;85,0178;85,558;84,4087;84,9686;99.974;8.500.831
2019-03-22;85,7741;86,3439;85,1258;85,2732;217.002;18.569.486
2019-03-21;84,6445;85,6071;84,1632;85,6071;140.160;11.970.848
2019-03-20;84,448;85,4598;84,3498;84,9097;113.255;9.620.724
2019-03-19;84,0453;85,5875;84,0453;84,9686;117.449;9.985.190
2019-03-18;84,8606;84,8606;83,9274;84,2319;152.310;12.836.873
2019-03-15;85,558;85,558;84,1435;84,3498;932.966;78.738.152
2019-03-14;86,0099;86,3046;85,1946;85,3616;173.396;14.848.053
2019-03-13;83,5934;85,8625;83,1317;85,8625;213.473;18.217.272
2019-03-12;83,6425;83,8095;83,063;83,4559;124.422;10.385.879
2019-03-11;82,5129;83,2889;82,1887;83,2202;93.064;7.717.258
2019-03-08;82,7585;82,7781;78,6819;82,3656;147.757;12.157.206
2019-03-07;82,3656;84,173;81,7271;83,3479;358.349;29.903.430
2019-03-06;85,4598;85,4598;83,8979;84,4775;149.746;12.668.494
2019-03-05;85,4598;85,7741;84,5757;85,2044;119.912;10.203.754
2019-03-04;87,4244;87,9057;85,6366;85,6366;149.686;12.910.095
2019-03-01;87,8468;88,6621;87,3753;87,5914;134.770;11.856.613
2019-02-28;85,7839;87,3458;85,7643;86,7761;118.430;10.280.758
2019-02-27;86,5403;86,8939;86,0001;86,5207;106.604;9.223.852
2019-02-26;87,002;87,1297;85,9902;86,3635;111.364;9.640.724
2019-02-25;87,5423;87,9646;86,8546;86,9332;106.531;9.283.419
2019-02-22;86,4421;87,1592;86,2162;86,7859;147.133;12.756.418
2019-02-21;88,2593;88,2593;86,4912;86,7466;142.528;12.410.036
2019-02-20;87,4244;88,5246;87,4244;87,4637;125.096;10.978.106
2019-02-19;88,2495;88,4558;86,6582;87,444;145.962;12.782.197
2019-02-18;86,9332;88,4754;86,9332;88,2986;119.900;10.550.342
2019-02-15;85,4598;90,666;85,4598;86,8939;190.060;16.558.764
2019-02-14;87,3065;87,3065;85,5089;85,6562;107.991;9.301.670
2019-02-13;85,5875;86,9529;85,4598;86,56;131.638;11.375.734
2019-02-12;84,9097;85,6562;84,6838;84,9981;150.133;12.763.699
2019-02-11;84,8213;84,8704;83,7604;84,3989;100.101;8.445.000
2019-02-08;84,615;85,3517;83,9667;84,1828;122.223;10.322.089
2019-02-07;86,3439;86,7957;84,615;84,615;114.258;9.753.178
2019-02-06;85,1455;86,6582;85,0767;86,5993;104.749;9.040.167
2019-02-05;84,5266;85,6071;84,507;85,4893;108.190;9.232.273
2019-02-04;84,674;85,0374;84,1239;84,5757;139.222;11.773.184
2019-02-01;85,1062;86,0197;84,1828;84,7329;220.541;18.659.026
2019-01-31;84,7132;85,6857;83,9863;84,782;159.854;13.533.867
2019-01-30;83,9372;84,5364;83,0237;84,5364;104.998;8.833.674
2019-01-29;83,9863;84,4775;83,2987;83,4068;130.954;10.969.295
2019-01-28;83,8095;84,8213;83,397;83,9667;100.039;8.409.978
2019-01-25;82,8469;84,173;82,6111;83,9078;151.421;12.669.281
2019-01-24;82,5227;82,9549;82,2575;82,6111;88.641;7.322.661
2019-01-23;82,6602;82,6602;81,8449;82,3557;131.016;10.778.523
2019-01-22;82,5522;82,8469;81,6485;82,5424;120.640;9.949.675
2019-01-21;82,0512;82,7781;81,4422;82,6111;113.194;9.328.277
2019-01-18;82,2575;82,2575;80,3126;82,0218;195.569;15.963.415
2019-01-17;80,5974;81,8155;80,4108;81,4324;78.244;6.368.816
2019-01-16;81,2556;82,2477;80,5581;81,2261;92.425;7.499.037
2019-01-15;82,0218;82,3656;80,3715;81,0296;147.752;12.000.667
2019-01-14;81,8744;82,1789;81,0591;81,6387;181.410;14.836.525
2019-01-11;82,5129;82,7486;81,8155;82,0218;126.571;10.403.413
2019-01-10;81,8842;82,8076;81,2752;82,3164;142.445;11.731.409
2019-01-09;81,118;82,6897;81,118;81,9333;237.330;19.451.494
2019-01-08;81,0198;81,4225;80,2536;80,9314;149.360;12.101.461
2019-01-07;80,9314;81,0395;79,8902;80,951;104.614;8.458.229
2019-01-04;76,5504;80,509;76,5504;80,3027;180.089;14.334.832
2019-01-03;77,4737;77,4737;76,236;76,2851;81.792;6.271.183
2019-01-02;77,3166;79,5071;75,6368;77,5916;145.536;11.323.992
2018-12-28;75,6565;77,6407;75,6565;77,2281;101.365;7.801.879
2018-12-27;77,7193;78,0827;74,242;74,9689;97.310;7.336.858
2018-12-21;77,2085;77,3755;74,7036;77,3755;469.889;36.091.444
2018-12-20;79,3892;79,5955;75,8333;77,6407;119.680;9.374.613
2018-12-19;79,0749;80,568;78,5935;79,6151;93.410;7.443.388
2018-12-18;79,5071;79,6446;78,3283;78,9177;90.527;7.152.891
2018-12-17;81,5306;81,5306;78,7802;79,5464;55.157;4.398.588
2018-12-14;81,2457;81,3538;79,7134;80,5483;77.870;6.280.750
2018-12-13;82,9058;83,2496;81,786;81,8155;64.481;5.305.149
2018-12-12;80,4206;82,8665;80,4206;82,6995;74.721;6.143.642
2018-12-11;80,3617;81,5306;79,566;80,3224;115.873;9.360.876
2018-12-10;79,5758;81,0984;79,1731;79,7232;94.495;7.528.944
2018-12-07;80,1947;81,4225;78,6034;80,2733;92.343;7.374.203
2018-12-06;79,3008;81,4029;78,1711;79,0061;586.925;46.493.092
2018-12-05;80,3518;81,0395;79,458;79,458;39.150;3.119.142
2018-12-04;81,9726;82,8076;81,0493;81,5306;33.175;2.708.457
2018-12-03;81,953;83,397;81,6878;82,5129;46.726;3.862.022
2018-11-30;80,6072;81,5306;80,067;81,0296;39.348;3.186.926
2018-11-29;80,3224;81,0296;80,0572;80,0964;51.711;4.160.775
2018-11-28;78,0926;79,566;76,6388;79,566;92.889;7.321.456
2018-11-27;79,0061;79,0061;77,1103;77,3067;53.473;4.160.508
2018-11-26;78,8686;79,0749;76,8745;78,7311;50.363;3.937.258
2018-11-23;78,8096;79,566;77,7193;78,4069;24.893;1.954.338
2018-11-22;77,1103;78,623;76,6191;78,3578;97.551;7.573.664
2018-11-21;76,5798;77,1103;72,6212;77,1103;162.724;12.359.243
2018-11-20;77,2281;77,3657;73,6722;75,5386;52.645;3.972.362
2018-11-19;79,3499;79,3597;76,7173;77,7684;52.143;4.062.000
2018-11-16;79,8902;81,5699;78,79;79,2419;29.233;2.326.822
2018-11-15;82,0512;82,5031;79,733;80,8037;32.575;2.627.172
2018-11-14;81,5306;82,0218;80,2929;82,0218;40.644;3.312.055
2018-11-13;80,4599;81,619;80,4501;81,452;26.570;2.159.450
2018-11-12;82,8469;82,8469;79,90;80,4206;21.344;1.727.691
2018-11-09;82,6308;83,2005;82,4245;82,6504;49.841;4.118.650
2018-11-08;82,6995;83,397;81,2359;83,2987;47.767;3.950.983
2018-11-07;82,2182;82,5031;81,5404;82,5031;27.213;2.235.081
2018-11-06;82,4933;82,4933;80,8528;81,285;34.704;2.828.057
2018-11-05;82,0119;82,4933;81,5404;82,1986;58.991;4.845.443
2018-11-02;80,6564;82,5129;79,2124;81,8548;78.235;6.377.118
2018-11-01;79,2517;80,5483;78,6034;80,5483;54.281;4.323.046
2018-10-31;78,3873;80,0866;77,4442;78,5837;140.845;11.059.196
2018-10-30;78,5542;78,5935;77,2871;77,2871;98.626;7.670.393
2018-10-29;78,623;78,957;77,7095;78,5444;128.223;10.076.880
2018-10-26;78,7114;79,5071;75,8333;77,6014;269.728;20.969.150
2018-10-25;79,065;79,9098;78,7114;79,2811;97.349;7.726.392
2018-10-24;79,5758;79,8509;79,232;79,4678;112.049;8.905.696
2018-10-23;80,6171;80,9314;79,3204;79,3695;156.239;12.480.582
2018-10-22;80,5483;81,3833;80,1554;80,7448;157.492;12.691.222
2018-10-19;81,8253;82,4441;80,2045;80,2045;314.701;25.386.906
2018-10-18;83,4952;83,9765;81,6878;81,6878;1.024.014;83.831.568
2018-10-17;82,7094;84,6543;82,4048;83,2496;462.856;38.620.828
2018-10-16;81,9235;82,7094;81,8842;82,0905;449.847;37.065.532
2018-10-15;80,5483;82,7094;79,6937;81,4324;790.863;64.446.724
2018-10-12;78,6819;80,4206;78,5837;80,1947;5.131.054;407.488.640





