Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;6,175;6,195;6,025;6,13;1.254.345;7.640.669
2019-05-02;6,325;6,325;6,035;6,175;2.069.217;12.692.287
2019-04-30;6,285;6,42;6,22;6,255;656.919;4.132.255
2019-04-29;6,39;6,42;6,295;6,38;1.022.766;6.490.055
2019-04-26;6,545;6,545;6,13;6,29;3.636.440;22.791.380
2019-04-25;6,985;7,035;6,865;6,965;426.552;2.965.853
2019-04-24;7,165;7,165;6,965;6,995;347.631;2.448.634
2019-04-23;7,34;7,355;7,105;7,155;418.310;2.997.816
2019-04-18;7,28;7,28;7,135;7,24;268.889;1.941.743
2019-04-17;7,09;7,365;7,09;7,285;501.801;3.656.501
2019-04-16;7,045;7,19;7,045;7,16;349.395;2.495.601
2019-04-15;7,07;7,16;7,01;7,04;410.981;2.909.096
2019-04-12;6,855;7,085;6,74;6,995;509.086;3.539.290
2019-04-11;6,855;6,94;6,81;6,865;232.017;1.593.999
2019-04-10;6,905;6,97;6,82;6,84;325.115;2.235.811
2019-04-09;7,055;7,125;6,90;6,935;451.846;3.151.032
2019-04-08;7,09;7,21;6,965;7,06;515.666;3.634.962
2019-04-05;7,145;7,25;7,10;7,14;344.700;2.470.076
2019-04-04;7,15;7,175;6,99;7,16;472.645;3.362.545
2019-04-03;6,92;7,17;6,92;7,125;805.166;5.705.030
2019-04-02;6,75;6,92;6,75;6,88;427.612;2.936.383
2019-04-01;6,635;6,845;6,63;6,80;473.744;3.201.844
2019-03-29;6,49;6,635;6,49;6,555;440.333;2.890.243
2019-03-28;6,435;6,495;6,395;6,455;543.043;3.503.758
2019-03-27;6,465;6,56;6,415;6,45;262.936;1.701.932
2019-03-26;6,575;6,575;6,36;6,445;780.916;5.042.601
2019-03-25;6,675;6,675;6,475;6,565;364.411;2.379.980
2019-03-22;6,895;6,90;6,575;6,615;830.609;5.557.860
2019-03-21;6,865;6,93;6,795;6,855;531.153;3.645.825
2019-03-20;6,855;6,93;6,75;6,75;606.090;4.138.959
2019-03-19;6,935;6,99;6,825;6,925;611.020;4.226.007
2019-03-18;6,80;6,96;6,75;6,855;685.737;4.712.647
2019-03-15;6,78;6,845;6,705;6,715;1.035.960;6.980.581
2019-03-14;6,985;7,02;6,66;6,69;883.991;6.006.946
2019-03-13;6,89;6,97;6,735;6,865;594.975;4.096.005
2019-03-12;6,48;7,03;6,40;6,905;2.465.359;16.801.990
2019-03-11;6,06;6,195;6,02;6,195;341.758;2.101.157
2019-03-08;6,225;6,225;6,07;6,12;603.902;3.696.621
2019-03-07;6,38;6,38;6,18;6,255;602.681;3.764.272
2019-03-06;6,445;6,445;6,30;6,385;408.918;2.596.161
2019-03-05;6,555;6,625;6,40;6,445;355.011;2.299.645
2019-03-04;6,645;6,665;6,505;6,595;328.311;2.157.381
2019-03-01;6,555;6,66;6,535;6,59;241.934;1.601.520
2019-02-28;6,605;6,625;6,48;6,51;396.513;2.588.923
2019-02-27;6,525;6,64;6,395;6,63;408.910;2.681.168
2019-02-26;6,535;6,57;6,43;6,535;456.296;2.969.289
2019-02-25;6,315;6,65;6,315;6,56;452.039;2.967.902
2019-02-22;6,325;6,49;6,32;6,32;456.763;2.922.950
