Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;105,50;105,50;103,60;104,65;157.705;16.491.904
2019-07-18;104,05;105,35;104,00;104,80;67.196;7.035.560
2019-07-17;103,70;105,15;103,50;104,10;80.499;8.390.171
2019-07-16;105,65;105,65;103,20;103,60;130.455;13.541.880
2019-07-15;106,20;106,75;104,85;105,75;88.745;9.380.073
2019-07-12;105,35;106,00;104,45;105,50;120.327;12.689.485
2019-07-11;105,50;106,65;104,90;105,20;111.772;11.780.965
2019-07-10;107,00;107,00;104,50;105,40;154.973;16.346.164
2019-07-09;105,30;107,85;105,30;107,30;213.357;22.807.922
2019-07-08;104,05;105,30;103,70;105,30;121.840;12.793.950
2019-07-05;106,25;106,80;103,50;104,25;148.556;15.554.328
2019-07-04;106,00;106,20;103,85;105,75;204.561;21.530.862
2019-07-03;101,45;104,35;101,25;104,35;236.067;24.524.012
2019-07-02;99,76;101,20;99,06;100,85;211.073;21.243.256
2019-07-01;101,40;101,75;99,50;99,76;201.860;20.181.112
2019-06-28;98,50;99,34;98,28;99,20;314.353;31.129.142
2019-06-27;99,54;99,54;97,94;98,46;200.566;19.743.090
2019-06-26;100,85;100,85;98,88;99,28;257.257;25.617.940
2019-06-25;101,45;102,45;101,20;101,20;205.895;20.896.502
2019-06-24;102,80;102,95;101,95;101,95;139.845;14.285.660
2019-06-21;102,55;103,40;102,35;102,50;334.763;34.340.772
2019-06-20;105,75;105,80;102,70;102,90;218.148;22.582.216
2019-06-19;106,80;106,85;104,05;105,20;207.226;21.799.214
2019-06-18;107,05;109,25;106,70;107,65;230.507;24.851.214
2019-06-17;106,05;107,15;106,05;106,85;137.661;14.705.924
2019-06-14;105,45;106,50;104,90;106,40;174.192;18.471.510
2019-06-13;104,65;106,35;104,50;105,25;193.769;20.445.176
2019-06-12;103,75;105,00;103,75;104,65;237.921;24.856.218
2019-06-11;105,65;105,65;103,20;104,50;264.700;27.590.366
2019-06-07;106,50;106,85;103,35;104,15;311.963;32.530.832
2019-06-06;108,95;109,00;104,45;106,30;286.956;30.507.670
2019-06-05;108,30;109,25;107,50;109,05;131.688;14.304.890
2019-06-04;107,80;109,15;107,50;108,00;200.745;21.725.044
2019-06-03;107,25;108,00;106,20;108,00;170.047;18.318.096
2019-05-31;106,90;107,15;105,30;106,90;185.821;19.805.420
2019-05-30;106,00;106,70;105,45;106,55;111.311;11.837.432
2019-05-29;107,3921;107,3921;105,4562;106,1822;179.265;19.007.634
2019-05-28;107,7793;108,2632;106,8113;107,2469;233.500;25.056.294
2019-05-27;108,2632;108,5536;107,1501;107,3437;47.354;5.094.341
2019-05-24;107,1985;107,9729;106,4726;107,2469;125.431;13.435.910
2019-05-23;106,521;107,0049;105,4078;106,4242;142.768;15.171.448
2019-05-22;108,0697;108,4084;106,037;106,521;92.048;9.822.224
2019-05-21;108,4084;108,7472;107,6341;108,0697;225.374;24.360.696
2019-05-20;107,5857;108,9408;107,5857;107,9245;82.727;8.945.471
2019-05-17;108,36;108,5536;106,8597;107,3921;138.324;14.886.758
2019-05-16;108,2148;108,4568;107,2953;108,0697;178.621;19.275.698
2019-05-15;104,5367;107,6341;104,2947;107,4405;179.957;19.188.332
2019-05-14;107,4405;108,3116;104,2463;104,2463;236.233;24.896.134
2019-05-13;104,8271;106,8597;104,6335;106,8597;175.149;18.617.340
2019-05-10;104,3915;105,4078;104,0043;104,9239;285.458;29.945.882
2019-05-09;101,6329;104,8271;101,3909;104,2947;182.012;18.866.488
2019-05-08;101,6329;102,2621;101,2941;101,3909;115.986;11.788.645
2019-05-07;100,3262;102,4072;100,2294;101,9233;179.585;18.305.344
2019-05-06;99,6486;100,423;99,4551;99,8906;69.757;6.969.346
2019-05-03;101,5845;101,6813;100,423;100,5682;80.355;8.102.982
2019-05-02;101,1005;101,5361;100,3746;101,4877;116.698;11.822.695
2019-04-30;99,8906;100,9554;99,6486;100,423;133.331;13.393.723
2019-04-29;100,4714;100,665;99,697;99,8906;140.218;14.024.739
2019-04-26;101,3425;101,3909;99,9874;100,1326;130.281;13.070.221
2019-04-25;103,5688;103,714;101,4393;101,4393;128.312;13.070.526
2019-04-24;102,4556;103,7624;101,7297;103,3752;224.351;23.158.372
2019-04-23;100,907;102,988;100,5682;102,2137;223.595;22.830.536
2019-04-18;100,423;100,5682;99,7938;100,5198;135.130;13.552.900
2019-04-17;99,2131;100,181;98,1967;99,9874;190.648;18.949.930
2019-04-16;98,7775;99,6002;98,7775;99,6002;166.829;16.589.905
2019-04-15;99,2131;100,3746;98,5839;99,1163;197.361;19.588.988
2019-04-12;102,0685;102,2621;100,423;100,9554;144.320;14.589.386
2019-04-11;102,8912;103,0848;101,8265;102,1653;126.036;12.874.126
2019-04-10;102,0201;103,8108;101,9717;103,1816;157.455;16.234.433
2019-04-09;103,3268;103,5204;102,2621;102,2621;102.383;10.500.205
2019-04-08;103,8591;104,5367;103,4236;103,472;143.398;14.873.048
2019-04-05;104,4399;104,5367;103,472;104,3431;124.417;12.963.362
2019-04-04;105,7466;106,3758;104,6335;104,7303;126.559;13.280.951
2019-04-03;105,6498;105,9402;104,6335;105,9402;176.179;18.604.068
2019-04-02;106,037;106,7629;105,1175;105,4078;202.987;21.447.900
2019-04-01;106,1822;106,3274;105,1175;105,8918;144.407;15.287.862
2019-03-29;104,9723;106,4242;103,9559;105,9402;220.118;23.265.854
2019-03-28;104,0043;105,1175;104,0043;104,8271;157.153;16.458.171
2019-03-27;104,5367;104,9239;103,3268;104,4399;175.819;18.309.618
2019-03-26;103,6656;104,7787;103,5688;104,5367;117.248;12.242.274
2019-03-25;103,4236;103,9559;102,988;103,6172;167.395;17.313.330
2019-03-22;103,0364;103,8591;102,9396;103,3752;193.909;20.055.496
2019-03-21;101,1973;103,0364;100,907;102,7944;158.786;16.246.835
2019-03-20;101,7781;102,8428;101,3425;101,3425;143.538;14.616.789
2019-03-19;100,4714;102,0201;100,2294;101,8749;157.723;16.027.148
2019-03-18;99,697;100,6166;99,697;100,4714;123.245;12.371.684
2019-03-15;101,1489;101,8749;99,8906;100,0358;211.914;21.274.864
2019-03-14;100,423;101,5361;100,181;100,7618;170.237;17.180.584
2019-03-13;100,7134;101,2457;99,1163;100,181;145.859;14.589.042
2019-03-12;100,5682;101,6329;100,0358;100,907;188.172;19.005.766
2019-03-11;103,0848;103,0848;99,5518;100,0842;205.681;20.647.514
2019-03-08;96,1544;99,697;96,1544;98,9711;164.344;16.237.342
2019-03-07;94,567;96,4061;94,2379;96,2706;145.641;13.969.922
2019-03-06;95,2639;95,593;94,3153;94,3734;79.151;7.487.078
2019-03-05;94,3928;95,051;93,9282;94,8574;137.442;13.005.303
2019-03-04;95,6704;95,6704;94,2379;94,4896;138.466;13.098.400
2019-03-01;95,4575;95,6511;95,0703;95,2252;130.287;12.414.824
2019-02-28;95,322;95,7479;94,7993;95,0122;159.743;15.187.028
2019-02-27;95,8253;96,2318;95,2445;95,6898;125.217;11.980.212
2019-02-26;95,8447;96,5416;95,7479;96,0189;75.463;7.249.922
2019-02-25;96,7932;97,4224;95,9221;96,2512;131.712;12.681.520
2019-02-22;97,1804;97,1804;96,2318;96,5029;97.668;9.429.925
2019-02-21;97,858;97,858;96,5029;96,89;130.842;12.682.638
2019-02-20;98,10;98,2935;97,0352;97,5192;89.893;8.774.041
2019-02-19;98,0032;98,2935;97,4708;97,9548;83.073;8.135.228
2019-02-18;98,2935;98,4387;97,6644;98,0516;81.702;8.007.462
2019-02-15;98,6323;98,9227;97,5192;98,10;132.549;13.006.785
2019-02-14;99,2131;99,5518;98,5839;98,7291;95.820;9.468.820
2019-02-13;99,3099;99,939;98,7291;99,0195;113.828;11.289.404
2019-02-12;100,0842;100,0842;98,6807;98,8259;120.486;11.922.951
2019-02-11;99,3099;100,1326;99,3099;99,5035;108.367;10.798.190
2019-02-08;100,3746;101,1489;98,6323;98,8259;146.213;14.517.858
2019-02-07;101,7297;102,0685;100,665;100,665;140.550;14.201.433
2019-02-06;101,0037;102,6492;100,8586;101,5361;166.905;17.000.176
2019-02-05;100,5198;100,907;99,6486;100,8102;122.165;12.300.128
2019-02-04;99,7938;100,2294;99,2615;100,0842;103.351;10.323.370
2019-02-01;99,697;99,8906;98,7775;99,4551;115.992;11.532.183
2019-01-31;100,0842;100,423;98,7291;99,2131;148.349;14.741.837
2019-01-30;98,1967;99,2131;97,5192;99,0195;90.736;8.960.111
2019-01-29;97,2772;98,8259;97,2772;97,858;94.402;9.250.592
2019-01-28;97,0836;97,858;96,2899;97,132;159.805;15.539.146
2019-01-25;96,3674;97,9548;95,6317;97,2772;159.149;15.506.430
2019-01-24;96,0189;96,3093;95,1865;95,4381;113.052;10.797.959
2019-01-23;95,2252;96,3674;94,567;95,7092;122.023;11.676.292
2019-01-22;95,1478;96,1544;94,7219;94,7993;58.338;5.545.088
2019-01-21;93,6378;95,0897;93,1151;94,9929;102.402;9.657.181
2019-01-18;92,9989;93,6765;92,786;93,3087;186.710;17.405.790
2019-01-17;93,2506;93,3087;92,8247;93,1345;168.132;15.649.202
2019-01-16;93,9282;93,9282;92,1472;93,4829;187.394;17.425.854
2019-01-15;93,1345;93,9669;92,6311;93,5991;88.735;8.296.983
2019-01-14;93,8894;94,1605;92,8054;93,0183;102.684;9.561.448
2019-01-11;93,2506;94,3734;92,9022;93,7927;159.843;15.003.403
2019-01-10;93,1151;93,5991;92,3988;92,4182;112.624;10.437.155
2019-01-09;93,5797;94,1411;92,4375;93,27;162.263;15.133.724
2019-01-08;93,0183;94,1217;93,0183;93,6765;120.868;11.330.819
2019-01-07;92,2052;92,7473;91,6438;92,7279;141.122;13.039.209
2019-01-04;91,0437;91,6632;90,3662;91,6051;101.139;9.239.670
2019-01-03;89,2434;90,9856;89,0111;90,6178;136.146;12.279.742
2019-01-02;87,6172;89,708;87,4237;89,3014;134.477;11.976.205
2018-12-28;88,4884;89,1272;88,0625;88,198;125.828;11.123.208
2018-12-27;91,489;91,489;87,7721;88,3142;136.611;12.115.401
2018-12-21;90,9856;92,3214;90,0758;91,489;322.167;29.412.180
2018-12-20;91,9536;92,1084;90,9469;91,6826;118.042;10.811.284
2018-12-19;91,6632;92,7666;91,218;92,5924;215.847;19.936.242
2018-12-18;92,9796;92,9796;91,6438;91,76;199.519;18.342.914
2018-12-17;93,9862;94,0443;92,8247;92,9989;128.800;12.015.543
2018-12-14;93,9088;94,4702;92,7473;93,8894;132.013;12.365.829
2018-12-13;94,8187;94,8187;93,1538;93,8894;164.557;15.445.336
2018-12-12;94,3347;95,5543;94,083;94,8961;230.489;21.912.388
2018-12-11;96,89;96,89;93,8701;93,8701;131.404;12.385.105
2018-12-10;96,6964;97,0352;95,9608;95,9608;119.051;11.427.472
2018-12-07;96,1931;98,0032;96,135;96,3867;90.791;8.784.299
2018-12-06;97,9548;97,9548;95,5736;96,0383;201.259;19.380.244
2018-12-05;96,348;98,4387;96,348;97,9548;133.811;13.071.948
2018-12-04;95,8253;97,374;95,8253;96,7932;135.445;13.136.070
2018-12-03;99,6486;100,423;95,8253;95,9802;196.952;19.058.624
2018-11-30;98,4387;98,9227;97,4224;98,2935;183.954;18.073.300
2018-11-29;99,1647;99,4067;97,858;98,6807;146.687;14.478.704
2018-11-28;97,374;98,5355;96,9384;98,2451;117.095;11.471.218
2018-11-27;95,7285;97,5676;95,6898;97,0836;111.508;10.819.822
2018-11-26;94,8767;96,135;94,8767;95,9221;97.910;9.375.883
2018-11-23;93,8894;94,8574;93,3668;94,7606;79.522;7.500.594
2018-11-22;95,0703;95,5543;93,9282;94,1217;120.716;11.388.055
2018-11-21;94,3734;95,0703;94,0056;94,838;153.030;14.498.464
2018-11-20;95,8253;96,5609;93,7346;94,1411;150.804;14.281.333
2018-11-19;97,7612;98,5839;96,4254;96,4254;76.669;7.432.892
2018-11-16;97,858;98,5355;96,5609;97,7128;140.785;13.751.512
2018-11-15;99,7938;100,3262;97,4708;98,2451;194.878;19.237.068
2018-11-14;97,2772;100,3262;97,2288;99,4551;215.900;21.458.056
2018-11-13;97,4708;98,3419;96,9868;97,616;130.253;12.713.074
2018-11-12;98,8743;98,8743;96,7932;97,4224;106.731;10.396.685
2018-11-09;96,7932;98,9711;96,348;98,1967;389.554;38.243.564
2018-11-08;98,3419;98,4871;97,374;97,858;134.783;13.198.325
2018-11-07;95,6511;98,5839;95,3801;98,0516;134.959;13.179.483
2018-11-06;94,083;95,8447;94,083;95,3607;143.928;13.714.218
2018-11-05;94,9155;95,593;93,7539;93,7539;130.182;12.253.813
2018-11-02;95,4188;95,5543;94,4508;94,9735;103.138;9.801.330
2018-11-01;93,1925;95,3994;93,1925;95,0897;155.069;14.696.898
2018-10-31;94,838;95,3994;93,2312;93,5603;186.066;17.426.588
2018-10-30;93,7152;94,6638;93,1925;94,296;96.886;9.118.167
2018-10-29;93,6378;95,0316;93,1538;93,5603;180.120;16.911.078
2018-10-26;93,6765;94,0443;92,6698;93,6571;205.886;19.236.318
2018-10-25;93,5797;94,4896;93,1345;94,1798;202.604;19.057.884
2018-10-24;95,2252;96,2706;94,2573;94,2573;128.629;12.213.281
2018-10-23;96,2125;96,6964;94,6831;95,051;125.249;11.932.973
2018-10-22;98,0516;98,10;96,4448;97,1804;146.771;14.246.579
2018-10-19;96,7932;97,7612;96,4061;97,374;103.214;10.035.730
2018-10-18;96,7158;98,0032;96,0576;96,8416;147.568;14.322.558
2018-10-17;93,7152;96,5997;93,6378;96,5997;238.649;22.911.200
2018-10-16;91,1599;93,8701;91,1599;93,4248;130.311;12.118.300
2018-10-15;90,8114;91,1792;89,8241;90,734;151.052;13.685.483
2018-10-12;92,9602;93,0183;90,4049;90,4049;177.917;16.185.010
2018-10-11;92,9989;93,7152;92,4763;92,6892;261.776;24.295.538
2018-10-10;96,2318;96,348;94,296;94,296;201.526;19.073.046
2018-10-09;94,7219;96,135;93,9669;95,9608;198.891;19.024.258
2018-10-08;94,3541;94,7412;93,9475;94,5089;127.937;12.086.374
2018-10-05;94,9929;95,322;93,6184;94,1024;163.012;15.358.987
2018-10-04;97,2772;97,2772;95,0122;95,0122;200.911;19.181.956
2018-10-02;98,6323;99,2131;97,4224;97,7612;117.979;11.552.282
2018-10-01;99,0679;99,2615;98,3903;98,7775;133.654;13.200.936
2018-09-28;98,5839;98,9711;97,858;98,9711;197.954;19.552.746
2018-09-27;98,0516;98,8259;97,858;98,4387;86.616;8.524.252
2018-09-26;98,2451;99,0679;98,2451;98,5355;78.627;7.748.094
2018-09-25;98,8259;99,6486;98,2451;98,4387;143.485;14.165.793
2018-09-24;98,7775;99,697;98,7291;99,1163;186.188;18.476.102
2018-09-21;99,3099;99,4067;98,5355;99,2131;416.266;41.274.408
2018-09-20;98,3903;99,3099;97,616;98,7775;122.096;12.041.222
2018-09-19;99,8422;100,181;98,1483;98,3419;264.721;26.148.368
2018-09-18;100,7134;101,0037;99,4067;99,8906;218.545;21.844.358
2018-09-17;99,3583;99,8422;98,8743;98,9227;112.311;11.137.696
2018-09-14;100,5198;100,665;99,3099;99,4067;100.352;9.998.970
2018-09-13;101,4393;101,5361;100,2778;100,2778;97.866;9.840.473
2018-09-12;100,665;101,3909;100,2294;101,3909;120.400;12.167.971
2018-09-11;101,3425;101,3425;100,2778;100,6166;125.912;12.672.614
2018-09-10;101,7297;102,0201;101,0521;101,0521;103.562;10.485.454
2018-09-07;101,4393;102,2137;101,3425;101,7297;127.142;12.944.763
2018-09-06;100,9554;101,8265;100,6166;101,2941;127.605;12.925.401
2018-09-05;100,6166;101,4393;100,423;101,0037;111.711;11.277.288
2018-09-04;101,0037;101,3425;100,3262;100,9554;107.044;10.800.414
2018-09-03;101,4877;102,4556;100,7134;100,7134;139.044;14.049.204
2018-08-31;101,7781;102,2621;101,0037;101,7781;122.824;12.486.972
2018-08-30;102,0685;102,3589;101,1489;101,9233;76.739;7.819.920
2018-08-29;101,5361;103,5688;101,3909;102,1169;181.977;18.628.782
2018-08-28;101,9717;102,3105;101,5361;102,2621;94.833;9.675.484
2018-08-27;102,0201;102,1169;101,5845;101,7297;52.556;5.349.482
2018-08-24;101,8265;101,9717;100,9554;101,1973;72.427;7.332.099
2018-08-23;101,0037;101,9717;100,6166;101,7781;76.037;7.729.272
2018-08-22;99,8906;101,0521;99,6486;100,9554;138.325;13.915.964
2018-08-21;99,2131;100,5198;98,9711;99,8906;115.204;11.507.517
2018-08-20;99,697;99,8422;98,5839;99,0679;106.552;10.567.813
2018-08-17;99,4551;99,9874;98,7291;99,5518;110.412;10.983.538
2018-08-16;97,858;99,6486;97,616;99,2131;118.628;11.714.519
2018-08-15;97,9064;98,0516;97,3256;97,7612;93.452;9.129.882
2018-08-14;97,7128;98,0516;95,806;97,9548;163.346;15.889.297
2018-08-13;96,3867;97,7612;96,1544;97,374;154.695;15.034.194
2018-08-10;93,6184;96,1544;93,6184;95,322;239.436;22.809.872
2018-08-09;93,4055;93,9282;92,9022;93,3087;187.708;17.530.404
2018-08-08;92,515;93,4829;92,2052;92,8634;68.959;6.404.946
2018-08-07;93,6765;94,0443;92,786;92,786;88.075;8.189.498
2018-08-06;94,7412;94,7412;93,328;93,812;97.927;9.196.370
2018-08-03;93,5603;94,567;93,4055;94,3734;78.494;7.390.909
2018-08-02;94,7412;94,7412;93,057;93,5603;117.509;10.991.776
2018-08-01;93,3861;93,5991;92,6505;93,5216;100.132;9.348.520
2018-07-31;93,5216;93,9282;93,0183;93,1538;112.524;10.496.809
2018-07-30;94,7219;94,7219;93,1151;93,5023;72.965;6.826.194
2018-07-27;94,2766;95,1478;93,9475;94,7025;96.814;9.164.318
2018-07-26;93,1538;93,8894;92,5343;93,8507;120.430;11.266.876
2018-07-25;91,9536;92,8441;91,9536;92,6505;70.281;6.508.666
2018-07-24;91,8761;92,8441;91,3728;91,6826;109.632;10.080.116
2018-07-23;92,5731;92,7666;91,3341;91,4115;100.903;9.258.714
2018-07-20;90,9082;91,276;90,4436;90,8308;82.788;7.520.912
2018-07-19;91,5277;91,5277;90,1339;90,8695;72.559;6.586.195
2018-07-18;91,3147;91,7987;91,3147;91,3728;89.473;8.183.569
2018-07-17;90,4823;91,2373;89,9403;91,218;90.944;8.268.705
2018-07-16;90,3275;91,0631;90,3275;90,6565;63.777;5.785.439
2018-07-13;90,521;90,8695;90,2307;90,4049;81.269;7.349.564
2018-07-12;91,1212;91,1212;90,1145;90,1919;127.508;11.519.570
2018-07-11;91,3535;91,6245;90,7921;90,9082;95.534;8.698.529
2018-07-10;91,0437;91,7406;90,6759;91,6632;77.720;7.111.673
2018-07-09;91,5664;92,1084;90,8308;90,8889;154.086;14.045.583
2018-07-06;90,8308;91,9342;90,7146;91,5083;137.286;12.560.694
2018-07-05;91,005;91,2954;90,3662;90,6372;109.602;9.942.684
2018-07-04;90,6565;91,4309;90,2694;90,8501;109.186;9.932.194
2018-07-03;90,9469;91,3147;90,0758;90,5404;136.460;12.352.265
2018-07-02;89,9596;90,9856;89,5531;90,463;168.525;15.222.147
2018-06-29;89,8628;90,4049;89,4176;90,0951;174.352;15.675.121
2018-06-28;88,74;89,6499;88,5658;89,0885;129.780;11.562.825
2018-06-27;89,0498;89,6499;88,198;89,3208;144.166;12.852.436
2018-06-26;90,4823;90,4823;88,8175;88,9917;197.956;17.666.546
2018-06-25;90,7146;90,9082;89,708;90,0564;144.003;12.982.945
2018-06-22;90,3468;91,3147;90,3468;90,9856;202.364;18.400.470
2018-06-21;91,276;91,8374;90,3855;90,4823;188.228;17.073.150
2018-06-20;91,1986;92,0504;91,1986;91,6438;123.174;11.298.883
2018-06-19;91,6245;92,0504;90,8889;91,005;147.425;13.463.152
2018-06-18;92,1472;92,6311;91,4503;92,2052;181.217;16.683.650
2018-06-15;92,5343;93,8701;92,2633;92,302;496.021;45.925.076
2018-06-14;91,4115;93,0957;90,9276;92,6698;202.678;18.730.302
2018-06-13;91,6826;92,6698;91,6632;91,76;165.197;15.190.315
2018-06-12;92,0504;92,3214;91,4309;91,547;133.833;12.267.291
2018-06-11;91,9342;92,515;91,6245;91,6245;131.993;12.123.639
2018-06-08;90,4049;92,4763;90,2307;91,6245;116.388;10.656.262
2018-06-07;92,4569;92,4569;90,9082;90,9082;151.742;13.834.646
2018-06-06;92,3408;93,1732;92,031;92,1472;154.434;14.280.065
2018-06-05;92,1859;92,9602;91,8955;92,244;162.666;15.024.430
2018-06-04;91,6632;92,7279;91,218;92,0504;230.781;21.238.216
2018-06-01;90,8501;91,1212;89,979;90,7146;225.843;20.477.514
2018-05-31;91,1986;91,7794;90,3662;90,7533;183.543;16.673.118
2018-05-30;89,6886;91,3341;89,4757;90,9856;149.167;13.542.501
2018-05-29;89,3595;90,1532;88,9723;89,3789;165.830;14.841.667
2018-05-28;90,6759;90,8501;89,8435;89,8822;55.640;5.013.292
2018-05-25;88,7207;90,4436;88,6239;90,4049;193.143;17.330.838
2018-05-24;89,2434;89,9984;88,2174;88,2948;219.675;19.531.488
2018-05-23;88,7013;89,1079;88,3916;88,9143;139.640;12.408.430
2018-05-22;89,7661;89,8822;88,7981;88,8562;132.826;11.819.995
2018-05-18;89,5531;89,979;88,9143;89,4176;163.549;14.632.460
2018-05-17;89,1552;89,4176;88,518;89,0615;166.605;14.835.445
2018-05-16;89,3239;89,5675;88,5742;88,6867;158.163;14.060.615
2018-05-15;88,6492;89,605;88,518;89,2114;260.350;23.208.890
2018-05-14;88,7616;89,099;88,2743;89,024;186.928;16.603.942
2018-05-11;88,1994;88,7991;87,6746;88,4992;389.171;34.441.896
2018-05-10;87,3372;88,4992;86,8125;88,0307;184.843;16.261.016
2018-05-09;88,2931;89,0428;86,4751;87,431;272.600;23.843.934
2018-05-08;89,9611;89,9611;86,8312;88,3868;323.474;28.524.546
2018-05-07;90,0173;90,7858;89,8112;90,7295;134.970;12.190.723
2018-05-04;89,5675;89,7737;89,1177;89,7737;194.876;17.456.588
2018-05-03;89,6238;89,9611;89,4176;89,755;162.143;14.546.358
2018-05-02;89,8487;89,9799;89,2864;89,6238;227.364;20.383.798
2018-04-30;90,0548;90,3922;89,0802;89,53;268.266;24.052.590
2018-04-27;88,0682;88,7616;87,8433;88,4243;138.915;12.267.308
2018-04-26;86,6063;87,8058;86,2127;87,8058;219.951;19.175.228
2018-04-25;85,8192;86,3252;85,3881;86,2127;185.980;15.984.456
2018-04-24;86,5688;86,8687;85,4818;86,0066;131.685;11.334.313
2018-04-23;87,0749;87,0749;85,6692;86,4751;176.681;15.248.327
2018-04-20;87,0749;87,6371;86,6438;86,9624;141.121;12.291.292
2018-04-19;87,862;88,0682;87,0936;87,431;220.123;19.274.310
2018-04-18;87,2061;88,012;86,8874;87,7496;175.456;15.376.648
2018-04-17;86,3627;87,4684;86,3064;87,0749;148.134;12.884.032
2018-04-16;87,5996;87,5996;86,119;86,3439;150.842;13.044.576
2018-04-13;86,775;87,7496;86,0628;87,5621;206.989;18.085.258
2018-04-12;85,9129;86,2315;85,1444;85,8754;185.722;15.920.651
2018-04-11;85,8192;86,1565;85,5755;85,8379;137.478;11.803.643
2018-04-10;86,5501;86,5501;85,3319;85,9316;144.481;12.410.221
2018-04-09;85,8754;86,5313;85,7254;85,9878;117.707;10.125.230
2018-04-06;84,9945;86,1565;84,7321;85,7254;144.105;12.334.815
2018-04-05;84,7696;85,4256;84,0762;85,2569;165.983;14.114.869
2018-04-04;85,0695;85,2007;83,8325;84,0199;185.197;15.585.999
2018-04-03;86,4376;86,4376;84,3011;84,8446;161.497;13.717.893
2018-03-29;84,0949;85,6505;84,0949;85,5942;168.479;14.375.701
2018-03-28;83,7013;84,3011;83,0641;84,3011;141.537;11.856.628
2018-03-27;83,1578;83,8325;82,2582;83,8138;135.898;11.328.021
2018-03-26;83,1391;83,4764;82,0145;82,3894;113.136;9.336.660
2018-03-23;82,8204;83,3265;82,2582;82,783;148.687;12.309.318
2018-03-22;83,0266;83,3827;81,8834;83,3265;210.758;17.511.864
2018-03-21;83,5514;83,795;82,1832;82,9142;232.670;19.259.422
2018-03-20;83,0828;83,5326;82,5018;83,3077;163.548;13.617.221
2018-03-19;82,3144;82,9891;82,2394;82,8204;191.428;15.839.684
2018-03-16;82,4831;83,4764;82,127;82,3519;417.887;34.512.372
2018-03-15;82,5581;82,7455;81,7709;82,4456;241.730;19.919.310
2018-03-14;82,0145;82,783;81,7709;82,202;200.798;16.511.465
2018-03-13;82,708;83,4014;81,9208;82,2582;157.362;13.002.775
2018-03-12;82,5768;83,0079;82,1645;82,5955;93.874;7.745.711
2018-03-09;83,3452;83,7201;81,9583;82,2769;229.701;18.949.942
2018-03-08;81,471;83,8887;81,0025;83,3827;267.020;22.060.996
2018-03-07;80,2153;81,7522;80,1404;81,4523;130.104;10.573.061
2018-03-06;81,5273;81,5273;79,4656;80,1591;167.607;13.470.193
2018-03-05;78,6597;80,7776;78,6597;80,5714;177.186;14.205.223
2018-03-02;79,1096;79,8592;78,716;78,9221;179.693;14.224.703
2018-03-01;80,5902;81,0587;79,2407;79,4656;207.805;16.591.516
2018-02-28;79,878;80,1591;78,7535;80,1029;204.159;16.272.382
2018-02-27;81,1149;81,1149;79,7655;80,0654;167.170;13.430.975
2018-02-26;81,8084;81,8084;80,8525;81,0962;105.013;8.520.560
2018-02-23;80,384;81,8834;80,2528;81,4148;160.921;13.089.154
2018-02-22;79,6156;80,2528;78,9221;80,1778;156.015;12.427.787
2018-02-21;79,9342;80,0279;79,297;79,9717;110.252;8.807.650
2018-02-20;79,6343;80,2715;79,2407;80,1404;147.333;11.773.454
2018-02-19;80,9275;80,9275;79,5031;79,6718;110.823;8.856.482
2018-02-16;79,3157;80,6651;79,3157;80,3653;137.908;11.063.804
