Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2010-02-09;39,69;39,69;39,69;39,69;0;0
2010-02-08;39,69;39,69;39,69;39,69;0;0
2010-02-05;39,70;39,70;39,70;39,70;0;0
2010-02-04;39,70;39,70;39,70;39,70;0;0
2010-02-03;39,70;39,70;39,70;39,70;0;0
2010-02-02;39,77;39,77;39,77;39,77;0;0
2010-01-29;38,20;38,20;38,20;38,20;40;1.528
2010-01-28;38,20;38,20;38,20;38,20;0;0
2010-01-27;38,20;38,20;38,20;38,20;50;1.910
2010-01-26;39,00;39,00;39,00;39,00;0;0
2010-01-25;39,91;39,91;39,00;39,00;0;0
2010-01-22;39,93;39,93;39,92;39,92;0;0
2010-01-21;39,44;39,44;39,44;39,44;0;0
2010-01-20;39,93;39,93;39,93;39,93;0;0
2010-01-19;39,93;39,93;39,93;39,93;0;0
2010-01-15;39,95;39,95;39,95;39,95;0;0
2010-01-14;39,95;39,95;39,95;39,95;0;0
2010-01-13;39,95;39,95;39,95;39,95;0;0
2010-01-12;39,95;39,95;39,95;39,95;0;0
2010-01-11;39,98;39,98;39,95;39,95;0;0
2010-01-08;40,35;40,35;40,35;40,35;13;525
2010-01-07;36,70;36,70;36,70;36,70;0;0
2010-01-06;36,70;36,70;36,70;36,70;0;0
2010-01-05;36,65;36,70;36,65;36,70;0;0
2010-01-04;36,20;36,20;36,20;36,20;0;0
2009-12-30;36,07;36,50;36,07;36,50;0;0
2009-12-29;36,03;36,03;36,03;36,03;0;0
2009-12-23;36,02;36,02;36,02;36,02;0;0
2009-12-22;36,01;36,02;36,01;36,02;0;0
2009-12-21;36,00;36,00;36,00;36,00;0;0
2009-12-18;35,61;35,61;35,61;35,61;0;0
2009-12-17;35,61;35,61;35,61;35,61;0;0
2009-12-16;35,61;35,61;35,61;35,61;0;0
2009-12-14;37,36;37,36;37,36;37,36;0;0
2009-12-11;38,00;38,00;38,00;38,00;0;0
2009-12-10;37,32;38,00;37,32;38,00;0;0
2009-12-09;37,32;37,32;37,32;37,32;0;0
2009-12-08;37,32;37,32;36,01;36,01;339;12.207
2009-12-07;35,57;35,57;35,57;35,57;0;0
2009-12-04;37,07;37,07;36,00;36,00;350;12.600
2009-12-03;35,36;35,40;35,36;35,40;165;5.841
2009-12-02;36,70;36,70;35,60;35,60;1.260;44.856
2009-12-01;36,95;36,95;36,70;36,70;0;0
2009-11-30;37,36;37,36;36,95;36,95;0;0
2009-11-27;37,36;37,36;37,36;37,36;0;0
2009-11-26;37,36;37,36;37,36;37,36;0;0
2009-11-25;36,50;36,50;35,60;35,60;90;3.204
2009-11-24;36,50;36,50;36,50;36,50;0;0
2009-11-23;36,50;36,50;36,50;36,50;0;0
2009-11-20;36,50;36,50;36,50;36,50;0;0
2009-11-19;36,50;36,50;36,50;36,50;0;0
2009-11-18;36,50;36,50;36,50;36,50;0;0
2009-11-17;36,50;36,50;36,50;36,50;0;0
2009-11-16;36,00;36,50;36,00;36,50;0;0
2009-11-13;36,00;36,00;36,00;36,00;0;0
2009-11-12;37,70;37,70;36,00;36,00;0;0
2009-11-11;35,71;36,00;35,71;36,00;2.760;99.360
2009-11-10;38,19;38,19;36,10;36,10;360;12.996
2009-11-09;37,19;37,19;37,19;37,19;0;0
2009-11-06;36,29;36,48;36,29;36,48;245;8.938
2009-11-05;36,29;36,29;36,29;36,29;0;0
2009-11-04;36,29;36,29;36,29;36,29;0;0
2009-11-03;35,95;35,95;35,95;35,95;0;0
2009-11-02;35,94;36,48;35,94;36,48;100;3.648
