Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;59,58;60,36;59,30;59,42;438.443;26.159.834
2019-07-18;59,90;60,22;59,16;59,36;538.517;32.048.234
2019-07-17;61,04;61,48;60,14;60,36;440.644;26.730.102
2019-07-16;60,88;61,42;60,36;61,42;537.005;32.820.136
2019-07-15;60,48;61,32;60,40;60,60;478.911;29.151.962
2019-07-12;58,00;60,74;58,00;60,54;893.336;53.775.684
2019-07-11;59,44;59,44;58,48;58,88;417.234;24.576.866
2019-07-10;59,00;60,08;58,78;58,90;469.420;27.840.350
2019-07-09;58,46;59,08;57,94;59,06;352.451;20.697.430
2019-07-08;58,56;60,26;58,54;59,14;468.802;27.883.540
2019-07-05;59,24;59,30;58,56;59,14;239.096;14.104.998
2019-07-04;59,18;59,66;59,16;59,24;230.763;13.683.090
2019-07-03;58,22;59,44;57,84;59,08;466.221;27.503.284
2019-07-02;58,08;58,28;57,16;57,96;324.735;18.792.720
2019-07-01;58,88;58,98;57,60;57,82;458.955;26.682.924
2019-06-28;56,66;57,18;56,08;57,14;579.797;32.927.104
2019-06-27;56,572;57,0148;55,8018;55,8788;370.730;20.860.832
2019-06-26;55,3781;56,3217;55,2819;56,0713;397.540;22.254.400
2019-06-25;55,6285;56,1484;55,3974;55,5707;320.597;17.855.946
2019-06-24;55,5129;56,0521;55,2241;56,0521;302.382;16.872.016
2019-06-21;56,0328;56,6875;55,8018;55,8403;569.210;31.883.396
2019-06-20;55,9943;56,8608;55,9943;56,1291;564.818;31.785.888
2019-06-19;55,3589;55,744;55,0315;55,5707;397.771;22.069.038
2019-06-18;54,1843;55,4359;53,5296;55,2048;441.292;24.193.664
2019-06-17;54,2998;54,6079;53,857;54,0495;276.193;14.952.867
2019-06-14;54,2998;54,5694;53,6452;54,088;352.993;19.081.894
2019-06-13;54,1458;55,1278;53,7222;54,8968;381.004;20.865.386
2019-06-12;54,8583;55,0315;54,011;54,4154;725.013;39.503.856
2019-06-11;55,1663;55,6477;54,839;55,1278;634.099;35.046.444
2019-06-07;55,0701;55,1086;54,1266;54,3961;321.181;17.501.896
2019-06-06;54,7042;55,5514;54,0495;54,6272;448.725;24.591.966
2019-06-05;55,4359;55,9365;54,6464;54,9545;500.602;27.615.608
2019-06-04;53,5104;55,7632;53,2216;55,3204;757.580;41.790.704
2019-06-03;53,1253;53,7607;52,8364;53,5296;438.151;23.398.960
2019-05-31;53,9147;54,0495;52,8557;53,7029;811.085;43.346.612
2019-05-30;55,2626;55,59;54,685;54,9353;199.881;10.987.751
2019-05-29;55,0508;55,4744;54,6272;55,0315;327.585;18.009.792
2019-05-28;55,4552;56,3217;55,0701;55,8595;664.511;37.151.184
2019-05-27;56,3217;56,4372;54,8968;55,3396;296.371;16.465.253
2019-05-24;55,5514;55,8788;54,685;54,7235;518.247;28.499.996
2019-05-23;54,8775;55,0123;54,0303;54,685;556.736;30.380.866
2019-05-22;56,3602;56,4949;55,2626;55,4744;400.847;22.309.114
2019-05-21;56,7838;57,0341;55,3781;56,2639;411.135;23.082.018
2019-05-20;57,0534;57,2459;55,5514;56,1098;577.103;32.438.734
2019-05-17;57,8813;57,8813;56,7453;57,3807;645.037;37.049.548
2019-05-16;58,7286;59,0366;57,2844;58,0739;645.002;37.354.080
2019-05-15;56,7838;59,6913;55,9173;58,5553;822.881;47.397.176
2019-05-14;56,9571;57,1496;55,9943;56,7068;603.803;34.187.052
2019-05-13;56,9571;56,9571;55,2434;55,821;651.563;36.443.684
2019-05-10;58,3627;58,9789;56,6297;57,3614;695.921;40.034.416
2019-05-09;58,3049;58,6323;57,3229;57,8621;661.890;38.344.280
2019-05-08;58,7093;59,3447;58,0931;59,1907;499.613;29.383.830
2019-05-07;60,4808;60,4808;58,0931;58,8633;759.568;44.832.684
2019-05-06;59,5758;60,7311;58,6515;60,6156;599.346;35.941.128
2019-05-03;62,0597;62,156;61,5976;61,8864;371.458;22.982.594
2019-05-02;60,1727;62,8299;60,0957;62,0597;1.044.459;64.691.708
2019-04-30;59,4988;60,0379;59,1907;59,5373;328.019;19.545.832
2019-04-29;59,7876;60,4038;59,4025;59,8839;256.477;15.351.481
2019-04-26;59,7876;59,9994;59,0559;59,8261;482.173;28.749.386
2019-04-25;60,4615;60,5193;59,2485;59,7106;432.528;25.881.134
2019-04-24;59,7876;61,0584;59,4025;60,5386;562.168;33.944.676
2019-04-23;62,0982;62,3678;60,9237;61,1162;455.194;27.956.184
2019-04-18;60,6541;62,31;60,423;62,1367;787.468;48.594.820
2019-04-17;60,6733;61,9249;59,7298;61,1355;944.545;57.731.060
2019-04-16;58,5168;60,0957;58,4012;59,6143;711.021;42.340.780
2019-04-15;58,3627;58,8248;57,5925;58,5938;531.529;31.027.936
2019-04-12;56,649;58,5938;56,3217;58,0161;705.472;40.910.392
2019-04-11;56,649;57,1304;55,9943;56,8608;458.137;26.026.294
2019-04-10;56,4372;56,8415;56,1291;56,3217;484.503;27.310.392
2019-04-09;57,2844;58,1702;56,3794;56,5335;621.772;35.427.044
2019-04-08;56,4179;57,6118;56,0521;57,6118;441.858;25.352.232
2019-04-05;57,3614;57,9006;56,3217;57,0148;558.720;31.952.002
2019-04-04;57,0919;57,8621;56,8608;57,477;436.340;25.065.878
2019-04-03;57,1111;57,9391;56,8993;57,0341;650.356;37.286.032
2019-04-02;55,7055;56,5335;55,1663;56,2639;693.493;38.879.244
2019-04-01;54,6464;55,8403;54,6464;55,5129;783.315;43.352.940
2019-03-29;53,183;53,9725;53,0483;53,857;468.507;25.148.562
2019-03-28;53,1445;53,78;52,5284;52,7017;463.957;24.603.064
2019-03-27;52,7787;53,7992;52,6246;53,1253;392.276;20.834.498
2019-03-26;53,3756;53,4526;52,7594;52,7594;354.779;18.793.084
2019-03-25;52,952;53,8955;52,7594;53,4719;485.378;25.895.140
2019-03-22;54,7812;54,8583;52,9905;53,2986;637.260;34.148.656
2019-03-21;54,088;55,3589;54,0495;54,4539;529.623;28.885.430
2019-03-20;55,6477;55,898;54,3384;54,4154;641.515;35.087.996
2019-03-19;53,8185;56,4179;53,5874;55,6477;996.897;55.332.132
2019-03-18;53,934;54,2613;53,4334;53,5104;618.980;33.244.692
2019-03-15;54,1073;54,4539;53,4526;53,934;969.076;52.287.260
2019-03-14;54,2998;54,7042;53,9725;54,0303;480.843;26.074.416
2019-03-13;54,1073;54,7235;53,934;54,2228;496.587;26.959.814
2019-03-12;55,59;55,744;53,934;53,9533;545.645;29.645.066
2019-03-11;54,8005;55,2626;54,5117;55,0893;267.089;14.681.654
2019-03-08;55,0893;55,3204;54,1266;54,7812;442.592;24.189.118
2019-03-07;56,3987;56,6105;55,1663;55,8018;541.314;30.215.666
2019-03-06;56,8223;57,477;56,4564;56,8415;445.021;25.329.858
2019-03-05;57,2266;57,4962;56,6682;57,2844;313.299;17.931.548
2019-03-04;57,7851;58,2472;57,4192;57,4192;362.981;20.928.424
2019-03-01;56,7453;58,0161;56,7068;57,708;595.765;34.306.696
2019-02-28;56,1484;56,6875;55,6862;56,4372;424.038;23.882.854
2019-02-27;56,5527;56,6875;55,9943;56,6875;333.062;18.805.414
2019-02-26;56,803;56,803;55,5514;56,5527;458.952;25.842.436
2019-02-25;55,744;56,7838;55,5322;56,649;584.803;33.027.922
2019-02-22;55,0315;55,821;54,6464;54,9738;447.023;24.698.180
2019-02-21;55,4552;55,4552;54,5887;54,993;441.750;24.260.690
2019-02-20;53,8762;55,3589;53,8377;55,0893;584.212;32.009.674
2019-02-19;53,1253;53,5104;52,7017;53,5104;297.734;15.841.613
2019-02-18;53,3371;54,1651;53,0675;53,4141;349.066;18.643.022
2019-02-15;52,5669;54,2998;51,9892;53,9533;457.852;24.508.012
2019-02-14;53,5296;53,6452;52,4706;52,8364;277.835;14.720.690
2019-02-13;53,6452;54,011;52,952;53,3371;318.249;16.988.958
2019-02-12;52,8557;53,5681;52,6824;53,1445;435.600;23.124.032
2019-02-11;52,2588;52,8942;52,0277;52,2588;308.653;16.152.850
2019-02-08;52,4706;53,1445;51,7967;51,9892;518.059;27.048.532
2019-02-07;55,1663;55,2434;52,8557;53,0483;686.731;36.778.940
2019-02-06;55,2626;55,744;54,8583;55,4937;388.788;21.536.426
2019-02-05;55,2626;55,4167;54,5502;55,4167;329.308;18.194.162
2019-02-04;55,3974;55,5514;54,3769;55,0123;361.209;19.829.804
2019-02-01;54,7427;55,5707;54,4539;55,5129;367.967;20.302.000
2019-01-31;54,8775;55,5514;53,5296;54,685;392.363;21.415.458
2019-01-30;55,0123;55,0315;54,011;54,4154;278.539;15.140.222
2019-01-29;55,3589;55,7055;54,0303;54,8583;468.185;25.706.460
2019-01-28;55,6862;56,0328;55,1856;55,4359;493.857;27.430.242
2019-01-25;53,4334;55,898;53,4334;55,6862;886.342;48.879.472
2019-01-24;52,1818;53,0483;51,9892;53,0483;442.563;23.335.358
2019-01-23;52,0855;52,6439;51,6426;52,2203;328.568;17.157.552
2019-01-22;53,0675;53,4141;52,2588;52,875;360.035;18.988.104
2019-01-21;53,9533;53,9533;53,029;53,3563;269.189;14.357.194
2019-01-18;53,7222;54,4539;53,4911;53,934;542.620;29.308.178
2019-01-17;53,4141;53,7222;52,6054;53,183;346.589;18.435.922
2019-01-16;53,7029;53,857;53,0868;53,857;334.851;17.967.642
2019-01-15;53,4526;54,2613;53,0483;53,4334;480.133;25.680.600
2019-01-14;52,4899;53,6452;52,4706;52,9135;555.407;29.485.108
2019-01-11;53,8185;53,9147;52,4128;53,0483;449.179;23.792.794
2019-01-10;52,952;53,934;52,5284;53,5296;388.131;20.722.072
2019-01-09;52,7594;54,3769;52,7594;53,5296;583.371;31.327.678
2019-01-08;51,1805;53,1253;50,4295;52,0855;647.308;33.589.548
2019-01-07;51,065;51,6041;50,6606;51,1805;380.953;19.489.790
2019-01-04;48,9084;50,8339;48,6388;50,8146;611.528;30.702.844
2019-01-03;48,3885;49,0432;48,0323;48,4077;412.997;20.017.682
2019-01-02;49,7749;49,8134;48,273;49,0817;684.055;33.396.472
2018-12-28;49,6786;50,1985;49,3705;49,7171;320.901;15.978.915
2018-12-27;51,4693;51,6811;48,8314;49,3898;663.814;33.036.432
2018-12-21;50,7376;52,7017;50,2755;51,5463;1.178.851;60.864.920
2018-12-20;52,124;52,6632;51,3153;51,5271;590.478;30.573.218
2018-12-19;53,1445;53,8955;52,875;53,0868;505.323;26.911.890
2018-12-18;53,857;54,7235;52,8172;52,952;664.803;35.515.956
2018-12-17;54,7235;55,0508;53,2986;53,8762;588.720;31.856.644
2018-12-14;54,4731;55,6092;53,6645;54,1651;1.018.820;55.391.400
2018-12-13;55,744;55,9365;54,4924;55,2434;653.018;36.184.192
2018-12-12;52,6632;55,3204;52,1433;54,685;1.120.240;60.837.332
2018-12-11;50,9302;52,8172;50,6991;52,2203;858.882;44.711.880
2018-12-10;50,8917;51,219;49,5631;49,9867;594.872;29.858.678
2018-12-07;51,4308;52,4899;51,142;51,2383;637.355;32.830.410
2018-12-06;53,0868;53,0868;51,0072;51,3538;878.921;45.453.544
2018-12-05;53,7222;54,9353;53,2601;53,6259;409.246;22.046.146
2018-12-04;55,6092;55,8403;53,9147;53,9147;674.405;36.650.472
2018-12-03;56,7068;57,5732;55,8018;56,0328;739.860;41.660.440
2018-11-30;54,5309;54,5887;53,4911;54,3961;787.638;42.621.160
2018-11-29;54,9353;55,3589;54,2036;54,5694;412.090;22.567.214
2018-11-28;54,9738;55,1086;53,6837;54,7427;413.174;22.516.446
2018-11-27;56,9763;56,9763;54,2613;54,6272;574.469;31.738.082
2018-11-26;55,2626;56,5142;55,2626;56,3409;675.077;37.934.856
2018-11-23;54,8968;55,9943;54,5887;54,9545;357.830;19.722.092
2018-11-22;55,6285;55,6285;54,7235;55,0701;388.444;21.444.194
2018-11-21;54,4346;55,8018;54,2806;55,59;655.435;36.122.912
2018-11-20;55,4167;55,4167;53,6067;54,1843;602.718;32.767.008
2018-11-19;54,2998;55,8788;53,8185;55,3589;691.940;38.108.484
2018-11-16;55,7247;55,898;53,6644;54,1458;542.134;29.564.946
2018-11-15;55,7055;56,0521;54,5117;55,0508;425.690;23.417.486
2018-11-14;55,4359;56,5912;55,0315;55,7055;610.988;34.096.560
2018-11-13;54,1073;55,2626;53,4719;55,1471;596.695;32.505.392
2018-11-12;54,6272;55,1278;53,934;54,1266;288.036;15.647.307
2018-11-09;55,2241;55,4167;53,78;54,4539;650.102;35.320.980
2018-11-08;56,6105;57,0919;55,4359;55,7247;552.092;30.873.600
2018-11-07;56,8993;57,8621;56,3409;56,3602;512.812;29.165.182
2018-11-06;56,6105;57,3807;56,2831;56,8993;457.252;26.007.400
2018-11-05;56,5912;56,7838;56,0328;56,5335;419.514;23.680.808
2018-11-02;57,1881;58,1509;56,4757;56,5527;991.813;56.670.948
2018-11-01;54,0303;55,744;53,8377;55,4744;770.523;42.628.200
2018-10-31;53,7414;54,8197;53,2793;54,1843;1.033.623;56.112.032
2018-10-30;53,0483;53,7992;52,0662;52,7594;1.089.316;57.653.460
2018-10-29;50,5451;52,6824;50,1215;51,5271;915.580;47.406.188
