Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;18,45;18,82;18,44;18,67;95.350;1.771.632
2019-05-02;18,55;18,68;18,48;18,49;57.017;1.057.844
2019-04-30;18,90;18,90;18,47;18,57;55.073;1.022.676
2019-04-29;18,91;18,91;18,55;18,69;56.274;1.052.096
2019-04-26;19,09;19,27;18,90;18,90;50.201;959.585
2019-04-25;19,35;19,35;18,92;19,10;92.619;1.770.534
2019-04-24;18,21;19,42;18,20;19,39;109.055;2.053.106
2019-04-23;18,51;18,54;18,08;18,15;84.433;1.540.732
2019-04-18;18,44;18,66;18,44;18,51;28.050;519.811
2019-04-17;18,94;18,94;18,54;18,60;43.635;814.061
2019-04-16;18,63;19,03;18,63;18,96;43.954;831.701
2019-04-15;18,71;18,80;18,65;18,74;38.648;723.605
2019-04-12;18,46;18,82;18,43;18,70;32.212;602.223
2019-04-11;18,45;18,74;18,40;18,58;42.771;796.651
2019-04-10;18,51;18,81;18,22;18,61;50.418;936.545
2019-04-09;19,34;19,34;18,68;18,70;66.368;1.251.777
2019-04-08;19,82;19,82;19,43;19,43;56.867;1.112.685
2019-04-05;19,89;19,93;19,60;19,90;74.529;1.473.199
2019-04-04;19,95;20,08;19,81;19,88;51.149;1.017.678
2019-04-03;19,99;20,26;19,85;19,93;53.251;1.065.890
2019-04-02;19,96;20,22;19,86;19,90;61.725;1.230.388
2019-04-01;19,89;20,10;19,85;20,02;43.327;866.965
2019-03-29;19,86;19,97;19,71;19,83;55.237;1.095.676
2019-03-28;19,64;19,84;19,52;19,62;77.575;1.525.607
2019-03-27;19,51;19,82;19,51;19,65;114.801;2.261.184
2019-03-26;19,15;19,67;19,13;19,62;60.427;1.178.609
2019-03-25;19,57;19,57;19,09;19,17;64.688;1.244.128
2019-03-22;19,98;20,08;19,45;19,45;74.770;1.467.447
2019-03-21;19,79;19,95;19,52;19,91;74.357;1.467.366
2019-03-20;19,78;20,10;19,78;19,91;38.481;767.623
2019-03-19;19,76;20,04;19,70;19,97;71.302;1.420.172
2019-03-18;19,41;19,73;19,10;19,67;92.751;1.802.444
2019-03-15;19,71;20,06;19,44;19,48;82.601;1.627.772
2019-03-14;19,41;19,77;19,37;19,77;78.251;1.539.828
2019-03-13;19,47;19,58;19,15;19,32;68.617;1.324.952
2019-03-12;19,55;19,81;19,46;19,58;97.395;1.911.589
2019-03-11;19,47;19,73;19,41;19,41;42.212;824.458
2019-03-08;19,50;19,82;19,30;19,36;139.285;2.712.376
2019-03-07;20,14;20,16;19,48;19,50;85.338;1.680.571
2019-03-06;20,54;20,54;20,12;20,18;86.089;1.744.711
2019-03-05;20,18;20,64;19,97;20,46;200.725;4.076.948
2019-03-04;19,41;20,46;19,38;20,18;200.358;4.016.962
2019-03-01;19,20;19,46;19,20;19,29;44.614;862.177
2019-02-28;19,41;19,44;19,01;19,05;81.038;1.552.045
2019-02-27;19,60;19,60;19,29;19,37;40.868;792.563
2019-02-26;19,50;19,71;19,47;19,53;24.314;476.058
2019-02-25;19,81;19,83;19,61;19,62;58.186;1.145.996
2019-02-22;19,53;19,95;19,50;19,68;98.105;1.937.893
2019-02-21;19,36;19,64;19,33;19,53;44.781;874.367
2019-02-20;19,60;19,69;19,40;19,43;62.225;1.213.566
2019-02-19;19,54;19,72;19,38;19,46;60.710;1.184.055
2019-02-18;19,37;19,77;19,27;19,53;63.634;1.242.683
2019-02-15;19,46;19,52;19,32;19,42;58.636;1.138.354
2019-02-14;19,49;19,74;19,41;19,54;74.503;1.458.465
2019-02-13;19,41;19,65;19,29;19,53;72.082;1.407.100
2019-02-12;19,36;19,70;19,28;19,30;181.839;3.549.349
2019-02-11;19,19;19,60;19,19;19,39;43.934;853.553
2019-02-08;19,01;19,44;19,00;19,27;82.392;1.588.421
2019-02-07;19,60;19,60;19,24;19,24;54.448;1.051.895
2019-02-06;19,29;19,65;19,29;19,42;42.147;821.079
2019-02-05;19,16;19,44;19,09;19,26;57.097;1.098.740
2019-02-04;19,29;19,53;19,00;19,20;106.328;2.044.021
2019-02-01;19,58;19,63;19,34;19,36;130.398;2.535.224
2019-01-31;18,87;19,51;18,86;19,44;171.434;3.308.640
2019-01-30;18,89;18,96;18,71;18,87;51.500;969.313
2019-01-29;18,70;18,90;18,62;18,80;33.639;631.934
2019-01-28;18,38;18,71;18,38;18,55;24.762;459.932
2019-01-25;18,66;18,80;18,41;18,48;48.374;897.131
2019-01-24;18,59;18,86;18,29;18,47;48.149;891.846
2019-01-23;18,64;18,64;18,28;18,28;60.701;1.119.085
2019-01-22;18,65;18,97;18,53;18,54;82.713;1.548.780
2019-01-21;18,30;18,81;18,25;18,68;155.648;2.905.412
2019-01-18;17,86;18,46;17,81;18,40;77.186;1.409.484
2019-01-17;17,91;17,92;17,63;17,72;55.843;991.935
2019-01-16;17,85;17,98;17,76;17,91;29.741;532.235
2019-01-15;17,67;17,91;17,67;17,87;33.962;605.894
2019-01-14;17,93;18,10;17,73;17,80;67.761;1.210.114
2019-01-11;18,09;18,32;18,08;18,15;78.512;1.428.013
2019-01-10;18,15;18,22;17,85;18,05;101.927;1.839.585
2019-01-09;17,80;18,18;17,68;17,97;150.201;2.690.822
2019-01-08;17,04;17,86;16,91;17,80;186.921;3.286.832
2019-01-07;16,21;16,94;16,21;16,82;86.687;1.438.545
2019-01-04;15,90;16,25;15,90;16,11;64.202;1.031.701
2019-01-03;16,60;16,69;15,78;15,90;93.759;1.503.352
2019-01-02;16,71;16,79;16,38;16,69;48.591;809.511
2018-12-28;16,17;16,7364;16,13;16,65;34.009;561.921
2018-12-27;16,59;16,60;15,98;16,04;116.786;1.889.734
2018-12-21;16,68;16,94;16,59;16,68;96.446;1.614.313
2018-12-20;17,61;17,61;16,67;16,67;66.608;1.125.320
2018-12-19;17,61;17,67;17,19;17,57;132.411;2.313.220
2018-12-18;17,60;17,77;17,34;17,60;104.505;1.832.777
2018-12-17;17,20;17,77;17,20;17,69;218.514;3.828.954
2018-12-14;17,13;17,36;16,95;17,31;104.026;1.789.660
2018-12-13;16,91;17,34;16,80;17,23;100.490;1.716.142
2018-12-12;16,58;17,06;16,51;16,84;168.296;2.825.726
2018-12-11;16,20;16,54;15,98;16,45;93.377;1.531.153
2018-12-10;16,44;16,44;15,89;15,95;61.077;982.494
2018-12-07;16,44;16,91;16,33;16,40;65.217;1.077.992
2018-12-06;16,66;16,66;16,24;16,45;66.077;1.082.875
2018-12-05;16,75;17,02;16,65;16,81;42.148;709.508
2018-12-04;17,53;18,06;17,00;17,03;229.656;4.021.825
2018-12-03;18,07;18,20;17,64;17,64;84.130;1.498.588
2018-11-30;17,70;17,84;17,44;17,73;130.109;2.303.568
2018-11-29;17,70;17,77;17,44;17,65;79.302;1.399.137
2018-11-28;17,49;17,75;17,37;17,55;116.483;2.045.008
2018-11-27;17,19;17,60;17,13;17,39;101.813;1.767.517
2018-11-26;16,78;18,19;16,78;17,19;77.461;1.336.721
2018-11-23;17,27;17,34;16,61;16,69;80.799;1.364.582
2018-11-22;17,31;17,49;17,25;17,26;65.496;1.137.263
2018-11-21;17,06;17,36;16,96;17,33;95.753;1.646.440
2018-11-20;17,37;17,56;17,04;17,04;112.296;1.929.484
2018-11-19;18,17;18,18;17,46;17,46;71.866;1.274.835
2018-11-16;18,18;18,23;17,71;17,93;80.662;1.444.476
2018-11-15;18,65;18,65;17,72;17,94;141.306;2.544.920
2018-11-14;17,80;19,20;17,65;18,44;184.008;3.420.165
2018-11-13;18,47;18,97;18,40;18,81;104.897;1.965.210
2018-11-12;18,50;18,83;18,36;18,65;150.935;2.809.759
2018-11-09;18,33;18,71;18,01;18,54;190.080;3.501.665
2018-11-08;17,70;18,56;17,58;18,44;198.911;3.587.903
2018-11-07;16,94;17,99;16,91;17,82;265.140;4.705.625
2018-11-06;15,67;17,06;15,38;16,75;285.735;4.719.469
2018-11-05;15,73;15,80;15,42;15,45;30.420;473.816
2018-11-02;15,63;15,97;15,63;15,82;74.829;1.185.902
2018-11-01;15,30;15,80;15,30;15,72;71.345;1.119.499
2018-10-31;14,99;15,27;14,99;15,18;73.694;1.116.194
2018-10-30;14,87;14,99;14,69;14,85;69.838;1.037.828
2018-10-29;14,89;15,23;14,79;15,00;55.101;828.674
2018-10-26;14,84;15,11;14,60;14,91;72.139;1.071.322
2018-10-25;14,91;15,00;14,71;14,87;92.799;1.378.362
2018-10-24;15,10;15,28;15,01;15,01;51.704;780.160
2018-10-23;15,71;15,81;15,05;15,12;66.726;1.018.375
2018-10-22;15,86;16,09;15,75;15,81;39.576;628.251
2018-10-19;15,79;15,85;15,50;15,74;46.896;735.820
2018-10-18;16,01;16,19;15,85;15,89;50.889;813.037
2018-10-17;15,84;16,14;15,84;16,04;49.736;796.979
2018-10-16;15,52;16,01;15,52;15,96;54.323;860.973
2018-10-15;15,90;15,90;15,51;15,65;41.620;653.063
2018-10-12;15,77;15,98;15,40;15,80;137.627;2.157.333
2018-10-11;16,10;16,10;15,63;15,70;113.784;1.801.011
2018-10-10;16,72;16,82;16,22;16,27;137.728;2.275.412
2018-10-09;16,45;16,79;16,39;16,67;84.308;1.400.277
2018-10-08;16,52;16,52;16,33;16,39;64.840;1.064.274
2018-10-05;16,40;16,58;16,16;16,49;128.638;2.104.340
