Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;14,74;14,74;14,345;14,40;1.190.428;17.188.790
2019-05-02;14,10;14,795;14,05;14,775;2.052.256;30.152.444
2019-04-30;14,00;14,21;13,95;14,035;1.317.944;18.522.206
2019-04-29;13,845;14,14;13,845;14,075;1.357.619;19.061.982
2019-04-26;13,495;13,805;13,44;13,735;1.454.412;19.906.944
2019-04-25;14,22;14,22;13,45;13,465;2.609.262;35.460.540
2019-04-24;14,655;14,75;14,22;14,255;1.610.729;23.102.732
2019-04-23;14,75;14,86;14,625;14,69;1.382.234;20.343.642
2019-04-18;14,615;14,82;14,49;14,73;942.137;13.832.291
2019-04-17;14,59;14,80;14,59;14,71;1.165.643;17.144.054
2019-04-16;14,65;14,705;14,34;14,52;1.424.068;20.637.680
2019-04-15;14,535;14,71;14,39;14,645;1.756.145;25.633.686
2019-04-12;14,20;14,50;14,10;14,40;1.147.365;16.491.315
2019-04-11;14,10;14,285;13,93;14,20;1.361.616;19.273.946
2019-04-10;13,865;14,24;13,78;14,04;1.427.099;20.099.392
2019-04-09;13,755;13,92;13,55;13,78;1.484.098;20.387.366
2019-04-08;14,245;14,335;13,715;13,715;1.492.328;20.727.312
2019-04-05;13,955;14,285;13,92;14,275;1.848.102;26.257.364
2019-04-04;13,765;14,345;13,755;13,905;2.533.212;35.451.304
2019-04-03;13,245;13,815;13,21;13,715;2.665.271;36.224.292
2019-04-02;13,115;13,225;12,83;12,985;2.527.928;32.811.870
2019-04-01;12,755;13,09;12,67;12,76;2.195.936;28.103.032
2019-03-29;12,695;12,95;12,61;12,72;1.967.074;25.033.122
2019-03-28;13,085;13,185;12,635;12,635;2.039.001;26.076.120
2019-03-27;13,20;13,29;13,085;13,13;1.349.646;17.761.948
2019-03-26;13,44;13,44;13,09;13,15;2.165.176;28.586.200
2019-03-25;13,855;13,905;13,355;13,39;1.786.642;24.185.676
2019-03-22;14,52;14,56;13,955;14,00;1.291.905;18.200.120
2019-03-21;14,915;15,00;14,255;14,41;1.711.900;24.774.960
2019-03-20;15,405;15,47;15,00;15,00;654.643;9.888.922
2019-03-19;15,20;15,48;15,155;15,36;1.039.771;15.975.446
2019-03-18;15,08;15,26;15,065;15,15;844.389;12.810.917
2019-03-15;15,235;15,25;15,01;15,025;3.964.084;59.608.820
2019-03-14;15,09;15,255;14,895;15,22;1.516.843;23.009.352
2019-03-13;14,90;15,07;14,785;15,05;1.230.744;18.429.010
2019-03-12;15,50;15,505;14,94;14,95;1.707.785;25.670.298
2019-03-11;15,30;15,445;15,12;15,435;1.445.029;22.174.566
2019-03-08;15,68;15,685;14,945;15,23;1.611.058;24.511.702
2019-03-07;16,46;16,67;15,685;15,815;2.372.615;37.826.012
2019-03-06;16,24;16,315;16,02;16,14;977.079;15.765.453
2019-03-05;16,61;16,67;16,25;16,28;1.091.807;17.852.376
2019-03-04;16,48;16,79;16,38;16,575;969.560;16.099.406
2019-03-01;16,14;16,53;16,055;16,30;1.369.419;22.372.884
2019-02-28;15,455;16,04;15,24;16,04;1.621.746;25.814.024
2019-02-27;15,46;15,58;15,125;15,515;780.099;12.028.139
2019-02-26;15,895;15,98;15,34;15,50;1.380.649;21.493.420
2019-02-25;15,835;16,11;15,825;15,95;808.249;12.886.470
2019-02-22;15,69;15,98;15,64;15,785;686.486;10.881.133
2019-02-21;15,815;15,925;15,35;15,655;1.060.413;16.543.728
2019-02-20;15,315;15,86;15,07;15,82;1.070.022;16.709.914
2019-02-19;15,89;16,00;14,995;15,325;2.207.444;33.888.692
2019-02-18;15,505;15,93;15,445;15,87;669.657;10.576.348
2019-02-15;15,395;15,585;15,235;15,50;860.554;13.303.952
2019-02-14;15,26;15,395;15,09;15,255;623.241;9.512.492
2019-02-13;15,50;15,635;15,185;15,185;1.008.541;15.442.837
2019-02-12;15,24;15,57;15,23;15,405;986.012;15.211.950
2019-02-11;14,86;15,055;14,79;15,055;981.796;14.710.412
2019-02-08;14,74;14,995;14,585;14,725;1.067.033;15.775.350
2019-02-07;15,355;15,41;14,74;14,76;1.631.220;24.266.458
2019-02-06;15,65;15,66;15,305;15,525;696.427;10.784.075
2019-02-05;15,58;15,82;15,455;15,75;644.391;10.136.357
2019-02-04;15,845;15,995;15,495;15,55;632.080;9.864.900
2019-02-01;15,70;15,87;15,57;15,785;827.443;13.040.966
2019-01-31;15,74;15,87;15,43;15,63;1.572.394;24.554.620
2019-01-30;16,055;16,15;15,64;15,74;1.003.540;15.839.275
2019-01-29;16,11;16,165;15,76;16,025;854.421;13.653.908
2019-01-28;16,49;16,49;15,86;16,10;1.282.432;20.650.814
2019-01-25;16,035;16,985;15,99;16,495;2.341.546;38.839.992
2019-01-24;15,35;15,96;15,35;15,935;1.180.156;18.731.260
2019-01-23;15,365;15,64;15,25;15,41;807.915;12.474.415
2019-01-22;15,19;15,54;15,12;15,395;951.529;14.657.213
2019-01-21;14,905;15,29;14,83;15,225;897.451;13.617.720
2019-01-18;14,575;14,965;14,55;14,925;1.091.658;16.233.402
2019-01-17;14,86;14,885;14,32;14,535;2.156.397;31.337.716
2019-01-16;15,125;15,47;15,085;15,31;779.452;11.924.055
2019-01-15;15,655;15,785;14,995;15,08;970.612;14.727.715
2019-01-14;15,76;15,85;15,36;15,535;820.068;12.742.114
2019-01-11;15,61;15,835;15,57;15,745;679.981;10.686.381
2019-01-10;15,835;15,98;15,61;15,765;788.383;12.433.511
2019-01-09;15,40;16,125;15,40;15,86;1.476.766;23.424.238
2019-01-08;15,08;15,425;14,95;15,265;1.091.564;16.672.566
2019-01-07;14,59;15,11;14,585;15,065;1.253.215;18.766.938
2019-01-04;15,115;15,15;13,90;14,55;2.832.111;40.573.024
2019-01-03;14,95;15,20;14,95;15,065;836.311;12.618.648
2019-01-02;15,575;15,60;14,905;15,055;1.010.676;15.235.193
2018-12-28;15,20;15,555;15,20;15,55;572.252;8.844.190
2018-12-27;15,445;15,70;15,04;15,155;1.020.823;15.554.575
2018-12-21;15,245;15,59;15,16;15,41;1.970.676;30.366.722
2018-12-20;15,65;15,77;15,325;15,335;907.369;14.037.588
2018-12-19;15,62;15,87;15,56;15,775;1.376.092;21.663.280
2018-12-18;15,695;15,82;15,555;15,625;1.051.180;16.463.514
2018-12-17;16,24;16,335;15,565;15,715;1.074.457;16.986.554
2018-12-14;15,955;16,20;15,885;16,195;1.176.142;18.968.860
2018-12-13;16,38;16,59;15,87;16,065;1.153.930;18.622.888
2018-12-12;16,30;16,335;15,995;16,23;1.124.081;18.221.514
2018-12-11;16,005;16,475;15,875;16,225;1.347.476;21.910.530
2018-12-10;16,735;16,785;15,815;15,945;1.986.633;32.058.006
2018-12-07;16,705;17,21;16,705;16,825;1.485.174;25.150.238
2018-12-06;17,125;17,165;16,45;16,59;2.458.571;40.964.744
2018-12-05;17,295;17,345;17,075;17,24;983.983;16.920.594
2018-12-04;17,87;18,05;17,39;17,46;1.220.360;21.482.842
2018-12-03;18,21;18,27;17,845;17,955;920.582;16.558.925
2018-11-30;18,14;18,165;17,725;17,935;1.333.964;23.907.278
2018-11-29;18,215;18,29;18,09;18,17;758.264;13.795.236
2018-11-28;18,045;18,355;18,00;18,185;758.448;13.801.121
2018-11-27;18,415;18,45;17,875;18,145;1.267.016;22.980.630
2018-11-26;17,975;18,46;17,96;18,415;1.217.762;22.305.924
2018-11-23;17,55;18,01;17,55;17,92;972.215;17.400.222
2018-11-22;17,74;17,75;17,475;17,62;922.466;16.253.584
2018-11-21;17,47;17,895;17,45;17,80;1.304.924;23.105.152
2018-11-20;17,265;17,59;17,12;17,455;1.335.631;23.254.176
2018-11-19;17,57;17,805;17,305;17,37;1.194.458;20.891.082
2018-11-16;17,78;18,13;17,575;17,575;1.486.280;26.364.886
2018-11-15;18,00;18,245;17,425;17,65;1.702.630;30.104.426
2018-11-14;17,635;18,18;17,52;18,02;2.121.428;38.196.020
2018-11-13;17,45;17,78;17,445;17,665;2.024.224;35.700.412
2018-11-12;17,055;17,625;16,975;17,35;2.948.789;51.198.756
2018-11-09;17,355;17,445;16,64;16,97;6.437.775;109.057.320
2018-11-08;18,15;18,30;16,93;17,75;9.070.346;159.761.744
2018-11-07;20,89;21,41;20,40;20,64;1.232.240;25.589.696
2018-11-06;20,66;21,02;20,66;20,96;782.145;16.356.238
2018-11-05;20,61;20,90;20,57;20,69;733.214;15.175.427
2018-11-02;20,65;21,04;20,45;20,74;1.366.915;28.395.582
2018-11-01;20,39;20,96;20,31;20,43;906.056;18.655.796
2018-10-31;20,35;20,65;20,35;20,42;1.004.394;20.544.516
2018-10-30;19,885;20,21;19,765;20,01;901.248;18.025.586
2018-10-29;19,41;20,18;19,28;19,855;1.443.922;28.718.714
2018-10-26;19,755;19,885;19,255;19,40;1.638.298;31.840.798
2018-10-25;20,17;20,21;19,575;19,925;2.369.829;47.072.452
2018-10-24;20,28;20,59;20,13;20,44;1.198.720;24.478.928
2018-10-23;20,00;20,61;19,90;20,28;1.666.004;33.835.468
2018-10-22;20,27;20,38;20,08;20,30;1.526.402;30.918.544
2018-10-19;21,05;21,05;20,24;20,52;2.272.589;46.619.140
2018-10-18;21,07;21,56;21,05;21,05;1.377.742;29.265.200
2018-10-17;21,43;21,65;20,91;21,07;1.166.353;24.676.348
2018-10-16;21,10;21,57;20,98;21,38;1.276.908;27.321.564
2018-10-15;21,20;21,29;21,02;21,04;828.558;17.476.140
2018-10-12;21,62;21,62;20,91;21,13;1.538.066;32.509.146
2018-10-11;21,86;21,92;21,41;21,46;1.482.214;32.002.146
2018-10-10;22,26;22,43;22,07;22,07;937.692;20.788.494
2018-10-09;22,25;22,36;22,02;22,26;595.528;13.242.399
2018-10-08;22,54;22,54;22,05;22,24;839.017;18.658.336
2018-10-05;22,50;22,75;22,32;22,61;674.998;15.242.070
2018-10-04;22,95;23,06;22,42;22,62;1.011.951;22.970.542
2018-10-02;22,56;22,85;22,28;22,80;784.944;17.809.022
2018-10-01;22,35;22,92;22,24;22,60;842.971;19.087.906
2018-09-28;22,35;22,45;22,03;22,37;1.162.274;25.921.476
2018-09-27;22,33;22,65;22,15;22,57;862.280;19.405.278
2018-09-26;22,52;22,52;22,14;22,37;678.664;15.141.687
2018-09-25;21,85;22,63;21,83;22,45;1.396.365;31.308.742
2018-09-24;21,78;21,94;21,63;21,90;714.252;15.610.477
2018-09-21;21,80;21,81;21,50;21,76;2.789.064;60.618.608
2018-09-20;21,67;21,89;21,67;21,76;1.141.762;24.873.536
2018-09-19;22,58;22,60;21,55;21,73;2.439.145;53.104.856
2018-09-18;22,61;22,98;22,51;22,65;806.777;18.294.598
2018-09-17;22,61;22,65;22,35;22,63;595.037;13.434.386
2018-09-14;22,70;22,79;22,46;22,60;668.042;15.115.253
2018-09-13;22,62;22,81;22,58;22,61;621.372;14.077.392
2018-09-12;22,61;22,64;22,32;22,61;627.992;14.151.992
2018-09-11;22,94;22,96;22,46;22,57;810.558;18.322.602
2018-09-10;22,10;23,05;21,92;22,87;1.570.387;35.773.168
2018-09-07;21,93;22,24;21,65;22,05;965.476;21.286.562
2018-09-06;22,24;22,24;21,50;21,93;1.495.480;32.597.966
2018-09-05;22,48;22,59;22,25;22,33;795.235;17.794.232
2018-09-04;22,60;22,72;22,32;22,48;750.324;16.862.666
2018-09-03;22,60;22,68;22,46;22,65;599.931;13.562.757
2018-08-31;22,58;22,69;22,44;22,69;1.219.958;27.627.894
2018-08-30;22,97;23,02;22,48;22,63;1.072.583;24.270.932
2018-08-29;23,18;23,34;22,96;23,07;843.152;19.503.702
2018-08-28;23,32;23,38;23,05;23,15;525.890;12.191.199
2018-08-27;23,23;23,27;23,14;23,23;470.025;10.915.687
2018-08-24;23,31;23,35;22,92;23,16;645.224;14.930.332
2018-08-23;23,44;23,46;23,11;23,23;589.019;13.683.473
2018-08-22;23,21;23,56;23,17;23,39;911.567;21.358.900
2018-08-21;22,80;23,43;22,75;23,17;884.479;20.526.332
2018-08-20;22,56;23,05;22,52;22,84;811.876;18.544.060
2018-08-17;22,46;22,62;22,36;22,49;608.834;13.696.950
2018-08-16;22,22;22,50;22,10;22,42;889.125;19.863.538
2018-08-15;22,38;22,45;21,95;22,13;846.125;18.725.068
2018-08-14;22,72;22,83;22,15;22,30;860.316;19.235.870
2018-08-13;22,85;22,86;22,31;22,63;730.097;16.484.288
2018-08-10;22,81;22,96;22,67;22,84;865.810;19.740.594
2018-08-09;22,97;23,05;22,71;22,92;801.964;18.363.592
2018-08-08;22,72;23,02;22,70;22,97;664.911;15.243.815
2018-08-07;22,68;23,13;22,68;22,78;1.102.169;25.226.698
2018-08-06;22,53;22,75;22,27;22,62;1.076.276;24.284.672
2018-08-03;22,36;22,80;22,29;22,43;1.600.863;36.126.792
2018-08-02;23,05;23,85;21,12;22,22;3.452.116;77.108.480
2018-08-01;23,25;23,33;22,45;22,60;1.428.242;32.474.400
2018-07-31;23,12;23,26;23,08;23,14;1.054.382;24.421.340
2018-07-30;23,20;23,36;22,99;23,12;1.088.526;25.178.620
2018-07-27;22,48;23,34;22,48;23,11;1.356.636;31.249.104
2018-07-26;22,50;22,82;22,40;22,46;1.046.610;23.569.350
2018-07-25;23,02;23,13;22,23;22,31;1.311.970;29.568.890
2018-07-24;22,41;23,25;22,41;22,86;1.865.978;42.724.740
2018-07-23;22,21;22,3755;22,04;22,22;564.773;12.533.096
2018-07-20;22,25;22,46;22,17;22,31;900.167;20.099.654
2018-07-19;22,10;22,49;22,10;22,23;708.081;15.780.563
2018-07-18;22,41;22,65;21,48;22,34;1.799.477;39.931.356
2018-07-17;22,52;22,89;22,02;22,30;1.060.455;23.777.628
2018-07-16;22,52;22,72;22,36;22,47;511.217;11.495.912
2018-07-13;22,50;22,71;22,48;22,49;600.970;13.551.980
2018-07-12;22,67;22,69;22,22;22,49;1.479.313;33.212.728
2018-07-11;22,14;22,27;21,92;22,18;862.554;19.081.476
2018-07-10;21,72;22,39;21,72;22,27;1.443.309;31.960.964
2018-07-09;21,80;22,14;21,73;21,80;1.206.676;26.367.798
2018-07-06;21,56;21,81;21,51;21,63;1.237.486;26.801.024
2018-07-05;21,59;21,63;21,37;21,45;1.425.936;30.625.174
2018-07-04;21,51;21,58;21,32;21,47;774.362;16.613.109
2018-07-03;21,58;21,69;21,37;21,55;1.208.465;26.048.862
2018-07-02;21,58;21,97;21,34;21,50;1.834.503;39.537.868
2018-06-29;22,75;22,79;21,50;21,73;3.910.176;85.522.168
2018-06-28;23,40;23,64;23,01;23,20;1.641.114;38.191.784
2018-06-27;23,84;23,86;23,32;23,45;2.301.947;54.004.516
2018-06-26;23,99;24,22;23,54;23,83;1.644.440;39.339.352
2018-06-25;23,62;23,73;23,33;23,42;1.122.775;26.355.970
2018-06-22;23,57;23,92;23,54;23,60;1.244.656;29.463.728
2018-06-21;23,83;23,95;23,53;23,64;1.077.302;25.528.540
2018-06-20;23,75;23,96;23,62;23,82;661.474;15.738.413
2018-06-19;23,50;23,90;23,28;23,68;1.011.007;23.948.404
2018-06-18;23,94;24,08;23,51;23,59;1.033.250;24.468.256
2018-06-15;24,30;24,51;23,89;23,89;2.111.289;50.602.096
2018-06-14;24,00;24,44;23,69;24,25;1.733.438;41.966.572
2018-06-13;24,56;24,65;24,10;24,10;1.096.115;26.546.024
2018-06-12;24,55;24,61;24,31;24,56;809.429;19.830.046
2018-06-11;24,85;24,98;24,35;24,39;1.399.146;34.281.260
2018-06-08;24,85;25,24;24,66;24,85;1.182.082;29.352.392
2018-06-07;25,30;25,40;24,94;25,00;1.208.601;30.324.618
2018-06-06;25,27;25,59;25,24;25,25;936.904;23.729.250
2018-06-05;25,67;25,74;25,29;25,32;996.221;25.347.962
2018-06-04;25,41;25,73;25,30;25,67;844.761;21.611.700
2018-06-01;25,20;25,44;25,15;25,26;721.534;18.247.510
2018-05-31;25,23;25,59;25,10;25,17;1.248.472;31.502.470
2018-05-30;25,94;25,94;25,01;25,14;2.293.607;57.986.996
2018-05-29;26,64;26,64;25,69;25,98;1.160.431;30.151.984
2018-05-28;26,89;26,92;26,43;26,54;372.718;9.912.423
2018-05-25;26,54;26,75;26,36;26,70;675.143;17.957.228
2018-05-24;26,40;26,66;26,17;26,56;1.300.576;34.425.620
2018-05-23;26,70;27,12;26,56;26,82;1.248.562;33.552.928
2018-05-22;27,43;27,49;26,51;26,65;1.470.464;39.402.928
2018-05-18;27,51;27,60;27,29;27,29;839.264;22.990.552
2018-05-17;27,73;27,83;26,63;27,36;2.305.360;62.745.840
2018-05-16;27,8551;28,0232;27,4067;27,4254;1.906.567;52.724.916
2018-05-15;27,8364;28,0793;27,6402;27,8551;1.182.535;33.047.658
2018-05-14;27,4534;27,7897;27,1452;27,7617;1.583.106;43.576.404
2018-05-11;26,977;27,8457;26,977;27,1452;3.276.528;89.538.624
2018-05-10;26,4072;27,1171;26,2017;26,8276;1.685.662;45.179.412
2018-05-09;28,21;28,21;26,1643;26,3605;4.383.747;116.517.408
2018-05-08;28,8172;29,0507;28,5183;29,0507;1.245.399;35.948.764
2018-05-07;28,4903;28,8172;28,4903;28,6771;957.183;27.470.684
2018-05-04;28,2007;28,4716;28,1727;28,4436;829.836;23.539.810
2018-05-03;28,0326;28,3875;27,9018;28,1353;803.223;22.620.524
2018-05-02;28,2007;28,3221;27,9672;28,126;1.028.017;28.871.492
2018-04-30;28,2194;28,3502;28,0793;28,1166;783.242;22.068.842
2018-04-27;28,1073;28,2381;27,9111;28,0045;591.688;16.610.697
2018-04-26;27,6963;28,0045;27,6122;28,0045;937.730;26.170.722
2018-04-25;27,3787;27,8084;27,3693;27,6029;872.207;24.071.574
2018-04-24;27,8364;27,8924;27,2853;27,6122;814.622;22.467.524
2018-04-23;27,7336;27,9298;27,5748;27,6963;825.008;22.883.304
2018-04-20;27,7336;27,9485;27,5188;27,6776;856.770;23.751.022
2018-04-19;27,3693;27,6963;27,3226;27,6683;855.781;23.593.862
2018-04-18;27,2572;27,4067;27,2012;27,2759;1.060.570;28.944.336
2018-04-17;26,9023;27,1358;26,9023;27,0798;1.071.318;28.941.680
2018-04-16;27,2105;27,3693;26,594;26,8089;1.304.256;35.008.260
2018-04-13;27,8457;27,8457;27,2105;27,2199;1.052.081;28.806.556
2018-04-12;27,7056;27,8271;27,3507;27,6496;1.115.364;30.775.880
2018-04-11;27,6496;27,7897;27,4534;27,7336;1.087.642;30.092.914
2018-04-10;27,4347;27,5935;27,3133;27,5935;909.844;25.045.686
2018-04-09;27,2105;27,4534;27,0704;27,2946;767.536;20.928.996
2018-04-06;26,2951;27,1265;26,183;27,0704;1.167.519;31.387.708
2018-04-05;26,1083;26,4352;26,0616;26,3698;988.366;26.009.936
2018-04-04;25,6879;25,8281;25,4544;25,7533;909.305;23.353.822
2018-04-03;26,2484;26,2484;25,4171;25,6506;1.300.298;33.324.800
2018-03-29;25,9588;26,3231;25,8654;26,3231;948.812;24.844.254
2018-03-28;26,0336;26,0336;25,361;25,9962;1.169.218;30.120.802
2018-03-27;26,0336;26,3605;26,0149;26,1363;1.121.108;29.379.424
2018-03-26;25,6506;25,8935;25,4638;25,6786;910.695;23.394.524
2018-03-23;25,1275;25,6879;24,95;25,5478;1.030.488;26.174.436
2018-03-22;25,6973;25,8374;25,1742;25,389;1.164.865;29.673.358
2018-03-21;25,6412;25,9495;25,5198;25,772;982.842;25.291.548
2018-03-20;25,6879;25,9402;25,5198;25,6319;1.148.873;29.557.610
2018-03-19;25,6973;25,7814;25,4171;25,5385;1.334.556;34.120.868
2018-03-16;25,5198;25,6879;25,2956;25,6879;8.266.443;211.944.368
