Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;7,542;7,59;7,498;7,542;514.119;3.879.659
2019-05-02;7,62;7,644;7,556;7,556;614.593;4.656.593
2019-04-30;7,644;7,696;7,57;7,61;1.140.211;8.683.894
2019-04-29;7,66;7,70;7,562;7,616;754.265;5.747.482
2019-04-26;7,562;7,642;7,484;7,60;697.903;5.286.319
2019-04-25;7,80;7,848;7,488;7,53;1.219.908;9.293.864
2019-04-24;8,33;8,356;8,162;8,198;1.291.654;10.635.841
2019-04-23;8,51;8,56;8,29;8,312;964.408;8.099.510
2019-04-18;8,454;8,514;8,30;8,474;904.145;7.632.505
2019-04-17;8,258;8,45;8,224;8,434;1.229.444;10.316.804
2019-04-16;8,20;8,248;8,088;8,23;973.793;7.970.340
2019-04-15;8,11;8,204;8,09;8,196;617.900;5.042.942
2019-04-12;7,842;8,124;7,766;8,09;1.286.701;10.332.798
2019-04-11;7,77;7,85;7,694;7,832;1.102.237;8.588.907
2019-04-10;7,782;7,814;7,678;7,728;1.436.213;11.091.221
2019-04-09;7,85;7,886;7,732;7,746;609.385;4.742.639
2019-04-08;7,90;7,942;7,836;7,856;789.285;6.218.007
2019-04-05;7,82;7,95;7,752;7,904;1.015.896;7.998.670
2019-04-04;7,738;7,848;7,686;7,778;986.801;7.669.340
2019-04-03;7,544;7,766;7,544;7,766;1.433.559;11.031.619
2019-04-02;7,432;7,518;7,346;7,518;800.896;5.983.880
2019-04-01;7,322;7,44;7,25;7,378;1.422.246;10.465.842
2019-03-29;7,228;7,248;7,094;7,248;1.813.715;13.073.775
2019-03-28;7,122;7,272;7,094;7,13;1.058.818;7.591.289
2019-03-27;7,15;7,312;7,102;7,15;1.019.412;7.338.255
2019-03-26;7,154;7,18;7,07;7,14;995.138;7.094.356
2019-03-25;7,076;7,178;7,058;7,136;938.977;6.686.933
2019-03-22;7,25;7,288;7,09;7,12;1.512.339;10.785.365
2019-03-21;7,262;7,27;7,118;7,184;952.881;6.845.687
2019-03-20;7,444;7,444;7,236;7,268;1.059.331;7.705.957
2019-03-19;7,332;7,46;7,264;7,398;936.460;6.922.913
2019-03-18;7,422;7,452;7,312;7,312;1.174.478;8.636.135
2019-03-15;7,22;7,46;7,22;7,416;6.895.077;51.013.608
2019-03-14;7,28;7,32;7,186;7,218;1.220.604;8.857.548
2019-03-13;7,138;7,312;7,12;7,242;2.005.287;14.534.640
2019-03-12;7,256;7,30;7,158;7,164;1.656.636;11.939.314
2019-03-11;7,244;7,364;7,172;7,22;2.388.012;17.277.866
2019-03-08;7,21;7,234;7,02;7,222;2.688.975;19.186.766
2019-03-07;7,494;7,52;7,29;7,334;2.264.141;16.670.656
2019-03-06;7,43;7,58;7,11;7,53;5.513.489;40.716.204
2019-03-05;8,30;8,386;8,026;8,03;910.877;7.374.087
2019-03-04;8,31;8,34;8,132;8,28;368.672;3.050.742
2019-03-01;8,114;8,406;8,114;8,258;1.090.083;9.044.256
2019-02-28;8,07;8,114;8,006;8,06;457.408;3.685.913
2019-02-27;7,978;8,118;7,914;8,092;581.127;4.671.942
2019-02-26;7,97;8,034;7,858;7,97;754.062;6.009.283
2019-02-25;7,838;8,082;7,814;7,99;798.180;6.375.986
2019-02-22;7,792;7,886;7,688;7,772;844.939;6.555.190
2019-02-21;8,00;8,07;7,76;7,79;777.472;6.128.837
2019-02-20;7,862;8,07;7,85;7,978;799.819;6.362.897
2019-02-19;7,802;7,864;7,73;7,848;402.600;3.145.809
2019-02-18;7,85;7,922;7,74;7,744;523.726;4.073.534
2019-02-15;7,602;7,968;7,524;7,894;965.502;7.557.754
2019-02-14;7,722;7,742;7,582;7,608;911.495;6.991.778
2019-02-13;7,56;7,77;7,55;7,70;912.771;7.010.295
2019-02-12;7,48;7,658;7,44;7,504;912.604;6.879.594
2019-02-11;7,386;7,612;7,372;7,40;1.290.247;9.605.818
2019-02-08;7,50;7,526;7,262;7,35;2.162.150;15.894.319
2019-02-07;7,85;7,874;7,502;7,56;1.469.395;11.181.505
2019-02-06;7,856;7,88;7,776;7,80;705.334;5.503.848
