Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;37,40;37,71;37,29;37,71;377.001;14.188.137
2019-05-02;38,00;38,73;37,64;37,75;734.776;27.906.268
2019-04-30;37,94;38,15;37,82;38,02;490.670;18.640.638
2019-04-29;37,95;38,15;37,83;38,04;387.927;14.744.410
2019-04-26;37,37;37,99;37,37;37,99;404.149;15.288.105
2019-04-25;37,32;37,49;37,11;37,47;339.201;12.686.879
2019-04-24;37,58;37,94;37,33;37,60;627.453;23.592.024
2019-04-23;36,81;37,66;36,61;37,54;677.025;25.287.720
2019-04-18;37,60;37,66;36,42;36,64;655.448;24.213.944
2019-04-17;38,40;38,49;37,49;37,55;511.054;19.281.148
2019-04-16;38,50;38,85;38,44;38,73;552.505;21.385.992
2019-04-15;37,90;38,43;37,63;38,43;671.312;25.667.726
2019-04-12;37,50;37,83;37,34;37,78;537.488;20.245.746
2019-04-11;37,20;37,84;36,83;37,42;590.115;22.051.234
2019-04-10;36,68;37,33;36,20;37,28;562.454;20.852.088
2019-04-09;36,65;37,18;36,65;36,74;480.559;17.688.028
2019-04-08;36,45;36,85;36,25;36,85;469.278;17.221.526
2019-04-05;36,83;37,05;36,47;36,57;456.260;16.713.192
2019-04-04;37,30;37,34;36,52;36,68;442.724;16.297.933
2019-04-03;37,09;37,35;36,72;37,34;478.716;17.797.150
2019-04-02;37,62;37,62;36,93;37,00;591.410;21.948.132
2019-04-01;37,03;37,99;37,03;37,63;550.072;20.691.332
2019-03-29;36,85;37,33;36,625;37,15;595.831;22.080.358
2019-03-28;37,00;37,095;36,545;36,675;614.281;22.600.450
2019-03-27;37,525;37,72;36,835;36,93;572.629;21.192.864
2019-03-26;37,345;37,95;37,295;37,575;564.520;21.238.872
2019-03-25;37,26;37,535;37,11;37,315;373.108;13.934.138
2019-03-22;38,50;38,50;37,405;37,50;571.318;21.518.130
2019-03-21;38,225;38,48;37,96;38,30;325.132;12.433.220
2019-03-20;38,28;38,63;38,275;38,365;421.666;16.196.515
2019-03-19;37,965;38,62;37,85;38,40;543.004;20.813.156
2019-03-18;38,085;38,115;37,805;37,94;398.811;15.132.593
2019-03-15;37,95;38,25;37,45;37,91;803.802;30.484.122
2019-03-14;37,86;37,90;37,39;37,81;497.542;18.753.250
2019-03-13;36,83;37,845;36,83;37,845;685.449;25.810.922
2019-03-12;36,985;37,145;36,815;36,985;477.969;17.677.244
2019-03-11;36,81;36,915;36,555;36,89;336.452;12.380.967
2019-03-08;36,50;36,88;36,47;36,77;413.437;15.175.797
2019-03-07;36,28;36,865;36,095;36,65;478.693;17.517.068
2019-03-06;36,975;37,035;36,315;36,315;355.995;12.988.412
2019-03-05;36,545;36,995;36,30;36,975;453.709;16.698.183
2019-03-04;36,225;36,655;36,225;36,545;438.744;16.020.166
2019-03-01;35,725;36,175;35,675;36,00;620.831;22.364.524
2019-02-28;35,45;35,645;35,26;35,62;630.939;22.435.522
2019-02-27;36,00;36,055;35,59;35,62;556.062;19.844.902
2019-02-26;36,20;36,26;35,83;35,92;540.439;19.424.896
2019-02-25;36,255;36,455;36,16;36,335;316.258;11.491.540
2019-02-22;36,00;36,23;35,855;36,20;387.996;14.011.699
2019-02-21;36,35;36,495;35,975;36,17;541.989;19.611.862
2019-02-20;35,945;36,355;35,89;36,285;592.005;21.423.502
2019-02-19;35,425;35,875;35,24;35,875;499.960;17.876.008
2019-02-18;35,545;35,665;35,325;35,52;283.037;10.050.103
2019-02-15;35,015;35,755;34,875;35,65;586.935;20.837.934
2019-02-14;35,30;35,335;34,655;35,00;485.584;17.001.376
2019-02-13;35,10;35,36;34,875;35,235;423.799;14.891.682
2019-02-12;34,915;35,19;34,735;35,00;548.494;19.204.466
2019-02-11;34,20;34,645;33,98;34,595;426.824;14.718.041
2019-02-08;34,78;34,945;33,88;33,98;573.498;19.615.160
2019-02-07;34,975;35,105;34,735;34,93;685.067;23.923.090
2019-02-06;34,54;35,32;34,475;35,10;876.994;30.668.846
2019-02-05;33,5313;34,7814;33,2568;34,6931;1.306.712;44.701.068
2019-02-04;33,3352;33,5558;33,1489;33,5215;855.950;28.585.688
2019-02-01;33,7274;34,1441;33,1048;33,144;832.454;27.776.936
2019-01-31;33,5019;34,2127;33,3548;33,7519;868.106;29.221.186
2019-01-30;33,4283;33,5411;32,791;33,3352;822.367;27.325.178
2019-01-29;33,144;33,845;32,3989;33,0999;2.501.722;82.779.176
2019-01-28;35,4334;35,4579;34,4774;34,6196;658.894;22.929.276
2019-01-25;35,3157;35,6245;35,1343;35,5118;584.223;20.708.636
2019-01-24;35,2471;35,4334;34,7323;35,1588;686.015;24.091.472
2019-01-23;34,5117;35,4186;34,3156;35,4039;732.176;25.731.016
2019-01-22;34,4823;34,7863;34,2078;34,6735;528.529;18.284.194
2019-01-21;34,6588;34,7078;34,2176;34,4382;443.407;15.271.138
2019-01-18;34,3402;34,6245;34,0509;34,5608;510.010;17.568.812
2019-01-17;33,6636;34,3451;33,5656;34,1196;479.232;16.329.642
2019-01-16;33,9431;34,2127;33,7715;33,9431;485.799;16.496.407
2019-01-15;34,1931;34,1931;33,0166;33,9235;780.694;26.262.792
2019-01-14;33,5362;34,1392;33,5019;34,1392;657.102;22.314.556
2019-01-11;34,3892;34,4235;33,6833;33,845;745.450;25.342.210
2019-01-10;34,1392;34,4039;34,0509;34,2813;689.731;23.599.964
2019-01-09;34,7716;35,1539;34,0852;34,2715;1.045.389;35.948.364
2019-01-08;35,3892;35,4284;33,9235;34,4578;1.224.773;42.447.804
2019-01-07;36,2765;36,3059;35,3549;35,5167;609.658;21.712.484
2019-01-04;35,3206;36,0657;35,0265;35,953;506.768;18.082.372
2019-01-03;36,0461;36,1785;34,9922;35,002;474.844;16.804.012
2019-01-02;35,7912;36,3648;35,5461;36,0903;517.269;18.702.482
2018-12-28;35,4284;36,1001;35,2961;35,8304;335.564;12.022.644
2018-12-27;36,0216;36,355;34,8843;35,1098;514.069;18.191.110
2018-12-21;35,6883;36,1393;35,0216;36,0265;1.471.659;52.591.712
2018-12-20;35,8991;36,4726;35,5363;35,8647;793.459;28.602.590
2018-12-19;36,1932;36,7619;36,0167;36,1785;601.297;21.815.894
2018-12-18;36,1197;36,703;35,8647;36,2177;611.023;22.165.240
2018-12-17;36,7422;36,7668;36,1442;36,1442;802.315;29.130.532
2018-12-14;37,4433;37,4678;36,757;36,8011;745.508;27.543.368
2018-12-13;37,7472;37,8207;37,257;37,6492;509.950;19.181.664
2018-12-12;37,5266;38,0462;37,2815;37,7129;528.907;19.924.920
2018-12-11;37,1491;37,556;36,8746;37,3452;611.584;22.786.584
2018-12-10;37,4041;37,6247;36,8354;37,0119;488.102;18.095.946
2018-12-07;36,9432;37,9335;36,9432;37,507;589.285;22.129.198
2018-12-06;37,3893;37,6001;36,654;36,953;952.096;35.179.620
2018-12-05;37,3158;38,0168;37,1834;37,7325;365.813;13.820.958
2018-12-04;37,9825;38,1639;37,8011;37,8158;558.742;21.191.842
2018-12-03;38,1884;38,3453;37,806;37,9972;588.029;22.398.218
2018-11-30;38,1394;38,1394;37,4874;37,4874;793.537;29.830.100
2018-11-29;37,1982;38,1786;36,953;38,0413;556.934;21.052.370
2018-11-28;36,7521;37,4335;36,7324;36,9285;419.179;15.512.910
2018-11-27;36,6099;36,8256;36,3354;36,7668;446.257;16.350.500
2018-11-26;36,757;36,9153;35,9579;36,5511;512.135;18.645.206
2018-11-23;35,9775;36,7472;35,8746;36,6785;319.032;11.624.690
2018-11-22;36,0461;36,4187;35,8991;35,9775;319.041;11.512.930
2018-11-21;35,7128;36,1785;35,6049;36,0069;647.448;23.249.520
2018-11-20;36,1687;36,5658;35,1883;35,5412;1.174.541;42.018.548
2018-11-19;37,3746;37,556;36,4432;36,4432;520.273;19.178.282
2018-11-16;37,8256;38,0413;37,257;37,257;615.475;23.096.550
2018-11-15;37,9678;38,1688;37,5952;37,6786;609.097;23.046.376
2018-11-14;37,1982;38,11;37,0266;37,8256;730.046;27.531.916
2018-11-13;37,0658;37,3354;36,8452;37,2472;481.397;17.879.758
2018-11-12;38,1982;38,3404;36,8403;36,8648;662.504;24.657.854
