Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;53,50;54,10;53,00;53,60;783;42.032
2019-07-18;52,90;53,00;52,30;52,80;1.032;54.330
2019-07-17;54,00;54,00;53,50;53,50;1.031;55.463
2019-07-16;54,90;54,90;53,80;54,00;2.497;134.821
2019-07-15;54,20;56,20;53,50;55,30;5.451;296.838
2019-07-12;53,10;55,00;53,10;53,90;2.761;149.584
2019-07-11;56,00;56,30;53,30;53,30;3.179;174.038
2019-07-10;56,00;56,10;55,60;55,70;1.015;56.710
2019-07-09;57,10;57,90;56,00;56,30;2.448;138.685
2019-07-08;58,10;59,00;56,90;57,10;3.819;222.094
2019-07-05;59,50;59,80;59,00;59,00;1.401;83.154
2019-07-04;58,00;60,00;58,00;60,00;5.483;327.948
2019-07-03;58,50;58,90;57,90;58,70;1.980;115.781
2019-07-02;57,40;59,00;57,40;59,00;772;45.207
2019-07-01;57,00;58,10;56,50;57,50;2.056;117.159
2019-06-28;56,20;57,00;56,10;56,90;938;53.106
2019-06-27;56,50;56,50;55,40;55,70;5.223;291.603
2019-06-26;57,30;57,30;55,70;55,70;2.799;157.184
2019-06-25;57,30;57,80;56,70;57,80;1.711;98.093
2019-06-24;58,50;59,00;57,80;57,80;1.166;67.497
2019-06-21;59,90;60,40;58,90;58,90;741;44.047
2019-06-20;60,20;60,70;59,60;60,30;1.392;83.681
2019-06-19;61,60;61,80;60,60;60,80;4.652;284.208
2019-06-18;57,60;61,80;57,50;61,50;5.852;350.117
2019-06-17;59,20;60,50;57,50;57,60;9.422;554.473
2019-06-14;61,20;61,70;59,60;59,60;3.467;211.252
2019-06-13;61,20;62,00;61,00;61,20;6.567;404.054
2019-06-12;61,00;61,80;61,00;61,20;530;32.503
2019-06-11;62,50;62,60;61,00;61,70;4.226;261.883
2019-06-07;63,00;63,20;62,30;62,50;3.949;247.813
2019-06-06;62,50;63,20;62,30;62,40;1.177;73.791
2019-06-05;61,10;62,40;61,10;62,10;2.198;135.817
2019-06-04;62,90;62,90;59,40;61,00;16.212;986.757
2019-06-03;61,30;61,30;60,50;61,00;720;43.926
2019-05-31;60,50;61,00;59,60;61,00;4.103;248.558
2019-05-30;61,40;62,10;59,70;60,00;4.597;278.154
2019-05-29;60,2762;61,6573;60,0789;61,1641;4.412;268.060
2019-05-28;59,1911;60,8681;58,8951;60,8681;4.623;277.972
2019-05-27;59,8816;59,9803;59,1911;59,1911;1.073;63.950
2019-05-24;60,9668;61,46;59,9803;60,4735;3.464;210.534
2019-05-23;60,9668;61,2627;59,9803;60,0789;1.649;100.142
2019-05-22;63,1371;63,1371;60,2762;60,2762;5.282;324.224
2019-05-21;63,8277;64,025;63,6304;63,8277;1.988;126.711
2019-05-20;62,6439;64,6169;62,4466;64,1236;4.229;272.090
2019-05-17;62,1506;63,1371;62,1506;62,7425;311;19.502
2019-05-16;61,6573;62,5452;61,6573;62,052;748;46.573
2019-05-15;61,3614;62,1506;61,3614;61,3614;407;25.075
2019-05-14;61,5587;61,5587;59,8816;61,0654;2.483;151.208
2019-05-13;60,6708;62,1506;60,6708;62,052;2.948;181.373
2019-05-10;59,3884;62,1506;59,3884;61,0654;3.668;223.968
2019-05-09;60,1776;60,8681;59,783;59,783;1.462;88.319
2019-05-08;60,9668;60,9668;60,3749;60,4735;1.017;61.727
2019-05-07;60,6708;62,1506;60,2762;60,5722;2.859;174.352
2019-05-06;60,5722;61,2627;59,8816;59,9803;1.786;107.446
2019-05-03;61,5587;61,9533;61,46;61,8547;775;47.830
2019-05-02;61,8547;62,1506;61,46;61,756;2.197;136.112
2019-04-30;62,1506;62,1506;61,5587;61,8547;1.507;93.153
2019-04-29;61,1641;61,9533;60,8681;61,9533;2.350;144.886
2019-04-26;61,3614;61,6573;60,9668;61,1641;2.597;159.023
2019-04-25;62,2493;62,2493;61,3614;61,3614;1.203;74.581
2019-04-24;60,6708;63,1371;60,6708;62,2493;1.887;117.559
2019-04-23;60,3749;62,1506;60,3749;61,3614;1.095;67.117
2019-04-18;62,1506;62,1506;60,8681;61,3614;1.865;114.677
2019-04-17;62,7425;63,1371;62,1506;62,3479;1.742;108.784
2019-04-16;63,0385;63,5317;62,3479;63,0385;984;62.011
2019-04-15;64,1236;64,4196;63,0385;63,0385;1.926;123.044
2019-04-12;63,6304;65,3075;62,6439;63,729;5.331;340.253
2019-04-11;65,6034;65,6034;63,5317;63,9263;1.778;114.833
2019-04-10;64,9129;65,6034;64,5183;65,6034;2.731;177.937
2019-04-09;63,9263;65,8994;63,9263;64,1236;7.409;478.762
2019-04-08;60,3749;63,1371;60,3749;62,8412;2.678;166.257
2019-04-05;62,5452;62,6439;61,3614;61,3614;1.166;72.130
2019-04-04;62,9398;63,3344;61,2627;62,6439;3.855;240.258
2019-04-03;60,9668;63,6304;60,7695;63,6304;1.270;78.801
2019-04-02;60,0789;61,756;60,0789;60,8681;884;53.680
2019-04-01;59,9803;60,3749;59,2897;59,9803;1.143;68.664
2019-03-29;59,2897;60,4735;58,7964;59,3884;7.889;469.388
2019-03-28;58,5005;59,783;58,2045;59,3884;2.648;156.661
2019-03-27;56,2315;58,1059;56,2315;57,7113;2.898;165.619
2019-03-26;55,245;57,1194;54,8504;56,7248;2.883;161.732
2019-03-25;57,1194;57,6126;55,1463;55,4423;11.493;646.251
2019-03-22;58,6978;58,6978;57,1194;57,1194;2.296;131.713
2019-03-21;58,2045;58,4018;57,4153;58,4018;690;39.961
2019-03-20;59,1911;59,1911;57,7113;57,7113;1.720;99.736
2019-03-19;59,487;59,487;58,6978;58,9938;2.261;133.610
2019-03-18;58,5005;59,1911;58,3032;59,1911;1.751;103.127
2019-03-15;58,5991;59,1911;58,5991;59,1911;1.308;77.334
2019-03-14;58,3032;59,1911;58,1059;58,9938;6.355;375.456
2019-03-13;57,0207;58,0072;57,0207;58,0072;1.670;95.882
2019-03-12;58,6978;59,1911;56,9221;56,9221;1.142;66.033
2019-03-11;58,2045;59,1911;58,2045;59,1911;10.832;640.816
2019-03-08;55,8369;58,3032;55,8369;58,2045;1.485;84.867
2019-03-07;57,4153;57,4153;55,4423;56,3302;4.204;236.098
2019-03-06;57,8099;58,5991;57,0207;57,3167;3.269;188.782
2019-03-05;59,1911;59,1911;57,6126;58,1059;906;52.734
2019-03-04;58,8951;59,1911;58,5005;58,5005;2.034;120.079
2019-03-01;59,1911;59,1911;58,0072;59,1911;4.881;287.025
2019-02-28;58,3032;60,6708;58,1059;60,6708;6.534;388.478
2019-02-27;59,6843;59,6843;58,1059;58,9938;1.097;64.869
2019-02-26;58,7964;59,9803;58,7964;59,487;931;55.441
2019-02-25;56,6261;60,2762;56,1329;59,5857;3.604;210.745
2019-02-22;56,2315;57,4153;56,1329;57,4153;2.623;149.078
2019-02-21;57,6126;58,4018;56,1329;56,6261;4.509;258.620
2019-02-20;58,3032;58,6978;57,7113;58,5991;2.354;137.269
2019-02-19;56,0342;58,3032;56,0342;58,1059;1.752;100.636
2019-02-18;58,5991;58,5991;56,4288;57,1194;7.103;407.142
2019-02-15;60,0789;60,2762;58,1059;58,1059;2.469;145.825
2019-02-14;58,9938;59,5857;58,0072;59,5857;12.002;708.617
2019-02-13;59,1911;59,1911;58,5005;58,5005;3.846;227.483
2019-02-12;58,4018;59,1911;58,4018;59,0924;2.627;155.346
2019-02-11;56,7248;59,0924;56,2315;58,8951;4.336;249.885
2019-02-08;57,7113;57,7113;56,5275;57,218;1.819;103.769
2019-02-07;58,2045;58,6978;57,3167;58,1059;2.202;127.812
2019-02-06;59,8816;59,9803;58,4018;58,4018;1.566;92.947
2019-02-05;59,0924;59,5857;58,6978;59,5857;3.211;190.348
2019-02-04;59,0924;59,5857;58,9938;59,5857;4.044;240.599
2019-02-01;59,2897;59,5857;58,9938;59,5857;1.717;102.230
2019-01-31;57,514;59,5857;57,514;59,0924;4.856;283.935
2019-01-30;57,7113;58,5991;57,218;57,3167;2.741;158.286
2019-01-29;59,3884;59,5857;58,4018;58,4018;1.257;74.309
2019-01-28;61,3614;61,9533;58,7964;59,487;4.170;250.844
2019-01-25;60,6708;62,4466;60,6708;61,9533;2.079;127.978
2019-01-24;58,6978;61,46;58,4018;60,7695;5.031;302.018
2019-01-23;55,8369;59,1911;55,8369;59,1911;6.771;399.236
2019-01-22;55,9355;56,3302;55,5409;56,2315;2.436;136.244
2019-01-21;54,8504;56,6261;54,7517;55,9355;1.781;99.301
2019-01-18;55,245;55,7382;54,7517;55,0477;2.388;131.999
2019-01-17;55,5409;55,5409;54,1598;54,8504;968;52.939
2019-01-16;55,4423;55,7382;54,7517;55,4423;1.597;88.186
2019-01-15;57,0207;57,0207;54,6531;55,245;3.546;196.381
