Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;23,65;23,65;22,80;23,06;71.171;1.646.879
2019-08-13;23,80;23,81;22,81;23,59;143.067;3.344.039
2019-08-12;23,83;24,15;23,43;23,43;76.701;1.812.431
2019-08-09;23,925;23,985;23,505;23,595;123.225;2.922.663
2019-08-08;23,94;24,40;23,765;23,80;169.726;4.079.434
2019-08-07;23,95;24,42;23,50;23,73;287.764;6.886.933
2019-08-06;23,265;24,295;23,21;23,27;113.930;2.699.739
2019-08-05;23,865;23,89;23,12;23,255;107.839;2.517.327
2019-08-02;24,48;24,48;23,50;23,50;175.301;4.176.180
2019-08-01;25,195;25,23;23,53;24,315;293.896;7.151.473
2019-07-31;26,15;26,41;24,99;24,99;172.409;4.385.504
2019-07-30;26,805;26,90;25,90;25,90;129.106;3.385.005
2019-07-29;26,925;27,03;26,85;27,00;66.492;1.792.785
2019-07-26;26,88;27,05;26,80;27,05;392.216;10.591.723
2019-07-25;26,995;27,01;26,63;26,80;471.453;12.646.050
2019-07-24;26,98;27,07;26,53;27,01;400.356;10.771.630
2019-07-23;26,75;27,10;26,635;27,10;123.482;3.334.496
2019-07-22;26,82;27,00;26,17;26,90;327.204;8.730.474
2019-07-19;26,855;27,005;26,51;26,815;298.343;8.025.520
2019-07-18;27,00;27,10;26,60;26,80;245.288;6.603.511
2019-07-17;27,005;27,10;26,855;26,855;39.896;1.077.010
2019-07-16;27,06;27,195;27,035;27,10;52.532;1.425.592
2019-07-15;27,04;27,245;26,92;27,00;79.460;2.147.850
2019-07-12;26,64;27,05;26,64;26,98;145.932;3.927.804
2019-07-11;26,77;26,98;26,60;26,715;341.926;9.161.305
2019-07-10;26,40;26,825;26,355;26,65;180.507;4.815.123
2019-07-09;26,90;26,985;26,30;26,30;211.792;5.624.561
2019-07-08;26,80;27,00;26,65;26,955;201.286;5.417.191
2019-07-05;27,26;27,26;26,885;26,885;237.111;6.401.216
2019-07-04;27,19;27,27;27,105;27,27;296.932;8.075.383
2019-07-03;27,18;27,35;27,04;27,13;489.627;13.312.185
2019-07-02;26,715;27,18;26,605;27,05;447.352;12.047.654
2019-07-01;26,60;26,95;26,40;26,605;1.427.241;38.179.780
2019-06-28;27,00;27,19;26,25;26,45;8.044.443;214.588.176





