Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;26,29;26,83;26,29;26,81;362.409;9.693.888
2019-05-02;26,92;27,06;26,35;26,50;657.648;17.500.678
2019-04-30;26,94;27,06;26,86;27,01;405.537;10.945.319
2019-04-29;26,90;27,04;26,84;26,90;224.302;6.041.689
2019-04-26;27,14;27,32;26,84;27,00;369.856;9.990.591
2019-04-25;27,00;27,17;26,90;27,00;311.607;8.418.371
2019-04-24;27,05;27,29;26,99;27,05;577.559;15.642.964
2019-04-23;27,02;27,47;26,99;27,06;366.332;9.934.140
2019-04-18;26,99;27,20;26,91;27,20;222.106;6.021.860
2019-04-17;26,99;27,20;26,68;26,99;371.116;10.014.798
2019-04-16;26,80;27,02;26,80;26,93;263.838;7.106.612
2019-04-15;26,79;27,11;26,78;26,90;377.995;10.183.896
2019-04-12;26,86;27,03;26,62;26,80;361.185;9.673.083
2019-04-11;27,18;27,26;26,88;26,88;335.707;9.051.448
2019-04-10;26,89;27,22;26,84;27,22;660.932;17.964.996
2019-04-09;26,96;27,17;26,84;26,92;488.569;13.172.599
2019-04-08;27,35;27,74;27,31;27,39;288.918;7.934.030
2019-04-05;27,46;27,60;27,36;27,49;384.247;10.560.031
2019-04-04;27,38;27,67;27,38;27,54;324.366;8.933.323
2019-04-03;27,07;27,53;26,92;27,51;599.566;16.436.041
2019-04-02;27,00;27,09;26,91;27,01;401.903;10.852.072
2019-04-01;26,91;27,04;26,79;26,93;413.686;11.133.508
2019-03-29;27,19;27,21;26,50;26,89;981.901;26.340.896
2019-03-28;27,28;27,45;26,98;27,09;437.004;11.884.244
2019-03-27;27,38;27,47;27,13;27,33;366.465;10.010.004
2019-03-26;27,53;27,71;27,37;27,40;347.403;9.535.251
2019-03-25;27,38;27,66;27,33;27,55;290.621;8.011.767
2019-03-22;27,55;27,64;27,40;27,46;351.788;9.670.933
2019-03-21;26,66;27,59;26,66;27,50;530.879;14.496.409
2019-03-20;26,48;26,71;26,36;26,65;313.846;8.348.156
2019-03-19;26,54;26,70;26,45;26,56;447.924;11.905.085
2019-03-18;26,47;26,68;26,45;26,55;389.916;10.356.028
2019-03-15;26,46;26,86;26,46;26,48;976.789;25.924.656
2019-03-14;25,83;26,67;25,83;26,51;546.481;14.457.734
2019-03-13;26,05;26,61;25,80;25,84;927.272;24.101.916
2019-03-12;25,63;26,25;25,05;26,17;842.741;21.864.874
2019-03-11;25,65;25,95;25,60;25,75;283.048;7.297.639
2019-03-08;25,63;25,76;25,46;25,62;289.467;7.416.075
2019-03-07;25,50;25,70;25,40;25,53;399.307;10.194.875
2019-03-06;25,51;25,56;25,27;25,48;244.353;6.221.794
2019-03-05;25,54;25,79;25,49;25,50;351.661;8.980.362
2019-03-04;25,64;25,95;25,64;25,70;286.655;7.384.802
2019-03-01;25,69;25,78;25,57;25,67;327.544;8.406.534
2019-02-28;25,54;25,66;25,30;25,61;499.611;12.771.756
2019-02-27;25,36;25,74;25,31;25,65;373.333;9.559.491
2019-02-26;25,53;25,72;25,40;25,46;446.847;11.401.097
2019-02-25;25,62;25,77;25,35;25,60;238.558;6.107.092
2019-02-22;25,62;25,70;25,47;25,63;302.637;7.755.376
2019-02-21;25,95;26,26;25,44;25,61;433.021;11.184.183
2019-02-20;26,07;26,30;25,89;25,97;536.562;13.988.531
2019-02-19;25,83;26,05;25,79;26,05;426.059;11.077.464
2019-02-18;25,75;25,95;25,71;25,85;210.262;5.432.599
2019-02-15;25,92;25,97;25,72;25,72;477.305;12.310.567
2019-02-14;25,90;26,00;25,69;25,73;410.986;10.595.195
2019-02-13;26,06;26,06;25,66;25,82;438.078;11.302.965
2019-02-12;25,84;26,09;25,78;25,94;328.730;8.533.244
2019-02-11;25,88;25,94;25,54;25,84;276.902;7.147.706
2019-02-08;25,98;25,98;25,71;25,80;335.235;8.654.646
2019-02-07;26,34;26,34;25,93;26,00;611.543;15.919.524
2019-02-06;26,75;26,95;25,98;26,37;1.119.279;29.604.898
2019-02-05;26,05;26,13;25,90;26,12;606.859;15.822.803
2019-02-04;25,96;26,05;25,65;26,05;385.993;10.029.262
2019-02-01;25,37;26,07;25,28;25,95;633.560;16.364.902
2019-01-31;25,47;25,64;25,15;25,27;468.206;11.845.484
2019-01-30;25,34;25,68;25,23;25,48;316.908;8.080.264
2019-01-29;24,87;25,39;24,80;25,39;476.064;12.019.807
2019-01-28;24,77;24,96;24,55;24,89;446.781;11.089.331
2019-01-25;25,33;25,34;24,55;24,82;589.766;14.626.804
2019-01-24;24,73;25,35;24,66;25,28;743.518;18.727.586
2019-01-23;24,62;24,90;24,59;24,84;481.199;11.930.703
2019-01-22;24,60;24,80;24,50;24,70;451.474;11.141.670
2019-01-21;24,74;24,83;24,59;24,65;202.029;4.988.111
2019-01-18;24,38;24,76;24,35;24,76;470.392;11.603.300
