Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;53,00;53,00;52,80;52,90;3.911;206.739
2019-05-02;52,90;53,00;52,90;53,00;9.410;498.132
2019-04-30;52,90;53,00;52,90;53,00;6.056;320.968
2019-04-29;53,00;53,10;52,90;53,00;20.763;1.100.384
2019-04-26;53,00;53,40;52,90;53,00;7.209;382.294
2019-04-25;52,80;53,40;52,50;52,90;14.095;743.590
2019-04-24;52,50;53,20;51,10;53,20;12.264;647.223
2019-04-23;52,30;52,90;52,20;52,90;9.851;518.557
2019-04-18;52,90;52,90;52,50;52,60;4.171;219.538
2019-04-17;53,00;53,00;52,50;52,80;5.596;295.575
2019-04-16;51,10;53,00;51,10;52,90;15.546;811.724
2019-04-15;50,70;52,90;50,70;50,70;19.574;1.024.311
2019-04-12;49,00;51,90;49,00;51,90;7.134;359.675
2019-04-11;49,80;50,70;47,20;50,70;5.150;256.733
2019-04-10;50,50;51,90;46,00;47,20;6.308;303.663
2019-04-09;52,90;52,90;50,50;50,50;30;1.515
2019-04-08;52,90;52,90;52,90;52,90;850;44.965
2019-04-05;52,90;52,90;52,90;52,90;0;0
2019-04-04;52,90;52,90;52,90;52,90;0;0
2019-04-03;53,00;53,00;52,90;52,90;500;26.450
2019-04-02;52,90;52,90;52,90;52,90;0;0
2019-04-01;53,00;53,00;53,00;53,00;0;0
2019-03-29;52,90;52,90;52,90;52,90;0;0
2019-03-28;52,90;52,90;52,90;52,90;0;0
2019-03-27;53,00;53,00;52,90;52,90;1.600;84.640
2019-03-26;52,90;52,90;52,90;52,90;0;0
2019-03-25;53,00;53,00;53,00;53,00;0;0
2019-03-22;52,90;52,90;52,90;52,90;0;0
2019-03-21;52,90;52,90;52,90;52,90;0;0
2019-03-20;53,00;53,00;53,00;53,00;0;0
2019-03-19;52,90;52,90;52,90;52,90;50;2.645
2019-03-18;52,90;52,90;52,90;52,90;20;1.058
2019-03-15;52,90;52,90;52,90;52,90;0;0
2019-03-14;53,00;53,00;52,90;52,90;62;3.280
2019-03-13;53,00;53,00;53,00;53,00;10;530
2019-03-12;53,00;53,00;53,00;53,00;810;42.930
2019-03-11;53,00;53,00;53,00;53,00;127;6.731
2019-03-08;53,00;53,00;53,00;53,00;100;5.300
2019-03-07;52,90;53,00;52,90;53,00;610;32.330
2019-03-06;53,00;53,00;53,00;53,00;400;21.200
2019-03-05;53,00;53,00;53,00;53,00;28;1.484
2019-03-04;53,00;53,00;53,00;53,00;400;21.200
2019-03-01;53,00;53,10;53,00;53,00;277;14.681
2019-02-28;53,00;53,00;53,00;53,00;250;13.250
2019-02-27;52,90;53,00;52,90;53,00;1.200;63.600
2019-02-26;52,90;53,10;52,90;53,00;202;10.716
2019-02-25;53,40;53,40;53,00;53,00;190;10.070
2019-02-22;49,65;49,65;49,65;49,65;0;0
2019-02-21;49,70;49,70;49,70;49,70;0;0
2019-02-20;50,60;50,60;50,60;50,60;0;0
2019-02-19;51,00;51,00;50,30;50,30;100;5.030
2019-02-18;52,20;52,20;52,20;52,20;0;0
2019-02-15;51,00;51,00;51,00;51,00;0;0
2019-02-14;50,70;50,70;50,70;50,70;0;0
2019-02-13;49,95;49,95;49,95;49,95;0;0
2019-02-12;49,65;49,80;49,65;49,80;130;6.474
2019-02-11;49,40;49,55;49,40;49,55;50;2.478
2019-02-08;49,55;49,55;49,55;49,55;0;0
2019-02-07;49,30;49,30;49,30;49,30;0;0
2019-02-06;49,20;49,60;49,20;49,60;50;2.480
2019-02-05;49,25;49,25;49,25;49,25;0;0
2019-02-04;49,25;49,50;49,25;49,50;40;1.980
2019-02-01;49,20;49,20;49,20;49,20;0;0
2019-01-31;48,90;48,90;48,90;48,90;0;0
2019-01-30;49,35;49,35;49,35;49,35;0;0
2019-01-29;49,30;49,70;49,30;49,70;34;1.679
2019-01-28;49,05;49,05;49,05;49,05;0;0
2019-01-25;49,65;49,65;49,65;49,65;0;0
2019-01-24;48,55;50,00;48,55;50,00;1;50
2019-01-23;48,75;48,75;48,75;48,75;0;0
2019-01-22;48,85;48,85;48,85;48,85;0;0
2019-01-21;49,35;49,35;49,35;49,35;0;0
2019-01-18;49,55;49,55;49,55;49,55;0;0
2019-01-17;48,80;48,80;48,80;48,80;0;0
2019-01-16;48,90;48,90;48,90;48,90;0;0
2019-01-15;48,40;48,40;48,40;48,40;0;0
2019-01-14;47,65;47,65;47,65;47,65;0;0
2019-01-11;47,35;48,05;47,30;48,05;518;24.504
2019-01-10;47,50;47,95;47,50;47,95;50;2.398
2019-01-09;48,00;48,00;47,75;47,75;47;2.244
2019-01-08;49,00;49,00;49,00;49,00;0;0
2019-01-07;49,90;49,90;48,70;48,70;200;9.740
2019-01-04;50,90;50,90;50,90;50,90;0;0
2019-01-03;49,40;49,40;49,40;49,40;0;0
2019-01-02;48,60;48,60;48,60;48,60;0;0
2018-12-28;47,65;47,65;47,65;47,65;0;0
2018-12-27;48,75;48,75;48,75;48,75;0;0
2018-12-21;49,25;49,25;49,25;49,25;0;0
2018-12-20;51,20;51,20;50,30;50,30;600;30.180
2018-12-19;51,20;51,20;51,20;51,20;0;0
2018-12-18;51,40;51,40;51,40;51,40;0;0
2018-12-17;53,00;53,00;52,70;52,70;275;14.518
2018-12-14;53,70;53,70;53,70;53,70;0;0
2018-12-13;53,90;53,90;53,90;53,90;0;0
2018-12-12;53,40;53,40;53,40;53,40;0;0
2018-12-11;52,90;52,90;52,90;52,90;0;0
2018-12-10;52,50;52,50;52,50;52,50;0;0
2018-12-07;53,20;53,20;53,20;53,20;0;0
2018-12-06;52,60;52,70;52,60;52,70;205;10.804
2018-12-05;52,80;52,80;52,80;52,80;0;0
2018-12-04;52,70;52,80;52,70;52,80;503;26.558
2018-12-03;53,00;53,00;52,90;52,90;500;26.450
2018-11-30;52,80;52,80;52,80;52,80;500;26.400
2018-11-29;52,70;52,70;52,70;52,70;0;0
2018-11-28;52,80;52,80;52,80;52,80;0;0
2018-11-27;52,70;52,80;52,70;52,80;500;26.400
2018-11-26;52,80;52,80;52,80;52,80;0;0
2018-11-23;52,70;53,00;52,70;52,90;110;5.820
2018-11-22;52,70;52,70;52,70;52,70;0;0
2018-11-21;52,70;52,90;52,70;52,90;270;14.269
2018-11-20;52,60;52,60;52,60;52,60;0;0
2018-11-19;52,60;53,00;52,60;52,90;200;10.588
2018-11-16;52,70;52,70;52,70;52,70;0;0
2018-11-15;52,90;52,90;52,90;52,90;1.250;66.125
2018-11-14;52,80;52,90;52,80;52,90;500;26.450
2018-11-13;52,80;52,80;52,80;52,80;0;0
2018-11-12;52,80;53,00;52,80;53,00;500;26.500
2018-11-09;52,80;53,00;52,80;53,00;290;15.370
2018-11-08;52,70;52,70;52,70;52,70;0;0
2018-11-07;52,70;52,70;52,70;52,70;0;0
2018-11-06;52,90;52,90;52,90;52,90;0;0
2018-11-05;52,70;52,70;52,70;52,70;0;0
2018-11-02;53,00;53,00;52,90;52,90;22;1.164
2018-11-01;52,60;52,60;52,60;52,60;0;0
2018-10-31;52,70;52,70;52,70;52,70;0;0
2018-10-30;51,90;52,20;51,90;52,20;75;3.915
2018-10-29;50,10;50,10;50,10;50,10;0;0
2018-10-26;52,00;52,00;52,00;52,00;20;1.040
2018-10-25;52,50;52,50;52,50;52,50;30;1.575
2018-10-24;52,50;52,50;52,50;52,50;0;0
2018-10-23;52,40;52,50;52,40;52,50;50;2.625
2018-10-22;52,50;52,50;52,50;52,50;0;0
2018-10-19;52,40;52,40;52,40;52,40;0;0
2018-10-18;52,30;52,40;52,30;52,40;6;314
2018-10-17;52,10;52,10;52,10;52,10;0;0
2018-10-16;51,90;51,90;51,90;51,90;0;0
2018-10-15;51,90;51,90;51,90;51,90;0;0
2018-10-12;52,00;52,00;51,70;51,70;65;3.361
2018-10-11;52,40;52,40;52,40;52,40;0;0
2018-10-10;52,80;52,80;52,80;52,80;0;0
2018-10-09;52,80;52,80;52,80;52,80;0;0
2018-10-08;52,80;52,80;52,80;52,80;0;0
2018-10-05;52,70;52,70;52,70;52,70;0;0
2018-10-04;52,70;52,70;52,70;52,70;0;0
2018-10-02;52,60;52,60;52,60;52,60;0;0
2018-10-01;52,60;52,60;52,60;52,60;0;0
2018-09-28;52,60;52,60;52,60;52,60;50;2.630
2018-09-27;52,60;52,60;52,60;52,60;0;0
2018-09-26;52,70;52,80;52,60;52,80;430;22.698
2018-09-25;52,70;52,70;52,70;52,70;0;0
2018-09-24;52,70;52,90;52,70;52,90;449;23.752
2018-09-21;52,80;53,00;52,80;53,00;500;26.500
2018-09-20;52,70;52,70;52,70;52,70;0;0
2018-09-19;52,80;52,80;52,80;52,80;0;0
2018-09-18;52,70;52,70;52,70;52,70;0;0
2018-09-17;52,90;52,90;52,90;52,90;0;0
2018-09-14;52,90;52,90;52,90;52,90;0;0
2018-09-13;52,90;52,90;52,90;52,90;0;0
2018-09-12;52,80;52,80;52,80;52,80;0;0
2018-09-11;53,20;53,20;52,90;52,90;30;1.587
2018-09-10;53,60;53,60;53,60;53,60;0;0
2018-09-07;52,80;53,50;52,80;53,50;450;23.900
2018-09-06;53,00;53,00;53,00;53,00;210;11.130
2018-09-05;52,80;52,80;52,80;52,80;0;0
2018-09-04;53,10;53,50;53,10;53,40;994;53.150
2018-09-03;53,30;53,30;53,30;53,30;482;25.691
2018-08-31;53,10;53,10;53,10;53,10;0;0
2018-08-30;53,30;53,30;53,30;53,30;0;0
2018-08-29;53,60;53,90;53,60;53,60;257;13.805
2018-08-28;53,60;53,80;53,60;53,80;6;323
2018-08-27;54,20;54,20;53,60;53,60;1.251;67.059
2018-08-24;54,20;54,20;54,20;54,20;0;0
2018-08-23;54,10;54,20;54,10;54,20;41;2.222
