Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;18,70;19,04;18,60;18,77;133.600;2.511.063
2019-07-18;18,94;18,94;18,37;18,45;181.534;3.379.157
2019-07-17;19,53;19,53;18,95;19,00;136.305;2.607.756
2019-07-16;19,21;19,56;19,06;19,45;163.959;3.177.505
2019-07-15;19,19;19,30;18,96;19,16;89.889;1.719.587
2019-07-12;19,19;19,57;18,96;19,10;148.369;2.859.388
2019-07-11;18,98;19,21;18,64;19,21;212.383;4.026.222
2019-07-10;19,05;19,37;18,94;19,03;220.012;4.215.111
2019-07-09;20,42;20,42;18,94;19,08;649.203;12.629.758
2019-07-08;20,80;20,90;20,20;20,48;227.563;4.679.751
2019-07-05;21,28;21,36;20,66;20,78;277.629;5.799.887
2019-07-04;20,28;21,46;20,20;21,30;1.066.763;22.303.278
2019-07-03;21,66;21,96;21,00;21,04;287.277;6.141.805
2019-07-02;22,36;22,36;21,44;21,74;198.753;4.326.327
2019-07-01;22,50;22,90;22,26;22,32;169.413;3.825.535
2019-06-28;21,74;22,30;21,74;22,12;177.884;3.922.822
2019-06-27;21,76;22,06;21,66;21,82;66.723;1.457.913
2019-06-26;21,88;22,06;21,64;21,66;51.405;1.121.740
2019-06-25;22,04;22,10;21,86;21,96;71.437;1.570.805
2019-06-24;22,44;22,54;21,90;21,94;85.536;1.894.476
2019-06-21;22,60;22,60;22,26;22,36;94.977;2.125.403
2019-06-20;22,80;22,96;22,52;22,52;66.844;1.517.476
2019-06-19;22,64;23,10;22,58;22,64;165.826;3.785.174
2019-06-18;22,28;22,66;21,64;22,62;127.732;2.838.758
2019-06-17;22,44;22,44;22,00;22,10;75.742;1.676.093
2019-06-14;22,42;22,46;22,10;22,42;98.870;2.206.341
2019-06-13;21,88;22,50;21,82;22,50;109.688;2.441.211
2019-06-12;22,00;22,18;21,90;21,98;62.398;1.372.524
2019-06-11;21,30;22,50;21,30;22,08;177.157;3.923.655
2019-06-07;21,08;21,40;21,06;21,26;108.232;2.298.550
2019-06-06;21,28;21,28;20,74;20,96;106.247;2.229.667
2019-06-05;21,52;21,68;21,08;21,34;128.517;2.749.988
2019-06-04;20,66;21,50;20,56;21,38;95.339;2.021.309
2019-06-03;20,56;20,68;20,22;20,66;63.423;1.296.704
2019-05-31;20,98;20,98;20,32;20,80;88.481;1.823.201
2019-05-30;20,94;21,18;20,80;21,10;62.984;1.325.026
2019-05-29;21,4992;21,6893;20,6438;20,8149;156.516;3.281.127
2019-05-28;21,195;21,7463;21,176;21,6893;89.180;1.924.053
2019-05-27;21,2901;21,4992;21,081;21,3281;67.545;1.436.267
2019-05-24;21,2711;21,4232;21,024;21,157;64.732;1.375.281
2019-05-23;21,6323;21,6323;21,043;21,119;69.724;1.482.962
2019-05-22;21,195;21,6893;21,119;21,4992;137.446;2.952.357
2019-05-21;21,119;21,3281;20,9669;21,195;73.891;1.562.569
2019-05-20;21,8604;22,0124;20,7959;21,024;122.522;2.590.850
2019-05-17;22,3356;22,3356;21,6893;21,9934;58.445;1.279.980
2019-05-16;21,7273;22,2786;21,2711;22,2215;97.035;2.129.365
2019-05-15;22,0695;22,0695;21,081;21,5942;78.574;1.686.911
2019-05-14;21,195;21,9934;21,195;21,9174;106.814;2.322.085
2019-05-13;22,6587;22,6587;21,157;21,2711;145.897;3.156.094
2019-05-10;21,8604;22,7158;21,8604;22,5067;132.673;2.978.573
2019-05-09;22,8298;22,8298;21,6323;21,7273;86.285;1.897.480
2019-05-08;22,9059;23,0009;22,4496;22,9629;94.702;2.155.052
2019-05-07;23,5902;23,9133;22,6207;22,8298;181.645;4.252.575
2019-05-06;22,8108;22,8108;21,8223;22,6587;169.480;3.784.013
2019-05-03;23,21;23,3811;22,9629;23,191;63.998;1.481.601
2019-05-02;23,6662;23,6662;23,134;23,21;53.500;1.246.875
2019-04-30;23,8563;24,0084;23,3621;23,4761;42.554;1.004.719
2019-04-29;23,5712;23,8373;23,3811;23,7613;57.065;1.349.529
2019-04-26;23,7613;23,7613;23,21;23,5712;37.733;884.312
2019-04-25;24,0654;24,0654;23,5332;23,5712;57.856;1.373.632
2019-04-24;23,5141;24,3125;23,3241;23,9323;85.664;2.051.473
2019-04-23;23,7613;23,7613;23,229;23,4951;50.492;1.183.630
2019-04-18;23,4951;23,7993;23,115;23,5332;87.466;2.046.815
2019-04-17;23,4761;23,7423;23,267;23,6282;69.933;1.644.061
2019-04-16;23,4191;23,4191;23,191;23,3621;42.270;985.837
2019-04-15;23,6092;23,6282;23,115;23,4381;70.068;1.636.843
2019-04-12;23,0199;23,9704;22,8488;23,6092;168.535;3.958.419
2019-04-11;22,9629;23,0579;22,5067;22,9819;87.085;1.991.345
2019-04-10;22,7348;22,9629;22,6587;22,8868;77.994;1.775.915
2019-04-09;23,267;23,267;22,6968;22,6968;95.789;2.193.771
2019-04-08;22,9059;23,21;22,7538;23,172;97.785;2.245.099
2019-04-05;22,5447;23,229;22,5447;23,0769;187.104;4.297.947
2019-04-04;22,0124;22,5257;21,8604;22,4877;143.238;3.193.332
2019-04-03;21,10;22,0885;20,9669;22,0885;132.099;2.845.405
2019-04-02;20,9099;20,9669;20,6628;20,9099;96.557;2.013.910
2019-04-01;20,3016;20,8719;20,0735;20,8719;109.116;2.232.360
2019-03-29;20,1495;20,4347;20,1305;20,1495;48.266;975.794
2019-03-28;20,1495;20,2826;19,8834;20,0165;58.683;1.176.197
2019-03-27;20,3777;20,5868;20,1305;20,2636;95.362;1.941.477
2019-03-26;20,1305;20,4537;19,9405;20,2636;87.408;1.767.935
2019-03-25;20,2446;20,2446;19,9405;20,0165;64.246;1.288.400
2019-03-22;20,7578;20,9099;20,3396;20,3396;75.538;1.556.636
2019-03-21;20,7959;20,9289;20,4917;20,7008;68.473;1.417.766
2019-03-20;20,9859;21,005;20,2826;20,6248;94.317;1.945.806
2019-03-19;21,157;21,3471;20,9099;21,043;89.331;1.884.467
2019-03-18;21,8033;21,8033;21,062;21,3471;68.677;1.470.505
2019-03-15;22,1645;22,2595;21,7083;21,7653;91.672;2.009.075
2019-03-14;21,005;22,2976;20,7198;22,0695;290.750;6.318.142
2019-03-13;19,009;19,5983;18,971;19,5983;36.241;704.793
2019-03-12;19,4462;19,7884;18,8189;19,085;85.911;1.644.008
2019-03-11;18,2867;18,6573;18,2011;18,6573;41.483;767.443
2019-03-08;18,4292;18,4292;18,0586;18,2011;40.747;742.135
2019-03-07;19,3892;19,3892;18,4292;18,5623;82.983;1.548.279
2019-03-06;19,3512;19,5223;19,3132;19,3892;23.226;450.626
2019-03-05;19,7504;19,9024;19,3322;19,4272;59.374;1.158.749
2019-03-04;19,5603;19,7694;19,4842;19,7123;49.632;976.667
2019-03-01;19,2181;19,6743;19,2181;19,4082;54.757;1.068.470
2019-02-28;19,009;19,1231;18,8855;19,1231;48.698;927.852
2019-02-27;19,4462;19,4842;18,895;19,085;50.115;958.456
2019-02-26;19,6933;19,6933;19,3512;19,5413;25.835;505.024
2019-02-25;19,8264;20,0545;19,7314;19,7694;46.875;931.717
2019-02-22;19,2561;19,7504;19,2181;19,7314;43.699;855.290
