Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;79,60;80,80;79,16;79,96;168.715;13.473.023
2019-05-02;78,50;78,64;77,16;78,08;120.106;9.375.294
2019-04-30;79,30;79,30;77,42;78,04;203.999;15.878.195
2019-04-29;81,34;81,78;78,06;79,36;196.885;15.630.758
2019-04-26;81,72;82,02;79,20;81,10;244.840;19.684.478
2019-04-25;81,74;85,80;80,50;81,20;284.849;23.531.686
2019-04-24;84,32;84,90;82,24;82,82;185.176;15.449.210
2019-04-23;85,88;85,88;84,20;84,72;86.006;7.289.638
2019-04-18;84,82;85,74;82,94;85,58;131.770;11.178.730
2019-04-17;83,42;86,74;83,42;84,82;185.447;15.821.958
2019-04-16;81,50;84,08;81,18;83,62;159.459;13.308.632
2019-04-15;81,72;82,92;80,94;81,28;112.470;9.180.230
2019-04-12;80,80;83,32;79,56;81,44;168.426;13.824.572
2019-04-11;78,60;81,44;78,24;80,98;178.223;14.268.067
2019-04-10;80,20;80,96;78,08;78,66;295.997;23.370.472
2019-04-09;81,60;82,94;80,30;80,30;103.363;8.386.893
2019-04-08;83,50;84,48;81,52;81,80;130.473;10.705.460
2019-04-05;80,68;83,62;80,60;82,94;172.239;14.220.998
2019-04-04;81,00;81,74;79,70;80,60;136.474;11.022.787
2019-04-03;77,66;82,16;77,12;81,18;381.344;30.381.800
2019-04-02;77,42;78,22;75,92;76,66;258.760;19.837.396
2019-04-01;78,24;78,64;77,28;77,50;282.195;21.913.132
2019-03-29;77,20;78,20;75,06;76,80;155.948;11.918.312
2019-03-28;76,42;77,90;76,32;76,40;114.391;8.809.766
2019-03-27;78,76;79,00;75,68;76,72;211.319;16.287.915
2019-03-26;78,60;79,04;77,50;78,56;158.297;12.418.720
2019-03-25;80,00;80,22;77,14;77,98;230.002;17.978.720
2019-03-22;83,94;84,50;80,04;80,66;218.981;17.872.822
2019-03-21;84,38;85,18;83,42;84,28;111.170;9.364.930
2019-03-20;86,12;86,30;83,08;84,28;143.045;12.054.171
2019-03-19;84,96;88,66;83,22;86,36;185.166;16.021.558
2019-03-18;86,40;87,44;85,44;87,00;117.402;10.154.867
2019-03-15;86,50;86,78;85,76;86,08;160.589;13.837.480
