Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;1,92;2,00;1,92;1,97;2.927;5.774
2019-05-02;1,985;1,985;1,92;1,95;3.361;6.548
2019-04-30;1,95;2,00;1,885;2,00;21.590;41.726
2019-04-29;2,00;2,00;1,95;1,975;6.100;12.096
2019-04-26;1,89;1,96;1,89;1,935;3.090;5.876
2019-04-25;1,845;1,915;1,845;1,915;8.590;15.977
2019-04-24;1,905;2,33;1,765;1,91;44.685;84.139
2019-04-23;1,925;2,08;1,925;1,955;5.199;10.215
2019-04-18;1,99;2,01;1,99;1,99;1.085;2.161
2019-04-17;2,00;2,03;1,97;1,99;3.452;6.892
2019-04-16;2,00;2,07;1,95;2,07;2.757;5.395
2019-04-15;2,01;2,09;2,01;2,07;4.000;8.160
2019-04-12;2,10;2,10;2,10;2,10;1.004;2.108
2019-04-11;2,10;2,10;2,10;2,10;30;63
2019-04-10;2,10;2,10;2,00;2,09;154;313
2019-04-09;2,09;2,09;2,00;2,05;6.715;13.762
2019-04-08;2,25;2,25;2,06;2,06;4.407;9.491
2019-04-05;2,15;2,17;2,15;2,17;535;1.150
2019-04-04;2,20;2,24;2,13;2,17;3.165;6.801
2019-04-03;2,17;2,19;2,15;2,19;861;1.851
2019-04-02;2,20;2,20;2,12;2,19;4.561;9.821
2019-04-01;2,14;2,19;2,14;2,19;3.049;6.525
2019-03-29;2,16;2,24;2,06;2,18;12.736;27.191
2019-03-28;2,18;2,18;2,16;2,17;2.181;4.743
2019-03-27;2,08;2,19;2,05;2,10;8.987;19.284
2019-03-26;2,07;2,13;2,04;2,13;31.898;66.558
2019-03-25;2,04;2,12;2,02;2,12;25.519;52.947
2019-03-22;1,98;2,05;1,98;2,02;11;22
2019-03-21;2,09;2,10;1,955;2,02;8.575;17.558
2019-03-20;2,04;2,05;1,98;2,05;5.046;10.038
2019-03-19;2,03;2,09;1,98;1,98;5.185;10.481
2019-03-18;2,09;2,14;2,00;2,08;17.079;35.794
2019-03-15;1,875;1,99;1,875;1,99;6.279;12.136
2019-03-14;1,91;2,00;1,80;1,80;8.313;15.675
2019-03-13;1,99;1,99;1,99;1,99;597;1.188
2019-03-12;2,01;2,10;1,98;2,04;8.953;18.079
2019-03-11;2,21;2,26;2,06;2,07;26.347;56.505
2019-03-08;2,20;2,26;2,12;2,12;11.168;24.623
2019-03-07;2,24;2,40;2,14;2,20;36.793;82.799
2019-03-06;2,06;2,25;2,06;2,25;11.184;24.440
2019-03-05;2,10;2,50;2,03;2,20;37.266;85.757
2019-03-04;1,655;2,34;1,655;2,05;39.960;78.147
2019-03-01;1,655;1,70;1,655;1,665;6.459;10.747
