Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;40,57;41,55;40,12;41,27;1.046.387;42.963.000
2019-05-02;41,52;41,85;40,28;40,55;884.501;36.009.540
2019-04-30;42,72;43,20;41,53;41,94;732.442;31.020.504
2019-04-29;42,20;42,90;41,65;42,61;698.917;29.659.582
2019-04-26;41,68;42,34;41,49;42,34;734.112;30.747.434
2019-04-25;42,25;42,37;41,44;42,07;396.380;16.651.516
2019-04-24;41,41;42,98;41,41;42,10;747.746;31.651.694
2019-04-23;41,50;41,58;41,09;41,42;566.847;23.455.826
2019-04-18;41,50;41,86;41,36;41,64;500.398;20.787.108
2019-04-17;40,83;41,77;40,80;41,62;838.435;34.746.032
2019-04-16;40,10;42,09;40,00;41,56;1.864.670;77.141.696
2019-04-15;37,74;37,75;37,31;37,58;308.087;11.574.509
2019-04-12;36,86;37,72;36,66;37,72;599.219;22.425.140
2019-04-11;36,49;37,13;36,37;36,85;469.206;17.271.542
2019-04-10;35,35;36,35;35,18;36,31;485.807;17.539.538
2019-04-09;36,30;36,50;35,19;35,34;521.877;18.618.634
2019-04-08;36,16;36,16;35,47;35,91;354.270;12.690.426
2019-04-05;36,40;36,56;35,79;36,18;273.342;9.904.687
2019-04-04;36,95;37,26;36,14;36,21;478.034;17.494.402
2019-04-03;36,30;37,11;36,25;37,00;675.218;24.882.858
2019-04-02;35,25;36,41;35,11;35,98;424.765;15.268.798
2019-04-01;34,89;35,80;34,86;35,07;651.576;22.905.118
2019-03-29;35,04;35,38;34,65;34,75;511.222;17.830.026
2019-03-28;34,76;35,19;34,58;34,80;446.813;15.542.949
2019-03-27;35,20;35,51;34,75;34,87;365.154;12.781.648
2019-03-26;34,27;35,19;34,25;35,04;390.374;13.625.610
2019-03-25;33,91;34,51;33,62;34,19;407.825;13.928.497
2019-03-22;35,14;35,75;34,14;34,21;662.517;22.894.190
2019-03-21;34,50;35,10;34,42;35,10;409.231;14.276.542
2019-03-20;35,00;35,20;34,60;34,70;459.426;16.000.533
2019-03-19;34,90;35,30;33,78;35,24;793.710;27.699.010
2019-03-18;34,66;35,35;34,50;35,27;503.299;17.684.722
2019-03-15;34,83;35,38;34,64;35,00;822.118;28.801.814
2019-03-14;33,79;35,00;33,64;34,78;888.086;30.761.704
2019-03-13;33,38;34,02;32,85;33,85;566.094;19.002.738
2019-03-12;32,54;33,72;32,54;33,28;651.642;21.698.092
2019-03-11;32,90;33,45;32,90;33,30;604.401;20.102.548
2019-03-08;33,30;33,30;32,33;32,81;688.609;22.561.616
2019-03-07;33,69;33,97;33,45;33,82;789.406;26.649.012
2019-03-06;32,50;34,35;32,50;34,13;1.215.745;41.225.492
2019-03-05;31,81;32,75;31,66;32,73;736.635;23.832.578
2019-03-04;32,75;32,76;31,70;32,11;920.188;29.532.314
2019-03-01;32,36;32,86;31,64;32,75;1.482.383;48.054.980
2019-02-28;30,10;32,60;29,94;32,40;4.190.026;131.590.320
2019-02-27;26,55;26,96;26,02;26,18;702.649;18.443.804
2019-02-26;26,29;27,05;25,89;26,95;629.971;16.809.322
2019-02-25;26,30;27,69;26,21;27,26;518.848;14.109.836
2019-02-22;26,07;26,50;25,80;26,18;558.752;14.634.419
2019-02-21;27,00;27,22;26,45;26,50;333.689;8.883.811
2019-02-20;26,66;27,07;26,65;26,89;413.612;11.112.110
2019-02-19;26,82;27,14;26,00;26,67;432.538;11.476.275
2019-02-18;26,02;27,26;25,78;26,98;510.094;13.679.945
2019-02-15;24,10;26,38;23,58;26,14;1.096.528;27.662.436
2019-02-14;25,94;26,34;25,29;25,73;427.362;11.009.887
2019-02-13;26,57;26,79;25,53;25,68;610.047;15.836.270
2019-02-12;26,26;27,52;26,26;26,94;487.351;13.103.889
2019-02-11;25,46;26,21;25,28;26,09;420.074;10.924.363
2019-02-08;25,47;26,14;25,02;25,19;455.970;11.577.174
2019-02-07;27,12;27,15;25,61;25,61;668.707;17.408.464
2019-02-06;27,69;27,74;26,96;27,15;567.489;15.438.876
2019-02-05;27,10;27,84;26,91;27,76;468.840;12.893.320
2019-02-04;27,21;27,29;26,69;27,09;501.769;13.564.648
2019-02-01;26,75;27,34;26,61;27,28;542.161;14.707.199
2019-01-31;26,17;26,74;25,59;26,65;775.923;20.433.336
2019-01-30;25,80;26,59;25,18;26,09;661.456;17.258.802
2019-01-29;27,59;27,62;26,01;26,39;1.295.150;34.511.424
2019-01-28;30,00;30,59;28,42;28,72;742.162;21.664.550
2019-01-25;29,20;30,00;28,98;29,93;573.104;17.030.954
2019-01-24;28,43;29,08;28,34;29,03;605.860;17.519.262
2019-01-23;27,91;28,62;27,73;28,49;720.805;20.458.036
2019-01-22;27,14;28,18;27,08;27,98;596.545;16.621.870
2019-01-21;26,59;27,19;26,46;27,09;327.312;8.850.796
2019-01-18;26,43;26,67;26,20;26,61;517.821;13.727.086
2019-01-17;26,00;26,39;25,88;26,29;294.985;7.727.914
2019-01-16;26,22;26,52;25,87;26,10;404.591;10.561.034
2019-01-15;27,14;27,35;26,17;26,26;454.186;12.038.285
2019-01-14;26,83;26,95;26,21;26,50;445.091;11.787.254
2019-01-11;27,64;27,94;26,28;26,93;687.987;18.495.546
2019-01-10;27,14;27,50;26,92;27,50;498.577;13.620.587
2019-01-09;26,93;27,40;26,75;27,18;633.300;17.176.294
2019-01-08;26,25;26,95;25,78;26,59;918.946;24.447.632
2019-01-07;25,02;26,20;24,65;26,20;840.176;21.611.986
2019-01-04;24,42;24,97;23,76;24,76;757.833;18.615.500
2019-01-03;23,87;24,36;23,23;23,97;831.445;19.871.714
2019-01-02;22,35;23,08;21,82;22,96;619.245;14.095.951
2018-12-28;23,00;23,13;22,42;22,44;292.419;6.607.628
2018-12-27;22,75;23,44;22,09;22,93;631.750;14.404.765
2018-12-21;22,28;23,04;22,02;22,53;970.211;21.815.110
2018-12-20;23,97;23,97;22,48;22,50;1.046.034;24.160.728
2018-12-19;23,80;24,89;23,43;24,39;984.202;24.047.256
2018-12-18;22,83;24,06;22,50;23,81;1.263.551;29.898.160
2018-12-17;24,75;24,75;20,99;22,56;3.791.941;85.133.936
2018-12-14;25,27;25,73;25,26;25,53;636.056;16.232.392
2018-12-13;25,48;25,88;25,31;25,47;471.407;12.031.380
2018-12-12;26,17;26,21;24,81;25,45;755.009;19.237.300
2018-12-11;25,55;26,44;25,47;26,12;639.367;16.652.021
2018-12-10;25,31;25,73;25,10;25,44;711.610;18.075.890
