Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;374,60;374,60;367,40;369,40;158;58.704
2019-08-13;374,80;376,00;374,80;375,60;75;28.138
2019-08-12;380,00;381,40;374,80;374,80;131;49.454
2019-08-09;385,20;385,20;373,00;373,00;60;22.670
2019-08-08;373,20;384,60;373,20;384,20;378;143.889
2019-08-07;373,80;373,80;364,40;364,40;95;35.115
2019-08-06;362,00;373,40;362,00;372,40;319;118.206
2019-08-05;376,00;376,00;356,60;362,00;340;125.700
2019-08-02;380,00;381,40;377,00;380,60;158;60.088
2019-08-01;384,00;384,40;380,20;380,20;13;4.967
2019-07-31;383,60;388,40;383,00;383,00;291;112.603
2019-07-30;394,60;394,60;380,60;386,80;474;182.657
2019-07-29;402,80;402,80;396,40;399,60;159;63.589
2019-07-26;404,40;405,60;403,60;404,80;90;36.413
2019-07-25;413,00;413,00;400,60;401,80;116;47.078
2019-07-24;399,60;411,00;399,60;411,00;189;76.361
2019-07-23;392,20;399,60;392,20;398,80;185;73.484
2019-07-22;386,00;394,80;386,00;393,60;530;207.582
2019-07-19;387,20;389,00;384,00;384,00;191;73.900
2019-07-18;375,40;380,80;374,60;379,20;158;59.478
2019-07-17;389,40;390,00;383,40;387,20;223;86.260
2019-07-16;394,80;398,00;391,40;391,80;170;67.409
2019-07-15;397,40;397,40;389,60;395,00;133;52.338
2019-07-12;391,00;395,80;390,20;395,80;217;85.618
2019-07-11;394,20;394,20;387,20;388,80;98;38.170
2019-07-10;396,60;396,60;390,40;390,40;108;42.420
2019-07-09;390,40;397,00;390,40;397,00;202;79.038
2019-07-08;403,40;403,40;389,20;389,60;209;82.258
2019-07-05;409,80;411,00;403,40;404,00;146;59.664
2019-07-04;402,00;412,00;402,00;412,00;151;61.258
2019-07-03;398,80;405,20;395,60;397,20;208;83.806
2019-07-02;398,7091;399,5033;397,1206;397,1206;81;32.100
2019-07-01;388,781;400,4961;388,781;400,4961;227;89.464
2019-06-28;383,2214;387,9868;382,6257;384,2142;207;79.897
2019-06-27;375,6761;379,8458;375,6761;379,8458;122;46.074
2019-06-26;370,9106;372,6977;367,5351;372,6977;83;30.508
2019-06-25;363,5639;368,5279;362,174;368,5279;194;70.964
2019-06-24;370,1164;370,1164;351,6503;361,9754;425;152.003
2019-06-21;377,6617;377,6617;371,5063;374,4847;355;132.587
2019-06-20;380,4415;380,4415;377,066;377,066;72;27.108
2019-06-19;371,5063;378,6545;371,5063;378,0588;158;59.422
2019-06-18;357,6071;374,6833;357,4085;374,6833;193;70.828
2019-06-17;357,0114;359,1956;356,6143;356,6143;53;19.107
2019-06-14;360,784;362,3725;357,8056;360,5855;74;26.473
2019-06-13;364,7552;364,7552;360,5855;362,174;179;64.911
2019-06-12;358,5999;362,5711;355,0258;362,5711;76;27.116
2019-06-11;353,8344;359,5927;353,8344;358,997;136;48.674
2019-06-10;365,1524;369,7193;344,8992;355,4229;459;162.752
2019-06-07;366,9394;368,925;364,5567;367,9322;272;99.817
2019-06-06;379,0516;379,0516;355,6215;364,3581;728;267.649
2019-06-05;381,8314;385,0084;376,2717;379,2501;130;49.346
2019-06-04;382,8242;388,781;379,2501;384,2142;250;96.144
2019-06-03;400,4961;400,4961;374,2861;389,1782;722;275.821
2019-05-31;407,6443;407,6443;402,0846;404,2687;178;72.103
2019-05-30;412,4097;412,4097;410,2256;410,2256;27;11.189
2019-05-29;410,027;411,814;407,4457;409,6299;82;33.447
2019-05-28;414,991;414,991;408,8356;408,8356;96;39.537
2019-05-27;417,9694;417,9694;410,027;411,0198;75;30.681
2019-05-24;411,6155;413,4025;410,4241;413,4025;18;7.465
2019-05-23;411,814;411,814;404,2687;404,2687;122;49.781
2019-05-22;413,4025;416,9766;412,8068;413,204;64;26.752
2019-05-21;405,8572;413,0054;405,8572;413,0054;30;12.339
2019-05-20;410,6227;411,0198;397,9148;397,9148;173;70.367
2019-05-17;411,0198;412,8068;409,4313;412,0126;914;376.267
2019-05-16;412,0126;412,0126;407,8428;410,6227;286;117.144
2019-05-15;410,027;413,9982;405,8572;413,7996;235;95.926
2019-05-14;398,7091;410,4241;398,7091;406,2543;389;157.123
2019-05-13;403,4745;403,4745;385,207;392,7522;247;96.017
2019-05-10;397,1206;401,886;392,7522;401,0918;124;49.367
2019-05-09;387,7882;395,7307;385,207;394,7379;86;33.493
2019-05-08;384,6113;394,1422;384,6113;391,958;117;45.584
2019-05-07;397,9148;397,9148;384,0156;384,0156;102;39.928
2019-05-06;397,9148;399,3047;380,0444;398,7091;418;162.749
2019-05-03;394,9364;401,886;389,9724;398,5105;805;317.416
2019-05-02;414,991;415,1896;389,3767;393,7451;831;329.532
2019-04-30;395,135;414,5939;395,135;411,2184;535;218.824
2019-04-29;388,1854;402,8788;383,2214;395,5321;534;210.456
2019-04-26;375,4775;387,3911;374,6833;387,3911;661;251.645
2019-04-25;387,9868;391,1638;378,2573;378,2573;260;100.549
2019-04-24;383,2214;392,9508;379,2501;387,7882;385;148.388
2019-04-23;371,3077;386,5969;371,1092;383,817;446;168.885
2019-04-18;368,3293;371,3077;368,3293;369,9178;143;52.908
2019-04-17;363,1668;369,1236;361,9754;369,1236;168;61.355
2019-04-16;364,1596;365,1524;360,3869;362,174;217;78.631
2019-04-15;370,7121;370,7121;362,9682;362,9682;40;14.849
2019-04-12;362,3725;369,1236;362,3725;369,1236;103;37.483
2019-04-11;360,1884;361,7768;357,4085;357,4085;296;106.457
2019-04-10;360,3869;364,1596;359,1956;359,1956;99;35.648
2019-04-09;363,961;363,961;356,4157;356,6143;111;39.763
2019-04-08;359,3941;363,961;359,3941;363,3653;335;121.511
2019-04-05;366,1452;366,1452;357,4085;359,7912;265;95.271
2019-04-04;368,3293;368,3293;362,5711;365,3509;380;138.583
2019-04-03;374,8818;380,6401;373,4919;379,0516;190;71.847
2019-04-02;368,7265;370,3149;365,9466;370,3149;215;79.106
2019-04-01;372,3005;372,3005;365,1524;370,3149;261;96.552
2019-03-29;362,3725;367,5351;356,0186;365,1524;147;53.306
2019-03-28;362,3725;362,3725;359,7912;362,174;174;63.087
2019-03-27;361,3797;361,3797;357,6071;358,2028;18;6.516
2019-03-26;350,4589;361,3797;342,5165;361,3797;174;61.319
2019-03-25;357,4085;357,4085;347,4805;349,2675;522;183.365
2019-03-22;366,3437;366,3437;356,6143;356,6143;186;66.866
2019-03-21;366,1452;368,1308;366,1452;368,1308;64;23.655
2019-03-20;367,3365;367,3365;361,9754;364,5567;166;60.462
2019-03-19;369,5207;375,0804;362,3725;374,4847;230;85.145
2019-03-18;362,3725;370,5135;357,4085;370,5135;205;74.438
2019-03-15;369,7193;369,7193;360,784;363,1668;146;53.314
2019-03-14;369,1236;370,3149;357,4085;366,7409;207;75.234
2019-03-13;361,3797;369,5207;361,3797;367,3365;136;49.868
2019-03-12;358,4013;364,7552;358,4013;364,7552;53;19.320
2019-03-11;370,3149;372,102;357,6071;362,174;275;99.327
2019-03-08;382,6257;382,6257;371,5063;377,6617;304;114.845
2019-03-07;368,7265;392,3551;368,7265;388,781;668;254.152
2019-03-06;359,7912;371,9034;358,4013;371,7049;358;130.981
2019-03-05;392,1566;423,132;342,5165;358,0042;1.452;532.949
2019-03-04;384,0156;396,1278;383,0228;392,1566;566;220.198
2019-03-01;370,7121;383,4199;367,3365;383,2214;413;154.394
2019-02-28;362,9682;368,1308;362,9682;366,7409;222;81.088
2019-02-27;360,5855;366,1452;358,2028;366,1452;55;20.002
2019-02-26;362,3725;362,7696;357,8056;359,7912;94;33.799
2019-02-25;358,0042;364,1596;357,8056;363,3653;440;158.957
2019-02-22;357,8056;366,1452;355,4229;358,7984;354;127.501
2019-02-21;358,5999;359,5927;354,2316;356,6143;180;64.402
2019-02-20;346,2891;354,8272;346,2891;354,8272;126;44.119
2019-02-19;347,4805;347,4805;342,7151;342,7151;30;10.454
2019-02-18;341,3251;343,9064;338,1482;343,9064;83;28.168
2019-02-15;337,5525;346,8848;332,787;346,8848;199;68.090
2019-02-14;331,3971;338,1482;328,6173;334,5741;260;86.588
2019-02-13;314,7181;330,4043;314,7181;329,213;333;108.602
2019-02-12;305,9814;313,9238;302,0102;310,9454;360;110.720
2019-02-11;321,072;321,072;297,2448;304,79;1.298;395.768
2019-02-08;327,823;328,4187;311,7397;318,6893;816;261.200
2019-02-07;330,6029;334,3755;327,823;330,8014;274;90.457
2019-02-06;341,7223;341,9208;328,2202;333,1842;565;188.755
2019-02-05;348,4733;357,8056;342,1194;342,7151;175;61.091
2019-02-04;346,8848;347,4805;340,5309;344,7007;398;137.333
2019-02-01;351,4517;351,6503;342,5165;342,5165;821;284.982
2019-01-31;350,856;351,8488;346,8848;351,2531;81;28.220
2019-01-30;347,4805;349,8632;336,5597;349,8632;227;78.006
2019-01-29;367,5351;367,5351;350,6575;352,0474;175;62.512
2019-01-28;384,2142;384,2142;359,7912;367,5351;475;175.809
2019-01-25;356,6143;378,6545;356,6143;378,6545;313;116.744
2019-01-24;356,2172;363,961;356,2172;358,5999;170;61.503
2019-01-23;366,5423;367,3365;355,4229;356,8128;300;108.436
2019-01-22;362,5711;363,7624;358,7984;363,7624;274;99.038
2019-01-21;359,5927;367,3365;345,0978;361,9754;311;110.398
2019-01-18;330,4043;359,9898;330,4043;359,1956;775;261.826
2019-01-17;338,1482;338,1482;325,4403;330,6029;421;138.796
2019-01-16;330,6029;337,1554;325,6389;337,1554;268;88.276
2019-01-15;333,7798;333,7798;326,2346;330,0072;182;60.358
2019-01-14;344,105;344,105;327,6245;337,751;370;123.236
2019-01-11;352,0474;354,2316;337,5525;341,7223;390;133.518
2019-01-10;356,2172;356,2172;348,4733;349,4661;255;89.509
2019-01-09;354,2316;357,4085;349,8632;356,4157;582;205.849
2019-01-08;342,3179;353,8344;338,1482;350,0618;800;276.470
2019-01-07;332,5885;337,751;322,6605;334,7726;821;270.623
2019-01-04;318,0936;331,9928;314,1224;331,9928;441;141.146
2019-01-03;323,6533;323,8518;312,5339;316,5051;175;56.126
2019-01-02;324,6461;329,0144;312,7325;327,823;262;84.151
2018-12-28;317,2993;321,8662;311,5411;318,8878;142;45.228
2018-12-27;315,3137;320,0792;308,3641;313,3281;480;151.246
2018-12-21;311,144;317,1008;311,144;312,931;443;139.336
2018-12-20;304,5915;315,5123;302,8044;311,5411;365;111.761
2018-12-19;317,4979;322,4619;310,7469;310,7469;196;62.417
2018-12-18;317,6965;321,072;314,5195;319,8806;258;81.834
2018-12-17;334,9712;334,9712;319,0864;320,2777;346;112.997
2018-12-14;335,964;338,1482;326,2346;328,0216;304;100.203
2018-12-13;349,069;349,069;335,1698;341,5237;138;46.965
2018-12-12;335,964;350,4589;335,964;350,4589;93;32.151
2018-12-11;325,2418;343,1122;325,2418;333,5813;193;64.329
2018-12-10;321,6677;328,8158;321,6677;321,6677;271;87.539
2018-12-07;335,5669;336,3611;321,8662;323,6533;372;122.554
2018-12-06;347,4805;347,4805;327,6245;338,7439;818;275.513
2018-12-05;359,9898;362,3725;348,4733;351,0546;229;81.099
2018-12-04;375,4775;375,4775;358,0042;360,3869;137;50.210
2018-12-03;388,1854;389,9724;381,0372;381,0372;144;55.823
2018-11-30;397,1206;401,0918;380,8386;382,6257;195;75.782
2018-11-29;396,1278;396,1278;387,7882;395,3335;178;69.967
2018-11-28;374,8818;390,171;371,9034;389,9724;146;55.673
2018-11-27;377,8602;384,0156;365,9466;376,2717;194;72.629
2018-11-26;361,7768;379,2501;361,7768;378,853;487;178.486
2018-11-23;356,4157;356,4157;341,7223;349,4661;615;213.050
2018-11-22;361,5783;365,3509;351,8488;352,0474;753;270.072
2018-11-21;376,0732;376,0732;362,3725;365,3509;294;108.723
2018-11-20;375,8746;382,4271;375,8746;375,8746;195;74.104
2018-11-19;391,5609;391,5609;377,4631;380,4415;385;148.609
2018-11-16;391,1638;394,1422;377,2645;390,5681;640;247.268
2018-11-15;401,0918;401,886;387,9868;393,1494;511;201.759
2018-11-14;406,2543;406,2543;399,9004;402,6803;73;29.159
2018-11-13;415,3881;415,3881;397,1206;406,6515;1.082;432.422
2018-11-12;438,6197;438,6197;416,3809;419,3593;177;75.491
2018-11-09;440,8038;443,3851;433,8542;436,237;204;90.092
2018-11-08;443,9808;444,3779;441,3995;442,7894;159;70.526
2018-11-07;443,5837;447,7534;443,5837;447,1578;77;34.076
2018-11-06;438,2226;438,4211;435,8398;438,4211;55;24.170
2018-11-05;441,201;442,988;436,6341;442,988;111;48.632
2018-11-02;447,5549;447,5549;433,8542;436,0384;71;31.205
2018-11-01;444,3779;447,7534;442,7894;447,7534;242;107.352
2018-10-31;433,6557;444,9736;433,6557;443,5837;225;99.472
