Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;1,39;1,44;1,39;1,40;10.043;14.014
2019-05-02;1,39;1,39;1,37;1,37;200;278
2019-04-30;1,38;1,40;1,35;1,40;15.748;21.688
2019-04-29;1,40;1,40;1,38;1,38;5.000;7.000
2019-04-26;1,41;1,41;1,39;1,39;13.000;18.330
2019-04-25;1,47;1,47;1,38;1,39;22.500;31.570
2019-04-24;1,43;1,44;1,41;1,41;38.000;54.620
2019-04-23;1,40;1,46;1,38;1,40;47.447;67.373
2019-04-18;1,37;1,48;1,37;1,48;18.571;26.255
2019-04-17;1,40;1,42;1,36;1,41;6.300;8.734
2019-04-16;1,38;1,47;1,38;1,39;7.050;9.918
2019-04-15;1,40;1,46;1,39;1,41;3.860;5.477
2019-04-12;1,38;1,45;1,36;1,44;8.830;12.519
2019-04-11;1,40;1,41;1,36;1,39;17.344;24.121
2019-04-10;1,32;1,41;1,32;1,41;16.250;22.382
2019-04-09;1,37;1,38;1,37;1,38;13.400;18.453
2019-04-08;1,34;1,37;1,34;1,36;10.282;13.820
2019-04-05;1,34;1,38;1,23;1,30;10.209;13.099
2019-04-04;1,34;1,38;1,32;1,34;16.701;22.721
2019-04-03;1,36;1,36;1,31;1,31;9.680;13.045
2019-04-02;1,36;1,39;1,36;1,39;2.570;3.495
2019-04-01;1,21;1,38;1,20;1,38;8.520;10.963
2019-03-29;1,25;1,252;1,18;1,1904;6.511;7.912
2019-03-28;1,25;1,275;1,25;1,275;500;625
2019-03-27;1,28;1,28;1,275;1,275;3.800;4.864
2019-03-26;1,32;1,32;1,32;1,32;0;0
2019-03-25;1,38;1,38;1,32;1,32;1.419;1.958
2019-03-22;1,40;1,40;1,40;1,40;0;0
2019-03-21;1,4026;1,4026;1,4026;1,4026;0;0
2019-03-20;1,415;1,415;1,415;1,415;0;0
2019-03-19;1,415;1,415;1,415;1,415;0;0
2019-03-18;1,45;1,45;1,4496;1,4496;100;145
2019-03-15;1,445;1,45;1,415;1,415;1.430;2.071
2019-03-14;1,4226;1,4226;1,4226;1,4226;0;0
2019-03-13;1,4226;1,4226;1,4226;1,4226;0;0
2019-03-12;1,445;1,445;1,4126;1,4126;260;376
2019-03-11;1,40;1,40;1,39;1,39;102;143
2019-03-08;1,4442;1,4442;1,4442;1,4442;0;0
2019-03-07;1,445;1,445;1,4082;1,4082;109;157
2019-03-06;1,442;1,4436;1,442;1,4436;79;114
2019-03-05;1,445;1,445;1,4426;1,4426;1.700;2.457
2019-03-04;1,42;1,445;1,42;1,442;2.008;2.887
2019-03-01;1,445;1,445;1,4226;1,4226;4.000;5.780
2019-02-28;1,44;1,44;1,41;1,41;600;864
2019-02-27;1,44;1,44;1,43;1,43;100;144
2019-02-26;1,4454;1,4454;1,415;1,415;1.000;1.443
2019-02-25;1,42;1,42;1,41;1,41;1.420;2.009
2019-02-22;1,425;1,425;1,425;1,425;0;0
2019-02-21;1,44;1,44;1,4376;1,4376;750;1.080
2019-02-20;1,43;1,435;1,43;1,435;80;114
2019-02-19;1,435;1,435;1,435;1,435;0;0
2019-02-18;1,45;1,45;1,4496;1,4496;1.000;1.450
2019-02-15;1,455;1,455;1,455;1,455;0;0
2019-02-14;1,455;1,455;1,455;1,455;0;0
2019-02-13;1,46;1,46;1,455;1,455;680;993
2019-02-12;1,458;1,458;1,458;1,458;0;0
2019-02-11;1,458;1,458;1,458;1,458;0;0
2019-02-08;1,46;1,46;1,455;1,455;4.500;6.570
2019-02-07;1,46;1,46;1,455;1,455;500;730
2019-02-06;1,465;1,465;1,46;1,46;10.000;14.650
2019-02-05;1,4576;1,4576;1,4576;1,4576;0;0
2019-02-04;1,46;1,46;1,46;1,46;0;0
2019-02-01;1,46;1,46;1,46;1,46;0;0
2019-01-31;1,45;1,46;1,45;1,46;2.000;2.900
2019-01-30;1,46;1,46;1,46;1,46;0;0
2019-01-29;1,46;1,46;1,46;1,46;0;0
2019-01-28;1,46;1,46;1,46;1,46;0;0
2019-01-25;1,464;1,464;1,464;1,464;0;0
2019-01-24;1,475;1,475;1,46;1,46;2.000;2.950
2019-01-23;1,4626;1,4626;1,4626;1,4626;0;0
2019-01-22;1,46;1,4726;1,46;1,4726;2.380;3.495
2019-01-21;1,44;1,455;1,44;1,455;2.000;2.880
2019-01-18;1,45;1,46;1,425;1,425;7.275;10.519
2019-01-17;1,45;1,45;1,425;1,425;19.750;28.614
2019-01-16;1,48;1,48;1,445;1,445;19.200;28.141
2019-01-15;1,47;1,50;1,45;1,495;22.880;33.588
2019-01-14;1,41;1,48;1,41;1,4776;12.484;18.031
2019-01-11;1,37;1,41;1,37;1,405;9.780;13.640
2019-01-10;1,35;1,35;1,35;1,35;0;0
2019-01-09;1,38;1,38;1,365;1,3726;285;391
2019-01-08;1,3726;1,3726;1,3726;1,3726;0;0
2019-01-07;1,37;1,37;1,366;1,366;487;667
2019-01-04;1,38;1,38;1,375;1,375;2.290;3.160
2019-01-03;1,41;1,41;1,39;1,39;380;536
2019-01-02;1,39;1,39;1,39;1,39;0;0
2018-12-28;1,39;1,41;1,39;1,39;1.363;1.912
2018-12-27;1,38;1,41;1,38;1,395;11.066;15.448
2018-12-21;1,375;1,375;1,375;1,375;0;0
2018-12-20;1,37;1,375;1,37;1,375;513;703
2018-12-19;1,375;1,375;1,375;1,375;0;0
2018-12-18;1,375;1,375;1,375;1,375;0;0
2018-12-17;1,3726;1,3726;1,3726;1,3726;0;0
2018-12-14;1,3726;1,3726;1,3726;1,3726;0;0
2018-12-13;1,37;1,375;1,37;1,375;1.000;1.370
2018-12-12;1,37;1,3726;1,37;1,3726;500;685
2018-12-11;1,37;1,37;1,37;1,37;0;0
2018-12-10;1,36;1,36;1,36;1,36;0;0
2018-12-07;1,37;1,37;1,37;1,37;0;0
2018-12-06;1,365;1,365;1,365;1,365;0;0
2018-12-05;1,365;1,365;1,365;1,365;0;0
2018-12-04;1,37;1,37;1,37;1,37;0;0
2018-12-03;1,38;1,38;1,35;1,35;500;690
2018-11-30;1,40;1,40;1,36;1,36;6.683;9.229
2018-11-29;1,39;1,42;1,39;1,39;3.170;4.441
2018-11-28;1,36;1,36;1,36;1,36;0;0
2018-11-27;1,34;1,34;1,34;1,34;0;0
2018-11-26;1,34;1,34;1,34;1,34;0;0
2018-11-23;1,335;1,335;1,335;1,335;0;0
2018-11-22;1,34;1,38;1,34;1,37;2.000;2.720





