Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;20,50;20,60;20,35;20,35;5.432;110.971
2019-05-02;20,55;20,75;20,40;20,50;8.076;166.528
2019-04-30;20,95;20,95;20,20;20,25;27.453;564.136
2019-04-29;21,50;21,50;20,70;20,90;9.572;201.828
2019-04-26;20,85;21,55;20,85;21,15;12.443;263.466
2019-04-25;21,00;21,30;20,50;20,65;14.949;313.208
2019-04-24;20,65;21,10;20,50;20,90;19.651;410.629
2019-04-23;20,45;20,90;20,20;20,65;16.572;341.492
2019-04-18;20,40;20,60;20,40;20,50;5.801;118.913
2019-04-17;21,00;21,75;20,00;20,10;16.619;344.717
2019-04-16;20,30;21,50;20,30;21,20;13.086;274.939
2019-04-15;20,50;20,60;19,94;20,15;26.691;538.555
2019-04-12;20,60;20,90;20,30;20,30;3.612;74.358
2019-04-11;20,60;20,90;20,15;20,30;9.531;194.904
2019-04-10;20,20;20,90;20,20;20,60;9.159;188.898
2019-04-09;20,35;20,50;20,05;20,35;18.180;369.080
2019-04-08;20,50;20,50;20,10;20,10;8.482;172.281
2019-04-05;20,70;20,70;20,20;20,25;6.876;140.375
2019-04-04;20,40;20,70;20,35;20,45;4.890;100.355
2019-04-03;20,70;20,90;20,30;20,50;24.654;509.087
2019-04-02;20,25;20,70;20,25;20,55;5.495;112.483
2019-04-01;20,00;20,35;20,00;20,15;17.838;358.786
2019-03-29;20,25;20,30;20,05;20,15;3.882;78.248
2019-03-28;20,45;20,55;20,20;20,20;3.749;76.304
2019-03-27;20,75;20,85;20,35;20,60;11.530;236.931
2019-03-26;20,50;20,85;20,50;20,70;5.233;107.809
2019-03-25;21,20;21,20;20,50;20,60;8.350;172.721
2019-03-22;21,15;21,30;21,10;21,15;5.806;122.889
2019-03-21;21,20;21,35;21,00;21,10;4.103;86.735
2019-03-20;21,05;21,30;21,00;21,05;4.197;88.741
2019-03-19;20,95;21,30;20,95;21,15;6.710;141.643
2019-03-18;21,30;21,40;20,95;21,15;8.558;180.584
2019-03-15;21,20;21,35;21,10;21,10;9.687;204.788
2019-03-14;21,25;21,40;21,10;21,15;5.621;119.131
2019-03-13;21,10;21,30;21,10;21,10;8.898;188.710
2019-03-12;21,45;21,45;21,10;21,10;7.873;166.957
2019-03-11;21,25;21,50;21,10;21,35;8.405;179.126
2019-03-08;21,40;21,60;21,40;21,50;10.840;232.662
2019-03-07;20,80;21,60;20,70;21,40;12.959;275.719
2019-03-06;21,70;21,80;20,65;20,65;11.576;246.584
2019-03-05;22,40;22,40;21,75;21,75;4.945;108.577
2019-03-04;21,95;22,40;21,95;22,20;6.027;133.837
2019-03-01;21,80;22,45;21,70;22,05;37.332;821.729
2019-02-28;21,95;22,05;21,50;21,80;7.488;164.299
2019-02-27;22,00;22,30;22,00;22,00;3.743;82.693
2019-02-26;22,00;22,10;22,00;22,00;6.853;150.789
2019-02-25;21,90;22,25;21,90;22,00;6.749;148.760
2019-02-22;21,50;22,50;21,50;22,00;12.254;269.238
2019-02-21;21,90;21,90;21,50;21,50;4.825;103.843
2019-02-20;22,15;22,20;21,50;21,60;5.591;121.958
2019-02-19;22,30;22,55;22,20;22,20;1.564;34.942
2019-02-18;22,35;22,60;22,05;22,25;6.889;153.755
2019-02-15;22,90;22,90;22,50;22,50;5.289;119.683
2019-02-14;23,50;23,55;22,35;22,65;7.198;163.761
2019-02-13;23,50;23,70;23,05;23,25;11.535;270.168
2019-02-12;23,80;23,80;23,20;23,50;6.534;153.495
2019-02-11;23,55;23,85;23,50;23,50;14.535;343.200
2019-02-08;23,45;23,60;23,00;23,50;14.058;327.324
2019-02-07;23,50;23,95;23,30;23,50;14.731;346.901
2019-02-06;22,60;23,90;22,45;23,65;38.042;888.834
2019-02-05;22,05;22,65;22,05;22,65;39.183;880.379
2019-02-04;22,35;22,50;21,95;22,15;8.677;193.095
2019-02-01;21,75;22,80;21,65;22,35;11.043;244.213
2019-01-31;22,15;22,40;21,55;21,95;6.875;150.194
2019-01-30;21,80;23,00;21,80;22,10;10.654;238.119
2019-01-29;21,80;22,20;21,80;22,00;3.160;69.545
2019-01-28;22,50;22,50;22,00;22,00;4.392;97.580
2019-01-25;21,95;22,50;21,95;22,45;5.486;122.442
2019-01-24;21,95;22,15;21,85;22,10;11.167;245.771
2019-01-23;21,65;22,30;21,65;22,20;11.712;257.511
2019-01-22;22,50;22,50;21,35;21,60;22.008;480.457
