Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2010-03-12;2,80;2,80;2,80;2,80;0;0
2010-03-11;2,80;2,80;2,80;2,80;0;0
2010-03-10;2,80;2,80;2,80;2,80;100;280
2010-03-09;2,80;2,80;2,80;2,80;0;0
2010-03-08;2,80;2,80;2,80;2,80;0;0
2010-03-05;2,80;2,80;2,80;2,80;0;0
2010-03-04;2,85;2,85;2,85;2,85;0;0
2010-03-03;2,85;2,85;2,85;2,85;0;0
2010-03-02;2,85;2,85;2,85;2,85;0;0
2010-03-01;2,85;2,85;2,85;2,85;0;0
2010-02-26;2,85;2,85;2,85;2,85;0;0
2010-02-25;2,80;2,85;2,80;2,85;85;242
2010-02-24;2,80;2,80;2,80;2,80;0;0
2010-02-23;2,70;2,80;2,70;2,80;100;280
2010-02-22;2,85;2,85;2,70;2,70;40;108
2010-02-19;2,85;2,85;2,85;2,85;0;0
2010-02-18;2,85;2,85;2,85;2,85;0;0
2010-02-17;2,85;2,85;2,85;2,85;0;0
2010-02-16;2,85;2,85;2,85;2,85;0;0
2010-02-15;2,85;2,85;2,85;2,85;400;1.140
2010-02-12;2,76;2,76;2,76;2,76;0;0
2010-02-11;2,72;2,72;2,72;2,72;0;0
2010-02-10;2,70;2,70;2,70;2,70;0;0
2010-02-09;2,70;2,70;2,70;2,70;100;270
2010-02-08;2,87;2,87;2,87;2,87;0;0
2010-02-05;2,87;2,87;2,87;2,87;0;0
2010-02-04;2,87;2,87;2,87;2,87;0;0
2010-02-03;2,75;2,87;2,75;2,87;100;287
2010-02-02;2,77;2,77;2,75;2,75;600;1.650
2010-02-01;2,69;2,69;2,69;2,69;0;0
2010-01-29;2,68;2,68;2,68;2,68;0;0
2010-01-28;2,68;2,68;2,68;2,68;0;0
2010-01-27;2,68;2,68;2,68;2,68;0;0
2010-01-26;2,68;2,68;2,68;2,68;0;0
2010-01-25;2,68;2,68;2,68;2,68;0;0
2010-01-22;2,68;2,68;2,68;2,68;0;0
2010-01-21;2,68;2,68;2,68;2,68;0;0
2010-01-20;2,68;2,68;2,68;2,68;0;0
2010-01-19;2,68;2,68;2,68;2,68;0;0
2010-01-18;2,72;2,72;2,68;2,68;1.400;3.752
2010-01-15;2,72;2,72;2,72;2,72;0;0
2010-01-14;2,715;2,72;2,715;2,72;92;250
2010-01-13;2,715;2,715;2,715;2,715;0;0
2010-01-12;2,715;2,715;2,715;2,715;0;0
2010-01-11;2,715;2,715;2,715;2,715;0;0
2010-01-08;2,717;2,717;2,717;2,717;0;0
2010-01-07;2,76;2,76;2,76;2,76;0;0
2010-01-06;2,76;2,76;2,76;2,76;0;0
2010-01-05;2,76;2,76;2,76;2,76;0;0
2010-01-04;2,76;2,76;2,76;2,76;0;0
2009-12-30;2,76;2,76;2,76;2,76;0;0
2009-12-29;2,80;2,80;2,80;2,80;0;0
2009-12-28;2,80;2,80;2,80;2,80;0;0
2009-12-23;2,80;2,80;2,80;2,80;0;0
2009-12-22;2,76;2,80;2,76;2,80;100;280
2009-12-21;2,77;2,77;2,76;2,76;40;110
2009-12-18;2,70;2,70;2,70;2,70;0;0
2009-12-17;2,70;2,70;2,70;2,70;0;0
2009-12-16;2,55;2,70;2,55;2,70;250;675
2009-12-15;2,60;2,60;2,55;2,55;100;255
2009-12-14;2,60;2,60;2,60;2,60;0;0
2009-12-11;2,60;2,60;2,60;2,60;0;0
2009-12-10;2,60;2,60;2,60;2,60;0;0
2009-12-09;2,60;2,60;2,60;2,60;0;0
2009-12-08;2,55;2,55;2,55;2,55;0;0
2009-12-07;2,55;2,55;2,55;2,55;0;0
2009-12-04;2,55;2,55;2,55;2,55;0;0
2009-12-03;2,55;2,55;2,55;2,55;0;0
2009-12-02;2,55;2,55;2,55;2,55;0;0
2009-12-01;2,55;2,55;2,55;2,55;200;510
2009-11-30;2,53;2,53;2,53;2,53;0;0
2009-11-27;2,53;2,53;2,53;2,53;0;0
2009-11-26;2,53;2,53;2,53;2,53;0;0
2009-11-25;2,54;2,54;2,54;2,54;0;0
2009-11-24;2,60;2,60;2,60;2,60;0;0
2009-11-23;2,60;2,60;2,60;2,60;0;0
2009-11-20;2,60;2,60;2,60;2,60;0;0
2009-11-19;2,60;2,60;2,60;2,60;0;0
2009-11-18;2,60;2,60;2,60;2,60;0;0
2009-11-17;2,60;2,60;2,60;2,60;0;0
2009-11-16;2,60;2,60;2,60;2,60;0;0
2009-11-13;2,60;2,60;2,60;2,60;0;0
2009-11-12;2,60;2,60;2,60;2,60;0;0
2009-11-11;2,60;2,60;2,60;2,60;0;0
2009-11-10;2,59;2,59;2,59;2,59;0;0
2009-11-09;2,59;2,59;2,59;2,59;0;0
2009-11-06;2,59;2,59;2,59;2,59;0;0
2009-11-05;2,59;2,59;2,59;2,59;0;0
2009-11-04;2,59;2,59;2,59;2,59;0;0
2009-11-03;2,59;2,65;2,59;2,59;210;544
2009-11-02;2,60;2,60;2,60;2,60;0;0
2009-10-30;2,64;2,64;2,64;2,64;0;0
2009-10-29;2,64;2,64;2,64;2,64;0;0
2009-10-28;2,62;2,62;2,62;2,62;0;0
2009-10-27;2,65;2,65;2,62;2,62;400;1.048
2009-10-26;2,65;2,65;2,65;2,65;0;0
2009-10-23;2,68;2,68;2,68;2,68;0;0
2009-10-22;2,68;2,68;2,61;2,61;160;418
2009-10-21;2,69;2,69;2,68;2,68;30;80
2009-10-20;2,69;2,69;2,69;2,69;0;0
2009-10-19;2,69;2,69;2,69;2,69;0;0
2009-10-16;2,69;2,69;2,69;2,69;0;0
2009-10-15;2,69;2,69;2,69;2,69;0;0
2009-10-14;2,69;2,69;2,69;2,69;0;0
2009-10-13;2,88;2,88;2,88;2,88;300;864
2009-10-12;2,69;2,69;2,69;2,69;0;0
2009-10-09;2,69;2,69;2,69;2,69;0;0
2009-10-08;2,69;2,69;2,69;2,69;0;0
2009-10-07;2,69;2,69;2,69;2,69;0;0
2009-10-06;2,70;2,70;2,70;2,70;0;0
2009-10-05;2,70;2,70;2,70;2,70;0;0
2009-10-02;2,70;2,70;2,70;2,70;0;0
2009-10-01;2,74;2,74;2,74;2,74;0;0
2009-09-30;2,75;2,75;2,75;2,75;0;0
2009-09-29;2,75;2,75;2,75;2,75;125;344
2009-09-28;2,75;2,75;2,75;2,75;0;0
2009-09-25;2,75;2,75;2,75;2,75;0;0
2009-09-24;2,77;2,77;2,77;2,77;0;0
2009-09-23;2,77;2,77;2,77;2,77;0;0
2009-09-22;2,77;2,77;2,77;2,77;0;0
2009-09-21;2,77;2,77;2,77;2,77;0;0
2009-09-18;2,84;2,84;2,84;2,84;0;0
2009-09-17;2,84;2,84;2,84;2,84;0;0
2009-09-16;2,84;2,84;2,84;2,84;0;0
2009-09-15;2,84;2,84;2,84;2,84;0;0
2009-09-14;2,84;2,84;2,84;2,84;0;0
2009-09-11;2,80;2,80;2,80;2,80;0;0
2009-09-10;2,80;2,80;2,80;2,80;0;0
2009-09-09;2,80;2,80;2,80;2,80;0;0
2009-09-08;2,87;2,87;2,87;2,87;0;0
2009-09-07;2,87;2,87;2,87;2,87;0;0
2009-09-04;2,87;2,87;2,87;2,87;0;0
2009-09-03;2,87;2,87;2,87;2,87;0;0
2009-09-02;2,87;2,87;2,87;2,87;0;0
2009-09-01;2,87;2,87;2,87;2,87;0;0
2009-08-31;2,87;2,87;2,87;2,87;0;0
2009-08-28;2,87;2,87;2,87;2,87;0;0
2009-08-27;2,82;2,82;2,82;2,82;0;0
2009-08-26;2,78;2,78;2,78;2,78;0;0
2009-08-25;2,77;2,77;2,77;2,77;0;0
2009-08-24;2,76;2,76;2,76;2,76;0;0
2009-08-21;2,75;2,75;2,75;2,75;0;0
2009-08-20;2,75;2,75;2,75;2,75;0;0
2009-08-19;2,79;2,79;2,79;2,79;0;0
2009-08-18;2,79;2,79;2,79;2,79;0;0
2009-08-17;2,79;2,79;2,79;2,79;0;0
2009-08-14;2,86;2,86;2,86;2,86;0;0
2009-08-13;2,86;2,86;2,86;2,86;0;0
2009-08-12;2,86;2,86;2,86;2,86;0;0
2009-08-11;2,86;2,86;2,86;2,86;0;0
2009-08-10;2,86;2,86;2,86;2,86;100;286
2009-08-07;2,90;2,90;2,90;2,90;0;0
2009-08-06;2,90;2,90;2,90;2,90;0;0
2009-08-05;2,77;2,77;2,77;2,77;0;0
2009-08-04;2,77;2,77;2,77;2,77;0;0
2009-08-03;2,77;2,77;2,77;2,77;0;0
2009-07-31;2,77;2,77;2,77;2,77;0;0
2009-07-30;2,72;2,72;2,72;2,72;0;0
2009-07-29;2,70;2,70;2,70;2,70;0;0
2009-07-28;2,62;2,62;2,62;2,62;0;0
2009-07-27;2,60;2,60;2,60;2,60;0;0
2009-07-24;2,60;2,60;2,60;2,60;0;0
2009-07-23;2,60;2,60;2,60;2,60;0;0
2009-07-22;2,60;2,60;2,60;2,60;0;0
2009-07-21;2,68;2,68;2,68;2,68;0;0
2009-07-20;2,68;2,68;2,68;2,68;0;0
2009-07-17;2,70;2,70;2,70;2,70;0;0
2009-07-16;2,70;2,70;2,70;2,70;0;0
2009-07-15;2,70;2,70;2,70;2,70;0;0
2009-07-14;2,70;2,70;2,70;2,70;0;0
2009-07-13;2,70;2,70;2,70;2,70;0;0
2009-07-10;2,70;2,70;2,70;2,70;0;0
2009-07-09;2,70;2,70;2,70;2,70;435;1.175
2009-07-08; ; ; ;2,79;0;0
2009-07-07;2,79;2,79;2,79;2,79;0;0
2009-07-06;2,79;2,79;2,79;2,79;0;0
2009-07-03;2,79;2,79;2,79;2,79;0;0
