Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;3,90;4,0005;3,85;3,99;91.805;360.678
2019-07-18;4,0495;4,05;3,90;3,90;9.250;36.675
2019-07-17;4,10;4,20;3,9005;4,10;27.987;113.356
2019-07-16;4,10;4,24;4,08;4,08;15.723;65.042
2019-07-15;4,24;4,25;4,10;4,10;43.377;179.089
2019-07-12;4,25;4,25;4,139;4,14;36.064;151.136
2019-07-11;4,16;4,28;4,15;4,15;34.009;141.914
2019-07-10;4,15;4,375;4,15;4,15;21.856;92.411
2019-07-09;4,28;4,28;4,19;4,19;145.110;608.021
2019-07-08;4,3185;4,45;4,28;4,30;31.182;134.410
2019-07-05;4,34;4,35;4,311;4,3185;52.578;227.111
2019-07-04;4,30;4,33;4,161;4,1715;42.230;177.523
2019-07-03;4,2995;4,3495;4,1205;4,2485;43.072;182.441
2019-07-02;4,47;4,47;4,05;4,0895;245.210;1.029.516





