Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;0,028;0,0285;0,028;0,0285;72.485;2.030
2019-05-02;0,029;0,0295;0,028;0,0285;24.010;695
2019-04-30;0,0295;0,0295;0,029;0,029;5.479;162
2019-04-29;0,028;0,0285;0,028;0,0285;500;14
2019-04-26;0,028;0,0285;0,028;0,0285;357;10
2019-04-25;0,029;0,029;0,028;0,0285;37.593;1.063
2019-04-24;0,028;0,0285;0,028;0,0285;2.037;58
2019-04-23;0,0285;0,0285;0,028;0,0285;1.020;29
2019-04-18;0,0285;0,0285;0,028;0,0285;8.285;236
2019-04-17;0,028;0,0285;0,028;0,028;207;6
2019-04-16;0,028;0,0285;0,028;0,0285;200;6
2019-04-15;0,028;0,029;0,028;0,029;100;3
2019-04-12;0,028;0,029;0,028;0,029;20.020;561
2019-04-11;0,028;0,0285;0,028;0,028;1.430;41
2019-04-10;0,028;0,0285;0,028;0,028;1.050;30
2019-04-09;0,0285;0,0285;0,028;0,0285;317;9
2019-04-08;0,0285;0,0285;0,028;0,0285;1.503;43
2019-04-05;0,028;0,0285;0,028;0,0285;3.009;86
2019-04-04;0,028;0,0285;0,028;0,0285;2.511;72
2019-04-03;0,028;0,0285;0,028;0,0285;242;7
2019-04-02;0,028;0,0285;0,028;0,0285;695;20
2019-04-01;0,0285;0,029;0,028;0,029;505;14
2019-03-29;0,0335;0,034;0,028;0,032;130.669;4.348
2019-03-28;0,028;0,032;0,028;0,032;32.255;1.031
2019-03-27;0,028;0,0285;0,028;0,0285;5.866;167
2019-03-26;0,028;0,029;0,028;0,029;9.301;269
2019-03-25;0,0285;0,0285;0,028;0,0285;320;9
2019-03-22;0,028;0,0285;0,028;0,028;982;28
2019-03-21;0,028;0,0285;0,028;0,0285;65.370;1.833
2019-03-20;0,028;0,0285;0,028;0,0285;26.450;754
2019-03-19;0,0285;0,0285;0,028;0,028;4.668;133
2019-03-18;0,028;0,0285;0,028;0,0285;1.782;51
2019-03-15;0,028;0,0285;0,028;0,0285;65;2
2019-03-14;0,0285;0,0285;0,028;0,0285;1.595;45
2019-03-13;0,028;0,0285;0,028;0,0285;90;3
2019-03-12;0,028;0,0285;0,028;0,028;1.643;47
2019-03-11;0,028;0,0285;0,028;0,0285;510;15
2019-03-08;0,028;0,0285;0,028;0,0285;11.405;325
2019-03-07;0,028;0,0285;0,028;0,0285;383;11
2019-03-06;0,028;0,029;0,028;0,029;7.803;222
2019-03-05;0,0325;0,0325;0,028;0,0285;12.130;374
2019-03-04;0,028;0,031;0,028;0,031;2.475;76
2019-03-01;0,028;0,0285;0,028;0,0285;161;5
2019-02-28;0,028;0,0285;0,028;0,0285;689;20
2019-02-27;0,0285;0,0295;0,028;0,0295;632;18
2019-02-26;0,0295;0,0295;0,029;0,0295;1.580;47
2019-02-25;0,029;0,0295;0,029;0,0295;2.330;69
2019-02-22;0,029;0,03;0,029;0,03;6.690;200
2019-02-21;0,028;0,031;0,028;0,03;5.863;180
2019-02-20;0,028;0,0285;0,028;0,0285;656;19
2019-02-19;0,028;0,031;0,028;0,031;5.554;171
2019-02-18;0,0285;0,0315;0,028;0,0315;3.891;118
2019-02-15;0,028;0,0285;0,028;0,028;160;5
2019-02-14;0,028;0,03;0,028;0,03;50.305;1.509
2019-02-13;0,0285;0,0285;0,028;0,028;420;12
2019-02-12;0,0285;0,0285;0,028;0,0285;32.990;940
2019-02-11;0,0285;0,0295;0,028;0,0295;11.701;343
2019-02-08;0,028;0,0285;0,028;0,0285;1.464;42
2019-02-07;0,028;0,03;0,028;0,0285;44.380;1.328
2019-02-06;0,029;0,03;0,029;0,03;52.478;1.574
2019-02-05;0,028;0,0295;0,028;0,0295;710;20
2019-02-04;0,03;0,0305;0,0285;0,0295;47.865;1.432
2019-02-01;0,028;0,0305;0,028;0,0305;1.460;45
2019-01-31;0,0305;0,0305;0,03;0,0305;45.189;1.360
2019-01-30;0,03;0,0305;0,03;0,0305;920;28
2019-01-29;0,0305;0,031;0,03;0,0305;123.760;3.829
2019-01-28;0,0285;0,03;0,028;0,0285;105.065;3.131
2019-01-25;0,028;0,029;0,028;0,0285;2.288;65
2019-01-24;0,028;0,03;0,028;0,0295;36.207;1.081
2019-01-23;0,029;0,0295;0,029;0,0295;2.550;75
2019-01-22;0,029;0,03;0,029;0,0295;18.090;542
2019-01-21;0,0305;0,031;0,029;0,0295;64.903;1.977
2019-01-18;0,03;0,031;0,03;0,0305;20.082;603
2019-01-17;0,0295;0,033;0,029;0,03;5.220;172
2019-01-16;0,033;0,033;0,029;0,029;3.571;118
2019-01-15;0,029;0,033;0,0285;0,033;59.089;1.911
2019-01-14;0,029;0,032;0,0285;0,029;102.985;3.152
2019-01-11;0,029;0,0295;0,029;0,029;3.300;96
2019-01-10;0,029;0,0295;0,029;0,0295;165;5
2019-01-09;0,0285;0,031;0,027;0,031;18.706;557
2019-01-08;0,027;0,0285;0,0265;0,0285;11.469;311
2019-01-07;0,027;0,027;0,0265;0,027;18.465;492
2019-01-04;0,026;0,0265;0,026;0,026;165;4
2019-01-03;0,026;0,027;0,026;0,026;1.150;31
2019-01-02;0,027;0,027;0,026;0,0265;3.493;93
2018-12-28;0,0265;0,027;0,026;0,027;2.655;71
2018-12-27;0,0265;0,027;0,026;0,027;569;15
2018-12-21;0,026;0,027;0,026;0,0265;2.327;62
2018-12-20;0,027;0,028;0,027;0,028;2.895;81
2018-12-19;0,027;0,028;0,027;0,027;290;8
2018-12-18;0,028;0,028;0,027;0,0275;26.405;713
2018-12-17;0,027;0,0275;0,027;0,0275;3.840;106
2018-12-14;0,027;0,028;0,027;0,027;1.315;37
2018-12-13;0,026;0,027;0,026;0,027;0;0
2018-12-12;0,028;0,029;0,0265;0,0265;111.120;3.087
2018-12-11;0,0275;0,028;0,0275;0,0275;50.100;1.403
2018-12-10;0,0285;0,029;0,028;0,028;1.976;56
