Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-10;0,6845;0,6845;0,63;0,63;7.380;4.877
2019-07-09;0,7565;0,7565;0,7565;0,7565;414;313
2019-07-08;0,642;0,7745;0,642;0,737;9.666;7.132
2019-07-05;0,5975;0,632;0,555;0,614;17.670;10.408
2019-06-28;0,2966;0,2966;0,2966;0,2966;300;89
2019-06-18;0,4118;0,4118;0,4118;0,4118;4.000;1.647
2019-03-25;0,762;0,762;0,757;0,757;4.000;3.038
2019-02-25;0,78;0,90;0,78;0,90;1.320;1.042
2019-02-13;0,736;0,736;0,735;0,735;2.600;1.912
2019-01-24;0,817;0,817;0,817;0,817;3.000;2.451
2019-01-22;0,838;0,838;0,767;0,767;8.100;6.575
2017-09-11;0,293;0,293;0,293;0,293;500;147
2017-09-01;0,296;0,296;0,296;0,296;150;44
2017-08-21;0,299;0,299;0,299;0,299;1.850;553
2017-08-14;0,311;0,311;0,311;0,311;2.150;669
2017-07-28;0,313;0,313;0,313;0,313;2.000;626
2017-07-25;0,313;0,313;0,313;0,313;4.820;1.509
2017-07-18;0,332;0,332;0,332;0,332;607;202
2017-07-14;0,344;0,344;0,344;0,344;4.000;1.376
2017-06-13;0,345;0,345;0,338;0,34;11.000;3.784
2017-06-07;0,52;0,52;0,52;0,52;2.000;1.040
2017-04-28;0,684;0,684;0,684;0,684;3.715;2.541
2017-03-17;0,598;0,598;0,598;0,598;1.400;837
2017-03-14;0,589;0,589;0,589;0,589;1.700;1.001
2017-03-08;0,546;0,546;0,546;0,546;4.540;2.479
2017-03-06;0,58;0,58;0,58;0,58;800;464
2017-03-03;0,556;0,556;0,556;0,556;1.400;778
2017-03-02;0,639;0,679;0,639;0,675;101.300;66.832
2017-03-01;0,539;0,539;0,539;0,539;587;316
2017-02-27;0,695;0,695;0,695;0,695;2.900;2.016
2017-01-19;0,941;0,941;0,941;0,941;5.000;4.705
2017-01-18;0,97;0,97;0,97;0,97;3.200;3.104
2017-01-17;0,951;0,951;0,951;0,951;3.200;3.043
2017-01-11;0,924;0,946;0,924;0,932;31.700;29.921
2017-01-10;0,883;0,922;0,883;0,909;25.800;23.063
2016-11-22;0,985;0,985;0,985;0,985;505;497
2016-11-09;0,825;0,825;0,825;0,825;1.036;855
2016-10-24;1,012;1,012;1,012;1,012;1.131;1.145
2016-09-26;1,029;1,029;0,821;0,821;2.000;1.926
2016-09-15;1,016;1,028;1,016;1,028;1.800;1.841
2016-09-14;1,047;1,047;1,047;1,047;1.000;1.047
2016-09-13;1,056;1,056;1,056;1,056;500;528
2016-08-31;1,069;1,069;1,069;1,069;1.000;1.069
2016-08-15;1,104;1,104;1,104;1,104;100;110
2016-05-31;1,465;1,465;1,465;1,465;200;293
2016-05-04;1,322;1,322;1,269;1,269;1.485;1.910
2016-04-27;1,438;1,438;1,438;1,438;1.000;1.438
2016-04-06;1,397;1,397;1,397;1,397;300;419
2016-03-31;1,217;1,217;1,217;1,217;15;18
2016-03-04;0,905;0,905;0,905;0,905;300;272
2015-12-09;1,166;1,166;1,166;1,166;1.000;1.166
2015-12-07;1,184;1,184;1,184;1,184;600;710
2015-11-11;1,366;1,366;1,366;1,366;15;20
2015-11-06;1,249;1,249;1,249;1,249;1.500;1.874
2015-10-28;1,306;1,306;1,306;1,306;300;392
2015-09-07;1,858;1,858;1,858;1,858;800;1.486
2015-08-25;1,794;1,794;1,794;1,794;1.000;1.794
2015-05-20;2,024;2,024;2,024;2,024;3.000;6.072
2015-05-11;1,994;1,994;1,994;1,994;1.600;3.190
2015-05-06;2,024;2,024;2,024;2,024;260;526
2015-04-21;2,35;2,35;2,35;2,35;2.000;4.700
2015-04-10;2,031;2,031;2,031;2,031;100;203
2015-01-22;2,061;2,061;2,061;2,061;300;618
2014-11-03;2,111;2,111;2,111;2,111;350;739
2014-10-22;2,019;2,019;2,019;2,019;1.000;2.019
2014-10-17;2,012;2,012;2,012;2,012;400;805
2014-09-24;2,103;2,103;2,103;2,103;30;63
2014-09-08;2,228;2,228;2,228;2,228;555;1.237
2014-08-01;2,433;2,433;2,433;2,433;400;973
2014-06-26;2,555;2,555;2,555;2,555;50;128
2014-06-16;2,687;2,687;2,687;2,687;350;940
2014-06-05;2,297;2,297;2,297;2,297;50;115
2014-04-29;2,02;2,02;2,02;2,02;350;707
2014-03-21;2,261;2,261;2,20;2,20;950;2.139
2014-02-28;2,774;2,974;2,774;2,974;2.100;5.945
2014-02-26;2,73;2,73;2,696;2,696;2.000;5.429
2014-02-19;3,464;3,464;3,23;3,23;400;1.362
2014-02-13;2,721;2,721;2,721;2,721;1.000;2.721
2014-02-10;2,71;2,788;2,71;2,788;1.000;2.741
2014-02-07;2,629;2,629;2,629;2,629;1.000;2.629
2014-01-28;2,653;2,653;2,653;2,653;100;265
2014-01-23;2,613;2,613;2,613;2,613;50;131
2013-12-16;2,23;2,23;2,23;2,23;1.000;2.230
2013-12-04;2,34;2,34;2,34;2,34;3.000;7.020
2013-11-29;2,10;2,10;2,089;2,10;5.200;10.918
