Datum;Erster;Hoch;Tief;Schlusskurs;Vol. (nom.);Volumen
2019-05-03;100,75;101,50;100,75;100,75;0;0
2019-05-02;100,75;101,50;100,75;100,75;0;0
2019-04-30;100,75;101,50;100,75;100,75;0;0
2019-04-29;100,75;101,50;100,75;100,75;0;0
2019-04-26;100,75;101,50;100,75;100,75;0;0
2019-04-25;100,75;101,50;100,75;100,75;0;0
2019-04-24;100,75;101,50;100,75;100,75;0;0
2019-04-23;100,75;101,50;100,75;100,75;0;0
2019-04-18;100,75;101,50;100,75;100,75;0;0
2019-04-17;100,75;101,50;100,75;100,75;0;0
2019-04-16;100,75;101,50;100,75;100,75;0;0
2019-04-15;100,75;101,50;100,75;100,75;0;0
2019-04-12;100,75;101,50;100,75;101,50;0;0
2019-04-11;100,75;101,50;100,75;100,75;0;0
2019-04-10;101,49;101,50;100,75;100,75;0;0
2019-04-09;101,49;101,50;101,49;101,49;0;0
2019-04-08;101,49;101,50;101,49;101,49;0;0
2019-04-05;101,49;101,50;101,49;101,49;0;0
2019-04-04;101,00;101,50;100,75;101,49;0;0
2019-04-03;101,25;101,25;101,00;101,00;0;0
2019-04-02;100,00;100,75;100,00;100,00;0;0
2019-04-01;100,00;100,75;100,00;100,00;0;0
2019-03-29;100,00;100,75;100,00;100,00;0;0
2019-03-28;100,00;100,75;100,00;100,00;0;0
2019-03-27;100,00;100,75;100,00;100,00;0;0
2019-03-26;99,75;100,75;99,75;100,00;0;0
2019-03-25;99,75;100,50;99,75;99,75;0;0
2019-03-22;99,75;100,50;99,75;99,75;0;0
2019-03-21;99,75;100,50;99,75;99,75;0;0
2019-03-20;99,75;100,50;99,75;99,75;0;0
2019-03-19;99,75;100,50;99,75;99,75;0;0
2019-03-18;99,75;100,50;99,75;99,75;0;0
2019-03-15;99,75;100,50;99,75;99,75;0;0
2019-03-14;99,75;100,50;99,75;99,75;0;0
2019-03-13;99,75;100,50;99,75;99,75;0;0
2019-03-12;99,50;100,38;99,50;99,50;0;0
2019-03-11;99,50;99,75;99,50;99,50;0;0
2019-03-08;99,50;99,75;99,50;99,75;0;0
2019-03-07;99,50;99,75;99,50;99,50;0;0
2019-03-06;99,50;99,75;99,50;99,50;0;0
2019-03-05;99,50;99,75;99,50;99,50;0;0
2019-03-04;99,50;99,75;99,50;99,75;0;0
2019-03-01;99,50;99,75;99,50;99,50;0;0
2019-02-28;99,50;99,75;99,50;99,50;0;0
2019-02-27;99,50;99,75;99,50;99,50;0;0
2019-02-26;99,50;99,75;99,50;99,50;0;0
2019-02-25;99,50;99,75;99,50;99,50;0;0
2019-02-22;99,50;99,75;99,50;99,50;0;0
2019-02-21;99,50;99,75;99,50;99,50;0;0
2019-02-20;99,50;99,75;99,50;99,50;0;0
2019-02-19;99,50;99,75;99,50;99,50;0;0
2019-02-18;99,50;99,75;99,50;99,50;0;0
2019-02-15;99,50;99,75;99,50;99,50;0;0
2019-02-14;99,50;99,75;99,50;99,50;0;0
2019-02-13;99,50;99,75;99,50;99,50;0;0
2019-02-12;99,50;99,75;99,50;99,50;0;0
2019-02-11;99,50;100,38;99,50;99,50;0;0
2019-02-08;99,75;100,50;99,50;99,50;0;0
2019-02-07;99,75;100,50;99,75;99,75;0;0
2019-02-06;99,75;100,50;99,75;99,75;0;0
2019-02-05;99,75;100,50;99,75;99,75;0;0
2019-02-04;99,50;100,50;99,50;99,75;0;0
2019-02-01;99,50;100,25;99,50;99,50;0;0





